Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,1,180401_172400,1f0b4cc1-c670-4f0a-8c58-d6bb57a97f71,0,0,0,B,Ball,FF,14,2.0,3.84,1.85,89.8,82.2,53.54,1.88,50.0,5.92,0.13,1.56,3.24,11.0,-5.6,-130.53,-8.66,5.59,27.99,-13.23,16.8,3.6,24.0,1983,165,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,2,180401_172415,ee23364c-934f-45eb-9215-1ec8f09a2565,1,1,0,F,Foul,FF,14,2.0,3.83,1.89,89.7,81.9,49.74,1.94,50.0,5.88,0.47,1.66,5.72,10.28,-5.67,-130.39,-8.02,9.8,28.45,-14.55,27.6,4.8,24.0,2038,152,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,3,180401_172439,6152fdc4-a400-4692-a9b0-0b1719577fb8,1,2,0,C,Called Strike,FF,14,2.0,3.88,1.88,90.8,82.8,54.44,2.14,50.0,5.94,0.64,1.8,2.68,10.61,-4.78,-131.96,-8.13,4.7,29.5,-13.56,13.2,3.6,24.0,2058,167,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,4,180401_172456,5886c4f0-4725-4c26-a950-d34a80cf3419,1,2,0,B,Ball,CH,14,2.0,3.88,1.96,86.6,78.9,13.12,2.18,50.0,5.82,1.42,1.3,5.23,8.28,-3.56,-125.93,-7.36,8.33,27.55,-18.98,20.4,6.0,24.0,1254,147,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,5,180401_172516,8aac066e-daf9-4a47-9761-2d828390716b,2,2,0,F,Foul,SI,9,2.0,3.84,1.89,91.9,83.5,48.7,1.74,50.0,5.91,0.56,2.32,8.66,8.62,-6.06,-133.54,-6.25,15.52,30.73,-16.72,38.4,4.8,24.0,1986,135,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,6,180401_172535,0fabeab3-c7df-451f-b7c5-c343c88da25a,2,2,0,F,Foul,CU,8,2.0,3.81,1.81,75.7,69.8,22.81,1.84,50.0,6.04,-0.21,2.11,-5.3,-5.58,-2.94,-110.09,0.47,-6.48,20.26,-38.99,9.6,13.2,24.0,2076,312,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,7,180401_172600,ef88340c-9a51-4cf3-80e1-f7106e71cd3d,2,2,0,B,Ball,FF,12,2.0,3.88,1.87,92.0,83.5,30.39,2.02,50.0,5.97,1.36,4.05,5.09,10.9,-3.51,-133.98,-2.68,9.19,30.85,-12.51,32.4,3.6,24.0,2099,156,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,621446,R,5,Groundout,8,8,180401_172621,5fbfcc6e-ab46-40bc-8822-9026949a36b6,3,2,0,X,In play- out(s),FF,9,2.0,3.84,1.83,91.3,83.0,38.96,1.88,50.0,5.89,0.45,2.27,5.33,11.55,-5.54,-132.81,-7.24,9.45,30.45,-11.7,31.2,3.6,24.0,2068,156,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,518618,L,6,Flyout,7,1,180401_172658,039e8d85-aa3f-4cd2-ab17-a017db0d5601,0,0,1,B,Ball,FF,12,2.0,3.09,1.51,91.3,83.0,55.48,1.91,50.0,5.99,0.19,3.38,4.93,9.38,-6.18,-132.84,-3.85,8.76,30.08,-15.51,24.0,3.6,24.0,1924,155,,,,,,,0,1,0,bottom
2018-04-01,529446,1,500779,L,518618,L,6,Flyout,7,2,180401_172713,09ff4989-30ed-4bbe-9901-0d058635e824,1,1,1,F,Foul,FF,8,2.0,3.51,1.8,92.0,84.4,31.08,1.9,50.0,5.88,0.18,2.1,3.28,9.52,-5.67,-133.79,-7.19,5.95,28.5,-14.89,16.8,3.6,24.0,2077,163,,,,,,,0,1,0,bottom
