Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-07,490154,8,451661,R,518934,R,59,Strikeout,5,1,170407_224744,e04ea47d-d8e9-4353-b182-be360ee65075,0,0,0,B,Ball,KC,14,2.0,3.43,1.63,74.8,69.4,57.53,-1.32,50.0,5.65,1.59,1.02,2.01,-3.47,5.7,-108.65,-1.47,2.4,18.75,-36.33,4.8,12.0,24.0,1941,31,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,518934,R,59,Strikeout,5,2,170407_224809,4eb2b758-efaa-42ec-99b3-2e24234b6adc,1,0,0,B,Ball,FF,12,2.0,3.56,1.77,93.9,85.4,41.6,-1.19,50.0,5.64,0.67,4.08,-1.93,12.92,5.69,-136.28,-2.73,-3.62,30.37,-7.92,15.6,2.4,24.0,2288,186,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,518934,R,59,Strikeout,5,3,170407_224836,6851f27d-34f5-4f16-8b52-56305c2f1f07,2,1,0,C,Called Strike,FF,6,2.0,3.71,1.91,93.7,85.8,30.46,-1.35,50.0,5.5,0.31,2.79,-2.54,10.27,5.36,-136.04,-4.9,-4.78,28.51,-12.84,14.4,3.6,24.0,2311,192,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,518934,R,59,Strikeout,5,4,170407_224858,ba849ff5-d978-480a-9ede-97bfd79e115b,2,2,0,F,Foul,FF,1,2.0,3.92,1.63,93.8,86.2,36.94,-1.32,50.0,5.53,-0.26,3.35,0.36,9.39,2.75,-136.52,-3.25,0.68,28.2,-14.34,4.8,3.6,24.0,2200,175,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,518934,R,59,Strikeout,5,5,170407_224932,862af183-30a4-49d8-9286-54576cde08c3,2,2,0,S,Swinging Strike,FF,12,2.0,3.92,1.63,94.3,86.5,42.06,-1.23,50.0,5.62,0.12,4.33,-1.11,11.01,4.07,-137.09,-1.47,-2.13,28.32,-11.08,6.0,2.4,24.0,2415,183,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,471865,L,60,Strikeout,6,1,170407_225016,1401c8d7-c00d-4382-85f5-a6f5bdf32725,0,0,1,B,Ball,FF,14,2.0,3.47,1.74,95.1,88.0,70.39,-1.32,50.0,5.46,0.86,2.33,-1.82,10.64,6.63,-138.24,-6.55,-3.58,26.51,-11.27,10.8,2.4,24.0,2355,187,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,471865,L,60,Strikeout,6,2,170407_225039,fe948a1e-2641-461c-9ede-6bf66a048069,1,1,1,F,Foul,FF,1,2.0,3.92,1.63,94.0,86.7,39.25,-1.31,50.0,5.5,-0.35,3.28,-0.48,9.61,2.77,-136.83,-3.48,-0.92,27.21,-13.76,1.2,3.6,24.0,2408,181,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,471865,L,60,Strikeout,6,3,170407_225115,0a4bcefb-cf0e-49f8-8096-a162485ceb32,1,2,1,F,Foul,FF,3,2.0,3.92,1.63,94.5,87.1,47.05,-1.17,50.0,5.5,0.49,3.5,-3.17,10.12,5.65,-137.42,-3.15,-6.13,27.11,-12.6,20.4,2.4,24.0,2348,195,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,471865,L,60,Strikeout,6,4,170407_225151,03797b3e-1023-4e19-a616-f0c62b654bff,1,2,1,B,Ball,KC,13,2.0,3.69,1.87,78.0,73.1,38.02,-1.57,50.0,5.44,-0.35,-0.82,4.62,-2.3,1.39,-113.46,-6.24,6.06,19.26,-35.2,9.6,10.8,24.0,1976,51,,,,,,,0,1,-1,bottom
2017-04-07,490154,8,451661,R,471865,L,60,Strikeout,6,5,170407_225221,56e94bb6-8a09-49ab-b8c3-5fccb4639e32,2,2,1,F,Foul,FF,14,2.0,3.92,1.63,94.4,86.3,58.24,-1.08,50.0,5.49,1.12,2.03,-3.53,11.26,7.18,-136.99,-7.37,-6.73,29.64,-10.74,22.8,2.4,24.0,2284,195,,,,,,,0,1,-1,bottom
