Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,1,190411_175847,a625fde7-7c62-449a-8a0f-a04f71cd4c60,0,0,0,B,Ball,SI,13,2.0,3.47,1.62,89.6,82.2,,-1.95,50.0,5.89,-0.08,0.73,-10.54,3.38,8.3,-129.84,-8.07,-17.97,27.47,-26.41,30.0,7.2,24.0,2215,254,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,2,190411_175908,62b74b72-6eb6-4f29-b203-503a470f3e64,1,0,0,S,Foul,SI,4,2.0,3.47,1.59,88.6,81.1,,-1.95,50.0,6.02,-0.6,2.83,-8.72,3.77,6.32,-128.79,-3.03,-14.64,27.0,-25.85,26.4,7.2,24.0,2019,245,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,3,190411_175930,70c16af0-b0f4-4268-957c-ee8de7708493,1,1,0,B,Ball,SL,14,2.0,3.5,1.62,82.5,77.3,,-2.03,50.0,5.89,0.99,1.45,0.82,-0.4,6.93,-119.9,-3.72,1.21,19.49,-32.76,3.6,9.6,24.0,2593,68,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,4,190411_175946,063139c9-658e-46e4-abbe-250d55ade823,2,1,0,S,Foul,SL,5,2.0,3.47,1.59,81.5,75.9,,-2.12,50.0,5.91,0.13,2.39,0.79,-0.04,5.05,-118.59,-1.44,1.13,20.0,-32.22,3.6,9.6,24.0,2560,89,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,5,190411_180013,e22667ef-b81b-478d-95be-c650af0e0806,2,2,0,B,Ball,SL,14,2.0,3.41,1.53,83.1,77.8,,-1.73,50.0,5.73,2.76,0.37,0.24,-0.13,10.66,-120.49,-6.04,0.36,20.56,-32.36,3.6,9.6,24.0,2571,66,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,6,190411_180035,7dab2b90-46e1-4af1-9531-03f5b75d5dcb,3,1,0,S,Foul,SI,13,2.0,3.47,1.59,91.2,83.1,,-1.95,50.0,5.98,-1.03,2.11,-11.94,4.39,6.44,-132.37,-5.42,-21.06,29.83,-24.44,37.2,7.2,24.0,2266,250,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,7,190411_180059,f6b0b7d9-b9d2-4a69-ada2-9d77a8fa9637,3,1,0,S,Foul,SI,5,2.0,3.47,1.59,90.7,82.9,,-1.74,50.0,6.08,0.07,2.83,-10.03,3.91,8.08,-131.71,-3.6,-17.61,28.17,-25.32,31.2,7.2,24.0,2069,248,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,640461,R,42,Single,8,8,190411_180125,a6e71f11-7e92-432b-9c59-1c0253a3b15e,3,2,0,X,In play- no out,SL,8,2.0,3.47,1.59,82.3,77.2,,-1.96,50.0,5.99,0.02,1.8,2.02,-1.81,4.07,-119.78,-2.68,2.99,18.97,-34.85,6.0,9.6,24.0,2560,52,,,,640461,,640461,0,0,-5,top
2019-08-22,564936,6,572998,R,595777,L,43,Sac Fly,2,1,190411_180216,97ffb061-3981-42b0-8d32-e7ea108f59bb,0,0,0,S,Called Strike,SI,1,2.0,3.28,1.47,91.4,83.8,,-1.88,50.0,6.06,-0.67,3.23,-10.06,4.15,6.62,-132.81,-2.72,-18.03,27.67,-24.74,33.6,7.2,24.0,2210,246,640461,,640461,,,,1,1,-5,top
2019-08-22,564936,6,572998,R,595777,L,43,Sac Fly,2,2,190411_180249,3cf21955-a0c6-4a19-99c6-b886a5fc6a83,0,1,0,X,In play- run(s),SI,13,2.0,3.37,1.53,91.3,83.8,,-1.93,50.0,5.95,-1.25,2.29,-10.77,4.71,5.46,-132.64,-5.07,-19.23,27.69,-23.76,36.0,7.2,24.0,2212,247,640461,,640461,,,,1,1,-5,top
