Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-05,490120,12,519294,L,455976,L,88,Strikeout,5,1,170406_025059,6a08efc3-869f-4191-9d9e-90d9725ba042,0,0,2,B,Ball,FF,13,2.0,3.58,1.74,94.9,86.3,64.23,1.54,50.0,5.71,-0.26,1.5,4.96,12.96,-6.63,-137.52,-10.03,9.47,31.45,-7.44,39.6,2.4,24.0,2296,160,,461314,518692,,,,0,1,-2,top
2017-04-05,490120,12,519294,L,455976,L,88,Strikeout,5,2,170406_025125,47dfb3c5-12e9-4c9d-81dc-254ffbbd130d,1,1,2,F,Foul,FF,12,2.0,3.79,1.56,94.7,86.4,45.02,1.51,50.0,5.84,0.71,2.76,5.47,12.19,-4.1,-137.56,-6.75,10.48,30.46,-8.81,43.2,2.4,24.0,2192,156,,461314,518692,,,,0,1,-2,top
2017-04-05,490120,12,519294,L,455976,L,88,Strikeout,5,3,170406_025158,d974051a-fe7b-465b-9f48-1be7808adef8,1,2,2,F,Foul,FF,3,2.0,3.79,1.56,96.6,88.3,35.68,1.49,50.0,5.8,0.27,3.09,4.89,10.29,-5.16,-140.37,-5.42,9.79,31.06,-11.6,33.6,3.6,24.0,2339,156,,461314,518692,,,,0,1,-2,top
2017-04-05,490120,12,519294,L,455976,L,88,Strikeout,5,4,170406_025236,08ac7122-c5ca-4af3-bb2c-d5464275f5df,1,2,2,B,Ball,FF,11,2.0,3.79,1.68,97.1,89.0,39.37,1.18,50.0,6.0,-1.49,3.84,4.09,9.78,-8.94,-141.03,-3.83,8.29,30.4,-12.37,26.4,2.4,24.0,2312,161,,461314,518692,,,,0,1,-2,top
2017-04-05,490120,12,519294,L,455976,L,88,Strikeout,5,5,170406_025301,52e72fde-48f4-4ace-bfe4-ca59280970a4,2,3,2,W,Swinging Strike (Blocked),SL,13,2.0,3.79,1.56,80.1,73.5,40.71,1.35,50.0,5.85,-1.28,0.79,-4.11,-4.91,-4.79,-116.28,-3.06,-5.56,24.34,-38.81,9.6,12.0,24.0,2375,316,,461314,518692,,,,0,1,-2,top
2017-04-07,490155,5,519294,L,454560,R,37,Strikeout,4,1,170408_004245,b0a182dd-6e35-49cb-9c5a-0f1beae8c19e,0,1,0,C,Called Strike,FF,5,2.0,3.57,1.55,93.5,84.9,42.47,1.48,50.0,5.8,0.12,2.35,5.14,8.82,-5.41,-135.44,-6.23,9.52,30.74,-15.86,25.2,4.8,24.0,2070,148,,,,,,,0,1,-4,top
2017-04-07,490155,5,519294,L,454560,R,37,Strikeout,4,2,170408_004301,6f6fb24e-0672-4065-b121-3701c91e7ea8,0,1,0,B,Ball,FF,12,2.0,3.47,1.52,94.1,85.8,60.2,1.44,50.0,5.88,0.65,3.82,5.96,9.53,-4.2,-136.48,-2.91,11.26,29.57,-14.16,34.8,3.6,24.0,2304,147,,,,,,,0,1,-4,top
2017-04-07,490155,5,519294,L,454560,R,37,Strikeout,4,3,170408_004318,faa5a542-d286-444b-aba4-eb4c1b2ab1ec,1,2,0,T,Foul Tip,FF,4,2.0,3.81,1.55,93.1,84.6,35.24,1.42,50.0,5.7,-0.35,2.31,4.24,10.36,-6.18,-134.9,-6.52,7.79,30.38,-13.16,24.0,3.6,24.0,2266,158,,,,,,,0,1,-4,top
2017-04-07,490155,5,519294,L,454560,R,37,Strikeout,4,4,170408_004336,6730ef66-be3e-44a0-8ae4-19015233f567,1,2,0,S,Swinging Strike,FF,12,2.0,3.81,1.55,94.5,84.0,66.36,1.54,50.0,5.89,1.12,3.49,6.65,12.04,-3.44,-136.64,-4.55,12.29,36.57,-9.93,45.6,3.6,24.0,2216,149,,,,,,,0,1,-4,top
2017-04-07,490155,5,519294,L,592885,L,38,Single,2,1,170408_004410,820b33a3-b05d-4d45-8df0-a3a4daf9c9e5,0,0,1,B,Ball,SL,13,2.0,3.68,1.77,79.2,71.4,82.61,1.58,50.0,6.01,-0.99,2.17,-7.59,-4.65,-3.54,-114.65,-0.08,-9.86,25.93,-38.22,15.6,12.0,24.0,2258,305,,,,592885,,,0,0,-4,top
2017-04-07,490155,5,519294,L,592885,L,38,Single,2,2,170408_004427,d40a58bf-5daf-4b78-9833-d39f7a7ccca1,1,0,1,D,In play- no out,FF,14,2.0,3.81,1.55,94.2,84.6,48.51,1.55,50.0,5.74,1.01,2.47,2.54,12.56,-2.31,-136.41,-7.1,4.71,34.1,-8.85,21.6,2.4,24.0,2174,168,,,,592885,,,0,0,-4,top
2017-04-07,490155,5,519294,L,519317,R,39,Walk,6,1,170408_004511,4886e244-217c-4c0a-b4a1-a6dac2a9a311,0,1,1,C,Called Strike,SL,8,2.0,3.6,1.68,80.7,73.4,54.7,1.66,50.0,6.01,-0.05,2.28,-6.01,-5.12,-2.14,-116.98,-0.02,-8.22,24.86,-39.18,12.0,12.0,24.0,2315,313,592885,,,519317,592885,,0,0,-4,top
2017-04-07,490155,5,519294,L,519317,R,39,Walk,6,2,170408_004531,958d50bc-6cd8-4fac-aa41-94f2d579335d,0,1,1,B,Ball,FF,12,2.0,3.71,1.79,94.4,81.9,50.82,1.48,50.0,5.82,1.27,3.06,4.82,13.13,-2.19,-136.11,-5.61,8.62,42.93,-8.7,37.2,3.6,24.0,2287,158,592885,,,519317,592885,,0,0,-4,top
2017-04-07,490155,5,519294,L,519317,R,39,Walk,6,3,170408_004549,5765e988-c9ba-43ec-8b43-cea4d5b1e193,1,1,1,B,Ball,FF,12,2.0,3.62,1.68,93.9,85.2,48.13,1.55,50.0,5.79,0.33,3.72,6.8,9.92,-5.63,-136.1,-3.01,12.73,30.65,-13.62,38.4,3.6,24.0,2214,145,592885,,,519317,592885,,0,0,-4,top
2017-04-07,490155,5,519294,L,519317,R,39,Walk,6,4,170408_004620,a1c7008b-3ee9-4de4-aabf-cde14c67bbeb,2,1,1,B,Ball,SL,13,2.0,3.57,1.68,79.5,73.1,32.28,1.36,50.0,5.89,-2.12,1.39,-7.42,-4.67,-5.7,-115.28,-1.74,-9.89,23.24,-38.4,15.6,12.0,24.0,2369,305,592885,,,519317,592885,,0,0,-4,top
2017-04-07,490155,5,519294,L,519317,R,39,Walk,6,5,170408_004640,ea5f3f14-c265-4eee-b34b-421af3edd118,3,2,1,C,Called Strike,SL,13,2.0,3.44,1.68,79.6,73.1,47.81,1.42,50.0,6.04,-0.8,2.31,-5.4,-5.34,-3.47,-115.56,0.15,-7.26,22.49,-39.36,10.8,12.0,24.0,2294,316,592885,,,519317,592885,,0,0,-4,top
2017-04-07,490155,5,519294,L,519317,R,39,Walk,6,6,170408_004657,61fa26e1-572f-4072-a480-2abb0a08667f,3,2,1,B,Ball,FF,12,2.0,3.54,1.68,95.7,85.2,45.44,1.43,50.0,5.94,1.21,4.22,6.18,13.95,-2.78,-138.5,-3.6,11.75,37.26,-5.67,58.8,2.4,24.0,2317,155,592885,,,519317,592885,,0,0,-4,top
2017-04-07,490155,5,519294,L,571506,L,40,Walk,4,1,170408_004800,ff3c34d4-cc5a-4b4d-8424-9e4e34d217e7,0,0,1,B,Ball,FF,12,2.0,3.66,1.68,95.3,85.8,55.0,1.56,50.0,5.91,1.4,3.87,4.92,13.93,-2.16,-138.16,-4.53,9.4,33.82,-5.52,52.8,2.4,24.0,2337,159,519317,592885,,571506,519317,592885,0,0,-4,top
2017-04-07,490155,5,519294,L,571506,L,40,Walk,4,2,170408_004911,9de62366-03ed-41e8-9e1a-7357b604b799,1,0,1,B,Ball,FF,11,2.0,3.8,1.75,96.0,85.5,52.83,1.28,50.0,5.77,-0.86,2.87,6.57,13.65,-8.11,-138.61,-6.71,12.52,36.89,-6.17,52.8,2.4,24.0,2445,155,519317,592885,,571506,519317,592885,0,0,-4,top
2017-04-07,490155,5,519294,L,571506,L,40,Walk,4,3,170408_004942,9d287448-12e2-4cab-b379-9bfb68e65d6c,2,0,1,B,Ball,SL,13,2.0,3.61,1.66,80.2,74.7,17.64,1.29,50.0,5.9,-2.74,1.28,-5.44,-4.15,-7.64,-116.34,-2.41,-7.51,20.52,-37.89,12.0,12.0,24.0,2422,309,519317,592885,,571506,519317,592885,0,0,-4,top
2017-04-07,490155,5,519294,L,571506,L,40,Walk,4,4,170408_005005,24b80ca3-aba5-4bf0-a790-bb671fa9f923,3,0,1,B,Ball,FF,12,2.0,3.62,1.68,94.0,84.3,47.17,1.5,50.0,5.9,0.91,4.32,5.95,12.78,-3.64,-136.21,-2.62,11.03,33.84,-8.5,48.0,3.6,24.0,2393,154,519317,592885,,571506,519317,592885,0,0,-4,top
2017-04-07,490155,5,519294,L,542303,R,41,Single,6,1,170408_005112,d8b8191d-ddb8-48d6-94c6-fc824c04e198,0,0,1,B,Ball,FF,12,2.0,3.7,1.57,94.2,83.3,44.39,1.52,50.0,5.96,1.37,4.87,5.59,12.56,-2.31,-136.28,-1.15,10.21,37.8,-9.23,45.6,3.6,24.0,2393,155,571506,519317,592885,542303,571506,519317,1,0,-4,top
2017-04-07,490155,5,519294,L,542303,R,41,Single,6,2,170408_005133,59c44f9c-e4aa-4bf6-be5f-70dc40007d9d,1,1,1,C,Called Strike,FS,5,2.0,3.54,1.57,83.0,73.1,24.61,1.47,50.0,5.67,0.23,2.86,8.32,11.95,-5.41,-119.96,-3.27,11.7,30.67,-15.36,32.4,6.0,24.0,1696,144,571506,519317,592885,542303,571506,519317,1,0,-4,top
