Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529416,1,527054,R,514917,L,0,Single,3,1,180329_201258,0e36552a-262c-4610-87fd-e9c7a0a05ca5,0,0,0,S,Called Strike,FF,4,2.0,3.09,1.36,89.9,83.0,45.35,-1.93,50.0,5.03,-0.44,2.25,-4.95,8.13,5.54,-130.85,-3.76,-8.66,25.05,-17.94,22.8,4.8,24.0,2274,208,,,,514917,,,0,0,0,top
2018-03-29,529416,1,527054,R,514917,L,0,Single,3,2,180329_201322,b684569d-5a65-46e6-9dc0-3ac6b4d9e589,0,1,0,B,Ball,FF,13,2.0,3.16,1.37,90.0,83.4,16.92,-2.08,50.0,5.01,-1.5,2.1,-2.22,7.35,2.27,-131.11,-3.86,-3.92,24.14,-19.21,9.6,4.8,24.0,2269,195,,,,514917,,,0,0,0,top
2018-03-29,529416,1,527054,R,514917,L,0,Single,3,3,180329_201337,d7097ba1-ffff-4eba-8993-9105ee353ecb,1,1,0,X,In play- no out,FF,4,2.0,3.17,1.37,89.0,83.0,41.01,-1.89,50.0,5.01,-0.63,1.98,-3.08,7.27,4.28,-129.67,-4.03,-5.35,21.93,-19.55,13.2,4.8,24.0,2361,200,,,,514917,,,0,0,0,top
2018-03-29,529416,1,527054,R,467793,L,1,Forceout,4,1,180329_201441,330def63-293b-49df-8e2d-a9df164f4bf0,0,0,0,B,Ball,FT,14,2.0,3.29,1.41,88.7,81.8,51.86,-1.63,50.0,4.84,1.0,0.62,-11.13,2.6,10.4,-128.82,-5.32,-18.82,25.3,-27.79,30.0,8.4,24.0,2013,257,514917,,,,,,0,1,0,top
2018-03-29,529416,1,527054,R,467793,L,1,Forceout,4,2,180329_201509,7320bdd9-7822-40da-840d-267b70e4cc99,1,0,0,B,Ball,SL,14,2.0,3.16,1.41,80.1,72.8,51.99,-1.84,50.0,4.99,0.59,1.24,2.33,1.01,4.85,-116.41,-1.82,3.15,25.08,-30.81,7.2,9.6,24.0,,106,514917,,,,,,0,1,0,top
2018-03-29,529416,1,527054,R,467793,L,1,Forceout,4,3,180329_201538,dfbf7d7e-f981-4575-aeea-ed26b76bf9ea,2,0,0,X,In play- out(s),FF,5,2.0,3.27,1.41,90.3,83.0,20.32,-1.8,50.0,4.92,-0.19,2.46,-5.1,8.08,5.91,-131.46,-2.95,-8.97,26.44,-17.96,22.8,4.8,24.0,2204,209,514917,,,,,,0,1,0,top
2018-03-29,529416,1,527054,R,608384,L,2,Strikeout,4,1,180329_201627,a463ca19-a732-4ee4-88c2-8b2fce778bdf,0,0,1,B,Ball,FF,14,2.0,3.29,1.6,89.9,82.7,49.32,-1.63,50.0,4.89,1.92,1.47,-5.04,7.18,10.85,-130.47,-5.02,-8.74,26.04,-19.73,18.0,4.8,24.0,2246,209,,,,,467793,,0,1,0,top
2018-03-29,529416,1,527054,R,608384,L,2,Strikeout,4,2,180329_201706,b121149e-80ab-484d-a803-897524c86d6d,1,0,1,S,Swinging Strike,FT,13,2.0,3.71,1.43,90.3,80.8,53.98,-1.97,50.0,4.92,-0.46,1.08,-12.1,1.85,7.86,-130.89,-4.14,-20.44,34.43,-29.05,31.2,8.4,24.0,2081,262,,,,,467793,,0,1,0,top
2018-03-29,529416,1,527054,R,608384,L,2,Strikeout,4,3,180329_201735,9151e15c-be01-4b15-85c5-42a9f26fc2b1,1,1,1,S,Called Strike,FF,13,2.0,3.26,1.66,91.4,83.9,54.07,-1.92,50.0,4.9,-0.75,1.86,-4.51,9.23,4.61,-133.02,-5.03,-8.12,27.44,-15.57,24.0,3.6,24.0,2315,204,,,,,467793,,0,1,0,top
2018-03-29,529416,1,527054,R,608384,L,2,Strikeout,4,4,180329_201802,ff5a03e5-b71c-47ca-ad2e-772b08d22cd5,1,2,1,S,Swinging Strike (Blocked),SL,14,2.0,3.71,1.43,80.6,74.2,19.03,-1.93,50.0,4.9,0.34,0.75,1.94,0.55,4.66,-117.2,-2.79,2.69,22.56,-31.41,6.0,9.6,24.0,2479,98,,,,,467793,,0,1,0,top
