Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-04,490116,7,471822,R,458731,L,50,Strikeout,6,1,170405_010948,59e9b423-b5ee-41dc-83f5-c213ebf02408,0,0,0,B,Ball,FF,3,0.91,3.55,1.63,95.9,87.1,67.11,-1.59,50.0,5.98,0.46,3.48,-3.52,7.93,6.88,-139.49,-3.82,-6.89,33.63,-16.67,16.8,3.6,24.0,2165,199,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,458731,L,50,Strikeout,6,2,170405_011009,d8a0c3a7-e078-4654-a688-f10feffcb128,1,1,0,C,Called Strike,FF,14,2.0,3.55,1.63,96.5,87.8,49.37,-1.57,50.0,5.94,0.72,2.29,-5.56,9.61,8.32,-140.21,-7.71,-11.0,33.48,-13.16,31.2,3.6,24.0,2283,207,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,458731,L,50,Strikeout,6,3,170405_011033,48e1d750-c8cd-41a0-a650-da106bf6d5de,1,1,0,B,Ball,SL,14,2.0,3.55,1.63,86.9,79.9,50.16,-1.74,50.0,5.98,0.98,2.14,4.55,0.29,5.32,-126.48,-3.2,7.34,26.66,-31.7,14.4,8.4,24.0,,90,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,458731,L,50,Strikeout,6,4,170405_011057,c1d65833-f903-47db-9022-25cb6cd11d05,2,2,0,C,Called Strike,FF,5,2.0,3.55,1.63,97.1,88.4,24.4,-1.51,50.0,5.94,0.13,2.74,-4.32,8.89,6.14,-141.26,-6.35,-8.68,33.65,-14.29,25.2,3.6,24.0,2349,203,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,458731,L,50,Strikeout,6,5,170405_011124,98024305-c344-4557-93b3-9b980d708577,2,2,0,F,Foul,SL,14,2.0,3.55,1.63,89.5,82.2,41.85,-1.48,50.0,5.89,1.03,1.07,3.15,1.32,5.37,-130.13,-6.51,5.37,28.76,-29.92,12.0,7.2,24.0,,99,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,458731,L,50,Strikeout,6,6,170405_011152,01c77504-087e-42c6-87b5-048b3b2a1955,2,3,0,C,Called Strike,SL,8,2.0,3.55,1.63,89.4,82.6,29.55,-1.6,50.0,5.99,0.09,1.8,2.1,0.98,3.64,-130.2,-4.88,3.61,26.67,-30.49,7.2,7.2,24.0,2351,102,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,596142,R,51,Pop Out,2,1,170405_011229,ce1d6230-b927-40c0-afd1-5b3fe205a05d,0,1,1,C,Called Strike,SL,14,2.0,3.55,1.63,90.5,83.2,81.76,-1.12,50.0,6.06,1.21,2.08,2.35,2.16,5.26,-131.65,-4.89,4.13,28.06,-28.38,9.6,7.2,24.0,2397,119,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,595885,L,52,Pop Out,6,1,170405_011334,562b6feb-ff37-4a2a-9f77-a69f7db5cf90,0,0,2,S,Swinging Strike,FF,2,2.0,3.41,1.56,97.8,89.2,49.88,-1.47,50.0,5.98,-0.11,3.06,-4.08,9.95,5.29,-142.3,-6.07,-8.35,33.46,-11.84,28.8,2.4,24.0,2364,200,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,595885,L,52,Pop Out,6,2,170405_011356,934dd336-31c2-4a10-aa83-32009f507039,0,1,2,B,Ball,FF,13,2.0,3.41,1.56,98.7,89.8,47.58,-1.4,50.0,5.79,-0.26,1.29,-4.32,11.15,4.8,-143.38,-11.08,-8.94,35.14,-9.11,33.6,2.4,24.0,2363,200,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,595885,L,52,Pop Out,6,3,170405_011415,ff44388b-bf96-4bac-bafe-51ea5ad2071c,1,2,2,C,Called Strike,FF,13,2.0,3.41,1.56,97.8,89.0,52.63,-1.54,50.0,5.88,-0.84,2.25,-4.84,10.61,3.73,-142.19,-8.29,-9.87,34.11,-10.55,36.0,3.6,24.0,2380,204,,,,,,,0,1,-4,top
2017-04-04,490116,7,471822,R,595885,L,52,Pop Out,6,4,170405_011435,42c4e740-ed73-4372-8bbc-82e3c3d475eb,1,2,2,B,Ball,FF,11,2.0,3.41,1.56,97.8,89.0,35.77,-1.47,50.0,5.97,-0.48,3.97,-5.27,7.56,4.69,-142.31,-2.64,-10.77,33.88,-16.73,28.8,3.6,24.0,2368,212,,,,,,,0,1,-4,top
