Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-29,566689,5,596101,R,541645,R,38,Lineout,1,1,190529_004329,46458852-21d6-4ccb-af7b-e61adfd00941,0,0,0,X,In play- out(s),FF,13,2.0,3.28,1.59,94.4,86.1,,-1.09,50.0,5.91,-0.79,1.99,-3.23,10.15,1.94,-137.31,-8.25,-6.15,31.61,-12.87,21.6,3.6,24.0,2264,197,,,,,,,0,1,-2,bottom
2019-08-29,566689,5,596101,R,502054,R,39,Groundout,1,1,190529_004403,5ca9f14e-a81d-479d-a85a-082889845063,0,0,1,X,In play- out(s),FF,11,2.0,3.28,1.59,94.4,85.2,,-1.06,50.0,6.05,-0.14,3.39,-4.43,11.13,4.03,-137.35,-5.07,-8.35,34.43,-11.22,30.0,3.6,24.0,2415,200,,,,,,,0,1,-2,bottom
2019-08-29,566689,5,596101,R,640457,L,40,Single,4,1,190529_004442,8d28e2cb-0220-40a9-b650-7b20c685d64d,0,0,2,S,Called Strike,FF,4,2.0,3.5,1.51,94.1,85.3,,-1.07,50.0,5.97,-0.52,2.68,-4.43,9.99,3.02,-136.85,-6.35,-8.32,32.87,-13.41,27.6,3.6,24.0,2392,203,,,,640457,,,0,0,-2,bottom
2019-08-29,566689,5,596101,R,640457,L,40,Single,4,2,190529_004459,0a7de8c0-49ef-45e1-bbbd-5ebfcc8b1d5c,0,1,2,B,Ball,FC,11,2.0,3.51,1.65,91.1,82.7,,-1.27,50.0,6.03,-1.18,2.89,-0.7,8.36,0.48,-132.53,-4.85,-1.24,30.68,-17.43,3.6,4.8,24.0,2646,184,,,,640457,,,0,0,-2,bottom
2019-08-29,566689,5,596101,R,640457,L,40,Single,4,3,190529_004514,db63dcdd-8abe-4da6-98a6-422d87156fe9,1,1,2,B,Ball,SI,13,2.0,3.56,1.73,94.2,85.6,,-0.99,50.0,5.83,-0.63,1.49,-11.17,6.42,4.88,-136.82,-7.92,-20.96,32.92,-20.12,42.0,6.0,24.0,2492,242,,,,640457,,,0,0,-2,bottom
2019-08-29,566689,5,596101,R,640457,L,40,Single,4,4,190529_004539,32173cad-1f39-4bd2-bb94-614d96a1f924,2,1,2,X,In play- no out,FF,7,2.0,3.47,1.68,94.7,85.8,,-1.13,50.0,5.87,-0.68,1.99,-4.73,10.45,2.85,-137.67,-8.22,-8.98,33.72,-12.35,30.0,3.6,24.0,2370,204,,,,640457,,,0,0,-2,bottom
2019-08-29,566689,5,596101,R,642715,R,41,Forceout,2,1,190529_004617,272c5d3c-5c7e-415a-a4f6-ffa27c7f1cc4,0,0,2,S,Foul,FF,8,2.0,3.47,1.68,94.7,85.6,,-0.96,50.0,5.92,-0.2,2.15,-4.87,10.44,3.76,-137.64,-7.88,-9.22,34.33,-12.42,30.0,3.6,24.0,2527,204,640457,,,,,,0,1,-2,bottom
2019-08-29,566689,5,596101,R,642715,R,41,Forceout,2,2,190529_004641,7c8b96a3-9baf-42c9-bcee-797f86d9e595,0,1,2,X,In play- out(s),FC,12,2.0,3.47,1.68,91.0,83.8,,-0.87,50.0,5.99,0.86,2.71,-0.25,5.26,4.6,-132.54,-4.26,-0.44,27.1,-22.78,1.2,4.8,24.0,2465,176,640457,,,,,,0,1,-2,bottom
2019-08-29,566689,6,596101,R,518595,R,45,Walk,6,1,190529_005731,7656a306-b416-4f3f-93f0-f3324b54394e,0,0,0,B,Ball,SL,11,2.0,3.06,1.47,82.9,76.1,,-1.17,50.0,6.22,-0.71,3.91,3.71,4.56,-0.05,-120.69,-0.16,5.49,23.03,-25.43,12.0,7.2,24.0,,141,,,,518595,,,0,0,-2,bottom
2019-08-29,566689,6,596101,R,518595,R,45,Walk,6,2,190529_005746,c475d36c-f6f9-43d8-9031-50a04f57afcc,1,0,0,B,Ball,SL,14,2.0,3.02,1.44,84.7,77.9,,-1.03,50.0,5.93,0.43,1.53,3.96,3.62,2.28,-123.25,-5.22,6.09,24.88,-26.62,13.2,7.2,24.0,,126,,,,518595,,,0,0,-2,bottom
