Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-09-19,531676,9,656954,L,571788,L,72,Single,5,1,180920_021458,317a3ca0-0a90-4336-bc8a-0491a117438d,0,0,0,B,Ball,FF,13,2.0,3.01,1.32,94.2,86.4,67.48,1.01,50.0,5.14,-0.78,1.62,5.03,6.14,-6.61,-136.9,-5.73,9.57,29.55,-20.5,20.4,4.8,24.0,3490,142,,,,571788,,,0,0,9,top
2018-09-19,531676,9,656954,L,571788,L,72,Single,5,2,180920_021518,ffcb7400-46db-4086-8ddc-da1b7f7a8803,1,0,0,B,Ball,FF,11,2.0,3.04,1.4,95.6,87.7,37.07,1.2,50.0,5.31,-0.14,3.44,5.88,5.65,-5.78,-139.15,-1.31,11.59,29.89,-21.05,26.4,4.8,24.0,1834,136,,,,571788,,,0,0,9,top
2018-09-19,531676,9,656954,L,571788,L,72,Single,5,3,180920_021534,46bd4f5a-327a-41f7-a23d-1d04650c987b,2,0,0,S,Called Strike,FF,12,2.0,3.11,1.37,94.9,86.9,36.52,1.12,50.0,5.32,0.1,3.39,5.0,5.14,-4.55,-138.09,-1.18,9.68,30.04,-22.23,21.6,4.8,24.0,1480,138,,,,571788,,,0,0,9,top
2018-09-19,531676,9,656954,L,571788,L,72,Single,5,4,180920_021553,78210119-2ecd-4f8f-a454-161cd80da23d,2,1,0,B,Ball,FF,13,2.0,3.06,1.37,95.0,87.3,21.87,0.89,50.0,5.11,-1.34,1.81,7.35,4.81,-8.69,-137.99,-4.83,14.25,29.12,-22.84,27.6,6.0,24.0,1638,124,,,,571788,,,0,0,9,top
2018-09-19,531676,9,656954,L,571788,L,72,Single,5,5,180920_021618,e95e46b0-b72d-483e-950e-5080049c7fc9,3,1,0,X,In play- no out,FF,5,2.0,3.37,1.53,95.3,87.7,18.21,1.17,50.0,5.13,-0.06,2.34,7.09,4.58,-5.92,-138.72,-3.42,13.9,29.35,-23.2,27.6,6.0,24.0,1646,123,,,,571788,,,0,0,9,top
2018-09-19,531676,9,656954,L,456488,R,73,Single,2,1,180920_021657,784077cc-305f-4a7b-bc26-e028953e8c38,0,0,0,B,Ball,FF,12,2.0,3.32,1.65,95.2,87.2,69.73,1.17,50.0,5.24,1.12,3.05,6.43,5.95,-2.42,-138.55,-2.26,12.54,30.19,-20.58,30.0,4.8,24.0,1766,133,571788,,,456488,571788,,0,0,9,top
2018-09-19,531676,9,656954,L,456488,R,73,Single,2,2,180920_021718,f565c260-5db4-4f3a-b6fa-b599ca18fd86,1,0,0,X,In play- no out,CH,14,2.0,3.37,1.53,90.3,82.5,48.04,1.04,50.0,5.14,0.54,1.17,10.06,1.36,-4.67,-131.3,-4.51,17.45,29.36,-29.81,27.6,8.4,24.0,1946,95,571788,,,456488,571788,,0,0,9,top
2018-09-19,531676,9,656954,L,506702,R,74,Pop Out,2,1,180920_021834,3458c857-a7d3-4bee-b2b2-171ead961441,0,0,0,B,Ball,FF,14,2.0,3.38,1.61,92.4,85.4,72.89,1.26,50.0,5.12,1.19,1.71,5.78,4.48,-2.2,-134.59,-4.61,10.69,27.0,-23.89,22.8,6.0,24.0,1538,126,456488,571788,,,,,0,1,9,top
2018-09-19,531676,9,656954,L,506702,R,74,Pop Out,2,2,180920_022003,bfed7a8a-fff4-4504-9d7c-1af8a7583a57,1,0,0,X,In play- out(s),CH,7,2.0,3.3,1.5,90.0,82.9,33.13,1.08,50.0,5.17,-0.38,1.91,8.58,0.14,-6.67,-130.79,-2.27,14.95,26.09,-31.92,22.8,8.4,24.0,1872,90,456488,571788,,,,,0,1,9,top
2018-09-19,531676,9,656954,L,598265,L,75,Walk,6,1,180920_022057,25fedab2-0490-483b-a5ef-25edcd396088,0,0,1,S,Called Strike,FF,3,2.0,3.34,1.61,94.6,87.6,63.76,1.18,50.0,5.22,0.66,3.04,6.41,4.96,-3.7,-137.83,-1.84,12.51,26.54,-22.49,27.6,4.8,24.0,1655,129,,,,598265,543877,571788,0,0,9,top
