Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529408,9,516969,R,541645,R,81,Flyout,2,1,180329_232458,c218e477-f712-4636-aa11-8eb912242c10,0,0,2,S,Called Strike,FF,14,2.0,3.54,1.77,97.0,88.1,72.37,-1.89,50.0,5.47,0.66,1.58,-5.61,8.95,9.09,-140.76,-8.19,-11.18,34.27,-14.36,28.8,3.6,24.0,2315,209,,,,,,,0,1,-9,top
2018-03-29,529408,9,516969,R,541645,R,81,Flyout,2,2,180329_232524,9b7f3534-2068-41b9-8ee6-94a7c5925e7e,0,1,2,X,In play- out(s),FF,11,2.0,3.28,1.39,95.8,87.0,47.68,-1.83,50.0,5.75,-1.18,2.64,-5.81,9.04,3.85,-139.38,-5.88,-11.35,33.51,-14.52,33.6,3.6,24.0,2185,212,,,,,,,0,1,-9,top
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,1,180402_194048,9d4e3bca-ff6f-4de3-99e1-9443e206d68e,0,0,0,S,Swinging Strike,FT,13,2.0,3.71,1.43,95.6,87.6,65.87,-1.96,50.0,5.73,-0.76,1.45,-9.08,10.14,6.51,-138.75,-9.45,-17.73,30.41,-12.37,49.2,4.8,24.0,2114,222,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,2,180402_194105,bcef42d2-ba98-44d1-ba17-357bf584a367,0,1,0,S,Swinging Strike,CH,13,2.0,3.71,1.43,89.1,80.6,17.99,-2.15,50.0,5.53,-1.56,2.1,-11.12,7.25,5.17,-129.38,-4.76,-18.62,30.03,-20.04,39.6,7.2,24.0,1769,236,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,3,180402_194123,40b3f5e3-ddf0-4b5f-8e27-cb917051981d,0,2,0,B,Ball,CH,13,2.0,3.77,1.59,88.2,79.8,12.96,-2.28,50.0,5.42,-1.57,0.92,-12.73,5.51,5.93,-128.01,-6.65,-20.78,30.48,-23.19,38.4,8.4,24.0,1802,248,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,4,180402_194141,54f09724-f803-4276-b8b7-066e0528ba58,1,1,0,S,Foul,FF,13,2.0,3.71,1.43,96.5,87.3,49.85,-2.02,50.0,5.78,-1.17,2.19,-8.12,10.4,5.23,-140.17,-7.77,-15.97,35.13,-11.72,46.8,3.6,24.0,2240,217,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,5,180402_194200,7c2915b5-63f1-4da3-837a-af7910ecad72,1,1,0,S,Foul,CH,5,2.0,3.71,1.43,88.7,80.9,15.21,-2.0,50.0,5.6,0.08,2.46,-10.74,3.29,8.82,-128.81,-2.72,-17.98,27.77,-26.67,31.2,7.2,24.0,1723,252,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,6,180402_194229,5f096ea7-edd1-42e0-8c32-9ca62ae7f04a,1,1,0,S,Foul,FT,11,2.0,3.71,1.43,97.4,88.4,63.35,-1.52,50.0,6.0,-0.69,3.72,-7.84,7.78,5.15,-141.68,-3.4,-15.82,34.48,-16.47,39.6,4.8,24.0,2046,223,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,592348,L,63,Strikeout,7,7,180402_194250,39f81995-a3be-4189-90b5-b2cee7827a0b,1,2,0,S,Swinging Strike,CH,13,2.0,3.71,1.43,88.8,80.7,43.38,-2.07,50.0,5.46,-1.26,2.25,-10.05,5.12,5.38,-129.19,-3.51,-16.82,29.29,-23.6,32.4,7.2,24.0,1781,242,,,,,,,0,1,-5,bottom
2018-04-02,529463,8,516969,R,553988,R,64,Strikeout,5,1,180402_194317,6fd4d5cf-caf6-4a48-b702-f62e0b5c72b5,0,0,1,S,Foul,FT,13,2.0,3.21,1.44,97.1,87.5,57.81,-1.59,50.0,5.8,-0.8,1.91,-10.33,9.45,5.88,-140.89,-8.32,-20.44,36.51,-13.46,50.4,4.8,24.0,2162,228,,,,,,,0,1,-5,bottom
