Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-08,566864,9,571704,R,592206,R,54,Strikeout,4,1,190328_220130,9f367709-f0f8-4e40-bc83-ff0c418b5585,0,0,0,S,Called Strike,FF,9,2.0,3.91,1.8,97.0,88.4,,-1.85,50.0,5.73,0.63,2.06,-7.82,10.15,9.7,-140.6,-8.03,-15.64,32.01,-11.87,44.4,3.6,24.0,2414,215,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,592206,R,54,Strikeout,4,2,190328_220152,4a0535da-ed24-4308-9f25-d93a52e1e41c,0,1,0,S,Swinging Strike,SL,14,2.0,3.72,1.73,87.4,79.4,,-2.14,50.0,5.74,0.21,1.04,-0.92,3.29,6.16,-126.71,-6.29,-1.47,28.86,-26.89,0.0,7.2,24.0,2375,180,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,592206,R,54,Strikeout,4,3,190328_220215,23cb3ee7-e23c-496d-b81b-59785a221b6b,0,2,0,B,Ball,FF,14,2.0,3.92,1.94,97.2,88.7,,-1.66,50.0,5.69,2.08,1.66,-6.71,10.51,12.81,-140.6,-9.2,-13.44,31.56,-11.11,38.4,3.6,24.0,2400,208,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,592206,R,54,Strikeout,4,4,190328_220240,f5d0ddd7-cec8-4e0b-95a7-25979e53b505,1,2,0,S,Swinging Strike (Blocked),SL,13,2.0,3.72,1.73,87.6,79.7,,-2.13,50.0,5.66,-0.26,0.58,-0.6,4.17,4.85,-127.07,-7.57,-0.96,28.84,-25.44,0.0,7.2,24.0,2349,178,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,408234,R,55,Strikeout,3,1,190328_220316,74400d3f-7d0d-4564-9ad6-7b0bdc428bb9,0,0,1,S,Swinging Strike,SL,14,2.0,3.57,1.75,86.9,78.1,,-2.08,50.0,5.8,0.8,1.71,-1.43,1.89,7.54,-125.87,-4.12,-2.25,31.09,-29.22,1.2,8.4,24.0,2279,189,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,408234,R,55,Strikeout,3,2,190328_220343,74af5c18-72b0-42f7-82ba-717f8f48504d,0,1,1,S,Foul,FF,14,2.0,3.57,1.75,98.1,89.5,,-1.85,50.0,5.75,0.92,2.49,-6.67,9.43,10.21,-142.37,-6.88,-13.67,33.09,-12.84,38.4,3.6,24.0,2461,212,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,408234,R,55,Strikeout,3,3,190328_220405,993d0753-33ff-4871-b55b-ad78dc5836b0,0,2,1,S,Swinging Strike,SL,14,2.0,3.41,1.56,88.2,80.5,,-2.07,50.0,5.69,0.36,1.27,-0.88,2.7,6.4,-127.94,-5.63,-1.45,28.26,-27.73,0.0,7.2,24.0,2406,180,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,600869,L,56,Strikeout,5,1,190328_220446,bd62af02-e7f7-4698-b328-e666ac5077b4,0,0,2,B,Ball,FF,11,2.0,3.43,1.73,98.3,90.0,,-2.08,50.0,5.87,-0.64,3.64,-6.36,10.03,6.39,-142.83,-4.3,-13.21,31.56,-11.36,44.4,3.6,24.0,2443,210,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,600869,L,56,Strikeout,5,2,190328_220508,8a568e39-78c0-4748-a0dd-c7db53fe7677,1,0,2,B,Ball,SL,13,2.0,3.72,1.78,86.3,78.2,,-2.3,50.0,5.73,-0.33,1.42,-0.79,2.21,5.09,-125.24,-4.74,-1.23,29.12,-28.72,0.0,7.2,24.0,2288,181,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,600869,L,56,Strikeout,5,3,190328_220531,a47bb811-8d07-4da0-a4a5-5a927608d6bb,2,0,2,S,Called Strike,FF,11,2.0,3.57,1.66,97.8,89.3,,-2.09,50.0,5.71,-0.85,2.62,-5.74,10.85,5.58,-142.03,-6.88,-11.73,32.23,-9.99,42.0,3.6,24.0,2449,206,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,600869,L,56,Strikeout,5,4,190328_220554,bed74104-ab60-42e4-b295-4d0613efc83d,2,1,2,S,Swinging Strike,FF,11,2.0,3.41,1.56,96.7,88.2,,-2.02,50.0,5.86,-0.83,3.68,-5.38,10.07,5.22,-140.5,-3.87,-10.77,31.62,-12.03,37.2,3.6,24.0,2437,206,,,,,,,0,1,0,top
2019-09-08,566864,9,571704,R,600869,L,56,Strikeout,5,5,190328_220618,f8fbba32-7fce-4011-906c-4ac817eb985f,2,2,2,S,Swinging Strike,SL,13,2.0,3.41,1.56,87.5,79.6,,-2.24,50.0,5.71,-0.15,1.42,-0.71,2.91,5.46,-127.03,-5.2,-1.14,28.78,-27.48,0.0,7.2,24.0,2354,178,,,,,,,0,1,0,top
