Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490104,1,608665,R,488862,R,0,Single,5,1,170404_020939,8302e941-69d3-4674-adbe-32070efafad7,0,0,0,B,Ball,SI,14,2.0,3.28,1.52,95.3,85.9,40.05,-0.62,50.0,5.3,1.47,2.08,-12.09,7.96,9.91,-138.2,-5.61,-23.07,34.67,-16.98,48.0,6.0,24.0,2485,235,,,,488862,,,0,0,0,top
2017-04-03,490104,1,608665,R,488862,R,0,Single,5,2,170404_021006,60ca2b4c-7d99-422d-a0c3-34058f46fe79,1,0,0,B,Ball,SI,14,2.0,3.22,1.59,96.1,87.0,31.62,-0.65,50.0,5.2,2.02,0.97,-10.08,9.96,10.87,-139.1,-9.22,-19.57,33.87,-12.84,48.0,4.8,24.0,2436,224,,,,488862,,,0,0,0,top
2017-04-03,490104,1,608665,R,488862,R,0,Single,5,3,170404_021021,a7cbd19e-9ef9-449e-a74e-4d102a63c80d,2,0,0,B,Ball,SI,14,2.0,3.23,1.62,96.7,88.0,44.62,-0.62,50.0,5.22,1.41,1.43,-8.87,9.8,8.8,-140.34,-8.2,-17.63,32.83,-12.69,46.8,4.8,24.0,2391,221,,,,488862,,,0,0,0,top
2017-04-03,490104,1,608665,R,488862,R,0,Single,5,4,170404_021034,d05e556e-3f8f-4c21-8f09-8bc174b92199,3,1,0,C,Called Strike,SI,9,2.0,3.16,1.55,96.2,87.5,54.62,-0.8,50.0,5.28,0.49,1.79,-8.91,8.3,6.71,-139.69,-6.73,-17.5,33.12,-15.87,42.0,4.8,24.0,2379,226,,,,488862,,,0,0,0,top
2017-04-03,490104,1,608665,R,488862,R,0,Single,5,5,170404_021047,c2d2aa89-1b63-43cd-b438-2eb3eeeb00ca,3,1,0,D,In play- no out,SI,5,2.0,3.84,1.59,96.8,88.5,27.95,-0.83,50.0,5.28,0.04,2.59,-8.8,6.22,5.59,-140.82,-3.95,-17.66,32.11,-19.69,38.4,4.8,24.0,2436,234,,,,488862,,,0,0,0,top
2017-04-03,490104,1,608665,R,594777,L,1,Single,1,1,170404_021128,bce047d9-9771-4b61-80cc-a0af7c3162b7,0,0,0,D,In play- no out,SI,9,2.0,3.84,1.59,95.6,86.9,57.53,-0.8,50.0,5.25,0.32,1.51,-9.59,9.93,6.46,-138.87,-7.86,-18.61,33.06,-12.91,49.2,4.8,24.0,2410,224,488862,,,594777,488862,,0,0,0,top
2017-04-03,490104,1,608665,R,545361,R,2,Grounded Into DP,2,1,170404_021212,f8921b8e-dca7-4485-9e06-f9c17b772b5e,0,1,0,C,Called Strike,SI,14,2.0,3.66,1.78,96.8,87.6,65.42,-0.68,50.0,5.34,1.24,2.31,-10.29,10.52,9.0,-140.55,-6.35,-20.41,34.42,-11.31,55.2,4.8,24.0,2439,222,594777,488862,,,,488862,0,2,0,top
2017-04-03,490104,1,608665,R,545361,R,2,Grounded Into DP,2,2,170404_021228,8ba73cb2-ad4b-4f5d-bc24-b57c145631ff,0,1,0,X,In play- out(s),SI,13,2.0,3.84,1.59,97.2,88.3,52.05,-0.92,50.0,5.23,-0.28,1.64,-9.63,9.62,5.26,-141.21,-7.66,-19.3,34.34,-12.9,50.4,4.8,24.0,2471,225,594777,488862,,,,488862,0,2,0,top
2017-04-03,490104,1,608665,R,405395,R,3,Groundout,4,1,170404_021317,fcf02b6b-85b0-4f91-803a-9599e209e81d,0,1,2,C,Called Strike,SI,14,2.0,3.21,1.61,97.4,88.3,71.08,-0.65,50.0,5.24,0.64,1.55,-10.56,8.54,7.39,-141.4,-7.57,-21.19,34.86,-15.04,49.2,4.8,24.0,2493,231,,,488862,,,,0,1,0,top
2017-04-03,490104,1,608665,R,405395,R,3,Groundout,4,2,170404_021335,5978ecc5-b7c2-4eda-a07c-bbee99de7a0b,0,1,2,B,Ball,SI,13,2.0,3.4,1.64,97.5,88.5,54.2,-1.05,50.0,5.14,-0.99,1.04,-9.57,8.06,3.63,-141.6,-8.55,-19.26,35.05,-15.95,45.6,4.8,24.0,2484,231,,,488862,,,,0,1,0,top
2017-04-03,490104,1,608665,R,405395,R,3,Groundout,4,3,170404_021358,d57a6311-5732-4b4a-9895-6b49abeeb0bc,1,1,2,B,Ball,SI,14,2.0,3.41,1.72,97.2,87.0,26.13,-0.65,50.0,5.28,1.31,2.35,-11.17,10.64,9.4,-141.03,-6.07,-22.03,38.19,-11.19,56.4,4.8,24.0,2510,224,,,488862,,,,0,1,0,top
