Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-18,490294,9,605309,R,434658,R,68,Groundout,2,1,170418_045727,6c6c356c-9724-4d3d-9a36-6ca093544f9b,0,0,0,S,Called Strike,FF,4,2.0,3.92,1.96,95.2,87.0,56.22,-1.43,50.0,6.52,-0.59,2.52,-5.25,10.97,4.14,-138.41,-8.95,-10.18,31.19,-10.91,36.0,3.6,24.0,2206,205,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,434658,R,68,Groundout,2,2,170418_045750,daa70995-f2e5-4e2e-adb0-05e2b4066d7d,0,1,0,X,In play- out(s),FF,9,2.0,3.68,1.5,96.1,88.1,41.01,-1.15,50.0,6.38,0.32,1.94,-5.04,11.93,5.87,-139.59,-10.68,-9.98,30.62,-8.57,38.4,2.4,24.0,2355,202,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,459964,L,69,Strikeout,3,1,170418_045839,d979651e-042f-4870-8cfe-60a833d1ebf1,0,0,1,S,Called Strike,FF,1,2.0,3.39,1.66,96.8,87.7,51.97,-1.35,50.0,6.49,-0.25,2.83,-4.27,11.41,4.59,-140.6,-8.39,-8.46,34.76,-9.55,32.4,2.4,24.0,2266,199,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,459964,L,69,Strikeout,3,2,170418_045856,4a4ee5dd-822f-4713-852a-48a14f56c077,0,1,1,S,Foul,FF,2,2.0,3.84,1.59,96.4,87.3,33.73,-1.16,50.0,6.44,0.06,3.04,-1.56,12.03,3.92,-140.08,-7.81,-3.08,34.45,-8.5,12.0,2.4,24.0,2444,185,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,459964,L,69,Strikeout,3,3,170418_045921,4254bdbc-4b2e-4912-9c3f-c3c3d054b327,0,2,1,S,Swinging Strike,CU,14,2.0,3.84,1.59,83.7,76.8,54.3,-1.4,50.0,6.36,0.79,1.46,-0.08,-2.31,5.26,-121.74,-4.28,-0.12,25.96,-35.61,1.2,9.6,24.0,2394,13,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,476704,L,70,Groundout,5,1,170418_045959,ed6aa070-b1aa-4314-803a-12ae099ce942,0,0,2,B,Ball,FF,11,2.0,3.55,1.75,96.2,87.3,37.48,-1.48,50.0,6.48,-2.03,2.59,-2.18,12.54,-0.74,-139.73,-9.33,-4.28,33.6,-7.56,24.0,2.4,24.0,2397,191,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,476704,L,70,Groundout,5,2,170418_050020,fc54803e-a942-4d36-a74e-f03d29464c8a,1,0,2,S,Called Strike,FF,6,2.0,3.61,1.76,95.8,87.1,35.31,-1.29,50.0,6.46,0.39,2.35,-2.07,12.39,5.32,-139.05,-9.8,-4.03,32.8,-8.05,15.6,2.4,24.0,2257,187,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,476704,L,70,Groundout,5,3,170418_050040,9aee1d45-31fc-4f41-adbc-62a7b84f662b,1,1,2,B,Ball,FF,13,2.0,3.52,1.76,96.5,88.2,53.68,-1.27,50.0,6.36,-0.48,1.54,-4.48,12.21,3.78,-140.05,-11.89,-8.89,31.89,-7.95,37.2,2.4,24.0,2428,200,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,476704,L,70,Groundout,5,4,170418_050104,866f5879-1fb5-433b-b203-65a768f06e80,2,1,2,S,Called Strike,FF,7,2.0,3.46,1.69,96.7,88.4,46.01,-1.21,50.0,6.46,-0.48,1.95,-0.0,12.65,2.02,-140.37,-11.24,-0.01,31.77,-6.94,2.4,2.4,24.0,2383,178,,,,,,,0,1,7,bottom
2017-04-18,490294,9,605309,R,476704,L,70,Groundout,5,5,170418_050128,5b3a30c1-8ba7-4df6-b6d0-2dbc620a92b2,2,2,2,X,In play- out(s),CU,8,2.0,3.84,1.59,83.3,77.2,25.68,-1.62,50.0,6.32,0.16,1.85,0.73,-2.74,4.05,-121.22,-3.13,1.09,22.93,-36.26,2.4,9.6,24.0,763,22,,,,,,,0,1,7,bottom
2017-04-19,490308,8,605309,R,476704,L,57,Strikeout,5,1,170419_043648,45ba4440-440e-4d3f-b1bb-4a486672d528,0,0,0,S,Called Strike,FF,8,2.0,3.56,1.73,94.2,85.8,51.43,-1.22,50.0,6.59,-0.08,1.78,-2.49,12.5,3.95,-136.61,-11.34,-4.67,31.52,-8.67,19.2,2.4,24.0,2212,190,,,,,,,0,1,-2,bottom
2017-04-19,490308,8,605309,R,476704,L,57,Strikeout,5,2,170419_043709,31bea358-3a8a-4f88-a1f7-eb9c3f04a161,0,1,0,B,Ball,FF,14,2.0,3.46,1.73,94.9,86.2,54.3,-1.12,50.0,6.46,1.04,2.18,-2.46,12.97,6.71,-137.71,-10.22,-4.68,32.76,-7.46,18.0,2.4,24.0,2126,187,,,,,,,0,1,-2,bottom
