Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-14,529602,9,641838,R,457708,R,73,Groundout,1,1,180414_032721,a6732e23-2a04-4215-a2e7-3767cde8a2c6,0,0,0,X,In play- out(s),SI,9,2.0,3.31,1.34,93.1,86.3,44.73,-2.53,50.0,5.55,0.28,1.83,-8.97,3.16,10.68,-135.24,-5.09,-16.84,25.8,-26.24,28.8,7.2,24.0,2064,250,,,,,,,0,1,-1,top
2018-04-14,529602,9,641838,R,405395,R,74,Groundout,3,1,180414_032756,99a2dc03-3ddb-4123-86d7-7723761f6077,0,0,1,S,Called Strike,SI,7,2.0,3.12,1.33,92.7,85.6,59.55,-2.62,50.0,5.46,-0.57,1.51,-8.68,3.74,8.49,-134.73,-5.81,-16.08,27.13,-25.24,28.8,6.0,24.0,2120,247,,,,,,,0,1,-1,top
2018-04-14,529602,9,641838,R,405395,R,74,Groundout,3,2,180414_032813,43eef9b8-4869-41b1-9a4f-fe8b4949b445,0,1,1,B,Ball,SI,14,2.0,3.12,1.5,92.8,85.7,66.91,-2.41,50.0,5.41,1.2,1.36,-9.24,3.85,12.82,-134.58,-6.12,-17.1,26.65,-25.06,28.8,6.0,24.0,2127,247,,,,,,,0,1,-1,top
2018-04-14,529602,9,641838,R,405395,R,74,Groundout,3,3,180414_032835,ee5fa328-7f12-4ef4-abea-d19366c99b24,1,1,1,X,In play- out(s),SI,4,2.0,3.12,1.33,92.3,85.6,35.14,-2.52,50.0,5.53,-0.32,1.97,-8.97,2.57,8.98,-134.29,-4.36,-16.59,25.57,-27.41,27.6,7.2,24.0,1947,254,,,,,,,0,1,-1,top
2018-04-14,529602,9,641838,R,594777,L,75,Groundout,2,1,180414_032918,7820d4c1-952c-40de-ab64-6dfeec9fd74d,0,0,2,B,Ball,SI,11,2.0,3.24,1.37,92.7,85.8,30.56,-2.69,50.0,5.63,-1.45,2.52,-8.97,2.7,6.46,-135.02,-3.27,-16.75,26.32,-27.13,28.8,7.2,24.0,2069,253,,,,,,,0,1,-1,top
2018-04-14,529602,9,641838,R,594777,L,75,Groundout,2,2,180414_032936,291bcfaf-c5b9-4584-85cb-0f36c42e4a7f,1,0,2,X,In play- out(s),SI,8,2.0,2.89,1.22,93.2,86.1,34.5,-2.56,50.0,5.34,-0.03,1.35,-10.32,3.51,10.38,-135.39,-5.94,-19.34,27.01,-25.6,33.6,7.2,24.0,2186,252,,,,,,,0,1,-1,top
2018-04-17,529647,9,641838,R,571912,R,76,Strikeout,5,1,180418_013947,f3aeb676-e00d-4b58-b323-38dc53e2409c,0,0,0,S,Called Strike,SI,3,2.0,3.27,1.19,92.3,84.5,48.62,-2.74,50.0,5.63,0.24,3.05,-8.73,5.0,10.9,-134.1,-2.49,-15.92,28.69,-23.05,30.0,6.0,24.0,2187,237,,,,,,,0,1,0,bottom
2018-04-17,529647,9,641838,R,571912,R,76,Strikeout,5,2,180418_014000,d035adbc-cd4b-453c-9204-5f4896f26d3e,0,1,0,B,Ball,SI,9,2.0,2.89,1.22,92.3,84.8,40.3,-2.84,50.0,5.53,0.27,1.47,-8.77,5.05,11.26,-133.97,-6.42,-15.99,28.06,-22.96,30.0,6.0,24.0,2150,239,,,,,,,0,1,0,bottom
2018-04-17,529647,9,641838,R,571912,R,76,Strikeout,5,3,180418_014016,fdf4568c-9a44-471c-ab7a-60a3d92d980c,1,1,0,B,Ball,CU,11,2.0,3.02,1.39,79.5,72.9,4.53,-3.02,50.0,6.11,-2.52,6.38,1.36,-4.04,0.74,-115.36,8.86,1.84,20.03,-37.66,3.6,10.8,24.0,1652,27,,,,,,,0,1,0,bottom
2018-04-17,529647,9,641838,R,571912,R,76,Strikeout,5,4,180418_014043,aedcb26b-c9ac-4b82-9db7-9f8463a2d5c6,2,1,0,S,Called Strike,SI,6,2.0,3.1,1.3,92.5,84.9,18.69,-2.59,50.0,5.58,0.28,2.36,-9.07,3.33,10.75,-134.3,-3.65,-16.62,28.02,-26.07,28.8,7.2,24.0,2218,248,,,,,,,0,1,0,bottom
