Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-30,529420,8,534812,R,475582,R,57,Flyout,2,1,180330_224103,5404c427-8215-4eb7-b47b-2661a9963d72,0,0,1,B,Ball,FF,13,2.0,3.48,1.55,89.3,80.9,30.82,-1.66,50.0,5.98,-0.03,1.03,-0.76,11.68,4.42,-129.54,-10.12,-1.28,30.13,-12.57,1.2,3.6,24.0,2095,180,,,,,,,0,1,-1,top
2018-03-30,529420,8,534812,R,475582,R,57,Flyout,2,2,180330_224128,b1adaeb8-954a-4040-b057-50828e343639,1,0,1,X,In play- out(s),FF,13,2.0,3.49,1.64,89.7,81.5,41.7,-1.67,50.0,6.09,-0.76,2.47,-1.65,11.12,2.88,-130.39,-6.72,-2.82,29.54,-13.19,8.4,3.6,24.0,2013,186,,,,,,,0,1,-1,top
2018-03-30,529420,8,534812,R,435062,R,58,Double,5,1,180330_224152,60396045-96db-44e1-9dc9-e4cd5a2d83a3,0,0,2,B,Ball,FF,14,2.0,3.02,1.25,90.1,82.0,53.03,-1.65,50.0,5.89,0.11,1.12,-0.99,11.76,4.86,-130.79,-9.97,-1.7,29.74,-11.97,2.4,3.6,24.0,1989,181,,,,,435062,,0,0,-1,top
2018-03-30,529420,8,534812,R,435062,R,58,Double,5,2,180330_224207,fea138c1-e8ae-4cd7-81c3-2edda2168674,1,1,2,C,Called Strike,FF,6,2.0,3.06,1.29,90.1,82.1,27.98,-1.55,50.0,6.07,0.33,2.03,-2.16,9.99,5.57,-130.78,-7.49,-3.72,28.75,-14.95,8.4,3.6,24.0,1995,188,,,,,435062,,0,0,-1,top
2018-03-30,529420,8,534812,R,435062,R,58,Double,5,3,180330_224222,2047e90d-9df7-4d85-935d-be159903a6d0,1,2,2,F,Foul,FF,2,2.0,3.09,1.31,89.4,81.5,33.6,-1.68,50.0,6.13,-0.2,2.87,-0.7,9.72,4.02,-129.9,-5.28,-1.19,28.22,-15.64,1.2,3.6,24.0,2026,181,,,,,435062,,0,0,-1,top
2018-03-30,529420,8,534812,R,435062,R,58,Double,5,4,180330_224242,099a5dc0-9605-4c9c-b05c-e0fb93a58608,1,2,2,B,Ball,CU,12,2.0,3.05,1.3,78.9,72.8,32.78,-1.72,50.0,6.32,1.17,2.25,1.63,-8.53,6.05,-114.66,0.43,2.16,22.16,-43.47,3.6,13.2,24.0,1916,16,,,,,435062,,0,0,-1,top
2018-03-30,529420,8,534812,R,435062,R,58,Double,5,5,180330_224302,bbf7ff9a-f64f-4577-aacd-0289744c76d4,2,2,2,D,In play- no out,FF,12,2.0,3.11,1.31,90.8,82.8,51.3,-1.66,50.0,6.1,0.72,3.07,-0.59,10.23,6.4,-131.89,-5.17,-1.03,28.64,-14.2,1.2,3.6,24.0,2099,178,,,,,435062,,0,0,-1,top
2018-03-30,529420,8,534812,R,607208,R,59,Groundout,6,1,180330_224346,c13e090a-5b60-4fa9-9ac3-3a2f6d2d80f9,0,1,2,F,Foul,FF,5,2.0,3.46,1.53,88.9,80.6,38.76,-1.76,50.0,6.15,-0.16,2.68,-1.02,12.64,4.39,-129.34,-6.63,-1.7,29.78,-10.99,3.6,3.6,24.0,2075,181,,435062,,,,,0,1,-1,top
2018-03-30,529420,8,534812,R,607208,R,59,Groundout,6,2,180330_224406,9cf8eee9-7246-42ed-9bcd-d0b760e0203b,0,1,2,B,Ball,FF,11,2.0,3.43,1.55,88.8,80.7,51.64,-1.7,50.0,6.19,-1.28,3.06,-2.88,10.11,2.02,-129.17,-4.97,-4.84,28.66,-15.21,15.6,3.6,24.0,2038,195,,435062,,,,,0,1,-1,top
2018-03-30,529420,8,534812,R,607208,R,59,Groundout,6,3,180330_224427,e593ef81-19ad-45f1-bd1a-68394037a14a,1,1,2,S,Swinging Strike,FF,2,2.0,3.49,1.6,90.0,82.1,30.69,-1.58,50.0,6.14,0.06,3.36,-1.67,9.67,4.78,-130.94,-4.18,-2.9,28.39,-15.43,7.2,3.6,24.0,2024,186,,435062,,,,,0,1,-1,top
