Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2019-08-28,564799,6,641871,R,669256,R,40,Single,2,1,190829_034455,66a51f41-0925-4c1a-8d37-3a956b880fa9,1,0,1,*B,Ball In Dirt,SL,14,2.0,3.31,1.54,82.3,77.0,,-2.38,50.0,5.98,0.89,-0.03,2.24,-1.44,7.04,-119.65,-7.03,3.28,21.39,-34.27,7.2,9.6,24.0,2520,55,641432,462101,,669256,641432,,1,0,0,top
2019-08-28,564799,6,641871,R,669256,R,40,Single,2,2,190829_034548,a07c8115-7bee-4dcc-b22d-109364bbb1fc,1,0,1,E,In play- run(s),FF,2,2.0,3.26,1.51,95.3,87.4,,-2.55,50.0,6.0,-0.19,2.95,-3.24,8.89,7.62,-138.53,-5.64,-6.31,29.95,-14.84,16.8,3.6,24.0,2312,195,641432,462101,,669256,641432,,1,0,0,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,1,190829_034637,aafaffa3-5007-4f9e-aa90-844dabbbb6a5,0,0,1,B,Ball,FF,12,2.0,3.36,1.56,94.7,86.7,,-2.23,50.0,6.19,0.08,3.88,-2.93,9.9,7.31,-137.67,-3.86,-5.64,29.86,-13.12,16.8,3.6,24.0,2331,192,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,2,190829_034658,4bb32d92-06b8-4ee8-a7b6-4f3f33a32da9,1,0,1,B,Ball,FF,12,2.0,3.4,1.54,93.8,85.7,,-2.39,50.0,6.11,0.28,3.69,-1.99,10.27,7.89,-136.38,-4.13,-3.74,30.19,-12.85,8.4,3.6,24.0,2343,186,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,3,190829_034725,d88fee57-10a5-409b-9bbb-966ed02af72e,2,0,1,B,Ball,FF,11,2.0,3.42,1.59,93.9,85.7,,-2.85,50.0,6.02,-1.53,3.27,-2.96,9.6,4.61,-136.69,-4.8,-5.58,30.74,-14.05,16.8,3.6,24.0,2398,194,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,4,190829_034745,d34c1cdc-b718-4b3f-9f64-ab120d838c31,3,1,1,C,Called Strike,FF,12,2.0,3.33,1.5,93.8,85.6,,-2.48,50.0,6.11,0.74,3.39,-2.47,11.17,9.51,-136.25,-5.22,-4.63,30.19,-11.19,12.0,2.4,24.0,2370,187,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,5,190829_034826,8794e8f1-299d-4697-8a1b-93bbac702936,3,1,1,S,Swinging Strike,FF,9,2.0,3.27,1.55,93.7,85.9,,-2.55,50.0,5.96,0.7,2.09,-2.08,10.97,9.46,-135.98,-8.25,-3.9,29.2,-11.59,8.4,2.4,24.0,2350,185,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,6,190829_034858,914fba9c-7f81-4b73-b597-60c10036fd6e,3,2,1,F,Foul,FF,6,2.0,3.27,1.55,95.4,87.2,,-2.38,50.0,5.98,0.64,2.68,-2.94,10.59,9.29,-138.59,-6.89,-5.71,31.25,-11.59,15.6,2.4,24.0,2319,190,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,7,190829_034922,37434e56-03cf-478c-a1d9-59d7bbf15265,3,2,1,F,Foul,SL,11,2.0,3.27,1.55,79.5,73.9,,-2.65,50.0,6.19,-1.08,3.49,2.04,-1.59,3.0,-115.83,1.28,2.81,19.37,-34.36,6.0,9.6,24.0,2306,62,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,8,190829_034958,0f305ea9-31be-4d31-b7e6-e6db7765172c,3,2,1,F,Foul,FF,2,2.0,3.27,1.55,93.8,86.2,,-2.35,50.0,6.15,0.22,3.06,-3.62,8.43,8.2,-136.3,-5.34,-6.85,28.31,-16.21,16.8,3.6,24.0,2366,198,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,523253,R,41,Flyout,9,9,190829_035049,ee2f19c2-a052-4835-af24-0a688c6d51ae,3,2,1,X,In play- out(s),FF,7,2.0,3.27,1.55,94.2,87.1,,-2.48,50.0,5.92,-0.32,2.03,-3.36,10.47,7.06,-136.97,-8.36,-6.46,26.93,-12.05,20.4,3.6,24.0,2415,195,669256,641432,,669256,,641432,0,1,-1,top
2019-08-28,564799,6,641871,R,643396,R,42,Flyout,5,1,190829_035140,4584cf43-622e-49c0-bcb2-a0c2cd852b23,0,0,2,B,Ball,FF,11,2.0,3.29,1.5,94.2,86.7,,-2.48,50.0,6.11,-1.1,3.94,-3.99,9.43,5.15,-137.13,-3.29,-7.66,28.06,-14.08,24.0,3.6,24.0,2524,200,669256,,641432,,,,0,1,-1,top
2019-08-28,564799,6,641871,R,643396,R,42,Flyout,5,2,190829_035257,3dcd0616-565c-4524-a37d-c6db4962d7c2,2,0,2,*B,Ball In Dirt,SL,13,2.0,3.29,1.53,83.2,78.0,,-2.47,50.0,6.04,-0.33,0.95,1.77,0.52,4.6,-121.12,-5.72,2.67,20.16,-31.39,6.0,8.4,24.0,2547,91,669256,,641432,,,,0,1,-1,top
2019-08-28,564799,6,641871,R,643396,R,42,Flyout,5,3,190829_035359,8153b9d9-4612-42d7-933b-5fb3e0a9d879,2,0,2,X,In play- out(s),FF,1,2.0,3.34,1.53,93.6,86.1,,-2.65,50.0,5.99,-0.28,2.89,-4.88,10.02,8.12,-136.07,-5.89,-9.22,27.83,-13.25,27.6,3.6,24.0,2440,202,669256,,641432,,,,0,1,-1,top
2019-08-30,564800,13,641871,R,571788,L,99,Walk,7,1,190831_063607,d4003ae6-97cf-422c-acff-d2a7c8ea7324,0,0,0,B,Ball,SL,13,2.0,3.26,1.56,78.8,73.8,,-2.91,50.0,5.86,-0.33,0.38,0.75,-0.86,5.63,-114.71,-5.14,1.02,19.29,-33.33,2.4,10.8,24.0,2114,47,,,,571788,,,0,0,0,top
2019-08-30,564800,13,641871,R,571788,L,99,Walk,7,2,190831_063630,6c69edd0-dfce-430b-add6-9286274219b2,1,1,0,F,Foul,FF,7,2.0,3.19,1.54,95.5,87.4,,-2.78,50.0,5.74,-0.48,1.99,-5.11,9.68,8.12,-138.71,-7.85,-9.96,30.91,-13.32,28.8,3.6,24.0,2385,205,,,,571788,,,0,0,0,top
