Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-23,490364,8,489446,R,607680,R,59,Home Run,5,1,170423_031835,1cb6c33e-1ce1-4bb4-8d8e-17639a6405f1,0,0,0,B,Ball,FF,12,2.0,3.21,1.43,93.0,85.2,45.62,-1.7,50.0,5.54,0.3,4.35,-7.48,7.4,7.94,-134.95,0.26,-13.91,27.15,-18.42,33.6,4.8,24.0,2191,224,,572365,,,,,2,0,4,top
2017-04-23,490364,8,489446,R,607680,R,59,Home Run,5,2,170423_031917,211b5f6e-8663-4bb7-af6e-858f298bd878,1,0,0,S,Swinging Strike,SL,14,2.0,3.26,1.5,88.6,81.5,61.23,-1.7,50.0,5.31,1.18,1.34,-2.01,5.24,7.97,-128.5,-5.52,-3.37,25.44,-23.36,4.8,6.0,24.0,2262,195,,572365,,,,,2,0,4,top
2017-04-23,490364,8,489446,R,607680,R,59,Home Run,5,3,170423_031941,15801c3c-1d77-49d2-9a51-11affbde8845,1,1,0,B,Ball,SL,13,2.0,3.23,1.47,87.0,81.3,44.74,-1.83,50.0,5.3,-0.44,1.46,-3.17,-1.92,4.55,-126.54,-2.65,-5.23,21.39,-35.35,7.2,8.4,24.0,2373,315,,572365,,,,,2,0,4,top
2017-04-23,490364,8,489446,R,607680,R,59,Home Run,5,4,170423_032002,6bdd668c-d900-45e4-aab4-1cd4f79a3d7d,2,1,0,S,Foul,FF,3,2.0,3.26,1.53,93.7,85.7,47.41,-1.71,50.0,5.33,0.58,2.92,-6.87,7.83,8.57,-135.98,-3.24,-12.9,28.75,-17.47,31.2,4.8,24.0,2416,220,,572365,,,,,2,0,4,top
2017-04-23,490364,8,489446,R,607680,R,59,Home Run,5,5,170423_032034,441d914e-6baf-44e3-9c0b-426f21c1f3bc,2,2,0,X,In play- run(s),SL,2,2.0,3.22,1.4,85.8,78.6,32.42,-1.73,50.0,5.46,-0.15,3.11,-0.95,0.42,4.21,-124.65,0.6,-1.5,24.68,-31.51,1.2,8.4,24.0,2314,297,,572365,,,,,2,0,4,top
2017-04-23,490364,8,489446,R,458085,L,60,Flyout,2,1,170423_032131,0864fd48-ddd3-4425-a118-809cfd36802e,0,0,0,S,Called Strike,FF,13,2.0,3.25,1.42,94.8,86.7,80.04,-1.87,50.0,5.27,-0.87,1.53,-8.29,6.11,5.66,-137.58,-6.4,-15.89,30.51,-20.47,33.6,6.0,24.0,2330,238,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,458085,L,60,Flyout,2,2,170423_032148,a6ae09e7-73c5-4a8e-b760-a32c0f679a4d,0,1,0,X,In play- out(s),FF,5,2.0,3.33,1.5,94.4,85.4,27.34,-1.81,50.0,5.38,-0.1,2.65,-7.75,9.7,7.32,-136.78,-4.75,-14.58,31.96,-13.91,40.8,4.8,24.0,2343,219,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,430832,R,61,Flyout,2,1,170423_032232,2704c3e8-2d86-4a1b-9843-ff32dd159ac3,0,0,1,S,Called Strike,SL,12,2.0,3.4,1.54,86.9,80.1,75.47,-1.73,50.0,5.42,0.74,2.77,-1.44,2.32,6.65,-126.11,-0.95,-2.34,23.55,-28.41,2.4,7.2,24.0,2342,204,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,430832,R,61,Flyout,2,2,170423_032249,cf9c04d5-a7a0-4c1e-a5c4-388777dafa0e,0,1,1,X,In play- out(s),FF,14,2.0,3.46,1.71,94.4,86.0,56.86,-1.81,50.0,5.21,0.72,1.81,-6.43,8.78,9.11,-136.76,-6.29,-12.18,30.38,-15.56,31.2,4.8,24.0,2349,215,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,434778,L,62,Strikeout,4,1,170423_032352,0531e36a-7eac-44cd-ac01-610746c57e16,0,0,2,S,Called Strike,SL,6,2.0,3.45,1.64,86.9,80.0,64.76,-1.76,50.0,5.43,0.58,2.56,0.1,4.45,5.8,-126.1,-2.19,0.16,23.68,-24.95,2.4,6.0,24.0,2326,167,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,434778,L,62,Strikeout,4,2,170423_032417,393fc236-ac6b-4a08-9d73-78e67bb889c8,0,1,2,B,Ball,FS,13,2.0,3.24,1.43,88.2,81.5,13.85,-1.67,50.0,5.08,-0.14,-0.1,-9.01,2.11,6.83,-127.87,-7.46,-15.02,24.69,-28.65,25.2,8.4,24.0,1513,265,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,434778,L,62,Strikeout,4,3,170423_032443,cbd41e55-9b4c-4103-a1c8-4e13babac0af,1,1,2,S,Called Strike,FF,13,2.0,3.35,1.49,94.3,86.5,54.48,-2.0,50.0,5.22,-0.8,1.92,-7.04,8.72,5.72,-136.85,-6.07,-13.45,28.4,-15.52,36.0,4.8,24.0,2330,220,,,,,,,0,1,2,top
2017-04-23,490364,8,489446,R,434778,L,62,Strikeout,4,4,170423_032510,6db8a896-b41a-4869-81af-379950a9ec57,1,2,2,S,Swinging Strike,FS,13,2.0,3.33,1.59,87.3,80.7,20.52,-1.96,50.0,5.3,-1.71,2.01,-6.94,2.47,2.9,-126.83,-2.7,-11.43,23.41,-28.11,20.4,7.2,24.0,1289,257,,,,,,,0,1,2,top
2017-04-23,490364,9,489446,R,475253,L,66,Home Run,3,1,170423_033526,42fe631b-5d12-41b1-8bec-50507b828f8c,0,0,0,S,Called Strike,FF,1,2.0,3.58,1.63,93.4,85.7,58.74,-1.89,50.0,5.38,-0.41,3.12,-7.74,8.91,6.66,-135.5,-3.18,-14.52,27.26,-15.46,39.6,4.8,24.0,2393,221,,,,,,,1,0,2,top
2017-04-23,490364,9,489446,R,475253,L,66,Home Run,3,2,170423_033544,a2057c0f-9e51-46cf-8a94-2eedd399b044,0,1,0,B,Ball,SL,13,2.0,3.61,1.73,86.5,80.0,23.98,-1.91,50.0,5.35,-1.51,2.05,-4.02,0.11,2.3,-125.67,-1.8,-6.48,23.23,-31.99,10.8,8.4,24.0,1180,281,,,,,,,1,0,2,top
2017-04-23,490364,9,489446,R,475253,L,66,Home Run,3,3,170423_033604,fb2401e6-8914-4f8a-8c9e-e823086b4009,1,1,0,X,In play- run(s),FF,11,2.0,3.52,1.61,92.9,85.1,53.04,-1.96,50.0,5.34,-0.71,3.2,-8.53,7.55,6.29,-134.85,-2.31,-15.8,27.63,-18.18,38.4,4.8,24.0,2354,229,,,,,,,1,0,2,top
2017-04-28,490426,6,489446,R,572008,R,45,Walk,8,1,170428_031532,50c5b5c3-b190-4edc-a1a6-59151fa48064,0,0,2,S,Called Strike,FF,2,2.0,3.44,1.8,93.4,85.1,47.12,-1.97,50.0,5.3,0.17,2.56,-7.43,7.62,8.3,-135.41,-3.93,-13.8,29.53,-18.03,32.4,4.8,24.0,2333,225,,,630111,572008,,,0,0,-4,bottom
