Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-08-10,531156,7,606983,R,595879,R,58,Forceout,2,1,180810_205446,5fb2e555-1121-4321-9a1c-c8a5e1bdaa45,0,0,1,B,Ball,SL,12,2.0,3.32,1.49,91.8,85.1,53.05,-2.62,50.0,5.47,0.4,3.94,0.74,3.78,7.75,-133.52,0.7,1.35,24.82,-25.25,6.0,6.0,24.0,2456,159,519203,608365,664023,595879,519203,608365,0,1,-1,bottom
2018-08-10,531156,7,606983,R,595879,R,58,Forceout,2,2,180810_205510,a8f56b2e-76ec-4ea9-ae9f-4a6dbddfc890,1,0,1,X,In play- out(s),SI,6,2.0,3.46,1.66,96.7,88.6,36.24,-2.19,50.0,5.47,0.52,2.58,-8.89,5.14,10.73,-140.3,-4.08,-17.8,30.36,-21.88,34.8,6.0,24.0,2235,238,519203,608365,664023,595879,519203,608365,0,1,-1,bottom
2018-08-10,531156,7,606983,R,450314,L,59,Groundout,2,1,180810_205600,a0362930-87f2-47d8-a1c4-eb1153a4bc17,0,1,2,C,Called Strike,SI,7,2.0,3.64,1.77,96.5,89.3,54.07,-2.48,50.0,5.36,-0.58,2.3,-7.83,3.85,8.11,-140.29,-4.16,-15.81,27.71,-24.4,30.0,6.0,24.0,2192,243,595879,519203,608365,,,,0,1,-1,bottom
2018-08-10,531156,7,606983,R,450314,L,59,Groundout,2,2,180810_205625,4f0a0984-7122-431b-b7c9-57c4687abd7b,0,1,2,X,In play- out(s),CH,7,2.0,3.67,1.78,86.8,80.7,39.38,-2.55,50.0,5.3,-0.45,1.89,-6.76,0.29,7.48,-126.21,-2.23,-11.07,21.99,-31.7,16.8,8.4,24.0,1640,268,595879,519203,608365,,,,0,1,-1,bottom
2018-08-12,531186,8,606983,R,600303,L,51,Single,3,1,180813_021726,70ec2cf0-5571-4c81-b6bc-60416d7e23d6,0,0,0,B,Ball,CU,12,2.0,3.14,1.48,81.1,75.4,74.93,-2.46,50.0,5.85,0.71,3.71,2.84,-4.17,6.56,-117.86,3.14,4.05,19.56,-38.12,7.2,10.8,24.0,2747,44,,,,600303,,,0,0,1,bottom
2018-08-12,531186,8,606983,R,600303,L,51,Single,3,2,180813_021743,a335f049-0b25-49da-9655-7c84f50c416c,1,1,0,C,Called Strike,SI,3,2.0,3.24,1.48,95.6,87.9,28.88,-2.32,50.0,5.38,0.45,2.75,-9.29,6.21,10.94,-138.78,-3.6,-18.28,28.59,-19.97,38.4,4.8,24.0,2236,233,,,,600303,,,0,0,1,bottom
2018-08-12,531186,8,606983,R,600303,L,51,Single,3,3,180813_021809,7c30e05b-0c72-4c1a-bb97-e0c78838ea83,1,1,0,D,In play- no out,SI,7,2.0,3.32,1.51,96.1,88.4,44.22,-2.43,50.0,5.33,-0.44,1.89,-8.78,6.82,8.65,-139.57,-6.14,-17.45,29.12,-18.62,38.4,4.8,24.0,2275,231,,,,600303,,,0,0,1,bottom
2018-08-12,531186,8,606983,R,608365,R,52,Pop Out,4,1,180813_021849,fcb9157e-d170-44e4-a3c4-df941cda0c72,0,0,0,B,Ball,SL,11,2.0,3.0,1.34,91.9,85.5,67.67,-2.76,50.0,5.49,-0.83,3.51,1.0,2.22,4.8,-133.92,0.01,1.85,24.3,-28.08,6.0,6.0,24.0,2265,147,600303,,,600303,,,0,1,1,bottom
2018-08-12,531186,8,606983,R,608365,R,52,Pop Out,4,2,180813_021921,72bfb428-8f80-467b-a197-f9b288064f4e,1,1,0,C,Called Strike,SL,8,2.0,2.95,1.43,91.3,84.9,20.34,-2.68,50.0,5.29,-0.12,1.76,-0.62,3.65,6.98,-132.85,-4.47,-1.12,24.61,-25.56,0.0,6.0,24.0,2344,178,600303,,,600303,,,0,1,1,bottom
2018-08-12,531186,8,606983,R,608365,R,52,Pop Out,4,3,180813_022008,531251ad-f5ce-4e1b-b8e9-e219207b2d64,1,1,0,X,In play- out(s),SI,1,2.0,3.7,1.67,95.7,87.9,46.09,-2.34,50.0,5.45,-0.64,3.05,-9.75,5.14,8.16,-139.04,-2.6,-19.23,29.1,-22.04,38.4,6.0,24.0,2209,240,600303,,,600303,,,0,1,1,bottom
