Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-03,490099,7,493157,R,451594,L,51,Walk,6,1,170403_025444,cd889b80-9fec-4bc1-b5cf-413fd191fe2b,0,0,0,B,Ball,FF,12,2.0,3.88,1.65,86.8,79.6,65.39,-0.9,50.0,5.8,1.03,2.82,-5.86,7.74,6.71,-125.78,-3.46,-9.45,24.06,-19.7,21.6,6.0,24.0,2410,217,,,,451594,,,0,0,-1,bottom
2017-04-03,490099,7,493157,R,451594,L,51,Walk,6,2,170403_025458,a95c4cb0-03fb-498c-842f-f58d4fdd91aa,1,0,0,S,Called Strike,SL,7,2.0,3.88,1.65,81.9,75.3,46.88,-1.07,50.0,5.48,-0.68,2.08,-3.22,3.54,1.91,-118.94,-2.23,-4.63,22.02,-27.09,8.4,8.4,24.0,2178,230,,,,451594,,,0,0,-1,bottom
2017-04-03,490099,7,493157,R,451594,L,51,Walk,6,3,170403_025512,f178acf3-6b32-48d9-87a8-b6174cd41494,1,1,0,S,Foul Tip,FS,7,2.0,3.88,1.65,78.9,72.3,46.61,-0.95,50.0,5.82,-0.63,1.73,-8.65,5.23,3.26,-114.52,-3.66,-11.47,21.45,-25.24,22.8,8.4,24.0,1778,245,,,,451594,,,0,0,-1,bottom
2017-04-03,490099,7,493157,R,451594,L,51,Walk,6,4,170403_025527,d0dbca47-854e-47d8-9817-2ff17f1cc730,1,2,0,B,Ball,FF,11,2.0,3.88,1.65,86.9,78.2,34.91,-1.02,50.0,5.98,-0.49,4.52,-9.11,9.99,4.21,-125.86,-0.31,-14.45,28.25,-16.34,39.6,6.0,24.0,2429,223,,,,451594,,,0,0,-1,bottom
2017-04-03,490099,7,493157,R,451594,L,51,Walk,6,5,170403_025543,38d4dca5-5772-4d08-8099-3eca3f891573,2,2,0,B,Ball,FS,13,2.0,3.88,1.65,78.9,72.1,31.09,-0.94,50.0,5.81,-1.3,1.35,-8.93,4.44,1.81,-114.29,-4.2,-11.76,21.97,-26.33,22.8,9.6,24.0,1498,251,,,,451594,,,0,0,-1,bottom
2017-04-03,490099,7,493157,R,451594,L,51,Walk,6,6,170403_025558,b426a1b3-0b75-4a37-b18e-f1fa0114939f,3,2,0,B,Ball,FS,14,2.0,3.88,1.65,78.6,72.3,19.64,-0.79,50.0,5.65,0.41,1.04,-8.93,4.46,5.3,-113.99,-4.54,-11.76,20.67,-26.29,21.6,8.4,24.0,1725,250,,,,451594,,,0,0,-1,bottom
2017-04-03,490099,7,493157,R,649557,R,52,Pop Out,9,1,170403_025730,b05660be-5a85-4153-ada8-ed898b3f1fd5,0,0,0,B,Ball,FF,14,2.0,3.88,1.65,86.7,78.5,67.36,-0.86,50.0,5.93,1.13,2.55,-5.41,11.51,6.63,-125.42,-5.52,-8.57,26.83,-13.96,25.2,4.8,24.0,2372,204,451594,,,,,,0,1,-1,bottom
2017-04-03,490099,7,493157,R,649557,R,52,Pop Out,9,2,170403_025754,b9732351-4aa4-43eb-8652-1b4deb7783e5,1,0,0,S,Foul,FS,11,2.0,3.88,1.65,76.8,70.8,41.22,-0.99,50.0,6.03,-0.82,2.85,-7.06,0.62,2.4,-111.58,0.1,-8.95,19.18,-31.39,15.6,10.8,24.0,1553,271,451594,,,,,,0,1,-1,bottom
2017-04-03,490099,7,493157,R,649557,R,52,Pop Out,9,3,170403_025824,9d84c5ef-a8b8-4be9-a6d0-3fc952c70bac,1,1,0,S,Foul,FF,6,2.0,3.88,1.65,86.7,78.6,44.63,-0.88,50.0,5.83,0.63,2.44,-7.12,10.55,6.02,-125.44,-5.24,-11.3,26.42,-15.44,31.2,4.8,24.0,2398,214,451594,,,,,,0,1,-1,bottom
2017-04-03,490099,7,493157,R,649557,R,52,Pop Out,9,4,170403_025852,ef327b6b-fc53-4cf0-8869-0d20aeb59969,1,2,0,B,Ball,FF,11,2.0,3.88,1.65,85.8,77.8,54.0,-0.93,50.0,5.9,-0.43,4.06,-8.26,9.39,3.87,-124.39,-0.94,-12.89,25.95,-17.53,34.8,6.0,24.0,2376,222,451594,,,,,,0,1,-1,bottom
