Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-06,567609,1,663465,L,456715,R,3,Single,4,1,190810_003605,0217e35f-c56b-4b7b-bca4-2ada61597ac2,0,0,0,B,Ball,FF,13,,3.68,1.87,93.2,86.3,,1.89,50.0,5.38,-0.74,1.71,7.18,7.65,-9.6,-135.38,-6.56,13.51,25.81,-17.79,31.2,4.8,24.0,2115,138,,,,456715,,,0,0,0,bottom
2019-09-06,567609,1,663465,L,456715,R,3,Single,4,2,190810_003621,1faa17aa-a7f5-43b6-af0c-1a76620a8a62,1,0,0,S,Foul,FF,14,,3.68,1.81,91.7,84.7,,1.97,50.0,5.47,1.26,2.59,6.11,8.17,-3.99,-133.46,-4.36,11.15,25.57,-17.26,30.0,4.8,24.0,2100,144,,,,456715,,,0,0,0,bottom
2019-09-06,567609,1,663465,L,456715,R,3,Single,4,3,190810_003635,fb9d3f4a-e200-4b70-8b28-4d53dd4d8616,1,1,0,B,Ball,CH,12,,3.59,1.82,78.5,72.7,,1.87,50.0,6.0,1.25,3.46,5.13,4.89,-2.93,-114.21,-0.1,6.85,18.59,-25.63,14.4,8.4,24.0,1491,136,,,,456715,,,0,0,0,bottom
2019-09-06,567609,1,663465,L,456715,R,3,Single,4,4,190810_003659,22774ea0-43bc-4a93-b896-edcba6979e50,2,1,0,X,In play- no out,FF,6,,3.66,1.82,91.7,84.7,,1.88,50.0,5.47,0.65,2.78,5.71,8.22,-5.24,-133.47,-3.88,10.42,25.7,-17.17,27.6,4.8,24.0,2012,146,,,,456715,,,0,0,0,bottom
2019-09-06,567609,1,663465,L,669374,R,4,Strikeout,9,1,190810_003734,42c3118b-48e5-486b-821d-3e5ca5c9f6ba,0,0,0,B,Ball,FF,11,,3.69,1.77,93.4,85.3,,1.86,50.0,5.44,-0.95,2.87,6.32,9.62,-9.73,-135.74,-4.23,11.79,29.87,-14.23,32.4,3.6,24.0,2076,150,456715,,,,,,0,1,0,bottom
2019-09-06,567609,1,663465,L,669374,R,4,Strikeout,9,2,190810_003751,3ed1aca2-a109-4fd9-a773-9a4df227145f,1,0,0,B,Ball,FF,11,,3.48,1.71,93.0,85.1,,1.82,50.0,5.49,-0.73,3.06,8.4,8.53,-9.71,-134.99,-3.42,15.57,28.24,-16.36,38.4,4.8,24.0,2024,138,456715,,,,,,0,1,0,bottom
2019-09-06,567609,1,663465,L,669374,R,4,Strikeout,9,3,190810_003810,dfc5617a-74e4-4a27-ba01-ee063a1bea9f,2,0,0,S,Called Strike,FF,4,,3.5,1.67,91.6,84.1,,1.84,50.0,5.42,-0.45,2.38,6.53,9.22,-8.27,-133.05,-5.05,11.78,26.96,-15.54,31.2,4.8,24.0,2001,147,456715,,,,,,0,1,0,bottom
2019-09-06,567609,1,663465,L,669374,R,4,Strikeout,9,4,190810_003829,0b79c068-9483-44af-80b5-4ced8d0b4bd3,2,1,0,S,Swinging Strike,FF,6,,3.43,1.63,92.7,85.2,,1.88,50.0,5.46,0.7,2.72,7.06,7.93,-5.6,-134.89,-4.03,13.08,27.73,-17.47,33.6,4.8,24.0,2036,139,456715,,,,,,0,1,0,bottom
2019-09-06,567609,1,663465,L,669374,R,4,Strikeout,9,5,190810_003908,71536867-9396-4b06-a49d-402e7fc757a2,2,1,0,S,Foul,FF,7,,3.44,1.67,93.9,86.2,,1.85,50.0,5.38,-0.37,2.07,7.67,9.31,-8.67,-136.32,-6.22,14.51,28.28,-14.55,38.4,4.8,24.0,2029,142,456715,,,,,,0,1,0,bottom
2019-09-06,567609,1,663465,L,669374,R,4,Strikeout,9,6,190810_003938,196790b8-1e27-4ab0-abd7-f6b55d94525c,2,2,0,B,Ball,FF,13,,3.36,1.62,89.3,82.8,,1.92,50.0,5.4,-1.03,0.76,-0.55,3.24,-7.41,-129.77,-6.73,-0.94,25.08,-26.61,4.8,6.0,24.0,2130,207,456715,,,,,,0,1,0,bottom
