Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-06-23,491195,5,605195,R,542454,L,56,Single,3,1,170623_031527,e24bd74a-75b0-470e-ba6f-21c713c8784f,0,0,2,S,Called Strike,FF,1,2.0,3.34,1.44,95.6,88.3,63.03,-1.14,50.0,5.26,-0.44,3.09,-2.35,4.87,2.78,-139.14,-1.92,-4.67,27.49,-22.5,10.8,4.8,24.0,2390,206,455976,,408252,542454,455976,,1,0,-5,bottom
2017-06-23,491195,5,605195,R,542454,L,56,Single,3,2,170623_031559,6415a7e6-5dad-4c8b-96ff-9452bd680ef0,0,1,2,S,Foul,FF,5,2.0,3.26,1.39,95.6,88.6,27.17,-1.14,50.0,5.25,0.16,2.19,-2.9,8.3,4.61,-139.0,-5.62,-5.77,26.33,-15.67,16.8,3.6,24.0,2241,198,455976,,408252,542454,455976,,1,0,-5,bottom
2017-06-23,491195,5,605195,R,542454,L,56,Single,3,3,170623_031634,8c841c12-e885-45d1-abb1-d3133391d794,0,2,2,X,In play- run(s),FF,3,2.0,3.26,1.45,94.9,88.1,38.42,-0.95,50.0,5.32,0.38,2.69,-2.96,5.79,4.71,-138.09,-3.44,-5.8,25.81,-20.81,13.2,4.8,24.0,2418,206,455976,,408252,542454,455976,,1,0,-5,bottom
2017-06-23,491195,5,605195,R,571431,L,57,Flyout,6,1,170623_031709,2ae6cde7-4963-4318-97bb-1ab4830bf4e3,0,0,2,S,Called Strike,FF,14,2.0,3.37,1.63,96.9,88.9,72.19,-0.89,50.0,5.24,0.76,1.94,-2.75,9.31,5.58,-140.67,-6.78,-5.53,30.32,-13.43,16.8,3.6,24.0,2287,195,542454,455976,,,,,0,1,-6,bottom
2017-06-23,491195,5,605195,R,571431,L,57,Flyout,6,2,170623_031729,aa54b538-ed53-43dc-bce6-143dfb9b8d30,0,1,2,B,Ball,CH,13,2.0,3.38,1.65,89.2,82.6,44.89,-1.2,50.0,5.31,-1.15,0.81,-8.73,3.69,3.04,-129.67,-6.55,-14.98,25.01,-25.84,27.6,7.2,24.0,1711,254,542454,455976,,,,,0,1,-6,bottom
2017-06-23,491195,5,605195,R,571431,L,57,Flyout,6,3,170623_031751,c0207b5c-7505-4e0a-a94c-0bf13208d40c,1,1,2,S,Foul,FC,12,2.0,3.34,1.65,95.4,87.3,64.32,-0.95,50.0,5.42,0.93,3.2,0.31,7.55,5.04,-138.64,-2.89,0.6,30.15,-17.44,4.8,3.6,24.0,2391,172,542454,455976,,,,,0,1,-6,bottom
2017-06-23,491195,5,605195,R,571431,L,57,Flyout,6,4,170623_031822,aace6c6c-fc91-4239-8174-1b9545c8637e,1,1,2,S,Foul,SL,12,2.0,3.39,1.69,84.0,77.2,42.75,-0.92,50.0,5.7,0.73,2.68,4.6,5.2,2.56,-122.02,-2.25,6.97,22.98,-24.3,16.8,7.2,24.0,,130,542454,455976,,,,,0,1,-6,bottom
2017-06-23,491195,5,605195,R,571431,L,57,Flyout,6,5,170623_031845,55f1cf2b-b960-483d-a4d6-f23f86b8ae0d,1,1,2,S,Foul,SL,14,2.0,3.39,1.65,82.3,76.6,41.33,-0.97,50.0,5.72,0.82,2.52,8.22,0.77,1.71,-119.8,-1.08,12.09,20.49,-31.04,21.6,9.6,24.0,2846,89,542454,455976,,,,,0,1,-6,bottom
2017-06-23,491195,5,605195,R,571431,L,57,Flyout,6,6,170623_031922,daec20da-b82f-42a2-9b68-5585f806c0b4,1,2,2,X,In play- out(s),FF,4,2.0,3.45,1.64,95.7,87.7,31.34,-1.02,50.0,5.39,-0.26,2.27,-1.42,8.34,2.6,-139.01,-5.72,-2.78,29.86,-15.78,7.2,3.6,24.0,2360,189,542454,455976,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,435559,R,63,Flyout,4,1,170623_033414,2a8ac25d-0384-4792-9198-ddf443e3415d,0,0,0,B,Ball,SL,14,2.0,3.23,1.42,83.9,77.2,63.03,-0.93,50.0,5.72,1.33,1.35,3.86,1.37,4.22,-121.8,-4.24,5.8,24.03,-30.12,12.0,8.4,24.0,,90,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,435559,R,63,Flyout,4,2,170623_033436,bbc983a6-b80c-4b1d-ba9d-710a5f2f9fe2,1,0,0,S,Called Strike,FC,14,2.0,3.21,1.39,95.0,87.7,68.06,-1.0,50.0,5.26,1.0,1.5,0.64,6.12,5.25,-138.0,-6.57,1.25,28.24,-20.28,6.0,4.8,24.0,2254,166,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,435559,R,63,Flyout,4,3,170623_033458,8af08090-bec6-4485-8141-957afb857425,1,1,0,S,Called Strike,FF,2,2.0,3.25,1.47,95.2,87.6,28.56,-1.16,50.0,5.44,0.15,2.74,-0.63,7.31,3.81,-138.33,-4.13,-1.23,28.42,-17.89,1.2,3.6,24.0,2259,182,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,435559,R,63,Flyout,4,4,170623_033531,8fdae8fa-e029-4e38-90db-dede61d9d8d5,1,2,0,X,In play- out(s),SL,14,2.0,3.15,1.45,83.0,76.8,21.5,-1.04,50.0,5.62,1.31,1.87,5.04,-2.46,4.05,-120.64,-1.43,7.45,22.61,-35.81,13.2,9.6,24.0,2992,58,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,621020,R,64,Pop Out,5,1,170623_033608,0d79eecb-0fcd-4e44-b2f1-8c8d333c17ad,0,0,1,B,Ball,SL,14,2.0,3.55,1.64,82.6,76.0,64.66,-1.06,50.0,5.71,1.52,1.41,5.61,2.09,4.36,-119.85,-4.02,8.15,23.34,-29.14,16.8,8.4,24.0,,96,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,621020,R,64,Pop Out,5,2,170623_033628,b8dfa513-fcf3-4920-b76e-80c361b11a44,1,0,1,S,Swinging Strike,SL,14,2.0,3.49,1.67,82.7,76.2,60.41,-1.03,50.0,5.68,1.1,1.36,4.41,-0.43,3.69,-120.14,-3.33,6.44,23.43,-32.8,12.0,9.6,24.0,1489,70,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,621020,R,64,Pop Out,5,3,170623_033653,9b77a85b-a471-407c-98a1-41257a188eb9,1,1,1,B,Ball,SL,13,2.0,3.5,1.64,81.6,76.7,50.23,-1.22,50.0,5.38,-0.51,1.47,3.66,-3.42,0.55,-118.86,-1.39,5.35,18.26,-37.18,8.4,10.8,24.0,2956,41,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,621020,R,64,Pop Out,5,4,170623_033713,3016ceb8-921a-4b4a-9971-8df99a25803d,2,1,1,B,Ball,FC,14,2.0,3.53,1.64,93.6,86.6,30.64,-0.79,50.0,5.27,2.4,0.83,1.02,7.31,8.23,-135.74,-8.54,1.93,26.91,-18.39,9.6,4.8,24.0,2283,161,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,621020,R,64,Pop Out,5,5,170623_033748,1d773884-ee02-4fa5-85e1-f6c363323a5c,3,1,1,X,In play- out(s),FF,3,2.0,3.51,1.68,94.4,86.4,46.18,-1.0,50.0,5.65,0.51,3.25,-2.55,7.38,5.01,-137.17,-3.18,-4.87,29.4,-18.07,12.0,3.6,24.0,2254,197,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,622666,L,65,Groundout,5,1,170623_033824,e3f1361c-c5a8-42a2-8a5a-2b244af162e2,0,0,2,S,Swinging Strike,FF,14,2.0,3.43,1.55,95.1,87.8,68.67,-1.09,50.0,5.24,1.23,2.19,-2.49,6.29,7.24,-138.16,-4.74,-4.86,27.44,-19.87,9.6,4.8,24.0,2339,198,,,,,,,0,1,-6,bottom
2017-06-23,491195,6,605195,R,622666,L,65,Groundout,5,2,170623_033846,e919c47e-26fd-4bf8-b328-10cda4af4901,0,1,2,S,Foul,FF,6,2.0,3.44,1.46,94.3,87.6,42.82,-1.15,50.0,5.05,0.64,2.55,-0.42,0.69,5.04,-137.21,-1.17,-0.81,25.61,-30.84,0.0,6.0,24.0,2382,135,,,,,,,0,1,-6,bottom
