Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-09-05,531504,6,641851,R,664056,R,46,Pop Out,3,1,180906_005646,0d1ae14e-8ebc-46bf-8822-23641cfd4cce,0,0,0,S,Called Strike,SI,7,2.0,3.3,1.51,91.7,83.6,63.25,-3.5,50.0,5.95,-0.62,1.59,-9.66,7.13,10.82,-132.83,-7.7,-17.19,29.44,-19.48,34.8,6.0,24.0,2321,232,,,,,,,0,1,-5,top
2018-09-05,531504,6,641851,R,664056,R,46,Pop Out,3,2,180906_005711,26d67005-b546-47e2-be6a-630b15e6c23f,0,1,0,B,Ball,SL,11,2.0,3.24,1.54,80.1,74.0,36.14,-3.58,50.0,6.24,-1.02,3.74,5.95,-0.11,4.12,-116.55,1.26,8.23,20.92,-32.33,15.6,9.6,24.0,2789,92,,,,,,,0,1,-5,top
2018-09-05,531504,6,641851,R,664056,R,46,Pop Out,3,3,180906_005731,6086ee1b-8b25-42ef-be44-7c0aabade237,1,1,0,X,In play- out(s),SI,1,2.0,3.37,1.54,92.3,84.8,39.94,-3.31,50.0,6.13,-0.37,2.96,-9.29,7.15,10.98,-133.95,-4.81,-17.0,26.98,-19.1,36.0,6.0,24.0,2367,230,,,,,,,0,1,-5,top
2018-09-05,531504,6,641851,R,622168,R,47,Home Run,5,1,180906_005810,24e73d0a-0e58-4c9f-9b4c-bbf7eb2d1a1f,0,0,1,B,Ball,SL,11,2.0,3.5,1.6,79.8,73.6,58.65,-3.57,50.0,6.38,-0.56,5.84,3.57,3.07,5.85,-115.98,4.84,4.92,19.56,-27.95,12.0,8.4,24.0,2888,131,,,,,,,1,0,-5,top
2018-09-05,531504,6,641851,R,622168,R,47,Home Run,5,2,180906_005830,6b0b62b8-1a43-48e7-b97b-aaf44e1b24fd,1,0,1,S,Foul,SI,13,2.0,3.41,1.56,91.0,83.5,62.5,-3.27,50.0,6.02,-1.0,1.65,-10.59,6.5,9.53,-132.1,-7.45,-18.74,27.67,-20.66,37.2,6.0,24.0,2371,238,,,,,,,1,0,-5,top
2018-09-05,531504,6,641851,R,622168,R,47,Home Run,5,3,180906_005851,ebb91580-47d3-46f3-b4bb-3b464005b4b6,1,1,1,B,Ball,CH,11,2.0,3.45,1.6,81.1,74.2,18.55,-3.71,50.0,5.93,-1.83,3.04,-10.26,4.45,7.48,-117.98,-1.15,-14.43,22.85,-25.91,26.4,8.4,24.0,2012,244,,,,,,,1,0,-5,top
2018-09-05,531504,6,641851,R,622168,R,47,Home Run,5,4,180906_005910,d8123193-4f48-44f0-9084-01ca15ec0a4b,2,1,1,B,Ball,SI,11,2.0,3.45,1.57,91.1,83.2,27.61,-3.43,50.0,6.1,-1.43,2.93,-8.01,7.84,7.96,-132.41,-4.77,-14.19,28.83,-18.29,32.4,4.8,24.0,2333,223,,,,,,,1,0,-5,top
2018-09-05,531504,6,641851,R,622168,R,47,Home Run,5,5,180906_005935,ea2101b3-ce28-4b8c-a8bd-a7d2d19491e6,3,1,1,X,In play- run(s),SI,5,2.0,3.41,1.56,89.6,81.8,27.81,-3.33,50.0,6.05,-0.12,2.24,-8.63,7.99,11.1,-129.96,-6.15,-14.73,27.88,-18.54,32.4,6.0,24.0,2271,224,,,,,,,1,0,-5,top
2018-09-05,531504,6,641851,R,571945,R,48,Groundout,2,1,180906_010009,5870b629-3b14-4cf5-85b9-931259db5cb6,0,0,1,S,Foul,SI,9,2.0,3.58,1.68,91.0,83.2,46.77,-3.24,50.0,6.05,0.31,2.1,-10.81,5.54,12.9,-131.8,-5.97,-19.02,27.9,-22.43,34.8,7.2,24.0,2250,241,,,,,,,0,1,-6,top
2018-09-05,531504,6,641851,R,571945,R,48,Groundout,2,2,180906_010041,b5280931-7ddc-415f-9372-1da69c5d1bcf,0,1,1,X,In play- out(s),SI,5,2.0,3.58,1.68,90.7,83.0,24.21,-3.16,50.0,6.19,-0.05,2.82,-10.66,5.28,11.68,-131.51,-4.36,-18.71,27.32,-22.91,34.8,7.2,24.0,2328,242,,,,,,,0,1,-6,top
