Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-09-04,531478,7,657140,R,598265,L,59,Strikeout,5,1,180905_015006,0efd6474-4f15-442b-a8ea-21197d64cd41,0,0,0,B,Ball,FF,13,2.0,3.6,1.64,95.0,88.2,64.01,-1.73,50.0,5.51,-1.22,2.27,-2.57,4.56,2.32,-138.42,-4.7,-5.06,26.65,-23.2,10.8,4.8,24.0,2404,209,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,598265,L,59,Strikeout,5,2,180905_015021,92bf41f0-fd23-4b4a-99e3-9a3af9b590fb,1,0,0,S,Swinging Strike,FF,11,2.0,3.3,1.52,93.8,86.9,39.61,-1.58,50.0,5.61,-0.72,2.46,-2.18,3.81,3.11,-136.53,-3.92,-4.16,26.58,-24.9,8.4,6.0,24.0,2395,207,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,598265,L,59,Strikeout,5,3,180905_015036,c07cc06d-d4bb-47bb-a8b9-897ba4a8b86c,1,1,0,B,Ball,CU,13,2.0,3.62,1.52,79.7,73.9,4.54,-1.9,50.0,5.8,-1.86,2.48,7.79,-4.03,-2.22,-115.97,0.58,10.69,20.29,-37.7,15.6,12.0,24.0,2441,63,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,598265,L,59,Strikeout,5,4,180905_015049,3e72d75c-84cc-421c-b096-5120806c5a79,2,2,0,C,Called Strike,FF,7,2.0,3.62,1.59,93.1,86.4,42.28,-1.72,50.0,5.46,-0.6,1.95,0.44,3.63,2.84,-135.5,-4.72,0.83,25.96,-25.33,2.4,6.0,24.0,2452,167,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,598265,L,59,Strikeout,5,5,180905_015112,80ad343f-3b21-45a5-a077-e8543c0a57d8,2,2,0,S,Swinging Strike,CU,14,2.0,3.3,1.52,80.6,74.4,38.67,-1.55,50.0,5.62,0.54,1.51,7.85,-1.83,2.47,-117.28,-2.01,10.91,22.56,-34.71,18.0,10.8,24.0,2552,76,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,506702,L,60,Strikeout,6,1,180905_015149,c83c9dbc-58f0-4445-83f8-2dec3bd53337,0,1,1,C,Called Strike,FF,13,2.0,3.57,1.64,95.3,87.9,56.69,-1.74,50.0,5.49,-0.78,2.6,0.35,5.08,2.52,-138.76,-3.92,0.7,28.8,-22.18,2.4,4.8,24.0,2420,172,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,506702,L,60,Strikeout,6,2,180905_015201,8657601b-e24b-4a56-983a-12e8bd4b42ed,0,1,1,B,Ball,CH,13,2.0,3.62,1.67,84.4,78.2,59.53,-1.84,50.0,5.51,-0.98,1.39,-8.33,2.3,4.73,-122.86,-4.15,-12.83,22.7,-28.63,22.8,8.4,24.0,1695,255,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,506702,L,60,Strikeout,6,3,180905_015215,38855a94-15ca-465d-a932-0a746fc8a831,1,2,1,F,Foul,CH,11,2.0,3.3,1.52,83.2,76.8,16.74,-1.84,50.0,5.69,-1.59,2.72,-7.07,2.86,2.8,-121.11,-1.29,-10.58,22.19,-27.9,19.2,8.4,24.0,1628,246,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,506702,L,60,Strikeout,6,4,180905_015233,941cdfcf-fa6d-48dc-aa91-691b508b8533,1,2,1,B,Ball,FF,11,2.0,3.6,1.54,95.3,87.9,29.16,-1.75,50.0,5.59,-1.31,3.37,0.07,5.02,1.2,-138.76,-2.06,0.13,28.23,-22.29,1.2,4.8,24.0,2534,177,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,506702,L,60,Strikeout,6,5,180905_015249,1a16757d-3603-440d-b41b-d693843687e1,2,2,1,B,Ball,CH,11,2.0,3.6,1.67,81.7,75.6,18.28,-1.83,50.0,5.65,-1.99,3.05,-8.76,2.69,2.31,-118.98,-0.14,-12.68,20.72,-28.28,24.0,8.4,24.0,1614,251,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,506702,L,60,Strikeout,6,6,180905_015307,b152f85c-7dd8-4b48-8c3b-2988062487d0,3,2,1,S,Swinging Strike,FF,1,2.0,3.3,1.52,94.7,87.6,44.11,-1.59,50.0,5.51,-0.62,2.78,-2.52,6.52,3.56,-137.89,-3.91,-4.92,27.14,-19.46,12.0,4.8,24.0,2418,199,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,571788,L,61,Groundout,4,1,180905_015344,4123af47-db81-49cc-aab1-8f08a630a184,0,1,2,C,Called Strike,FF,4,2.0,3.4,1.74,93.8,87.0,52.84,-1.74,50.0,5.46,-0.62,2.66,-2.05,6.17,3.79,-136.64,-3.86,-3.94,25.78,-20.33,8.4,4.8,24.0,2412,195,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,571788,L,61,Groundout,4,2,180905_015357,ef16c551-19a0-48ce-b02c-a55105d61940,0,1,2,B,Ball,SL,14,2.0,3.35,1.74,85.8,80.6,36.91,-1.68,50.0,5.4,0.94,-0.44,1.79,-0.92,5.9,-124.64,-7.68,2.86,21.19,-33.65,6.0,8.4,24.0,2556,56,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,571788,L,61,Groundout,4,3,180905_015418,094b638b-7161-4362-87ec-e94345152282,1,1,2,B,Ball,CH,13,2.0,3.32,1.52,82.6,76.4,19.13,-1.67,50.0,5.52,-0.29,0.85,-9.72,4.56,6.28,-120.04,-5.75,-14.29,21.71,-25.47,26.4,8.4,24.0,1727,245,,,,,,,0,1,-4,top
2018-09-04,531478,7,657140,R,571788,L,61,Groundout,4,4,180905_015434,1ef9638d-b899-462f-b39a-b0bbc0f204cf,2,1,2,X,In play- out(s),FF,8,2.0,3.3,1.52,94.7,87.8,22.94,-1.75,50.0,5.42,0.04,2.1,-1.08,4.63,5.28,-137.88,-4.86,-2.11,27.01,-23.15,2.4,4.8,24.0,2511,187,,,,,,,0,1,-4,top
2018-09-04,531478,8,657140,R,605141,R,66,Flyout,4,1,180905_020711,d4c9cb78-3b0d-4c93-90c9-c0a225bbbebd,0,1,0,C,Called Strike,CU,9,2.0,3.28,1.51,78.9,72.6,85.81,-1.62,50.0,5.72,0.61,1.64,7.41,-4.24,2.87,-114.78,-0.86,9.81,22.64,-37.79,15.6,12.0,24.0,2516,62,,,,,,,0,1,-4,top
2018-09-04,531478,8,657140,R,605141,R,66,Flyout,4,2,180905_020723,d2dc80fe-6af5-4ded-8c0c-96a0d7e20d2d,0,1,0,B,Ball,SL,14,2.0,3.28,1.49,84.6,78.6,35.09,-1.44,50.0,5.61,1.01,0.37,2.17,-2.6,5.27,-123.0,-5.3,3.34,23.68,-36.17,6.0,9.6,24.0,2616,42,,,,,,,0,1,-4,top
2018-09-04,531478,8,657140,R,605141,R,66,Flyout,4,3,180905_020738,e0b2ecb6-902b-4a7a-99d3-4f1b12abab6a,1,1,0,B,Ball,SL,14,2.0,3.18,1.51,83.8,78.3,55.3,-1.48,50.0,5.57,1.09,1.27,3.03,-1.95,5.28,-121.93,-3.15,4.61,21.05,-35.14,8.4,9.6,24.0,2514,59,,,,,,,0,1,-4,top
2018-09-04,531478,8,657140,R,605141,R,66,Flyout,4,4,180905_020801,d9887fea-32a3-44e7-b7eb-23c4dc6606e9,2,1,0,X,In play- out(s),FF,12,2.0,3.28,1.51,94.4,87.7,37.33,-1.41,50.0,5.46,0.74,2.4,-2.32,3.18,6.7,-137.49,-3.59,-4.5,26.11,-26.0,7.2,6.0,24.0,2495,209,,,,,,,0,1,-4,top
2018-09-04,531478,8,657140,R,435079,R,67,Walk,5,1,180905_020831,b8fb01e4-2355-421a-8cec-923f72c5bc2f,0,0,1,B,Ball,CU,11,2.0,3.48,1.53,79.1,72.7,99.01,-1.67,50.0,5.96,-1.1,3.67,8.69,-5.27,-1.27,-114.97,3.44,11.65,21.13,-39.23,16.8,12.0,24.0,2510,61,,,,435079,,,0,0,-4,top
2018-09-04,531478,8,657140,R,435079,R,67,Walk,5,2,180905_020845,a371309c-679e-40ff-a30d-7ce06b3d4406,1,0,1,B,Ball,FF,14,2.0,3.49,1.56,94.0,87.5,12.53,-1.39,50.0,5.27,1.61,0.03,-0.39,5.21,8.24,-136.53,-10.1,-0.74,26.46,-22.21,1.2,4.8,24.0,2485,174,,,,435079,,,0,0,-4,top
2018-09-04,531478,8,657140,R,435079,R,67,Walk,5,3,180905_020903,85101944-ef6a-497d-9a4b-e1d74e8e2038,2,0,1,B,Ball,FF,14,2.0,3.44,1.58,94.1,86.7,14.75,-1.53,50.0,5.48,1.79,2.47,-0.68,5.26,9.22,-136.67,-4.07,-1.29,28.28,-22.15,1.2,4.8,24.0,2490,176,,,,435079,,,0,0,-4,top
2018-09-04,531478,8,657140,R,435079,R,67,Walk,5,4,180905_020918,3646d341-cade-4c37-864b-d5f51d966f9f,3,1,1,C,Called Strike,FF,9,2.0,3.52,1.58,93.1,85.6,41.72,-1.58,50.0,5.4,0.44,1.82,-2.13,4.33,6.14,-135.45,-5.09,-3.97,28.76,-24.11,6.0,6.0,24.0,2423,200,,,,435079,,,0,0,-4,top
2018-09-04,531478,8,657140,R,435079,R,67,Walk,5,5,180905_020932,54c64f2f-1244-4d6b-ba38-1732940c5448,3,1,1,B,Ball,FF,14,2.0,3.39,1.56,94.6,87.4,16.67,-1.49,50.0,5.35,1.73,1.1,-2.69,5.89,9.7,-137.28,-7.74,-5.17,28.07,-20.85,8.4,4.8,24.0,2419,197,,,,435079,,,0,0,-4,top
2018-09-04,531478,8,657140,R,502110,R,68,Flyout,4,1,180905_021015,7e066f44-af53-4da8-a161-813fc9e2e08d,0,1,1,C,Called Strike,FF,13,2.0,3.74,1.74,94.1,87.0,71.08,-1.79,50.0,5.36,-0.78,1.9,-1.91,5.85,3.43,-137.07,-5.53,-3.67,27.5,-20.94,7.2,4.8,24.0,2450,196,435079,,,435079,,,0,1,-4,top
2018-09-04,531478,8,657140,R,502110,R,68,Flyout,4,2,180905_021038,72b3c3e1-c756-4180-a3fa-6a743678eff1,0,1,1,B,Ball,CU,13,2.0,3.79,1.72,79.4,72.9,43.05,-1.81,50.0,5.76,-1.06,2.09,10.12,-3.41,-1.28,-115.46,-0.27,13.58,22.64,-36.76,20.4,12.0,24.0,2667,71,435079,,,435079,,,0,1,-4,top
2018-09-04,531478,8,657140,R,502110,R,68,Flyout,4,3,180905_021100,495dc1ae-0465-46bf-b628-0e33f4a45e60,2,1,1,*B,Ball In Dirt,CU,14,2.0,3.79,1.74,81.1,74.3,3.82,-1.67,50.0,5.63,1.34,1.07,8.52,-5.05,4.42,-117.77,-2.06,11.8,25.29,-39.17,18.0,12.0,24.0,2703,60,435079,,,435079,,,0,1,-4,top
2018-09-04,531478,8,657140,R,502110,R,68,Flyout,4,4,180905_021139,9d8ed0a2-948c-47b4-bb1e-c29e1fcb2c71,2,1,1,X,In play- out(s),FF,1,2.0,3.49,1.62,93.5,86.0,42.83,-1.85,50.0,5.45,-0.58,3.25,-1.31,4.16,3.9,-136.18,-1.43,-2.48,28.45,-24.32,3.6,4.8,24.0,2506,192,435079,,,435079,,,0,1,-4,top
