Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-04-19,529687,8,608371,R,408236,L,59,Home Run,5,1,180420_015537,a0cadd00-7208-4e72-82f3-22952aed4b21,0,0,0,B,Ball,FF,11,2.0,3.61,1.87,91.5,83.6,69.53,-1.67,50.0,5.67,-0.64,3.65,-3.77,10.74,3.99,-133.05,-2.87,-6.76,28.21,-12.9,24.0,3.6,24.0,2447,197,,,,,,,1,0,9,top
2018-04-19,529687,8,608371,R,408236,L,59,Home Run,5,2,180420_015555,c596f8f0-4cce-4967-aafa-8736a26126d3,1,0,0,B,Ball,FF,13,2.0,3.56,1.79,92.8,84.8,48.59,-1.73,50.0,5.5,-1.0,2.39,-4.26,10.72,3.42,-134.88,-5.95,-7.85,29.12,-12.42,27.6,3.6,24.0,2354,200,,,,,,,1,0,9,top
2018-04-19,529687,8,608371,R,408236,L,59,Home Run,5,3,180420_015623,581fa17d-1db2-48ec-a08e-9cdf97400caa,2,1,0,F,Foul,FF,11,2.0,3.57,1.66,91.9,84.2,51.1,-1.77,50.0,5.67,-0.78,3.2,-2.96,9.41,3.62,-133.61,-3.68,-5.38,27.55,-15.09,16.8,3.6,24.0,2369,195,,,,,,,1,0,9,top
2018-04-19,529687,8,608371,R,408236,L,59,Home Run,5,4,180420_015640,acd042b3-7dd3-4970-b1d8-91a7c8bde662,2,1,0,B,Ball,FF,14,2.0,3.56,1.83,92.3,85.2,34.17,-1.53,50.0,5.3,0.59,1.16,-4.11,8.31,7.06,-134.07,-7.81,-7.55,26.57,-16.91,19.2,4.8,24.0,2403,203,,,,,,,1,0,9,top
2018-04-19,529687,8,608371,R,408236,L,59,Home Run,5,5,180420_015708,c3eb1ddd-d4d8-46bf-8f8a-17b2c6af2c62,3,1,0,E,In play- run(s),FF,4,2.0,3.57,1.66,92.1,84.9,27.44,-1.76,50.0,5.6,-0.38,2.65,-3.26,6.96,4.79,-134.01,-4.17,-5.98,26.63,-19.41,14.4,4.8,24.0,2383,202,,,,,,,1,0,9,top
2018-04-19,529687,8,608371,R,446653,L,60,Walk,5,1,180420_015749,b5d11949-6007-4385-b10c-d05cbc0f07d2,0,0,0,B,Ball,SI,13,2.0,3.42,1.67,93.5,85.5,64.14,-1.78,50.0,5.31,-0.54,1.33,-8.75,4.89,6.35,-135.87,-6.36,-16.32,30.54,-23.06,31.2,6.0,24.0,2436,241,,,,446653,,,0,0,8,top
2018-04-19,529687,8,608371,R,446653,L,60,Walk,5,2,180420_015804,1f44b054-40e9-497f-85c2-2f25f9898baa,1,0,0,B,Ball,CH,11,2.0,3.33,1.53,84.9,78.1,10.87,-2.04,50.0,5.64,-1.87,4.61,-7.09,-1.79,2.67,-123.45,4.64,-11.03,22.72,-34.96,16.8,9.6,24.0,1930,279,,,,446653,,,0,0,8,top
2018-04-19,529687,8,608371,R,446653,L,60,Walk,5,3,180420_015820,466bd97d-d278-48eb-8ee8-67c6a114169f,2,1,0,F,Foul,FF,14,2.0,3.33,1.4,93.2,85.7,54.48,-1.57,50.0,5.34,0.77,1.68,-1.65,8.79,6.86,-135.31,-6.85,-3.08,27.8,-15.78,6.0,3.6,24.0,2553,186,,,,446653,,,0,0,8,top
2018-04-19,529687,8,608371,R,446653,L,60,Walk,5,4,180420_015842,c494cf6c-f297-445f-a816-24f59e24d36c,2,1,0,B,Ball,CH,11,2.0,3.33,1.58,86.8,79.9,13.12,-2.14,50.0,5.54,-1.71,4.14,-9.49,1.71,4.17,-126.28,2.38,-15.46,23.72,-29.39,26.4,8.4,24.0,2214,256,,,,446653,,,0,0,8,top
2018-04-19,529687,8,608371,R,446653,L,60,Walk,5,5,180420_015901,f56339de-a494-4ca2-a937-384818ec21e1,3,1,0,B,Ball,FF,13,2.0,3.33,1.62,90.8,84.0,52.87,-1.69,50.0,5.5,-1.21,2.01,-3.17,8.7,2.35,-132.09,-5.97,-5.68,24.73,-16.61,16.8,3.6,24.0,2417,199,,,,446653,,,0,0,8,top
2018-04-19,529687,8,608371,R,408314,L,61,Pop Out,2,1,180420_015935,0c52f14d-fcc5-409a-b564-9122fc88438b,0,0,0,S,Swinging Strike,CU,14,2.0,2.98,1.3,79.2,73.3,80.07,-1.91,50.0,5.51,0.28,1.12,7.65,-3.69,2.71,-115.12,-1.81,10.27,21.31,-37.13,15.6,12.0,24.0,2861,65,446653,,,446653,,,0,1,8,top
2018-04-19,529687,8,608371,R,408314,L,61,Pop Out,2,2,180420_015957,afd99a36-9e66-4566-8662-892d0912d83c,0,1,0,X,In play- out(s),FF,3,2.0,2.98,1.3,92.4,84.9,37.21,-1.65,50.0,5.46,0.6,2.46,-0.54,9.92,6.15,-134.3,-5.35,-1.0,27.7,-13.96,1.2,3.6,24.0,2441,179,446653,,,446653,,,0,1,8,top
2018-04-19,529687,8,608371,R,642708,R,62,Single,4,1,180420_020040,fe06f6ad-86dd-43e6-add1-84b6749f4760,0,0,1,S,Swinging Strike,FF,8,2.0,3.69,1.42,92.2,84.7,45.65,-1.68,50.0,5.37,0.09,1.72,-3.76,9.57,5.97,-133.84,-6.89,-6.87,27.29,-14.71,19.2,3.6,24.0,2581,199,446653,,,642708,446653,,0,0,8,top
2018-04-19,529687,8,608371,R,642708,R,62,Single,4,2,180420_020058,d9177a02-3914-4e70-bc0d-09a6578e3422,0,2,1,C,Called Strike,CU,8,2.0,3.29,1.47,82.6,76.3,24.25,-1.99,50.0,5.48,-0.18,1.57,4.63,-1.97,2.87,-120.07,-1.89,6.78,22.7,-35.06,12.0,9.6,24.0,2851,68,446653,,,642708,446653,,0,0,8,top
2018-04-19,529687,8,608371,R,642708,R,62,Single,4,3,180420_020117,7b0a4353-ae3c-4024-b10b-b57fa884ed87,0,2,1,F,Foul,CU,14,2.0,3.69,1.42,83.3,76.6,43.86,-1.82,50.0,5.44,0.64,1.06,3.2,-2.89,4.87,-120.93,-2.8,4.73,24.3,-36.44,8.4,10.8,24.0,2960,51,446653,,,642708,446653,,0,0,8,top
2018-04-19,529687,8,608371,R,642708,R,62,Single,4,4,180420_020147,32eb952e-936c-4432-8ba7-9318b95cb12c,0,2,1,D,In play- no out,CU,4,2.0,3.69,1.42,82.1,75.2,18.91,-2.01,50.0,5.56,-0.42,2.65,6.28,-3.5,1.83,-119.24,1.07,9.01,23.6,-37.2,14.4,10.8,24.0,2990,64,446653,,,642708,446653,,0,0,8,top
2018-04-19,529687,8,608371,R,624424,L,63,Walk,4,1,180420_020235,273e554b-33f0-421c-9cf6-d4edf1d73b48,0,0,1,B,Ball,FF,12,2.0,3.11,1.42,92.4,85.2,42.01,-1.55,50.0,5.44,2.17,2.88,-0.8,8.36,10.17,-134.07,-3.65,-1.47,26.36,-16.81,1.2,3.6,24.0,2557,177,642708,446653,,624424,642708,446653,0,0,8,top
2018-04-19,529687,8,608371,R,624424,L,63,Walk,4,2,180420_020257,fad6639c-f908-4531-b5c7-fffab921554c,1,0,1,B,Ball,FF,13,2.0,3.11,1.5,93.1,86.3,41.45,-1.77,50.0,5.35,-0.8,0.97,-1.07,9.18,2.97,-135.26,-8.97,-2.0,25.79,-14.93,4.8,3.6,24.0,2436,185,642708,446653,,624424,642708,446653,0,0,8,top
