Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-01,490485,6,570666,R,607680,R,47,Groundout,6,1,170502_005525,146a690f-e993-4460-888a-5a95f52ad5cf,0,0,2,B,Ball,SL,13,2.0,3.42,1.74,82.9,77.2,67.62,-1.6,50.0,5.73,-0.13,0.93,-1.02,-2.7,3.83,-120.48,-3.88,-1.51,21.42,-36.18,1.2,9.6,24.0,2415,351,,,,,,,0,1,-4,top
2017-05-01,490485,6,570666,R,607680,R,47,Groundout,6,2,170502_005538,9d19cd8c-3fc3-49fa-9d60-9d2aa052f024,1,0,2,B,Ball,FF,14,2.0,3.32,1.72,94.9,87.4,18.86,-1.15,50.0,5.85,1.43,2.16,-3.49,8.52,8.29,-137.47,-7.18,-6.74,27.46,-15.71,16.8,3.6,24.0,2186,200,,,,,,,0,1,-4,top
2017-05-01,490485,6,570666,R,607680,R,47,Groundout,6,3,170502_005553,2cfb086e-f9a6-40fd-9248-c2f381c74f79,2,1,2,C,Called Strike,FF,3,2.0,3.38,1.73,94.3,87.0,57.56,-1.28,50.0,6.03,0.67,3.07,-3.66,7.81,6.59,-136.91,-4.89,-7.02,26.71,-17.17,18.0,3.6,24.0,2140,203,,,,,,,0,1,-4,top
2017-05-01,490485,6,570666,R,607680,R,47,Groundout,6,4,170502_005608,ee785473-bbe0-44de-a48a-0cf47eeb8ffe,2,2,2,F,Foul,CH,14,2.0,3.74,1.53,84.1,78.4,37.96,-1.54,50.0,5.8,0.1,1.26,-5.79,1.13,5.8,-122.25,-4.73,-8.89,20.97,-30.44,14.4,8.4,24.0,1628,270,,,,,,,0,1,-4,top
2017-05-01,490485,6,570666,R,607680,R,47,Groundout,6,5,170502_005633,cff6e56c-e6ad-4095-82b8-b28ffb4822cc,2,2,2,F,Foul,CU,4,2.0,3.74,1.53,80.3,72.9,35.8,-1.65,50.0,6.14,-0.62,2.49,4.83,-1.19,0.94,-116.54,-0.96,6.55,24.69,-33.79,10.8,10.8,24.0,2502,65,,,,,,,0,1,-4,top
2017-05-01,490485,6,570666,R,607680,R,47,Groundout,6,6,170502_005657,05439944-476b-432c-a083-8ba20627ec3d,2,2,2,X,In play- out(s),FF,13,2.0,3.69,1.49,96.2,87.8,48.39,-1.13,50.0,5.8,-0.92,2.1,-3.75,11.27,1.91,-139.54,-8.37,-7.39,31.25,-9.94,31.2,2.4,24.0,2197,200,,,,,,,0,1,-4,top
2017-05-01,490485,7,570666,R,485567,L,53,Single,2,1,170502_011104,eac38961-dec3-4b3b-ae85-19b1030ce00e,0,0,0,B,Ball,FF,14,2.0,3.27,1.61,94.8,87.2,67.06,-1.37,50.0,5.66,0.38,1.04,-6.75,8.75,7.13,-137.22,-9.75,-12.98,27.77,-15.34,33.6,4.8,24.0,2279,220,,,,485567,,,0,0,-4,top
2017-05-01,490485,7,570666,R,485567,L,53,Single,2,2,170502_011120,9ca273d0-000d-4239-8a2a-e38785cf3bb3,1,0,0,D,In play- no out,FF,5,2.0,3.68,1.5,95.0,87.5,24.69,-1.36,50.0,5.84,-0.08,2.14,-8.39,8.3,6.47,-137.79,-7.17,-16.29,27.83,-16.06,40.8,4.8,24.0,2241,227,,,,485567,,,0,0,-4,top
2017-05-01,490485,7,570666,R,430832,R,54,Home Run,2,1,170502_011204,828a90d3-90fd-4899-8dde-fe848f254c44,0,0,0,B,Ball,SL,14,2.0,3.46,1.6,86.1,79.0,61.74,-1.45,50.0,5.77,1.61,1.5,-1.6,2.89,8.06,-124.71,-4.91,-2.52,25.05,-27.62,2.4,7.2,24.0,2487,201,485567,,,,,,2,0,-4,top
2017-05-01,490485,7,570666,R,430832,R,54,Home Run,2,2,170502_011221,ee8af275-33f1-44dc-a87c-006599f287c7,1,0,0,E,In play- run(s),FF,3,2.0,3.73,1.52,95.3,87.0,33.1,-1.33,50.0,5.93,0.27,2.8,-5.73,9.1,6.39,-138.18,-5.88,-11.1,30.4,-14.55,31.2,3.6,24.0,2283,212,485567,,,,,,2,0,-4,top
2017-05-01,490485,7,570666,R,434778,L,55,Single,7,1,170502_011312,66873ee3-16d3-4c38-8a7c-8db803dfb8eb,0,0,0,B,Ball,FF,11,2.0,3.76,1.9,95.0,86.7,49.32,-1.44,50.0,5.97,-2.17,3.28,-4.7,10.79,-0.31,-137.79,-5.24,-9.05,30.13,-11.4,36.0,3.6,24.0,2122,206,,,,434778,,,0,0,-6,top
