Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-27,566088,8,472610,R,434778,L,64,Groundout,2,1,190331_033710,2f05dd72-30b0-4e07-8a63-60c7a7d4fdac,0,0,0,S,Swinging Strike,FT,13,2.0,3.38,1.67,95.3,87.8,,-2.46,50.0,6.26,-0.22,0.88,-8.27,7.48,9.04,-138.13,-11.47,-16.07,28.92,-17.64,36.0,4.8,24.0,1907,228,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,434778,L,64,Groundout,2,2,190331_033734,ea81bf6b-1307-4ef2-ae16-e9647a3715dd,0,1,0,X,In play- out(s),FS,11,2.0,3.39,1.74,85.2,78.8,,-2.33,50.0,6.56,-1.06,2.62,-6.22,5.79,5.11,-123.94,-4.97,-9.76,22.86,-23.09,20.4,6.0,24.0,1059,226,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,595777,L,65,Lineout,4,1,190331_033810,4871afe5-f9cd-4de7-9914-2dc9e45b6761,0,0,1,B,Ball,FF,14,2.0,3.45,1.68,95.0,87.4,,-2.33,50.0,6.31,1.13,2.34,-7.16,8.12,12.0,-137.66,-7.8,-13.84,28.41,-16.47,32.4,4.8,24.0,2096,218,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,595777,L,65,Lineout,4,2,190331_033830,82b52358-cc22-4c9c-9742-bc576cc98438,1,0,1,B,Ball,FF,14,2.0,3.44,1.74,95.8,88.0,,-2.17,50.0,6.21,1.26,1.29,-7.59,9.06,12.13,-138.68,-10.87,-14.86,29.6,-14.44,36.0,4.8,24.0,2099,218,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,595777,L,65,Lineout,4,3,190331_033852,2f71e6ce-4cc7-4c52-bbd9-e713f403863d,2,0,1,S,Called Strike,FT,5,2.0,3.44,1.65,94.9,87.7,,-2.42,50.0,6.35,0.12,2.4,-8.18,6.68,9.87,-137.81,-7.28,-15.91,27.43,-19.18,34.8,4.8,24.0,2051,229,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,595777,L,65,Lineout,4,4,190331_033922,9ef9357d-a85a-4d9b-8a51-0d0c93035c69,2,1,1,X,In play- out(s),FT,7,2.0,3.37,1.62,95.7,88.0,,-2.54,50.0,6.24,-0.32,1.92,-8.36,7.67,9.09,-138.92,-8.76,-16.43,29.57,-17.1,37.2,4.8,24.0,2040,227,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,543760,R,66,Groundout,3,1,190331_033955,accf55e9-fc0f-45a6-ba63-b608c36ef07e,0,0,2,S,Called Strike,SL,4,2.0,3.41,1.63,82.9,77.5,,-2.67,50.0,6.45,-0.26,2.31,4.85,0.54,4.27,-120.7,-3.38,7.26,20.44,-31.37,14.4,8.4,24.0,2228,93,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,543760,R,66,Groundout,3,2,190331_034013,e7d29724-31bd-4bed-9148-b283a2b6c797,0,1,2,S,Swinging Strike,SL,9,2.0,3.51,1.73,85.4,79.7,,-2.48,50.0,6.37,0.65,1.56,3.22,1.16,6.67,-124.12,-5.66,5.08,21.97,-30.35,10.8,8.4,24.0,2326,99,,,,,,,0,1,-2,bottom
2019-08-27,566088,8,472610,R,543760,R,66,Groundout,3,3,190331_034038,10ac35cc-dbc2-46f4-8958-8d485dadb426,0,2,2,X,In play- out(s),FF,12,2.0,3.49,1.73,96.0,88.2,,-2.31,50.0,6.38,1.36,2.63,-6.19,8.58,12.32,-139.09,-7.57,-12.21,29.32,-15.27,30.0,3.6,24.0,2157,211,,,,,,,0,1,-2,bottom
2019-08-27,566089,8,472610,R,656305,R,55,Single,2,1,190331_222332,d2479247-5656-418d-b296-353aee4c6e30,0,0,0,B,Ball,SL,14,2.0,3.53,1.68,84.4,78.8,,-2.53,50.0,6.31,0.34,1.38,1.99,1.48,6.36,-122.71,-5.85,3.08,21.65,-29.89,7.2,8.4,24.0,2161,109,,,,656305,,,0,0,-1,bottom
