Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-22,529707,8,608652,R,547172,L,64,Batter Interference,4,1,180422_030431,517b0062-1272-48bd-81e5-b6eb2ca4f2df,0,0,0,S,Foul,FF,4,2.0,3.2,1.44,90.7,84.1,46.92,-1.5,50.0,6.63,-0.43,2.2,-2.65,9.9,3.72,-131.81,-8.83,-4.73,24.41,-14.52,14.4,3.6,24.0,2288,193,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,547172,L,64,Batter Interference,4,2,180422_030453,ba5ab2ea-007f-4ce1-aa2c-660d46577459,0,1,0,S,Foul,FF,5,2.0,3.2,1.6,90.9,84.3,19.33,-1.39,50.0,6.72,0.02,2.63,-2.15,9.8,4.44,-132.23,-7.96,-3.87,24.46,-14.57,10.8,3.6,24.0,2352,190,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,547172,L,64,Batter Interference,4,3,180422_030517,18ab9903-0dfd-49fe-9204-e5d89984f253,0,1,0,S,Foul,FF,12,2.0,3.2,1.55,91.1,84.1,28.02,-1.49,50.0,6.76,0.41,3.78,-3.24,9.16,6.11,-132.55,-4.85,-5.83,25.5,-15.7,15.6,3.6,24.0,2349,196,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,547172,L,64,Batter Interference,4,4,180422_030550,64952bc6-ebdb-47d6-b6c3-173d0228ecf3,0,2,0,S,Swinging Strike (Blocked),SL,14,2.0,3.17,1.42,84.5,79.6,14.62,-1.51,50.0,6.57,0.21,0.54,0.69,1.92,4.0,-122.77,-8.79,1.08,19.46,-29.18,2.4,8.4,24.0,2461,137,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,435622,R,65,Strikeout,5,1,180422_030656,39c24f7a-199c-4938-b337-4589fef39f98,0,0,1,S,Swinging Strike,SL,9,2.0,3.37,1.51,83.5,77.6,66.49,-2.06,50.0,6.77,0.53,1.96,0.99,1.83,5.93,-121.33,-5.43,1.48,21.91,-29.43,4.8,8.4,24.0,2352,128,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,435622,R,65,Strikeout,5,2,180422_030711,39d53736-d5f7-498a-920f-94d85303670f,0,1,1,B,Ball,SL,13,2.0,3.49,1.5,83.6,78.0,19.54,-2.12,50.0,6.64,-0.36,0.7,-0.07,1.74,4.26,-121.41,-8.17,-0.11,21.33,-29.54,1.2,8.4,24.0,2317,156,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,435622,R,65,Strikeout,5,3,180422_030728,ea51843e-fdef-4c0e-b823-92d6af596a9b,1,1,1,B,Ball,FF,11,2.0,3.48,1.42,90.9,83.9,22.83,-2.17,50.0,6.73,-1.31,3.12,-4.21,9.79,3.71,-132.14,-6.67,-7.53,25.3,-14.67,22.8,3.6,24.0,2469,202,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,435622,R,65,Strikeout,5,4,180422_030743,16149f95-69ed-4f0c-a7a7-c4f93f843193,2,1,1,S,Swinging Strike,FF,5,2.0,3.5,1.59,90.8,83.8,18.51,-2.01,50.0,6.84,0.08,2.64,-2.0,9.95,6.15,-131.85,-8.2,-3.56,25.5,-14.48,8.4,3.6,24.0,2521,188,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,435622,R,65,Strikeout,5,5,180422_030800,cd0c3a36-4239-455f-a54d-a783bec7016c,2,2,1,S,Swinging Strike (Blocked),SL,14,2.0,3.42,1.51,83.9,78.1,46.53,-2.03,50.0,6.75,0.58,1.25,-0.55,0.65,6.48,-121.9,-6.82,-0.84,22.44,-31.19,0.0,8.4,24.0,2574,89,,,,,,,0,1,-3,bottom
2018-04-22,529707,8,608652,R,518934,R,66,Flyout,2,1,180422_030835,cdfef884-9972-4c6b-a23f-ec652579a655,0,0,2,S,Foul Tip,FF,11,2.0,3.46,1.58,91.0,84.2,74.89,-2.01,50.0,6.92,-0.94,3.37,-1.84,10.6,3.44,-132.44,-6.85,-3.31,24.96,-13.11,10.8,3.6,24.0,2451,188,,,,,,,0,1,-3,bottom
