Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-29,529409,7,519240,L,475174,L,42,Lineout,1,1,180330_035437,05f43cf5-1316-4f0b-9966-e6d614ae542e,0,0,0,X,In play- out(s),SI,12,2.0,3.18,1.33,90.8,83.0,63.08,1.61,50.0,5.55,0.73,2.88,11.37,4.17,-6.14,-131.92,-2.18,20.03,28.19,-24.83,36.0,7.2,24.0,2118,110,,,,,,,0,1,2,top
2018-03-31,529433,8,519240,L,475174,L,61,Strikeout,4,1,180331_223145,2cc6ef64-ac9b-48c9-b056-d6276102dd09,0,1,1,C,Called Strike,SL,2,2.0,3.48,1.48,84.1,78.5,52.18,1.82,50.0,5.54,-0.19,2.85,-0.05,-4.5,-4.89,-122.29,1.49,-0.08,19.89,-39.12,1.2,9.6,24.0,2403,352,,,,,,,0,1,-1,top
2018-03-31,529433,8,519240,L,475174,L,61,Strikeout,4,2,180331_223200,2cf214cd-68d6-4d91-828f-d13d1e9d7b7d,0,1,1,S,Swinging Strike,SL,13,2.0,3.18,1.33,84.0,78.0,24.6,1.66,50.0,5.43,-0.01,1.32,-0.55,-1.91,-3.87,-122.21,-2.7,-0.84,22.22,-35.08,2.4,9.6,24.0,2313,333,,,,,,,0,1,-1,top
2018-03-31,529433,8,519240,L,475174,L,61,Strikeout,4,3,180331_223220,b7f761ae-ef27-47b0-a52d-dfe421adabd7,0,2,1,B,Ball,SL,13,2.0,3.46,1.46,85.4,79.7,8.53,1.3,50.0,5.4,-1.66,1.03,3.21,-3.15,-8.31,-123.92,-3.22,5.07,21.25,-37.14,6.0,9.6,24.0,2357,34,,,,,,,0,1,-1,top
2018-03-31,529433,8,519240,L,475174,L,61,Strikeout,4,4,180331_223239,c71e0dae-6540-4749-8c8b-1efbc0061710,1,2,1,S,Swinging Strike,SI,8,2.0,3.18,1.33,91.4,83.7,30.66,1.6,50.0,5.47,0.13,1.8,11.11,4.13,-7.62,-132.8,-4.88,19.84,28.46,-24.81,34.8,7.2,24.0,2041,109,,,,,,,0,1,-1,top
2018-03-31,529433,8,519240,L,605548,L,62,Groundout,1,1,180331_223310,d7db1177-666f-4637-b7ef-e210b515b208,0,0,2,X,In play- out(s),SI,5,2.0,4.97,1.14,91.2,83.1,35.25,1.53,50.0,5.61,0.13,2.63,11.48,3.91,-7.54,-132.51,-2.94,20.34,29.41,-25.25,36.0,7.2,24.0,1970,109,,,,,,,0,1,-1,top
2018-04-05,529505,7,519240,L,408045,L,61,Walk,8,1,180405_225220,9fd7f92d-3769-4bc7-8ea7-aa25fb6385a4,0,1,1,C,Called Strike,SL,8,2.0,3.49,1.73,82.9,76.3,54.14,1.8,50.0,5.44,0.07,1.96,-0.65,-2.18,-3.92,-120.5,-0.86,-0.96,23.23,-35.38,2.4,9.6,24.0,2176,330,572821,,,408045,572821,,0,0,-1,bottom
2018-04-05,529505,7,519240,L,408045,L,61,Walk,8,2,180405_225249,29ba4c13-b56f-4d1d-91a6-e0a6f9fa425c,0,1,1,B,Ball,SI,14,2.0,3.46,1.73,90.8,82.9,32.59,1.8,50.0,5.41,0.43,0.72,12.26,3.32,-7.68,-131.55,-7.07,21.4,28.89,-26.37,36.0,8.4,24.0,2089,103,572821,,,408045,572821,,0,0,-1,bottom
2018-04-05,529505,7,519240,L,408045,L,61,Walk,8,3,180405_225335,cef2088e-73e6-46a5-949c-973a7965bbea,1,1,1,B,Ball,SI,14,2.0,3.41,1.64,91.4,84.3,33.95,1.62,50.0,5.38,0.43,1.06,10.64,2.74,-6.75,-132.81,-6.17,19.1,27.01,-27.26,32.4,7.2,24.0,1965,102,572821,,,408045,572821,,0,0,-1,bottom
2018-04-05,529505,7,519240,L,408045,L,61,Walk,8,4,180405_225404,5a53608f-e5be-4ddc-bafc-dac47d5f246a,2,2,1,C,Called Strike,SL,13,2.0,3.4,1.61,84.1,79.1,37.24,1.65,50.0,5.41,-0.37,1.57,1.96,-2.46,-5.55,-122.49,-2.0,3.04,19.06,-36.0,3.6,9.6,24.0,2284,29,572821,,,408045,572821,,0,0,-1,bottom
