Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-12,566372,1,594835,L,643217,L,0,Groundout,1,1,190328_231112,f9866893-cefa-47d5-ae40-f08ecd198c1f,0,0,0,X,In play- out(s),SI,8,2.0,3.38,1.74,89.2,82.1,,2.31,50.0,5.64,0.03,1.64,8.38,7.54,-8.63,-129.47,-6.48,14.32,25.42,-19.3,31.2,6.0,24.0,2418,133,,,,,,,0,1,0,top
2019-09-12,566372,1,594835,L,605141,R,1,Single,5,1,190328_231150,1c51b7fb-4bfd-4ce2-9e68-5a867597a150,0,0,1,S,Called Strike,SI,6,2.0,3.31,1.6,89.0,81.8,,2.29,50.0,5.67,0.61,2.24,7.38,9.52,-6.74,-129.26,-5.67,12.57,25.25,-15.95,33.6,4.8,24.0,2327,143,,,,605141,,,0,0,0,top
2019-09-12,566372,1,594835,L,605141,R,1,Single,5,2,190328_231205,f3208e6c-1449-41ed-957a-10a47d6234be,0,1,1,B,Ball,CH,12,2.0,3.22,1.67,80.6,74.1,,2.65,50.0,5.67,1.31,3.04,9.88,4.25,-6.09,-117.22,-0.43,13.8,21.19,-26.24,26.4,8.4,24.0,2189,115,,,,605141,,,0,0,0,top
2019-09-12,566372,1,594835,L,605141,R,1,Single,5,3,190328_231220,365ef733-3d4d-4d08-90fd-d89053b4f57b,1,1,1,B,Ball,CH,13,2.0,3.22,1.64,81.2,75.0,,2.51,50.0,5.37,-0.22,0.27,10.31,6.87,-9.49,-117.62,-7.04,14.53,20.95,-22.49,28.8,7.2,24.0,2154,124,,,,605141,,,0,0,0,top
2019-09-12,566372,1,594835,L,605141,R,1,Single,5,4,190328_231243,8304b860-3798-4a78-9bec-e98a79e0e056,2,1,1,B,Ball,FC,14,2.0,3.33,1.76,84.8,79.0,,2.59,50.0,5.59,1.19,2.01,0.21,5.32,-3.5,-123.48,-3.94,0.33,20.88,-23.83,0.0,6.0,24.0,2304,181,,,,605141,,,0,0,0,top
2019-09-12,566372,1,594835,L,605141,R,1,Single,5,5,190328_231307,82c99b6a-fb0d-4ae2-8e8a-cdf5ccb422b4,3,1,1,X,In play- no out,SI,12,2.0,3.29,1.49,89.1,81.8,,2.32,50.0,5.64,1.01,2.4,8.54,7.61,-6.19,-129.52,-4.57,14.56,26.14,-19.2,33.6,6.0,24.0,2306,132,,,,605141,,,0,0,0,top
2019-09-12,566372,1,594835,L,646240,L,2,Single,5,1,190328_231357,1dd11fce-0b3b-4ca7-9533-82b9d430e084,0,0,1,S,Swinging Strike,FC,1,2.0,3.37,1.53,85.5,79.0,,2.3,50.0,5.63,-0.51,3.24,1.63,8.29,-7.45,-124.4,-2.03,2.59,22.62,-19.05,3.6,4.8,24.0,2389,174,605141,,,646240,605141,,0,0,0,top
2019-09-12,566372,1,594835,L,646240,L,2,Single,5,2,190328_231424,1b64dc24-8453-45b7-99ea-8be5195043f1,0,1,1,B,Ball,FC,11,2.0,3.47,1.71,85.7,78.8,,2.3,50.0,5.62,-0.88,3.53,2.96,7.31,-8.79,-124.52,-0.98,4.68,23.44,-20.62,8.4,4.8,24.0,2397,165,605141,,,646240,605141,,0,0,0,top
2019-09-12,566372,1,594835,L,646240,L,2,Single,5,3,190328_231510,3d7f5744-6a8b-442d-bbe0-9ca6e9f46ee6,1,1,1,B,Ball,SI,11,2.0,3.49,1.76,88.3,81.0,,2.19,50.0,5.66,-1.25,3.08,5.32,8.72,-10.47,-128.16,-3.07,8.89,25.19,-17.6,20.4,4.8,24.0,2258,154,605141,,,646240,605141,,0,0,0,top
2019-09-12,566372,1,594835,L,646240,L,2,Single,5,4,190328_231538,88f10d78-59c5-43d1-87b9-d253b828b403,2,1,1,X,In play- no out,CU,13,2.0,3.37,1.53,76.0,70.3,,2.6,50.0,5.44,-0.4,1.03,-4.73,-8.04,-5.18,-110.36,0.08,-5.81,20.39,-42.05,8.4,14.4,24.0,2363,324,605141,,,646240,605141,,0,0,0,top
