Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-10,565800,10,542882,R,457759,R,86,Hit By Pitch,5,1,190330_062251,9e610018-a696-4bd3-be41-cbf2bc82f888,0,0,2,S,Foul,CH,5,2.0,3.3,1.49,84.5,76.8,,-1.92,50.0,5.86,-0.23,2.69,-5.58,0.55,5.82,-122.67,-1.16,-8.43,26.27,-31.34,13.2,8.4,24.0,2124,262,571771,,,457759,571771,,0,0,0,bottom
2019-09-10,565800,10,542882,R,457759,R,86,Hit By Pitch,5,2,190330_062359,39ff1e07-a87b-4c1e-b862-fdad8b8ab835,0,1,2,S,Called Strike,FF,9,2.0,3.48,1.73,92.5,83.8,,-1.76,50.0,5.64,0.31,1.94,-8.03,11.57,8.23,-134.1,-7.64,-14.5,31.23,-11.27,44.4,3.6,24.0,2437,212,571771,,,457759,571771,,0,0,0,bottom
2019-09-10,565800,10,542882,R,457759,R,86,Hit By Pitch,5,3,190330_062441,c0db81ce-4e64-4f7e-9b70-c475ee4a8d41,0,2,2,B,Ball,CH,14,2.0,3.38,1.6,86.9,80.8,,-1.76,50.0,5.41,2.87,-0.71,-6.89,0.17,13.74,-125.46,-8.79,-11.08,23.29,-31.9,14.4,8.4,24.0,2237,277,571771,,,457759,571771,,0,0,0,bottom
2019-09-10,565800,10,542882,R,457759,R,86,Hit By Pitch,5,4,190330_062535,f261da41-3060-4ad8-a55f-66fb40875081,1,2,2,B,Ball,CH,14,2.0,3.51,1.65,87.0,81.0,,-2.0,50.0,5.52,0.55,1.34,-4.34,2.07,7.81,-126.44,-4.76,-7.13,22.24,-28.78,10.8,7.2,24.0,2178,243,571771,,,457759,571771,,0,0,0,bottom
2019-09-10,565800,10,542882,R,457759,R,86,Hit By Pitch,5,5,190330_062622,d0a98f24-6432-4919-91e5-4f5018bead33,2,2,2,B,Hit By Pitch,CH,11,2.0,3.32,1.51,86.6,78.9,,-2.13,50.0,5.87,-1.59,3.88,-4.32,3.14,2.74,-125.87,0.52,-6.91,26.37,-27.16,13.2,7.2,24.0,2040,229,571771,,,457759,571771,,0,0,0,bottom
2019-09-10,565800,10,542882,R,605131,R,87,Walk,6,1,190330_062744,a892908d-5bf8-44ad-b2f2-fe399fd25444,0,0,2,B,Ball,FF,11,2.0,3.2,1.6,92.8,83.9,,-2.0,50.0,5.68,-0.62,4.12,-4.53,9.69,5.21,-134.82,-1.39,-8.26,31.77,-14.5,25.2,3.6,24.0,2228,201,457759,571771,,605131,457759,571771,0,0,0,bottom
2019-09-10,565800,10,542882,R,605131,R,87,Walk,6,2,190330_063019,366d99c4-238c-43b4-91f5-3776d380f46d,1,0,2,S,Called Strike,FF,11,2.0,3.21,1.56,92.1,83.2,,-2.05,50.0,5.57,-0.8,2.75,-5.56,9.9,5.18,-133.7,-4.66,-9.95,31.68,-14.45,28.8,3.6,24.0,2231,207,457759,571771,,605131,457759,571771,0,0,0,bottom
2019-09-10,565800,10,542882,R,605131,R,87,Walk,6,3,190330_063111,d5d26d46-22ab-46bf-89bf-2d1cd4eee675,1,1,2,S,Foul,CH,5,2.0,3.18,1.5,86.9,79.0,,-2.01,50.0,5.7,0.12,2.56,-5.16,3.8,6.93,-126.17,-2.52,-8.24,27.71,-26.11,14.4,7.2,24.0,2016,229,457759,571771,,605131,457759,571771,0,0,0,bottom
2019-09-10,565800,10,542882,R,605131,R,87,Walk,6,4,190330_063154,a573393f-6fa0-44f1-9c53-a13e35ed6163,1,2,2,B,Ball,FF,11,2.0,3.16,1.65,93.6,84.6,,-1.8,50.0,5.75,-1.08,4.2,-5.25,10.39,3.74,-135.98,-1.72,-9.75,32.15,-12.89,33.6,3.6,24.0,2301,204,457759,571771,,605131,457759,571771,0,0,0,bottom
2019-09-10,565800,10,542882,R,605131,R,87,Walk,6,5,190330_063236,ab190c1e-e7b4-43b9-812d-78d490c95753,2,2,2,B,Ball,FF,11,2.0,3.15,1.7,93.9,84.8,,-1.83,50.0,5.66,-0.46,3.63,-4.02,10.7,5.07,-136.39,-3.17,-7.5,32.82,-12.22,26.4,3.6,24.0,2286,197,457759,571771,,605131,457759,571771,0,0,0,bottom
