Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-03,490108,7,598264,R,474568,R,52,Single,3,1,170403_201341,812774ed-14bb-4b13-b4fa-e669e67748ff,0,0,1,B,Ball,FF,14,2.0,3.46,1.87,95.5,87.1,80.93,-1.11,50.0,6.43,1.11,1.7,-3.28,13.79,7.25,-138.47,-11.91,-6.36,31.63,-5.46,30.0,2.4,24.0,2153,190,543281,,465041,474568,543281,,1,0,4,top
2017-04-03,490108,7,598264,R,474568,R,52,Single,3,2,170403_201407,a9355807-5f5d-4ae4-ac46-3d0eff1658e7,1,0,1,X,In play- run(s),SL,14,2.0,3.92,1.71,87.0,79.6,48.63,-1.37,50.0,6.62,0.92,2.29,2.23,9.37,4.97,-126.38,-7.36,3.59,26.63,-17.08,14.4,4.8,24.0,1858,161,543281,,465041,474568,543281,,1,0,4,top
2017-04-03,490108,7,598264,R,624428,L,53,Walk,5,1,170403_201458,234656b8-4831-475f-b990-c7c6036f847e,0,0,1,B,Ball,CU,11,2.0,3.22,1.56,79.3,73.1,57.83,-1.63,50.0,6.8,-1.36,2.39,-0.42,-5.29,0.74,-115.35,-1.38,-0.57,22.09,-39.27,1.2,12.0,24.0,1992,356,474568,543281,,624428,474568,543281,0,0,3,top
2017-04-03,490108,7,598264,R,624428,L,53,Walk,5,2,170403_201520,8d658f3b-aca6-41c7-9d40-ab1556fe008c,1,0,1,S,Called Strike,CU,5,2.0,3.45,1.7,79.3,73.3,19.07,-1.37,50.0,6.85,-0.15,2.58,1.08,-5.81,2.46,-115.48,-0.94,1.46,21.76,-40.01,2.4,12.0,24.0,2112,13,474568,543281,,624428,474568,543281,0,0,3,top
2017-04-03,490108,7,598264,R,624428,L,53,Walk,5,3,170403_201546,2cb886cc-df8a-4511-891b-b7233e8122e9,1,1,1,B,Ball,FF,14,2.0,3.39,1.61,95.4,87.7,45.58,-1.25,50.0,6.27,0.96,0.34,-1.79,12.78,6.67,-138.2,-14.84,-3.48,29.66,-7.37,10.8,2.4,24.0,2215,185,474568,543281,,624428,474568,543281,0,0,3,top
2017-04-03,490108,7,598264,R,624428,L,53,Walk,5,4,170403_201626,cd332d71-7115-4708-97fe-328a56966f68,2,1,1,B,Ball,CU,11,2.0,3.52,1.59,79.9,73.2,56.66,-1.55,50.0,6.87,-1.09,3.43,2.64,-4.34,0.28,-116.26,0.45,3.59,23.22,-38.07,6.0,10.8,24.0,2028,33,474568,543281,,624428,474568,543281,0,0,3,top
2017-04-03,490108,7,598264,R,624428,L,53,Walk,5,5,170403_201650,61675cf1-5ca3-4c40-8caf-7f8950fa1bfe,3,1,1,B,Ball,FF,11,2.0,3.44,1.64,95.4,86.4,64.61,-1.4,50.0,6.44,-1.03,3.44,-4.64,12.25,2.65,-138.82,-6.63,-8.96,34.08,-8.52,39.6,2.4,24.0,2320,200,474568,543281,,624428,474568,543281,0,0,3,top
2017-04-03,490108,7,598264,R,516782,R,54,Sac Fly,2,1,170403_201814,f187414c-1fa8-4b88-8777-ed7042360473,0,0,1,S,Foul Tip,FF,2,2.0,3.73,1.46,95.5,86.8,43.54,-1.16,50.0,6.51,-0.03,2.9,-4.15,13.68,4.58,-138.9,-8.83,-8.05,33.15,-5.64,42.0,2.4,24.0,2214,195,624428,474568,543281,,,,1,1,3,top
2017-04-03,490108,7,598264,R,516782,R,54,Sac Fly,2,2,170403_201839,daef96af-2201-4c54-b9c7-c50af36e7309,0,1,1,X,In play- run(s),FF,6,2.0,3.73,1.46,96.0,87.2,33.74,-1.19,50.0,6.36,0.39,2.47,-0.9,13.99,4.66,-139.52,-9.82,-1.77,33.4,-4.79,4.8,1.2,24.0,2199,181,624428,474568,543281,,,,1,1,3,top
2017-04-03,490108,7,598264,R,457705,R,55,Strikeout,5,1,170403_201944,74d25d76-1c99-46c9-a4cb-f4353105b0d9,0,0,2,B,Ball,CU,14,2.0,3.61,1.83,80.1,74.0,93.35,-1.36,50.0,6.71,0.6,1.64,1.54,-4.82,4.04,-116.5,-3.21,2.11,22.9,-38.77,3.6,12.0,24.0,2050,22,,,,,,,0,1,2,top
