Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-29,529411,8,456713,R,608324,R,54,Flyout,1,1,180329_215849,9c11738f-16a6-4ea7-a1cf-766cccccf586,0,0,0,X,In play- out(s),FF,2,2.0,3.11,1.34,96.0,86.5,42.17,-0.71,50.0,5.46,0.1,2.69,-1.27,12.34,2.66,-139.53,-6.1,-2.46,35.51,-8.18,10.8,2.4,24.0,2494,184,,,,,,,0,1,-3,top
2018-03-29,529411,8,456713,R,514888,R,55,Walk,6,1,180329_215929,b903edcf-820b-4277-a806-6a579a8b91ac,0,0,1,B,Ball,CU,14,2.0,2.99,1.36,80.0,74.1,80.19,-0.86,50.0,5.42,0.93,0.87,5.31,-6.36,2.54,-116.39,-1.55,7.28,21.97,-40.9,10.8,12.0,24.0,2567,41,,,,514888,,,0,0,-3,top
2018-03-29,529411,8,456713,R,514888,R,55,Walk,6,2,180329_215949,8d6b7043-e8e2-4c26-9b4c-d3bf6821d518,1,0,1,B,Ball,FC,14,2.0,2.99,1.34,90.8,84.2,38.42,-0.91,50.0,5.12,1.12,0.2,1.98,3.61,4.65,-131.92,-7.93,3.52,25.82,-25.75,9.6,6.0,24.0,2682,139,,,,514888,,,0,0,-3,top
2018-03-29,529411,8,456713,R,514888,R,55,Walk,6,3,180329_220015,bc0d883d-2556-4977-863a-9b216d498c6f,2,0,1,B,Ball,FF,14,2.0,3.0,1.35,96.2,88.5,56.88,-0.7,50.0,5.32,0.78,1.22,-1.86,10.02,4.76,-139.74,-9.16,-3.7,29.45,-12.23,10.8,2.4,24.0,2494,188,,,,514888,,,0,0,-3,top
2018-03-29,529411,8,456713,R,514888,R,55,Walk,6,4,180329_220032,f761cf3e-832f-4de2-b6ba-05440bdaa536,3,1,1,C,Called Strike,FF,14,2.0,3.01,1.34,96.3,88.4,51.7,-0.75,50.0,5.35,0.73,1.54,-1.68,10.41,4.72,-139.98,-8.48,-3.34,30.43,-11.44,9.6,2.4,24.0,2516,186,,,,514888,,,0,0,-3,top
2018-03-29,529411,8,456713,R,514888,R,55,Walk,6,5,180329_220052,72819363-9310-4293-800c-291ec909e011,3,2,1,C,Called Strike,FF,6,2.0,2.99,1.36,96.1,88.1,38.47,-0.81,50.0,5.37,0.65,2.29,-0.33,10.16,4.16,-139.72,-6.33,-0.65,30.59,-12.02,1.2,2.4,24.0,2603,179,,,,514888,,,0,0,-3,top
2018-03-29,529411,8,456713,R,514888,R,55,Walk,6,6,180329_220117,90d54d8a-ce13-46c0-a9d2-0ec0e3190e7a,3,2,1,B,Ball,FC,14,2.0,2.99,1.34,90.3,83.3,45.67,-1.0,50.0,5.07,0.96,-0.12,3.63,2.38,3.86,-131.18,-8.04,6.33,27.45,-28.02,13.2,7.2,24.0,2641,111,,,,514888,,,0,0,-3,top
2018-03-29,529411,8,456713,R,621043,R,56,Double,3,1,180329_220228,933ba660-5f0c-4f36-8b2f-88dbcf8a5684,0,0,1,E,In play- run(s),FF,5,2.0,3.5,1.53,95.2,86.4,32.7,-0.81,50.0,5.46,-0.02,2.4,-0.64,11.16,2.38,-138.41,-6.38,-1.24,32.92,-10.67,3.6,2.4,24.0,2464,181,514888,,,,621043,,1,0,-3,top
2018-03-29,529411,8,456713,R,503556,L,57,Walk,4,1,180329_220329,0a4fb92d-c220-4843-bc7a-6f9b769c3b42,0,0,1,B,Ball,FF,14,2.0,3.76,1.72,96.0,87.0,34.27,-0.61,50.0,5.42,1.48,2.48,-1.2,11.27,6.17,-139.35,-6.19,-2.34,33.62,-10.2,4.8,2.4,24.0,2481,182,,621043,,503556,621043,,0,0,-4,top
2018-03-29,529411,8,456713,R,503556,L,57,Walk,4,2,180329_221336,a222657f-738b-469d-ae97-4661ead8a95c,1,0,1,B,Ball,FF,13,2.0,3.76,1.71,95.0,86.8,43.63,-1.11,50.0,5.39,-1.1,2.67,-1.02,10.24,0.36,-138.33,-5.15,-1.98,31.15,-12.36,8.4,2.4,24.0,2398,185,,621043,,503556,621043,,0,0,-4,top
2018-03-29,529411,8,456713,R,503556,L,57,Walk,4,3,180329_221336,8fdbf109-210f-4b23-8387-6968a5bb317d,2,0,1,B,Ball,CU,11,2.0,3.7,1.72,77.3,70.3,30.76,-1.14,50.0,5.76,-1.27,5.03,6.4,-5.94,-2.11,-112.01,7.39,8.1,20.89,-39.69,10.8,12.0,24.0,2341,52,,621043,,503556,621043,,0,0,-4,top
2018-03-29,529411,8,456713,R,503556,L,57,Walk,4,4,180329_221341,2cff6ce0-8687-4835-8a37-89c5ec26e6d5,3,0,1,B,Ball,FF,11,2.0,3.74,1.7,95.4,86.8,41.55,-0.91,50.0,5.41,-1.03,2.84,-3.97,7.66,1.09,-138.71,-3.87,-7.71,32.29,-17.31,22.8,3.6,24.0,2523,207,,621043,,503556,621043,,0,0,-4,top
2018-03-29,529411,8,456713,R,502210,L,58,Strikeout,4,1,180329_220626,9ce59726-c90a-495e-b2cd-3e241c0e1ac6,0,0,1,B,Ball,FF,14,2.0,3.34,1.62,94.7,86.4,66.4,-0.66,50.0,5.42,0.9,2.14,-1.8,10.13,4.89,-137.58,-6.56,-3.45,31.11,-12.8,9.6,3.6,24.0,2414,187,503556,621043,,503556,621043,,0,1,-4,top
2018-03-29,529411,8,456713,R,502210,L,58,Strikeout,4,2,180329_220649,4ab3efaa-b660-430f-b7e9-8e516429d5dc,1,1,1,F,Foul,FF,2,2.0,3.14,1.45,96.1,87.1,28.94,-0.74,50.0,5.47,-0.02,3.02,-1.35,10.29,2.46,-139.75,-4.55,-2.65,33.93,-11.99,8.4,2.4,24.0,2409,186,503556,621043,,503556,621043,,0,1,-4,top
2018-03-29,529411,8,456713,R,502210,L,58,Strikeout,4,3,180329_220710,b2b3e8bd-f131-40af-9001-b91b77d03c29,1,2,1,C,Called Strike,CU,1,2.0,3.32,1.58,78.8,73.2,39.2,-1.18,50.0,5.5,-0.66,3.15,5.47,-3.05,-0.43,-114.7,2.63,7.38,18.63,-36.28,12.0,10.8,24.0,2458,64,503556,621043,,503556,621043,,0,1,-4,top
2018-03-29,529411,8,456713,R,502210,L,58,Strikeout,4,4,180329_220730,29c35336-76ab-4bbd-a393-26249c724122,1,2,1,S,Swinging Strike,CU,14,2.0,3.14,1.45,80.0,74.3,37.71,-1.13,50.0,5.29,0.45,1.15,5.08,-6.42,2.11,-116.41,-0.61,7.01,21.0,-41.02,9.6,12.0,24.0,2511,40,503556,621043,,503556,621043,,0,1,-4,top
2018-03-29,529411,8,456713,R,594828,R,59,Strikeout,6,1,180329_220810,4b20c4ca-7e6c-4ca2-95bb-34e0b8e18584,0,1,2,C,Called Strike,FC,4,2.0,3.41,1.59,89.8,83.3,36.51,-1.04,50.0,5.3,-0.26,2.47,1.58,2.82,1.49,-130.78,-2.1,2.78,23.94,-27.22,6.0,6.0,24.0,2630,147,503556,621043,,,,,0,1,-4,top
2018-03-29,529411,8,456713,R,594828,R,59,Strikeout,6,2,180329_220828,834019cc-09a1-4208-bc03-2a4bd61fbbb3,0,2,2,C,Called Strike,CU,14,2.0,3.2,1.56,79.7,73.2,42.39,-1.09,50.0,5.37,1.04,2.01,5.86,-4.45,3.12,-115.81,0.68,7.93,22.36,-38.2,12.0,12.0,24.0,2547,56,503556,621043,,,,,0,1,-4,top
2018-03-29,529411,8,456713,R,594828,R,59,Strikeout,6,3,180329_220851,d90540f7-0917-42e9-858c-ea0f7e5881c9,0,2,2,B,Ball,FC,14,2.0,3.31,1.54,90.3,83.0,58.22,-0.89,50.0,5.18,0.9,1.46,0.49,3.32,4.46,-131.3,-4.58,0.86,27.4,-26.37,3.6,6.0,24.0,2812,160,503556,621043,,,,,0,1,-4,top
2018-03-29,529411,8,456713,R,594828,R,59,Strikeout,6,4,180329_220912,4bafe979-38e7-4cc7-9322-5088510d03fe,1,2,2,B,Ball,FF,14,2.0,3.41,1.62,96.1,87.6,39.66,-0.75,50.0,5.29,0.26,1.42,-0.98,8.87,3.13,-139.6,-7.97,-1.93,32.63,-14.75,4.8,3.6,24.0,2591,184,503556,621043,,,,,0,1,-4,top
