Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-06-29,530625,8,571602,R,607387,R,68,Pop Out,2,1,180630_024659,d77c9506-ade7-43a1-8885-c9bf2d763005,0,0,0,B,Ball,FF,12,2.0,3.57,1.6,88.3,80.5,64.37,-2.46,50.0,5.95,1.27,2.98,-2.95,10.68,10.4,-128.05,-4.64,-4.89,27.04,-14.49,9.6,3.6,24.0,2244,189,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,607387,R,68,Pop Out,2,2,180630_024720,c471ba0e-a1e7-4d69-8756-96c19b7b20f5,1,0,0,X,In play- out(s),FF,8,2.0,3.6,1.55,88.1,80.0,28.8,-2.5,50.0,5.78,0.15,1.98,-3.53,11.57,7.82,-127.71,-6.91,-5.8,28.04,-13.2,15.6,3.6,24.0,2195,192,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,624636,R,69,Lineout,6,1,180630_024750,8983528f-d73d-4e20-afbf-572a368ebc1f,0,0,1,B,Ball,FF,12,2.0,3.54,1.55,88.8,81.1,71.57,-2.41,50.0,6.05,0.66,3.86,-2.69,9.71,8.7,-128.97,-2.48,-4.53,26.97,-15.83,9.6,3.6,24.0,2206,189,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,624636,R,69,Lineout,6,2,180630_024805,7179624f-9597-4459-bb34-f3c9704d643b,1,1,1,F,Foul,FF,4,2.0,3.79,1.52,88.9,81.3,32.8,-2.42,50.0,5.88,-0.45,2.88,-2.13,9.73,5.74,-129.21,-4.57,-3.6,27.04,-15.73,8.4,3.6,24.0,2184,188,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,624636,R,69,Lineout,6,3,180630_024822,30f6e01c-a6a0-4f2d-bac0-ba23a50f3a95,1,1,1,B,Ball,SL,11,2.0,3.58,1.62,79.1,72.1,45.88,-2.56,50.0,5.93,-1.24,3.22,1.08,2.79,2.66,-114.95,0.15,1.43,22.64,-28.46,3.6,8.4,24.0,1382,154,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,624636,R,69,Lineout,6,4,180630_024837,2ed1ea58-577a-4f8e-b6fb-40835ca46137,2,1,1,B,Ball,CU,11,2.0,3.46,1.55,68.8,63.9,31.45,-2.41,50.0,6.39,-1.0,5.08,5.66,-7.69,1.34,-99.76,7.5,5.78,13.99,-40.03,8.4,15.6,24.0,2350,42,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,624636,R,69,Lineout,6,5,180630_024857,b7d4b9a1-350d-41e7-ab17-40df31596edf,3,2,1,F,Foul,FF,12,2.0,3.79,1.53,88.6,81.2,31.06,-2.33,50.0,6.0,0.09,3.79,-2.09,8.69,6.85,-128.81,-2.17,-3.52,25.97,-17.53,7.2,4.8,24.0,2106,188,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,624636,R,69,Lineout,6,6,180630_024913,85777fa2-402a-46a4-b6b7-24b2d0819861,3,2,1,X,In play- out(s),CU,14,2.0,3.79,1.53,72.5,67.0,46.73,-2.36,50.0,6.03,1.19,1.65,7.99,-9.44,5.2,-105.38,1.23,8.89,19.79,-42.67,13.2,15.6,24.0,2525,44,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,596059,L,70,Strikeout,5,1,180630_024946,5fe6e87a-b6ef-45c0-9f91-427eb53956b6,0,0,2,S,Swinging Strike,CH,8,2.0,3.02,1.26,79.3,72.3,42.36,-2.52,50.0,5.76,-0.07,1.78,-3.68,3.61,6.64,-115.12,-2.97,-4.89,23.21,-27.37,7.2,8.4,24.0,,218,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,596059,L,70,Strikeout,5,2,180630_025000,d9a1a3db-08ed-46c2-8c41-c9f034d21ce7,0,1,2,S,Swinging Strike,CU,7,2.0,3.02,1.26,72.2,67.2,30.08,-2.64,50.0,5.98,-0.49,1.7,7.15,-8.12,2.52,-105.08,1.06,7.99,17.79,-41.25,12.0,15.6,24.0,2442,44,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,596059,L,70,Strikeout,5,3,180630_025013,101bd1b5-0b9e-4a08-9d28-ef66a9d17b7a,0,2,2,B,Ball,FF,11,2.0,3.08,1.33,91.9,83.8,38.17,-2.75,50.0,5.93,-1.25,5.08,-3.31,8.51,5.09,-133.71,0.94,-5.99,28.88,-16.77,16.8,3.6,24.0,2094,197,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,596059,L,70,Strikeout,5,4,180630_025032,ff8a6ccf-3bda-41d8-b289-4076b7cb6ddb,1,2,2,F,Foul,CU,13,2.0,3.02,1.26,71.3,66.5,3.88,-2.86,50.0,5.98,-1.66,2.1,6.7,-7.98,0.68,-103.7,2.01,7.34,16.41,-40.91,10.8,15.6,24.0,2471,42,,,,,,,0,1,-8,bottom
2018-06-29,530625,8,571602,R,596059,L,70,Strikeout,5,5,180630_025046,eecf843f-e606-4bcb-a05d-d24d59a765ed,1,2,2,S,Swinging Strike,SL,13,2.0,3.02,1.26,78.9,72.2,35.17,-2.72,50.0,5.67,-0.73,1.92,0.45,5.37,4.36,-114.77,-2.92,0.6,22.45,-25.05,3.6,8.4,24.0,,167,,,,,,,0,1,-8,bottom
2018-07-27,530969,9,571602,R,434778,L,70,Lineout,4,1,180728_025732,59a1041b-9225-4f34-8c34-04fe35ed4de3,0,1,0,C,Called Strike,FT,3,2.0,3.56,1.69,89.6,81.8,47.09,-2.57,50.0,5.9,0.48,3.08,-8.11,8.11,10.52,-129.96,-3.67,-13.86,27.21,-18.3,31.2,4.8,24.0,2115,221,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,434778,L,70,Lineout,4,2,180728_025750,4a50d4a5-8beb-4c0c-9012-d8eb610c356b,0,2,0,F,Foul,FT,11,2.0,3.66,1.74,90.6,82.7,57.83,-2.88,50.0,5.78,-0.99,3.07,-7.82,8.0,7.56,-131.71,-3.55,-13.72,28.13,-18.14,32.4,4.8,24.0,2201,221,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,434778,L,70,Lineout,4,3,180728_025805,158cc936-8f9b-415e-bd27-7fe4a555777d,0,2,0,B,Ball,SL,11,2.0,3.56,1.72,78.2,71.2,14.18,-2.99,50.0,6.06,-2.99,5.05,0.21,3.63,-0.06,-113.63,3.86,0.27,21.35,-27.44,0.0,8.4,24.0,,177,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,434778,L,70,Lineout,4,4,180728_025822,4eab59bb-e8ff-432a-b90c-a2672236bcdf,1,2,0,X,In play- out(s),SL,9,2.0,3.61,1.69,79.4,72.9,32.3,-2.66,50.0,5.84,0.35,1.91,0.36,3.62,6.75,-115.37,-2.92,0.49,22.01,-27.3,3.6,8.4,24.0,,158,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,500208,L,71,Groundout,2,1,180728_025852,312fcd6d-d3d9-48f0-8a93-fd112ee3d30d,0,1,1,C,Called Strike,CU,8,2.0,3.4,1.65,70.3,64.8,71.09,-2.55,50.0,6.02,0.12,1.67,4.02,-9.35,4.32,-102.11,1.72,4.19,18.62,-41.93,6.0,16.8,24.0,2403,28,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,500208,L,71,Groundout,2,2,180728_025908,d17fb62f-85bd-42c2-b162-9ce9815fac67,0,1,1,X,In play- out(s),CU,6,2.0,3.35,1.62,73.4,67.5,21.74,-2.77,50.0,6.05,0.42,2.28,5.07,-8.79,5.3,-106.6,2.16,5.78,20.02,-42.19,8.4,15.6,24.0,2367,36,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,606192,R,72,Groundout,4,1,180728_025942,29053235-4d0e-4609-8819-82fef1b3afb7,0,0,2,B,Ball,FT,14,2.0,3.61,1.65,91.2,83.5,42.25,-2.17,50.0,5.79,2.35,1.43,-6.37,9.41,13.91,-131.82,-8.38,-11.23,27.54,-15.58,26.4,4.8,24.0,2209,208,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,606192,R,72,Groundout,4,2,180728_025958,37b14fa2-73fd-46f8-814c-380f4bf2365c,1,1,2,C,Called Strike,FT,14,2.0,3.52,1.62,90.0,82.0,52.03,-2.29,50.0,5.89,0.88,2.56,-6.89,7.65,10.47,-130.42,-4.86,-11.83,28.02,-19.02,25.2,4.8,24.0,2033,217,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,606192,R,72,Groundout,4,3,180728_030014,818c9b1a-f69e-40f6-a094-93ff88b52ee7,1,1,2,S,Swinging Strike,CU,13,2.0,3.54,1.59,72.0,66.1,33.91,-2.61,50.0,5.94,-0.36,1.21,5.07,-8.9,3.26,-104.58,0.51,5.52,20.2,-41.88,8.4,15.6,24.0,2395,33,,,,,,,0,1,-8,top
2018-07-27,530969,9,571602,R,606192,R,72,Groundout,4,4,180728_030039,02f7a705-7861-46d4-84c1-5944d37914ed,1,2,2,X,In play- out(s),SL,14,2.0,3.54,1.6,81.6,74.5,46.46,-2.41,50.0,5.8,1.12,1.89,0.38,5.57,8.11,-118.38,-3.89,0.53,24.15,-24.33,4.8,7.2,24.0,654,163,,,,,,,0,1,-8,top
2018-08-06,531099,9,571602,R,458731,L,64,Groundout,5,1,180807_025124,830eeae2-78f9-4b56-9d67-9a324649dccb,0,0,0,B,Ball,FT,11,0.91,3.07,1.46,88.8,81.8,54.64,-2.72,50.0,5.78,-0.37,3.32,-7.85,6.51,8.64,-129.01,-2.16,-13.35,24.51,-21.1,28.8,6.0,24.0,2132,227,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,458731,L,64,Groundout,5,2,180807_025139,47ca7a70-4f41-45ff-9275-0a6c3cc0af1c,1,1,0,C,Called Strike,CU,12,0.9,3.05,1.35,70.8,65.0,26.2,-2.64,50.0,6.1,0.12,3.18,4.88,-7.84,4.31,-102.75,4.12,5.17,18.34,-40.48,8.4,15.6,24.0,2259,39,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,458731,L,64,Groundout,5,3,180807_025156,49e3f62d-1343-450f-8774-b015294d6d39,1,2,0,F,Foul,FF,12,0.66,3.09,1.46,91.0,83.5,23.64,-2.44,50.0,5.76,1.33,2.92,-4.28,8.78,11.3,-131.93,-4.23,-7.58,26.55,-16.61,16.8,3.6,24.0,2057,199,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,458731,L,64,Groundout,5,4,180807_025240,48b8bd8a-d278-4404-b11d-02e8c0c05765,1,2,0,F,Foul,CU,11,0.9,3.09,1.46,72.2,66.1,36.93,-2.71,50.0,5.99,-1.26,2.58,5.35,-8.47,1.55,-104.84,3.04,5.89,19.56,-41.5,8.4,15.6,24.0,2249,36,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,458731,L,64,Groundout,5,5,180807_025300,115fd08d-8190-4b25-9c9d-0dd5f27248e5,1,2,0,X,In play- out(s),FF,2,0.93,3.09,1.46,91.7,84.4,30.52,-2.54,50.0,5.79,0.15,3.02,-3.01,9.22,8.11,-133.24,-4.4,-5.45,26.46,-15.46,13.2,3.6,24.0,2132,193,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,519317,R,65,Strikeout,5,1,180807_025332,222bf5c1-81a0-4dc0-bbba-42caa03cc034,0,1,1,F,Foul,FF,14,0.93,3.73,1.73,91.6,84.0,60.26,-2.52,50.0,5.75,0.76,2.48,-2.48,9.4,9.46,-132.94,-5.68,-4.46,27.59,-15.3,8.4,3.6,24.0,2117,188,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,519317,R,65,Strikeout,5,2,180807_025350,9580d74d-ffed-4746-8dff-4bac2bd91f1a,0,1,1,B,Ball,FF,12,0.88,3.87,1.88,91.3,83.3,35.98,-2.42,50.0,6.01,0.64,4.62,-3.15,8.35,9.08,-132.58,-0.35,-5.6,28.33,-17.3,12.0,3.6,24.0,2118,193,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,519317,R,65,Strikeout,5,3,180807_025406,607fc6d5-dc27-4c01-8610-7296702d43e5,1,2,1,F,Foul,FF,3,0.83,3.73,1.73,91.1,83.4,40.16,-2.42,50.0,5.86,0.51,3.24,-3.5,7.61,8.84,-132.28,-3.27,-6.22,27.76,-18.66,13.2,4.8,24.0,1935,198,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,519317,R,65,Strikeout,5,4,180807_025422,f71bad5f-f25b-42b9-b57e-6aef4d067171,1,2,1,F,Foul,CU,11,0.9,3.73,1.73,72.4,65.6,34.63,-2.54,50.0,6.15,-0.4,3.77,5.88,-8.76,2.84,-104.99,5.27,6.45,20.78,-41.77,9.6,15.6,24.0,2333,40,,,,,,,0,1,-7,top
2018-08-06,531099,9,571602,R,519317,R,65,Strikeout,5,5,180807_025438,61be453f-afc8-485b-8a02-40b387580651,1,3,1,W,Swinging Strike (Blocked),CU,13,0.91,3.73,1.73,71.4,65.8,7.98,-2.5,50.0,5.86,-0.14,0.71,4.93,-9.27,3.5,-103.7,-0.15,5.29,19.63,-42.12,7.2,15.6,24.0,2434,31,,,,,,,0,1,-7,top
