Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-26,490419,8,594840,L,506560,L,75,Single,2,1,170427_035058,05afd3c9-fd7e-458e-b939-ef545ed521f5,0,1,2,C,Called Strike,SI,2,2.0,2.91,1.3,89.0,81.7,41.42,0.99,50.0,6.13,0.1,2.4,8.81,4.14,-5.21,-129.15,-4.6,14.93,26.07,-25.17,27.6,7.2,24.0,1762,109,,467827,,506560,,,1,0,8,bottom
2017-04-26,490419,8,594840,L,506560,L,75,Single,2,2,170427_035117,cd35e06d-5fcd-46d8-8394-eddda101e51b,0,1,2,E,In play- run(s),SI,5,2.0,2.91,1.3,89.9,82.6,29.65,0.97,50.0,5.99,0.09,2.02,8.75,6.3,-5.21,-130.46,-6.13,15.16,26.15,-21.26,32.4,6.0,24.0,1671,121,,467827,,506560,,,1,0,8,bottom
2017-04-26,490419,8,594840,L,547172,L,76,Groundout,1,1,170427_035200,9bd4b118-25e6-4a21-ba79-a708a49fc683,0,0,2,X,In play- out(s),SI,4,2.0,3.05,1.43,89.2,81.8,49.26,0.86,50.0,6.03,-0.45,2.17,9.83,5.53,-6.62,-129.32,-5.43,16.7,26.07,-22.78,32.4,7.2,24.0,1668,114,506560,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,642162,R,80,Groundout,4,1,170427_035926,d957e3d7-97d4-41b9-b345-08a5e318603a,0,0,0,B,Ball,CH,14,2.0,3.12,1.51,87.0,80.6,83.53,1.23,50.0,6.15,1.06,1.54,7.86,3.17,-3.0,-126.39,-6.14,12.82,23.74,-27.01,24.0,7.2,24.0,1656,103,,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,642162,R,80,Groundout,4,2,170427_035942,63dde8b6-e7f5-4dae-b2ba-782489db46d8,1,1,0,C,Called Strike,CH,6,2.0,3.03,1.55,88.2,81.5,38.06,1.28,50.0,5.97,0.57,2.38,6.69,6.6,-4.0,-128.09,-4.98,11.25,23.46,-21.07,25.2,6.0,24.0,1618,130,,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,642162,R,80,Groundout,4,3,170427_035959,1404702e-fcdf-4493-b834-cd4ddfc441a7,1,2,0,F,Foul,SI,4,2.0,3.02,1.4,88.9,82.2,38.76,1.16,50.0,5.85,-0.26,2.42,8.35,4.21,-6.41,-129.07,-3.91,14.25,23.91,-24.98,27.6,7.2,24.0,1700,111,,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,642162,R,80,Groundout,4,4,170427_040020,f11e3332-fe60-497b-ac41-880e7d24fc99,1,2,0,X,In play- out(s),SL,7,2.0,2.97,1.36,81.6,75.4,33.68,1.25,50.0,5.89,-0.27,1.58,-2.58,1.29,-2.77,-118.59,-3.66,-3.69,21.79,-30.32,7.2,8.4,24.0,1903,268,,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,453568,L,81,Groundout,2,1,170427_040303,0bc7665d-452b-4e6b-9d77-b435c3ac35de,0,1,1,C,Called Strike,SI,5,2.0,3.28,1.52,90.0,82.9,36.09,1.26,50.0,6.11,-0.05,2.28,7.5,5.78,-5.92,-130.6,-5.62,13.06,25.37,-22.12,27.6,6.0,24.0,1604,123,,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,453568,L,81,Groundout,2,2,170427_040318,e9cbd644-76d0-4165-82b3-5518efb33258,0,1,1,X,In play- out(s),SI,1,2.0,3.4,1.59,89.6,83.0,41.16,0.95,50.0,6.03,-0.26,2.9,7.9,3.41,-5.79,-130.19,-3.03,13.75,23.61,-26.25,25.2,7.2,24.0,1651,108,,,,,,,0,1,7,bottom
2017-04-26,490419,9,594840,L,518934,R,82,Groundout,4,1,170427_040356,0045328c-1d8f-4d39-a38e-f6ee87f833af,0,0,2,B,Ball,SI,13,2.0,3.93,1.93,89.5,83.1,61.99,1.2,50.0,5.97,-0.9,1.14,9.07,4.17,-8.47,-129.72,-7.6,15.68,23.46,-24.96,28.8,7.2,24.0,1602,108,,,,,,,0,1,7,bottom
