Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-11,565895,8,594840,L,429664,L,55,Single,3,1,190328_191830,d6144353-186d-4dda-83a6-b9a73d8c3128,0,0,2,S,Called Strike,SL,13,2.0,3.73,1.72,83.1,77.4,,1.22,50.0,5.82,-0.38,1.41,-3.17,2.06,-2.86,-120.96,-4.51,-4.75,20.95,-29.08,9.6,8.4,24.0,1909,243,624413,642086,,429664,542979,,1,0,-1,top
2019-09-11,565895,8,594840,L,429664,L,55,Single,3,2,190328_191852,a66f4bce-3903-438b-abda-73669e3ff018,0,1,2,B,Ball,SI,14,2.0,3.63,1.59,92.1,85.1,,0.93,50.0,5.91,0.79,1.31,7.87,5.83,-3.08,-133.91,-8.17,14.4,26.85,-21.5,31.2,6.0,24.0,1909,123,624413,642086,,429664,542979,,1,0,-1,top
2019-09-11,565895,8,594840,L,429664,L,55,Single,3,3,190328_191923,13fc15cc-1e9a-446f-9d0b-b4e5c750a6ee,1,1,2,X,In play- run(s),SI,14,2.0,3.36,1.53,91.3,84.5,,0.91,50.0,5.92,1.11,2.29,7.24,4.89,-1.94,-132.93,-5.14,13.09,25.86,-23.35,27.6,6.0,24.0,1737,122,624413,642086,,429664,542979,,1,0,-1,top
2019-09-11,565895,8,594840,L,624424,L,56,Pop Out,1,1,190328_192048,5dab0a0b-2783-41d6-83ea-cc2c0e1416a1,0,0,2,X,In play- out(s),SL,4,2.0,3.4,1.57,84.6,78.0,,1.06,50.0,5.99,-0.54,2.66,-2.35,2.18,-3.13,-123.04,-2.16,-3.61,23.53,-28.82,8.4,7.2,24.0,2112,232,429664,542979,,,,,0,1,-2,top
2019-09-11,565896,8,594840,L,429664,L,66,Strikeout,6,1,190330_195134,8913a1be-f252-4bd5-a351-37af6aefacea,0,0,2,S,Called Strike,SL,7,2.0,3.64,1.68,82.3,77.2,,1.26,50.0,5.89,-0.4,2.09,-2.51,0.25,-3.17,-119.9,-2.4,-3.73,18.88,-31.81,7.2,8.4,24.0,1970,266,,624413,,,,,0,1,-4,top
2019-09-11,565896,8,594840,L,429664,L,66,Strikeout,6,2,190330_195153,7e885450-abe5-411a-9ef4-45953f64693e,0,1,2,S,Foul,SI,12,2.0,3.37,1.53,90.6,83.8,,1.24,50.0,5.98,1.57,2.46,7.18,2.56,-1.56,-131.88,-3.93,12.76,25.9,-27.63,24.0,7.2,24.0,1737,107,,624413,,,,,0,1,-4,top
2019-09-11,565896,8,594840,L,429664,L,66,Strikeout,6,3,190330_195228,2f867ee0-013f-4a30-897f-501f194b9937,0,2,2,B,Ball In Dirt,SL,13,2.0,3.5,1.63,83.4,77.5,,1.17,50.0,5.71,-1.25,0.08,-2.09,2.94,-5.14,-121.16,-7.73,-3.12,22.27,-27.78,7.2,8.4,24.0,1914,231,,624413,,,,,0,1,-4,top
2019-09-11,565896,8,594840,L,429664,L,66,Strikeout,6,4,190330_195252,c1ddeb27-0a8e-4165-8641-df4187ed63c6,1,2,2,B,Ball,SL,13,2.0,3.54,1.64,83.1,77.2,,0.94,50.0,5.75,-2.45,1.11,-1.6,0.32,-7.61,-120.73,-4.48,-2.37,21.99,-31.7,6.0,8.4,24.0,2036,271,,624413,,,,,0,1,-4,top
2019-09-11,565896,8,594840,L,429664,L,66,Strikeout,6,5,190330_195318,6d3fe6c9-a095-4959-bae3-2f23457cf2f8,2,1,2,S,Foul,SI,5,2.0,3.37,1.53,91.5,84.3,,0.96,50.0,5.81,-0.01,2.4,9.06,3.68,-5.67,-133.12,-4.12,16.35,27.08,-25.54,30.0,7.2,24.0,1827,111,,624413,,,,,0,1,-4,top
2019-09-11,565896,8,594840,L,429664,L,66,Strikeout,6,6,190330_195345,6ca3da4f-8277-4e0b-a6ab-c3fc539ffe25,2,2,2,S,Swinging Strike,SI,12,2.0,3.37,1.53,90.7,83.3,,0.86,50.0,5.97,0.84,3.0,5.25,4.48,-1.82,-132.03,-3.1,9.3,27.39,-24.25,19.2,6.0,24.0,1828,130,,624413,,,,,0,1,-4,top
2019-09-11,565896,9,594840,L,624424,L,73,Single,3,1,190330_201506,6007061c-c8fb-4fa6-9159-97f50557e6a1,0,0,0,S,Foul,SI,14,2.0,3.41,1.56,88.2,81.7,,1.15,50.0,6.0,0.89,1.97,7.05,2.77,-2.98,-128.37,-4.84,11.86,24.51,-27.52,21.6,7.2,24.0,1631,109,,,,624424,,,0,0,-4,top
2019-09-11,565896,9,594840,L,624424,L,73,Single,3,2,190330_201519,7bfd1620-2cf1-43c6-a46e-a68773912482,0,1,0,S,Swinging Strike,SI,14,2.0,3.41,1.56,89.4,82.4,,0.96,50.0,5.93,1.27,1.49,10.29,4.01,-2.64,-129.94,-6.47,17.64,26.47,-25.29,32.4,7.2,24.0,1752,108,,,,624424,,,0,0,-4,top
2019-09-11,565896,9,594840,L,624424,L,73,Single,3,3,190330_201546,fcaed1f6-b1de-4572-95de-c29e44ec5a2d,0,2,0,X,In play- no out,SI,14,2.0,3.41,1.56,90.3,82.8,,0.87,50.0,5.98,0.93,1.67,8.98,3.49,-2.85,-131.3,-6.11,15.64,28.62,-26.1,28.8,7.2,24.0,1708,108,,,,624424,,,0,0,-4,top
2019-09-11,565898,6,594840,L,608384,L,45,Strikeout,5,1,190403_014956,dfcfec26-bfbf-40a5-8131-9dcd43359c97,0,0,1,S,Called Strike,CU,6,2.0,3.39,1.49,77.8,71.4,,1.09,50.0,6.12,0.67,2.51,-2.43,-1.49,-0.23,-113.07,-0.39,-3.13,21.39,-34.09,4.8,10.8,24.0,,297,596748,,,,,,0,1,-2,top
2019-09-11,565898,6,594840,L,608384,L,45,Strikeout,5,2,190403_015015,4075d542-e0d2-4799-a720-ad4fb354c787,0,1,1,S,Swinging Strike,SI,13,2.0,3.25,1.52,89.0,81.1,,0.74,50.0,5.88,-0.29,1.35,10.48,5.44,-6.05,-129.11,-6.98,17.56,28.7,-23.07,33.6,7.2,24.0,1767,115,596748,,,,,,0,1,-2,top
2019-09-11,565898,6,594840,L,608384,L,45,Strikeout,5,3,190403_015057,e5543b8e-3028-4ceb-a06e-f45792952b2c,0,2,1,B,Ball In Dirt,SL,13,2.0,3.15,1.4,81.4,75.9,,0.8,50.0,5.68,-1.16,-0.42,-1.58,1.22,-4.09,-118.27,-7.79,-2.25,21.07,-30.43,4.8,9.6,24.0,,258,596748,,,,,,0,1,-2,top
2019-09-11,565898,6,594840,L,608384,L,45,Strikeout,5,4,190403_015143,2e34e611-1b58-4625-acab-44caeff64981,1,2,1,S,Swinging Strike,SI,14,2.0,3.28,1.49,89.9,81.8,,0.73,50.0,5.89,1.36,2.51,9.3,4.71,-1.47,-130.71,-4.0,15.96,29.72,-24.1,32.4,7.2,24.0,1778,115,596748,,,,,,0,1,-2,top
2019-09-11,565898,6,594840,L,457705,R,46,Walk,6,1,190403_015318,18b4c202-cdae-4466-b9c5-4a91b7622d0f,0,0,2,B,Ball,SI,14,2.0,3.38,1.52,88.3,80.1,,1.01,50.0,5.81,1.16,1.53,10.02,4.0,-2.89,-128.23,-5.67,16.44,30.05,-25.61,30.0,7.2,24.0,1711,109,,,,457705,596748,,0,0,-2,top
2019-09-11,565898,6,594840,L,457705,R,46,Walk,6,2,190403_015337,7173d607-6415-4303-b39a-80cee586e460,1,0,2,S,Called Strike,SI,5,2.0,3.4,1.47,89.5,81.4,,0.64,50.0,5.92,0.16,2.23,8.71,2.97,-4.12,-130.03,-4.13,14.78,29.59,-27.14,26.4,7.2,24.0,1839,107,,,,457705,596748,,0,0,-2,top
2019-09-11,565898,6,594840,L,457705,R,46,Walk,6,3,190403_015421,a99a8887-6f77-4182-90b9-5734979c348f,1,1,2,B,Ball In Dirt,SI,14,2.0,3.47,1.54,90.0,81.7,,0.72,50.0,5.63,1.26,-0.17,11.25,4.64,-2.35,-130.37,-10.08,19.08,31.19,-24.31,34.8,7.2,24.0,1739,107,,,,457705,596748,,0,0,-2,top
2019-09-11,565898,6,594840,L,457705,R,46,Walk,6,4,190403_015452,9b59c427-e5a7-4951-9598-f0f62f065830,2,1,2,B,Ball In Dirt,SI,13,2.0,3.42,1.61,89.8,83.0,,0.7,50.0,5.69,-0.21,0.77,8.02,4.15,-5.06,-130.48,-7.86,13.91,26.0,-24.97,26.4,7.2,24.0,1777,114,,,,457705,596748,,0,0,-2,top
2019-09-11,565898,6,594840,L,457705,R,46,Walk,6,5,190403_015537,31fc0927-3541-48d2-828c-2a720676b81d,3,1,2,B,Ball,SI,13,2.0,3.39,1.55,89.6,81.9,,0.68,50.0,5.77,-0.53,0.68,9.68,1.24,-6.32,-130.04,-7.14,16.45,29.15,-30.07,25.2,8.4,24.0,1629,92,,,,457705,596748,,0,0,-2,top
2019-09-11,565898,6,594840,L,516416,R,47,Double,2,1,190403_015624,23ae531b-1bf4-4a45-ac44-ee0e1e9d538e,0,0,2,S,Called Strike,SI,6,2.0,3.41,1.57,90.2,82.8,,0.71,50.0,5.84,0.28,2.14,7.97,3.38,-3.79,-131.24,-4.52,13.9,27.88,-26.28,25.2,7.2,24.0,1768,111,457705,596748,,,516416,,3,0,-2,top
2019-09-11,565898,6,594840,L,516416,R,47,Double,2,2,190403_015648,bf09a303-82b4-4ff2-88ee-bae0d8ba823c,0,1,2,X,In play- run(s),SI,5,2.0,3.26,1.47,91.1,83.2,,0.68,50.0,5.93,-0.01,2.56,7.99,3.52,-4.52,-132.39,-3.84,14.13,29.05,-25.95,26.4,7.2,24.0,3447,113,457705,596748,,,516416,,3,0,-2,top
2019-09-11,565898,6,594840,L,547180,L,48,Single,2,1,190403_015749,7073da6f-a36a-46a1-8b79-1672ba650aec,0,0,2,B,Ball,SL,14,2.0,3.27,1.52,81.6,75.3,,1.05,50.0,5.8,0.03,1.31,-3.26,1.31,-1.39,-118.68,-4.08,-4.66,22.36,-30.3,8.4,8.4,24.0,1856,254,,516416,,547180,,,1,0,-5,top
2019-09-11,565898,6,594840,L,547180,L,48,Single,2,2,190403_015817,0dbdcb39-3e81-421d-ab88-62919f6d997f,1,0,2,X,In play- run(s),SI,8,2.0,3.21,1.51,91.1,83.1,,0.6,50.0,5.88,0.22,2.2,9.77,2.78,-4.3,-132.35,-4.35,17.24,29.55,-27.26,30.0,7.2,24.0,1752,104,,516416,,547180,,,1,0,-5,top
2019-09-11,565898,6,594840,L,656555,R,49,Groundout,5,1,190403_015913,e290f834-2496-48ec-80bf-6d74f8004b25,0,0,2,S,Called Strike,SI,7,2.0,3.63,1.65,90.1,82.4,,0.52,50.0,5.92,-0.45,2.25,11.57,3.18,-6.39,-130.8,-4.31,20.02,28.0,-26.68,33.6,8.4,24.0,1871,104,547180,,,,,,0,1,-6,top
2019-09-11,565898,6,594840,L,656555,R,49,Groundout,5,2,190403_015933,a701d859-604f-4e0d-b708-055d054fbdfb,0,1,2,B,Ball,SI,13,2.0,3.55,1.67,90.7,83.0,,0.54,50.0,5.9,-0.93,2.31,8.81,4.44,-6.79,-131.72,-4.65,15.46,28.19,-24.39,28.8,7.2,24.0,1788,116,547180,,,,,,0,1,-6,top
2019-09-11,565898,6,594840,L,656555,R,49,Groundout,5,3,190403_015954,0b55c7d2-0135-42d8-a65a-e460fce40592,1,1,2,B,Ball,SI,13,2.0,3.55,1.63,90.9,83.1,,0.44,50.0,5.79,-1.44,1.71,9.91,4.21,-8.23,-131.86,-5.86,17.42,28.63,-24.78,31.2,7.2,24.0,1748,112,547180,,,,,,0,1,-6,top
2019-09-11,565898,6,594840,L,656555,R,49,Groundout,5,4,190403_020021,ce3355ac-f96a-4ed7-a0c3-0b4519a243c1,2,1,2,B,Ball,SL,13,2.0,3.54,1.6,83.2,77.3,,1.05,50.0,5.79,-0.39,1.2,-1.47,2.1,-3.01,-121.06,-4.95,-2.21,21.68,-29.04,4.8,8.4,24.0,1949,227,547180,,,,,,0,1,-6,top
2019-09-11,565898,6,594840,L,656555,R,49,Groundout,5,5,190403_020046,98e2e35d-12ee-48fe-96a1-4523c4bc1367,3,1,2,X,In play- out(s),SI,13,2.0,3.54,1.65,89.6,82.5,,0.6,50.0,5.73,-0.13,1.56,7.26,4.09,-4.31,-130.2,-5.88,12.52,26.22,-25.12,24.0,7.2,24.0,1667,117,547180,,,,,,0,1,-6,top
2019-09-11,565899,5,594840,L,547180,L,40,Single,5,1,190403_184543,f72d9362-aa7e-4792-9c9c-6d1fbb132c3a,0,0,0,S,Swinging Strike,SL,13,2.0,3.49,1.6,82.2,76.6,,1.27,50.0,5.99,-0.59,1.45,-2.88,-2.17,-3.54,-119.55,-3.32,-4.22,20.75,-35.35,7.2,9.6,24.0,1883,305,,,,547180,,,0,0,2,top
2019-09-11,565899,5,594840,L,547180,L,40,Single,5,2,190403_184606,c85781d9-e34d-479e-9832-02abbdd03f54,0,1,0,B,Ball,SL,13,2.0,3.16,1.64,82.4,77.7,,1.24,50.0,5.9,-0.55,1.56,-2.33,0.73,-3.58,-119.95,-3.89,-3.48,17.67,-31.09,7.2,8.4,24.0,2074,259,,,,547180,,,0,0,2,top
2019-09-11,565899,5,594840,L,547180,L,40,Single,5,3,190403_184629,df9e05b1-887e-4a2c-994e-065a4fb1f9cb,1,1,0,B,Ball,SI,13,2.0,3.24,1.71,90.6,84.2,,0.72,50.0,5.92,-1.49,1.76,5.73,3.96,-7.72,-131.65,-6.06,10.21,24.11,-25.13,19.2,6.0,24.0,1908,125,,,,547180,,,0,0,2,top
2019-09-11,565899,5,594840,L,547180,L,40,Single,5,4,190403_184652,3332e987-7bf3-42ec-b20e-cd552cbb9f75,2,1,0,S,Swinging Strike,SL,13,2.0,3.49,1.6,81.8,76.4,,1.11,50.0,5.85,-0.78,1.32,-1.12,0.97,-4.13,-119.08,-4.19,-1.63,20.09,-30.76,3.6,8.4,24.0,1993,247,,,,547180,,,0,0,2,top
