Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-09-15,531623,1,664180,L,608070,R,5,Single,3,1,180915_192604,c44a2086-7a96-4d26-9877-fa84fed826c0,0,0,0,B,Ball,FF,13,2.0,3.52,1.62,88.5,81.6,51.97,3.57,50.0,4.71,-0.08,1.34,3.79,7.65,-10.55,-128.35,-4.77,6.38,24.34,-19.3,12.0,4.8,24.0,2207,160,,,,608070,,,0,0,-2,bottom
2018-09-15,531623,1,664180,L,608070,R,5,Single,3,2,180915_192619,f0a3d9cf-56a9-4c49-ab55-334fb3274f4d,1,0,0,S,Foul,FF,2,2.0,3.29,1.49,88.7,82.0,28.43,3.6,50.0,4.78,-0.17,2.84,2.1,5.88,-10.33,-128.77,-0.6,3.57,23.46,-22.17,4.8,4.8,24.0,2265,170,,,,608070,,,0,0,-2,bottom
2018-09-15,531623,1,664180,L,608070,R,5,Single,3,3,180915_192644,9e274b7b-af5b-46d1-8d50-1694070d5018,1,1,0,X,In play- no out,FF,7,2.0,3.29,1.49,87.9,82.6,44.21,3.53,50.0,4.73,-0.54,1.75,1.94,4.19,-11.02,-127.81,-2.69,3.3,19.74,-25.06,3.6,6.0,24.0,2113,166,,,,608070,,,0,0,-2,bottom
2018-09-15,531623,1,664180,L,429665,R,6,Field Error,2,1,180915_192721,d4b3c9a8-3662-4c5b-be54-a857c36663cc,0,0,0,B,Ball,CU,13,2.0,3.57,1.55,76.0,70.6,60.65,3.23,50.0,4.97,-2.59,-0.56,-4.31,-8.49,-11.4,-109.99,-2.15,-5.24,20.9,-42.49,9.6,14.4,24.0,2781,324,608070,,,429665,,,1,0,-2,bottom
2018-09-15,531623,1,664180,L,429665,R,6,Field Error,2,2,180915_192756,ec9e10e1-1185-4e9f-bf1a-5088418f94c7,1,0,0,X,In play- run(s),FF,5,2.0,3.41,1.56,89.3,82.5,11.54,3.56,50.0,4.82,-0.02,2.46,2.56,5.15,-10.06,-129.69,-1.54,4.4,24.26,-23.31,6.0,6.0,24.0,2183,164,608070,,,429665,,,1,0,-2,bottom
2018-09-15,531623,1,664180,L,475174,L,7,Field Error,2,1,180915_192844,28514103-06b2-45cd-90dd-9f53eeccbdd7,0,0,0,B,Ball,FF,13,2.0,3.5,1.39,89.3,82.2,47.2,3.32,50.0,4.74,-0.5,0.75,3.29,4.9,-10.88,-129.58,-5.56,5.6,26.33,-23.82,8.4,6.0,24.0,2140,155,429665,,,475174,429665,,0,0,-3,bottom
2018-09-15,531623,1,664180,L,475174,L,7,Field Error,2,2,180915_192907,191bc64f-4229-4bc1-a26f-dcde6cddedc2,1,0,0,X,In play- no out,FF,13,2.0,3.41,1.56,88.9,83.1,44.29,3.46,50.0,4.73,-0.35,1.17,2.07,4.79,-10.49,-129.2,-4.49,3.57,21.9,-23.91,4.8,6.0,24.0,2166,166,429665,,,475174,429665,,0,0,-3,bottom
2018-09-15,531623,1,664180,L,466320,R,8,Single,4,1,180915_193007,b0558ef2-7507-4234-be12-c163bfadd0d7,0,0,0,S,Called Strike,FF,6,2.0,3.52,1.73,90.4,84.2,55.49,3.53,50.0,4.81,0.68,2.51,4.52,5.69,-9.02,-131.5,-1.84,8.08,22.36,-22.01,16.8,4.8,24.0,2196,146,475174,429665,,466320,475174,429665,0,0,-3,bottom
2018-09-15,531623,1,664180,L,466320,R,8,Single,4,2,180915_193028,ddddf483-2646-4293-9a22-15f7dc860f0a,0,1,0,S,Called Strike,FF,8,2.0,3.55,1.76,88.9,82.8,31.95,3.58,50.0,4.65,0.08,1.84,3.97,4.99,-10.34,-129.21,-2.65,6.85,21.95,-23.57,12.0,6.0,24.0,2133,148,475174,429665,,466320,475174,429665,0,0,-3,bottom
2018-09-15,531623,1,664180,L,466320,R,8,Single,4,3,180915_193047,4aad37d1-5c89-4bfa-9bcd-f21622700f65,0,1,0,S,Foul,CU,12,2.0,3.3,1.5,76.4,70.0,44.47,3.55,50.0,5.28,0.83,3.08,-7.96,-9.76,-3.68,-110.86,5.33,-9.84,20.9,-44.25,13.2,14.4,24.0,2735,315,475174,429665,,466320,475174,429665,0,0,-3,bottom
2018-09-15,531623,1,664180,L,466320,R,8,Single,4,4,180915_193124,127844fe-a57b-4a9d-8706-ca0d8ddb3849,0,2,0,X,In play- no out,FF,1,2.0,3.3,1.5,89.0,82.4,42.64,3.52,50.0,4.7,-0.64,2.96,2.23,5.68,-11.41,-129.29,-0.1,3.82,23.49,-22.42,4.8,4.8,24.0,2177,170,475174,429665,,466320,475174,429665,0,0,-3,bottom
2018-09-15,531623,1,664180,L,650490,R,9,Forceout,1,1,180915_193214,17034406-13ac-43da-845a-4e2fedb6cf11,0,0,0,X,In play- run(s),CU,6,2.0,3.47,1.59,74.1,67.8,64.87,3.58,50.0,5.25,0.28,2.27,-8.35,-9.64,-4.68,-107.45,3.97,-9.64,20.83,-43.3,13.2,15.6,24.0,2818,313,466320,475174,429665,,,475174,1,1,-3,bottom
2018-09-15,531623,1,664180,L,543401,L,10,Sac Fly,1,1,180915_193318,7999d344-0da1-4399-b477-28f1fb6b46e6,0,0,1,X,In play- run(s),FF,7,2.0,3.47,1.59,89.2,81.8,56.88,3.37,50.0,4.85,-0.55,2.07,2.56,5.52,-10.87,-129.4,-2.64,4.36,26.28,-22.79,6.0,6.0,24.0,2176,166,,,475174,,650490,,1,1,-4,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,1,180915_193409,50c7b52c-f136-4783-902e-b2e22346b57b,0,0,2,S,Called Strike,FF,8,2.0,3.32,1.53,89.5,82.8,43.62,3.49,50.0,4.76,0.19,2.05,4.11,6.9,-9.88,-129.96,-3.07,7.12,23.92,-20.22,14.4,4.8,24.0,2235,155,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,2,180915_193429,68211119-f9b0-49e1-8111-2b979dd8f7e2,0,1,2,B,Ball,CU,12,2.0,3.25,1.46,75.8,69.6,15.66,3.71,50.0,5.24,1.34,3.02,-6.58,-8.37,-3.28,-110.03,4.97,-8.05,20.01,-42.41,12.0,14.4,24.0,2885,316,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,3,180915_193449,bacc8f58-6734-428c-becd-9b4c3b1d3c9f,1,1,2,B,Ball,CU,13,2.0,3.27,1.46,75.9,69.2,33.64,3.28,50.0,5.21,-1.18,2.24,-5.83,-9.38,-7.99,-109.95,3.68,-7.01,22.59,-43.46,10.8,14.4,24.0,2845,319,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,4,180915_193507,369e3ee8-a185-43ae-b306-01f1a5e9d83c,2,1,2,S,Foul,FF,9,2.0,3.32,1.51,88.9,82.0,36.07,3.55,50.0,4.69,0.46,1.88,4.21,7.2,-9.33,-129.16,-3.31,7.17,24.46,-19.9,14.4,4.8,24.0,2187,155,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,5,180915_193534,a329582a-67f5-4880-a3a2-38f608562fc0,2,1,2,S,Foul,FF,11,2.0,3.32,1.51,89.6,82.9,60.28,3.39,50.0,4.79,-1.07,3.35,2.08,4.57,-12.2,-130.06,0.99,3.61,23.95,-24.25,3.6,6.0,24.0,2333,170,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,6,180915_193607,386767b9-7038-4c80-8b84-392e8cf25744,2,1,2,S,Foul,CU,8,2.0,3.32,1.51,75.6,69.6,20.51,3.32,50.0,5.32,0.21,1.86,-6.4,-9.55,-4.95,-109.76,2.65,-7.75,20.7,-43.75,10.8,14.4,24.0,2608,321,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,7,180915_193640,6bf16419-e10b-411d-98df-afad94745891,2,1,2,S,Foul,FF,6,2.0,3.32,1.51,90.6,84.7,24.63,3.32,50.0,4.87,0.25,2.12,3.66,5.87,-9.31,-131.83,-3.12,6.59,21.86,-21.6,13.2,4.8,24.0,2304,153,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,547379,R,11,Single,8,8,180915_193719,d017d72d-f54d-4f40-9610-f9e16b1c99dd,2,2,2,X,In play- run(s),FF,11,2.0,3.32,1.51,90.1,83.0,43.5,3.53,50.0,4.75,-0.29,3.54,3.19,4.12,-10.98,-130.89,1.69,5.59,25.36,-24.97,8.4,6.0,24.0,2297,155,,650490,,547379,,,1,0,-5,bottom
2018-09-15,531623,1,664180,L,596019,R,12,Groundout,7,1,180915_193808,3e68d116-e313-44e5-b15a-92fc142f7e59,0,0,2,B,Ball,FF,11,2.0,3.48,1.73,90.1,83.0,54.39,3.38,50.0,4.93,-0.14,3.62,1.95,4.16,-9.81,-130.95,1.4,3.41,25.52,-24.89,3.6,6.0,24.0,2205,169,547379,,,,,,0,1,-6,bottom
2018-09-15,531623,1,664180,L,596019,R,12,Groundout,7,2,180915_193824,c087a366-8da6-41cb-af86-76a1bdbeeb05,1,0,2,S,Swinging Strike,CU,14,2.0,3.32,1.51,75.9,69.9,31.78,3.52,50.0,5.19,0.83,2.4,-5.96,-8.29,-4.18,-110.27,3.68,-7.32,20.06,-42.36,10.8,14.4,24.0,2688,318,547379,,,,,,0,1,-6,bottom
2018-09-15,531623,1,664180,L,596019,R,12,Groundout,7,3,180915_193842,be421119-416a-440d-8822-c2182d5f9737,1,1,2,S,Foul,FF,12,2.0,3.32,1.51,89.1,82.3,44.21,3.5,50.0,4.92,0.42,3.59,1.58,4.8,-8.44,-129.65,1.23,2.72,24.35,-23.91,2.4,6.0,24.0,2153,172,547379,,,,,,0,1,-6,bottom
2018-09-15,531623,1,664180,L,596019,R,12,Groundout,7,4,180915_193904,5b945e3e-d890-44cc-beeb-51ae01e25bc5,1,2,2,B,Ball,CU,12,2.0,3.57,1.51,76.6,70.2,33.81,3.5,50.0,5.21,1.18,2.69,-4.93,-8.77,-3.66,-111.19,4.33,-6.14,20.93,-43.1,9.6,14.4,24.0,2838,325,547379,,,,,,0,1,-6,bottom
