Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-07,564748,9,543677,R,643565,L,79,Flyout,1,1,190426_045254,46230ffb-4e4a-43ed-9951-89b5b9ccba1c,0,0,0,X,In play- out(s),FF,2,,3.36,1.52,92.3,84.3,,-0.29,50.0,6.02,0.17,2.75,-0.67,11.2,1.46,-134.09,-6.44,-1.21,29.01,-11.79,3.6,2.4,24.0,2402,182,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,650402,R,80,Flyout,5,1,190426_045331,4c1cc5f0-2217-45bc-b535-ce328d779d37,0,0,1,B,Ball,FF,12,,3.44,1.57,92.9,84.4,,1.05,50.0,6.2,1.6,4.05,1.12,10.46,1.08,-135.05,-3.28,2.06,30.85,-12.96,9.6,3.6,24.0,2425,173,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,650402,R,80,Flyout,5,2,190426_045347,de063a32-7e1f-445d-a24c-ec39644b1b3c,1,0,1,B,Ball,FF,12,,3.38,1.54,91.9,83.7,,0.93,50.0,6.13,1.27,3.43,0.65,9.87,0.65,-133.64,-4.38,1.18,29.76,-14.38,4.8,3.6,24.0,2192,175,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,650402,R,80,Flyout,5,3,190426_045403,933f6f19-60ae-4035-9bd9-ad4991e283ee,2,0,1,B,Ball,FF,11,,3.44,1.57,91.8,83.4,,0.71,50.0,6.18,-0.02,3.8,0.24,10.49,-2.02,-133.4,-3.72,0.44,29.94,-13.36,0.0,3.6,24.0,2268,180,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,650402,R,80,Flyout,5,4,190426_045419,41c05cee-2ce3-466d-9260-81ba75b7f45e,3,0,1,S,Called Strike,FF,3,,3.44,1.57,90.4,82.1,,0.88,50.0,6.03,0.7,3.01,0.97,10.29,-0.8,-131.39,-5.06,1.69,29.44,-14.29,6.0,3.6,24.0,2205,174,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,650402,R,80,Flyout,5,5,190426_045437,5ba78bfe-e14f-4618-86c8-5d440fd070d1,3,1,1,X,In play- out(s),FF,3,,3.36,1.52,91.0,82.4,,0.77,50.0,6.04,0.38,3.33,1.73,10.83,-1.58,-132.12,-4.51,3.04,30.26,-13.18,10.8,3.6,24.0,2287,171,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,645801,L,81,Strikeout,5,1,190426_045523,5779fb89-f9f1-4b20-b592-b764f66554d3,0,0,2,B,Ball,CU,11,,3.15,1.52,74.8,68.1,,-0.42,50.0,6.59,-0.07,3.96,5.09,-9.51,-0.66,-108.33,4.56,5.99,20.76,-43.35,8.4,14.4,24.0,2659,30,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,645801,L,81,Strikeout,5,2,190426_045537,716ed032-c060-4e7b-9156-aabc83819257,1,0,2,S,Called Strike,CU,6,,3.15,1.52,74.1,68.0,,-0.24,50.0,6.39,0.67,2.33,4.78,-8.67,0.63,-107.65,1.38,5.55,20.55,-42.24,7.2,14.4,24.0,2687,30,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,645801,L,81,Strikeout,5,3,190426_045555,edfe1433-42f8-4d2a-ae5f-84cf3bd62353,1,1,2,S,Called Strike,CU,8,,3.06,1.47,74.2,68.0,,-0.35,50.0,6.33,0.04,1.71,2.85,-10.69,0.06,-107.52,0.79,3.29,20.97,-44.52,4.8,15.6,24.0,2805,15,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,645801,L,81,Strikeout,5,4,190426_045616,10f52cc1-ad72-4a30-b565-e79b6f68a015,1,1,2,S,Foul,FF,11,,3.18,1.5,92.0,83.8,,-0.23,50.0,6.09,-0.78,2.63,1.57,11.48,-2.0,-133.62,-6.93,2.82,29.6,-11.47,10.8,2.4,24.0,2357,173,,,,,,,0,1,6,top
2019-09-07,564748,9,543677,R,645801,L,81,Strikeout,5,5,190426_045637,378e9dbc-72ae-479c-af9b-38ab1e035d63,1,2,2,S,Swinging Strike,CU,13,,3.49,1.62,82.0,75.7,,-0.55,50.0,5.98,-0.85,1.44,-2.61,4.37,0.09,-119.24,-5.2,-3.77,22.32,-25.86,8.4,7.2,24.0,1445,213,,,,,,,0,1,6,top
