Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-03,490103,7,621381,L,593871,R,48,Single,2,1,170403_221323,c66946c5-1222-4cb0-9cd2-a415d0257b8e,0,0,0,S,Called Strike,FF,1,2.0,3.62,1.83,94.1,85.5,64.31,1.83,50.0,5.37,-0.53,3.08,9.82,7.93,-9.79,-136.54,-2.97,18.47,31.14,-17.27,42.0,4.8,24.0,2416,131,,,,593871,,,0,0,0,bottom
2017-04-03,490103,7,621381,L,593871,R,48,Single,2,2,170403_221342,b92d9cf0-3e91-4493-b5a9-23fb09515e92,0,1,0,X,In play- no out,FF,4,2.0,3.79,1.61,94.3,84.9,36.31,1.89,50.0,5.19,-0.47,2.49,9.66,12.19,-9.69,-136.74,-5.51,18.04,33.93,-9.4,55.2,3.6,24.0,2304,144,,,,593871,,,0,0,0,bottom
2017-04-03,490103,7,621381,L,596146,L,49,Single,6,1,170403_221430,2cde1e1b-b8bf-42f6-a0b6-3923582e3d34,0,0,0,B,Ball,FF,13,2.0,3.52,1.7,92.9,83.8,64.63,1.95,50.0,5.03,-0.8,2.46,10.36,8.29,-10.85,-134.72,-3.57,18.81,32.56,-17.12,42.0,6.0,24.0,2243,131,593871,,,596146,593871,,0,0,0,bottom
2017-04-03,490103,7,621381,L,596146,L,49,Single,6,2,170403_221452,f28aec5e-9e03-4a09-a45a-e1d87b60130f,1,0,0,S,Foul Bunt,FF,12,2.0,3.81,1.57,92.2,82.3,49.81,2.1,50.0,5.32,0.39,3.45,8.81,10.85,-7.47,-133.76,-2.44,15.61,34.73,-12.94,45.6,4.8,24.0,2141,144,593871,,,596146,593871,,0,0,0,bottom
2017-04-03,490103,7,621381,L,596146,L,49,Single,6,3,170403_221548,ffde493f-84ba-4a1c-a90c-46254a26c88d,1,1,0,B,Ball,FF,11,2.0,3.37,1.65,92.6,82.4,56.74,1.99,50.0,5.18,-0.82,3.03,8.4,11.83,-10.22,-134.16,-3.52,14.94,35.59,-11.15,45.6,3.6,24.0,2211,149,593871,,,596146,593871,,0,0,0,bottom
2017-04-03,490103,7,621381,L,596146,L,49,Single,6,4,170403_221629,5decc31e-8933-4555-b3ff-bc9ad17e8f9d,2,1,0,X,In play- no out,FF,4,2.0,3.81,1.57,91.9,82.1,31.76,2.05,50.0,5.23,-0.27,2.71,9.29,8.99,-9.16,-133.27,-3.44,16.33,34.59,-16.36,39.6,4.8,24.0,2127,137,593871,,,596146,593871,,0,0,0,bottom
2017-04-03,490103,7,621381,L,592696,L,50,Sac Bunt,1,1,170403_221849,32b3b7ac-d00f-4d08-8c64-8dbbb211c8e2,0,0,0,X,In play- out(s),FF,8,2.0,3.79,1.56,89.4,80.0,59.21,2.16,50.0,5.1,-0.23,1.57,10.45,9.62,-9.47,-129.55,-5.76,17.37,32.65,-16.18,40.8,6.0,24.0,2313,134,596146,593871,,,596146,593871,0,1,0,bottom
2017-04-03,490103,7,621381,L,543257,R,52,Walk,4,1,170403_222008,62581935-3f5b-4b14-ae6a-62123018575c,0,0,1,B,Ball,FF,12,2.0,3.17,1.58,93.4,84.2,84.11,2.12,50.0,5.35,0.89,3.74,7.66,10.88,-5.93,-135.79,-2.0,14.12,33.25,-12.12,45.6,3.6,24.0,2307,147,572821,,,543257,572821,596146,1,0,0,bottom
2017-04-03,490103,7,621381,L,543257,R,52,Walk,4,2,170403_222026,1a0c022a-607e-4440-a32d-eaaade264c23,1,0,1,B,Ball,CH,11,2.0,3.4,1.72,83.0,75.5,52.35,2.06,50.0,5.08,-0.96,2.81,8.3,5.8,-9.7,-120.38,-0.39,12.13,24.21,-23.7,22.8,7.2,24.0,2131,130,572821,,,543257,572821,596146,1,0,0,bottom
2017-04-03,490103,7,621381,L,543257,R,52,Walk,4,3,170403_222046,5bf714a1-87c1-4c64-a54b-6fab9ec1ea7f,2,0,1,B,Ball,FF,12,2.0,3.17,1.44,92.6,84.3,59.52,2.17,50.0,5.18,1.19,3.01,6.57,9.52,-4.88,-134.74,-3.0,12.04,30.1,-14.72,36.0,3.6,24.0,2249,147,572821,,,543257,572821,596146,1,0,0,bottom
2017-04-03,490103,7,621381,L,543257,R,52,Walk,4,4,170403_222109,0fa537d3-4e74-4b53-aa27-dfeb19f37cc3,3,0,1,B,Ball,FF,12,2.0,3.27,1.57,92.5,82.9,37.49,1.94,50.0,5.43,0.52,4.5,7.38,13.23,-6.26,-134.34,-0.86,13.25,33.86,-8.42,54.0,3.6,24.0,2259,153,572821,,,543257,572821,596146,1,0,0,bottom
2017-04-05,490125,7,621381,L,488771,L,59,Walk,4,1,170405_194408,975a4af8-02aa-44b7-abc2-9c1ccd12d9ce,0,0,2,B,Ball,FF,2,2.0,3.79,1.87,93.9,84.3,53.12,1.96,50.0,5.26,0.06,3.61,6.94,9.17,-7.46,-136.06,-1.58,12.82,33.83,-15.22,34.8,4.8,24.0,2202,143,,,593934,488771,,,0,0,-5,bottom
2017-04-05,490125,7,621381,L,488771,L,59,Walk,4,2,170405_194424,d356da7b-b70c-40f6-9814-1ab4c66821ee,1,0,2,B,Ball,FF,11,2.0,3.73,1.83,91.7,82.6,41.0,2.0,50.0,5.18,-0.12,3.71,6.57,8.53,-7.76,-132.67,-0.54,11.61,30.89,-17.11,30.0,4.8,24.0,2235,143,,,593934,488771,,,0,0,-5,bottom
2017-04-05,490125,7,621381,L,488771,L,59,Walk,4,3,170405_194445,ff37a90a-5987-442e-b7ce-94b7e8e16118,2,0,2,B,Ball,FF,1,2.0,3.82,1.89,92.2,83.7,56.68,1.8,50.0,5.21,-0.64,3.59,7.58,9.09,-9.05,-133.76,-1.3,13.69,29.93,-15.77,36.0,4.8,24.0,2243,141,,,593934,488771,,,0,0,-5,bottom
2017-04-05,490125,7,621381,L,488771,L,59,Walk,4,4,170405_194507,a4b623e4-ddb3-4104-a0ff-618cd1103f4e,3,0,2,B,Ball,FF,12,2.0,3.8,1.81,92.0,83.6,58.56,2.06,50.0,5.09,0.61,3.76,6.57,8.15,-6.07,-133.6,-0.18,11.85,29.52,-17.48,31.2,4.8,24.0,2215,141,,,593934,488771,,,0,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,1,170405_194548,738295e4-e777-4e37-bde1-3e71df19da08,0,0,2,S,Swinging Strike,FF,3,2.0,3.87,1.6,93.4,83.5,74.68,2.03,50.0,5.22,0.67,3.07,7.28,12.94,-6.12,-135.21,-4.07,13.25,34.3,-8.63,50.4,3.6,24.0,2150,150,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,2,170405_194604,5ff7d346-107b-4d83-b9f5-6f373e17d5b1,0,1,2,S,Foul,FF,1,2.0,3.87,1.6,92.7,84.3,40.98,1.88,50.0,5.01,-0.33,2.76,6.92,8.93,-8.24,-133.64,-2.93,12.58,27.32,-15.94,33.6,4.8,24.0,2182,140,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,3,170405_194625,84141bf4-27ad-491c-a77d-b18f7ceb88f3,0,1,2,S,Foul,FF,11,2.0,3.87,1.6,94.8,85.5,43.06,1.81,50.0,5.18,-0.12,3.36,9.89,11.17,-8.67,-137.36,-2.88,18.74,32.86,-11.02,55.2,4.8,24.0,2324,138,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,4,170405_194646,958f3e55-5352-4d93-89b8-672d4e6da5b9,0,1,2,S,Foul,FF,12,2.0,3.87,1.6,94.9,85.2,63.79,1.96,50.0,5.19,0.73,3.41,9.78,13.25,-6.74,-137.45,-3.47,18.47,34.16,-7.15,64.8,3.6,24.0,2361,143,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,5,170405_194711,cc51d637-2ca6-4409-b5f6-ba8e93ee9d48,0,2,2,B,Ball,CU,12,2.0,3.23,1.46,75.1,68.3,12.43,2.26,50.0,5.95,3.36,3.79,-10.04,-4.64,5.15,-108.73,4.18,-11.93,20.34,-37.68,16.8,13.2,24.0,2770,299,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,6,170405_194731,1f3a04db-abff-4a12-b30a-378873e5fd53,1,2,2,B,Ball,FF,12,2.0,3.14,1.42,93.8,84.1,20.97,2.13,50.0,5.14,2.07,3.84,8.6,9.53,-3.12,-135.95,-0.71,15.85,34.12,-14.61,45.6,4.8,24.0,2321,136,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,7,170405_194750,781ccd2c-0e81-4a19-a435-8d4febcfa05d,2,2,2,B,Ball,FF,11,2.0,3.12,1.4,92.1,83.5,60.9,1.73,50.0,5.12,-1.26,2.95,10.63,7.3,-11.47,-133.25,-2.07,19.04,29.63,-19.1,40.8,6.0,24.0,2233,124,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,500871,R,60,Home Run,8,8,170405_194813,b72e76b0-b806-4af2-bec4-4e573e63e0bd,3,2,2,X,In play- run(s),FF,3,2.0,3.87,1.6,92.7,83.4,42.68,1.88,50.0,5.03,0.32,2.86,10.15,9.51,-7.58,-134.37,-2.87,18.32,32.75,-15.02,46.8,4.8,24.0,2195,132,488771,,,,,,3,0,-5,bottom
2017-04-05,490125,7,621381,L,592696,L,61,Flyout,5,1,170405_194858,f06e30d5-e933-43f2-943f-33268328bed6,0,0,2,S,Called Strike,FF,11,2.0,3.31,1.61,93.2,84.2,69.62,1.76,50.0,5.04,-0.88,2.55,8.12,10.31,-9.82,-134.97,-4.11,14.85,31.65,-13.31,40.8,4.8,24.0,2321,142,,,,,,,0,1,-8,bottom
2017-04-05,490125,7,621381,L,592696,L,61,Flyout,5,2,170405_194914,a14c7d6a-a637-45a0-bb9e-58cce2707ee4,0,1,2,S,Foul,SL,12,2.0,3.48,1.4,81.2,73.5,46.42,2.01,50.0,5.4,0.82,2.62,-2.83,2.89,-1.91,-117.78,-0.34,-3.92,25.03,-28.17,8.4,8.4,24.0,2550,238,,,,,,,0,1,-8,bottom
2017-04-05,490125,7,621381,L,592696,L,61,Flyout,5,3,170405_194933,e6b26189-3553-4fd8-a121-88b8c2b16d03,0,2,2,B,Ball,FF,13,2.0,3.41,1.57,94.9,85.8,50.77,1.71,50.0,4.95,-1.19,2.09,8.42,9.38,-10.81,-137.43,-5.07,15.97,32.83,-14.39,40.8,4.8,24.0,2156,138,,,,,,,0,1,-8,bottom
2017-04-05,490125,7,621381,L,592696,L,61,Flyout,5,4,170405_194948,6b39c3ba-e10e-4d96-9320-101ab0a8f6b0,1,1,2,S,Foul,SL,11,2.0,3.48,1.4,83.2,75.6,40.02,2.05,50.0,5.33,-0.28,3.23,-3.12,0.14,-4.57,-120.64,1.74,-4.57,25.14,-31.96,9.6,8.4,24.0,2687,276,,,,,,,0,1,-8,bottom
2017-04-05,490125,7,621381,L,592696,L,61,Flyout,5,5,170405_195021,a5f95a8f-1093-4d10-bae7-dda4355d22e7,1,2,2,X,In play- out(s),SL,13,2.0,3.48,1.4,80.7,73.9,49.53,1.82,50.0,5.42,-1.13,1.95,-5.75,1.51,-5.1,-117.09,-1.49,-7.95,23.15,-30.09,16.8,9.6,24.0,2663,266,,,,,,,0,1,-8,bottom
2017-04-09,490183,12,621381,L,543807,R,90,Single,1,1,170409_214811,3e27b13b-c408-41ed-9a77-ecb0ebbceeea,0,0,0,X,In play- no out,CU,9,2.0,4.19,2.0,77.1,70.6,74.78,1.93,50.0,5.74,0.25,2.48,-10.85,-5.33,-0.6,-111.9,1.65,-13.66,21.53,-38.88,19.2,13.2,24.0,2864,298,,,,543807,,,0,0,0,bottom
