Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-27,565222,3,547179,R,624428,L,24,Groundout,3,1,190331_181241,ead153a2-be6b-4feb-8dfe-2b26e525d102,0,0,2,B,Ball,FF,14,2.0,3.19,1.26,95.2,86.3,,-1.53,50.0,5.57,0.8,1.38,-8.19,10.11,9.21,-137.81,-9.01,-15.65,32.55,-12.85,42.0,4.8,24.0,2532,217,592866,570481,628356,,,,0,1,-3,top
2019-09-27,565222,3,547179,R,624428,L,24,Groundout,3,2,190331_181300,1d6baec1-1ede-4e46-92e7-ea7d1d53ac10,1,0,2,S,Called Strike,FF,9,2.0,3.19,1.42,95.5,86.3,,-1.64,50.0,5.47,0.38,1.64,-6.47,10.81,7.78,-138.29,-8.31,-12.42,33.51,-11.43,38.4,3.6,24.0,2523,208,592866,570481,628356,,,,0,1,-3,top
2019-09-27,565222,3,547179,R,624428,L,24,Groundout,3,3,190331_181320,db839d45-2ddf-4d07-b162-945d7fb1c62b,1,1,2,X,In play- out(s),CH,13,2.0,3.3,1.5,85.4,77.5,,-1.58,50.0,5.6,-1.0,2.06,-11.07,8.42,4.93,-124.1,-4.7,-17.08,27.32,-19.18,38.4,7.2,24.0,2427,232,592866,570481,628356,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,1,190331_182245,d2e11d51-72d8-4b1b-8d46-f673166f92ba,0,0,0,S,Foul,FF,6,2.0,3.41,1.56,94.9,87.1,,-1.4,50.0,5.61,0.56,2.39,-5.33,10.46,7.26,-137.78,-6.59,-10.31,28.9,-11.95,33.6,3.6,24.0,2278,204,,,,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,2,190331_182256,b6b14494-57f0-4255-b737-2a813b4e8652,0,1,0,B,Ball,FT,14,2.0,3.48,1.6,93.8,86.5,,-1.61,50.0,5.54,0.27,1.24,-8.45,5.17,8.04,-136.21,-7.46,-16.0,27.74,-22.39,31.2,6.0,24.0,2169,239,,,,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,3,190331_182312,b2cea324-6d16-4a83-97b9-07644e8cc66f,1,1,0,B,Ball,CU,14,2.0,3.46,1.56,79.7,73.6,,-1.54,50.0,5.62,1.06,0.09,1.58,-7.85,5.46,-115.8,-3.21,2.12,23.4,-42.74,3.6,13.2,24.0,2302,16,,,,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,4,190331_182328,15032143-c223-4701-9629-10ec0d6db17b,2,1,0,S,Called Strike,FF,14,2.0,3.47,1.52,94.9,86.1,,-1.45,50.0,5.52,0.93,2.23,-6.19,7.97,8.64,-137.56,-5.79,-11.79,32.27,-16.99,27.6,4.8,24.0,2511,214,,,,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,5,190331_182354,5f8e33f3-37af-4102-a82e-4bbd089dcf10,2,1,0,S,Foul,FC,14,2.0,3.41,1.56,91.7,84.1,,-1.53,50.0,5.44,1.0,1.41,0.11,5.4,6.62,-133.15,-6.31,0.2,28.58,-22.48,3.6,4.8,24.0,2648,169,,,,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,6,190331_182424,dc7ab6f1-e09b-4bb3-9ef1-458a64687714,2,2,0,B,Ball,FT,13,2.0,3.46,1.55,95.5,87.1,,-1.62,50.0,5.54,-0.86,1.39,-11.11,7.79,6.03,-138.59,-8.19,-21.53,31.89,-17.07,46.8,6.0,24.0,2428,236,,,,,,,0,1,-3,top
2019-09-27,565222,4,547179,R,516782,R,29,Lineout,7,7,190331_182443,9347e092-8546-4595-bcb1-d6e4743c550f,3,2,0,X,In play- out(s),FC,14,2.0,3.41,1.56,92.8,85.6,,-1.49,50.0,5.42,1.05,1.28,-2.94,6.88,7.82,-134.74,-7.43,-5.45,27.14,-19.43,10.8,4.8,24.0,2588,198,,,,,,,0,1,-3,top
