Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-13,490231,9,492841,R,570560,L,80,Groundout,6,1,170414_012909,b3b56f58-c82c-4dc0-ad80-e6396e57e9b9,0,0,0,S,Called Strike,CU,7,0.91,3.64,1.89,77.6,70.4,85.61,-1.46,50.0,5.55,-0.62,2.06,-7.4,11.72,3.97,-112.25,-3.81,-9.38,21.46,-17.31,25.2,6.0,24.0,1792,213,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,570560,L,80,Groundout,6,2,170414_012919,1951a6a2-83cf-47d5-ae1e-dbf5e976bd88,0,1,0,B,Ball,CU,14,0.9,3.69,1.82,79.3,72.6,18.25,-1.32,50.0,5.3,0.27,0.54,-10.4,6.66,6.65,-114.6,-5.61,-13.83,21.23,-23.32,27.6,8.4,24.0,1783,242,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,570560,L,80,Groundout,6,3,170414_012931,c0a31dd2-27e2-439c-a8e8-409e4a07ec64,1,1,0,S,Called Strike,CU,1,0.85,3.64,1.85,79.4,72.7,35.85,-1.46,50.0,5.56,-0.44,3.07,-6.45,9.24,4.23,-115.03,-1.34,-8.7,20.06,-19.72,21.6,6.0,24.0,1721,215,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,570560,L,80,Groundout,6,4,170414_012945,7415d752-3e07-4457-8f35-7a5a927e4723,1,2,0,B,Ball,CU,13,0.85,3.55,1.79,80.8,74.1,20.56,-1.41,50.0,5.48,-2.19,1.87,-8.71,6.97,0.84,-117.11,-3.52,-12.13,21.47,-22.46,27.6,7.2,24.0,1755,236,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,570560,L,80,Groundout,6,5,170414_012955,8018abfd-6e37-453b-81f4-7dd391992981,2,2,0,B,Ball,CU,11,0.55,3.55,1.76,80.3,72.8,49.62,-1.36,50.0,5.68,-0.63,3.67,-8.48,11.6,4.21,-116.21,-1.05,-11.56,22.26,-16.34,33.6,6.0,24.0,1922,216,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,570560,L,80,Groundout,6,6,170414_013007,1f7e7382-221d-4067-b4c1-8c99f348a9e4,3,2,0,X,In play- out(s),CU,2,0.69,3.69,1.51,80.2,73.1,22.15,-1.22,50.0,5.48,0.13,2.91,-7.97,9.96,5.45,-116.06,-1.82,-10.89,21.42,-18.57,27.6,6.0,24.0,1815,219,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,553882,L,81,Groundout,1,1,170414_013045,afff066b-ae88-44ee-a6cb-f442734266ac,0,0,1,X,In play- out(s),CU,13,0.85,3.69,1.51,79.7,72.4,100.0,-1.46,50.0,5.38,-0.87,1.63,-10.77,5.24,4.52,-115.47,-2.97,-14.42,23.2,-25.16,27.6,8.4,24.0,1707,249,,,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,544725,L,82,Double,1,1,170414_013124,1433a8e8-740c-462f-8f34-c59b6dff33cb,0,0,2,X,In play- no out,CU,7,0.61,3.63,1.48,80.6,72.9,75.04,-1.32,50.0,5.29,-0.36,2.09,-8.51,10.11,4.73,-116.66,-3.33,-11.63,23.76,-18.37,28.8,6.0,24.0,1891,222,,,,,544725,,0,0,-6,top
2017-04-13,490231,9,492841,R,641313,R,83,Groundout,4,1,170414_013204,d62e581b-ca9e-4ab8-85df-7c52ad568bfc,0,0,2,B,Ball In Dirt,CU,14,0.89,3.6,1.76,78.5,71.5,81.64,-1.14,50.0,5.3,0.74,0.46,-11.45,4.14,7.5,-113.48,-4.8,-14.82,22.23,-26.82,26.4,9.6,24.0,1689,256,,544725,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,641313,R,83,Groundout,4,2,170414_013219,55c7f0c6-b54f-4231-b646-45be3adacabe,1,0,2,B,Ball,CU,13,0.93,3.52,1.73,77.5,70.6,38.73,-1.23,50.0,5.19,-0.95,0.74,-10.4,8.54,3.6,-112.13,-5.0,-13.17,21.32,-21.37,28.8,8.4,24.0,1813,235,,544725,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,641313,R,83,Groundout,4,3,170414_013233,98e158ea-ede2-489d-b37b-f310389abd4e,2,0,2,S,Swinging Strike,CU,5,0.83,3.79,1.56,79.1,72.1,13.36,-1.29,50.0,5.5,-0.08,2.45,-7.5,11.05,4.95,-114.64,-3.04,-9.97,21.34,-17.48,26.4,6.0,24.0,1833,215,,544725,,,,,0,1,-6,top
2017-04-13,490231,9,492841,R,641313,R,83,Groundout,4,4,170414_013247,ebaf6669-9a40-4c74-a02d-55e85b69af17,2,1,2,X,In play- out(s),CH,7,0.85,3.79,1.56,83.1,75.5,39.57,-1.3,50.0,5.33,-0.51,2.0,-8.55,11.47,4.51,-120.31,-4.66,-12.49,23.94,-15.41,36.0,6.0,24.0,2037,218,,544725,,,,,0,1,-6,top
