Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,1,180331_171839,df4b6171-9450-4e3c-a483-84f09876e37f,0,1,0,F,Foul,FF,11,2.0,3.23,1.39,91.8,84.3,50.38,-0.88,50.0,6.49,-0.07,3.28,-7.63,9.26,4.76,-133.68,-5.57,-13.84,28.11,-15.37,38.4,4.8,24.0,1917,219,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,2,180331_171858,237965c8-097f-4d35-ac05-868baf37eefb,0,2,0,F,Foul,FC,12,2.0,3.23,1.39,88.3,81.3,44.93,-1.04,50.0,6.39,0.26,3.38,2.14,7.58,2.6,-128.62,-3.85,3.61,25.49,-19.42,12.0,4.8,24.0,2196,161,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,3,180331_171925,ba4eccf6-e8f2-4cf5-8f43-2aa564ad0cef,0,2,0,F,Foul,FF,7,2.0,3.23,1.39,95.0,86.2,35.21,-0.98,50.0,6.19,-0.53,1.98,-5.86,11.67,3.26,-138.04,-9.59,-11.2,33.42,-9.87,40.8,3.6,24.0,1990,207,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,4,180331_171940,e30948b8-6922-49d1-9517-3e09fe9d7585,0,2,0,B,Ball,CH,13,2.0,3.4,1.44,85.2,77.2,52.76,-0.96,50.0,6.37,-1.22,1.62,-5.88,9.34,1.21,-123.87,-7.86,-9.0,28.26,-17.88,24.0,6.0,24.0,1423,214,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,5,180331_171954,ddf421f7-8c0e-45ff-87ea-213708e94a8b,1,2,0,B,Ball,CU,14,2.0,3.21,1.39,74.9,68.7,34.11,-0.95,50.0,6.38,0.98,0.44,5.06,-8.11,2.71,-108.92,-2.87,5.94,23.05,-41.71,8.4,14.4,24.0,2088,33,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,6,180331_172017,ab5e7850-4446-476e-ba23-757d8435ae93,2,2,0,B,Ball,CH,12,2.0,3.21,1.48,84.9,76.8,19.36,-0.89,50.0,6.6,0.3,4.03,-6.43,8.71,4.93,-123.57,-2.34,-9.82,27.52,-18.88,24.0,6.0,24.0,1607,213,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,452678,L,3,Double,7,7,180331_172037,a52c1076-99d8-4cc6-8b2d-53b6c09ea77c,3,2,0,D,In play- no out,FF,5,2.0,3.23,1.39,93.5,85.0,26.93,-0.88,50.0,6.26,0.2,2.54,-4.54,11.59,4.46,-135.97,-7.99,-8.43,31.79,-10.63,31.2,3.6,24.0,1949,200,,,,,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,493316,R,4,Walk,5,1,180331_172128,2c66ffbd-b093-4180-91b3-87fb46d10351,0,1,0,C,Called Strike,FF,6,2.0,3.43,1.44,93.6,85.4,58.49,-0.77,50.0,6.3,0.67,2.77,-3.08,11.61,4.92,-136.12,-7.55,-5.75,30.73,-10.45,21.6,2.4,24.0,1957,192,,452678,,493316,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,493316,R,4,Walk,5,2,180331_172152,c78308a1-f0ce-4083-be37-5332505bec61,0,1,0,B,Ball,FF,11,2.0,3.29,1.63,93.8,86.0,57.65,-1.16,50.0,6.31,-1.23,3.25,-4.24,10.13,1.29,-136.68,-5.86,-8.02,29.7,-12.99,28.8,3.6,24.0,1970,203,,452678,,493316,452678,,0,0,0,bottom
2018-03-31,529443,1,608379,R,493316,R,4,Walk,5,3,180331_172216,e4721fa2-6b62-48b6-b032-ce6f3b068d3c,1,1,0,B,Ball,FC,14,2.0,3.48,1.54,89.2,82.5,63.8,-1.1,50.0,6.11,1.25,1.35,0.86,8.63,5.74,-129.6,-8.83,1.48,24.99,-17.38,7.2,4.8,24.0,2149,169,,452678,,493316,452678,,0,0,0,bottom
