Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-24,566831,6,600887,L,641432,L,44,Pop Out,2,1,190821_015619,746c1818-1627-4e5f-8604-46f31625e1b0,0,0,0,B,Ball,CU,13,2.0,2.91,1.45,82.4,77.8,,1.77,50.0,6.08,-1.52,1.28,-0.48,-2.93,-7.72,-119.7,-3.79,-0.71,17.81,-36.53,2.4,9.6,24.0,2512,338,,,,,,,0,1,-2,bottom
2019-08-24,566831,6,600887,L,641432,L,44,Pop Out,2,2,190821_015636,eed152d3-0430-44b2-99b1-28b8ae10804c,1,0,0,X,In play- out(s),FF,13,2.0,2.92,1.48,94.3,87.2,,1.98,50.0,5.78,-0.56,1.2,6.27,8.97,-9.09,-136.66,-9.67,12.01,26.38,-14.98,31.2,3.6,24.0,2106,146,,,,,,,0,1,-2,bottom
2019-08-24,566831,6,600887,L,596059,L,45,Strikeout,4,1,190821_015727,99601722-7626-4bfd-97ba-34e22d667541,0,0,1,S,Called Strike,CU,2,2.0,2.83,0.99,80.4,74.6,,1.95,50.0,6.34,-0.1,2.87,-1.44,-5.08,-4.33,-116.83,0.45,-2.01,20.21,-39.25,3.6,10.8,24.0,2613,337,,,,,,,0,1,-2,bottom
2019-08-24,566831,6,600887,L,596059,L,45,Strikeout,4,2,190821_015747,3f60afcc-5bd1-4aae-9adc-a5982c4c0adb,0,1,1,B,Ball,CU,13,2.0,3.03,1.29,83.9,78.5,,1.64,50.0,6.0,-2.51,0.72,-0.48,-2.9,-9.85,-121.62,-5.18,-0.72,21.01,-36.58,3.6,9.6,24.0,2664,334,,,,,,,0,1,-2,bottom
2019-08-24,566831,6,600887,L,596059,L,45,Strikeout,4,3,190821_015814,01f0c9d8-b7f9-4494-94eb-f279f71700d5,1,1,1,S,Swinging Strike,CU,13,2.0,3.08,1.34,81.7,76.1,,1.77,50.0,6.03,-1.13,0.71,-2.03,-4.11,-6.18,-118.69,-4.38,-2.91,21.63,-38.06,6.0,10.8,24.0,2641,327,,,,,,,0,1,-2,bottom
2019-08-24,566831,6,600887,L,596059,L,45,Strikeout,4,4,190821_015842,fec85dba-d1ab-4011-b974-5888669cf8c9,1,2,1,S,Called Strike,CU,6,2.0,3.0,1.32,81.3,75.0,,2.02,50.0,6.16,0.6,2.41,-2.54,-5.51,-2.54,-118.21,-0.2,-3.59,22.65,-39.96,6.0,12.0,24.0,2646,331,,,,,,,0,1,-2,bottom
2019-08-24,566832,4,600887,L,425783,L,36,Strikeout,7,1,190822_003042,89975d36-5207-4d62-9fe8-495e3aafba48,0,0,1,S,Called Strike,FF,6,2.0,3.27,1.54,94.1,86.6,,2.25,50.0,5.89,0.54,2.39,5.37,9.28,-6.51,-136.81,-6.81,10.24,28.39,-14.47,30.0,3.6,24.0,2167,151,425772,592261,,,425772,592261,0,1,-2,bottom
2019-08-24,566832,4,600887,L,425783,L,36,Strikeout,7,2,190822_003127,be6ab195-0c1a-47e7-8fdd-968725f41629,0,1,1,S,Foul,CU,4,2.0,3.3,1.55,82.5,76.7,,1.96,50.0,6.12,-0.49,2.52,-3.04,-3.01,-4.87,-120.01,-0.87,-4.48,21.16,-36.6,8.4,9.6,24.0,,308,425772,592261,,,425772,592261,0,1,-2,bottom
2019-08-24,566832,4,600887,L,425783,L,36,Strikeout,7,3,190822_003158,e23d5324-3e46-475d-8145-478204b34249,0,1,1,S,Foul,FF,13,2.0,3.3,1.55,96.0,87.7,,1.85,50.0,5.7,-0.92,1.5,5.12,10.65,-9.43,-139.09,-9.49,10.04,31.03,-11.3,31.2,3.6,24.0,2200,157,425772,592261,,,425772,592261,0,1,-2,bottom
2019-08-24,566832,4,600887,L,425783,L,36,Strikeout,7,4,190822_003228,43f6d3d3-d51a-4da0-a6dd-654399304dc6,0,2,1,B,Ball,CU,13,2.0,3.21,1.41,84.2,78.2,,1.73,50.0,6.0,-1.78,1.62,-1.41,-1.16,-8.06,-122.25,-3.58,-2.15,22.51,-33.94,6.0,9.6,24.0,2559,300,425772,592261,,,425772,592261,0,1,-2,bottom
2019-08-24,566832,4,600887,L,425783,L,36,Strikeout,7,5,190822_003300,fdf7d04d-5e98-4988-9a0b-0fd6a08c79da,1,1,1,S,Foul,FF,5,2.0,3.3,1.55,94.6,87.4,,2.02,50.0,5.9,-0.06,2.7,5.82,7.34,-7.76,-137.63,-5.45,11.29,27.28,-17.94,27.6,4.8,24.0,2065,143,425772,592261,,,425772,592261,0,1,-2,bottom
