Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-03,490109,5,622766,R,408236,L,47,Groundout,2,1,170403_215829,a15736e3-8f4a-48dc-846c-2146f4d60d09,1,0,2,X,In play- out(s),FF,14,2.0,4.21,1.63,96.9,88.1,52.96,-2.2,50.0,5.54,0.37,1.53,-4.61,11.43,8.74,-140.12,-9.35,-9.16,32.06,-9.48,32.4,2.4,24.0,2255,200,457759,,,,457759,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,523253,R,51,Flyout,6,1,170403_220704,516c53f9-70f7-4ce3-a855-071f0fabcf15,0,0,0,B,Ball,FF,14,2.0,3.76,1.77,97.0,87.1,69.29,-1.79,50.0,5.74,1.29,2.41,-5.15,13.16,10.31,-139.98,-8.0,-10.09,35.31,-6.4,42.0,2.4,24.0,2222,198,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,523253,R,51,Flyout,6,2,170403_220717,b6e520ea-3ce5-4725-9334-e99d0c492c39,1,0,0,B,Ball,FF,12,2.0,3.8,1.82,95.4,85.7,25.11,-1.87,50.0,5.59,1.81,2.81,-4.74,11.08,11.62,-137.64,-5.44,-8.98,34.09,-11.19,26.4,2.4,24.0,2293,198,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,523253,R,51,Flyout,6,3,170403_220731,49971fae-ee18-400a-8fe5-a621eb590b6c,2,0,0,S,Called Strike,FF,8,2.0,3.74,1.76,96.3,86.6,33.46,-2.09,50.0,5.76,0.14,2.23,-8.34,11.45,9.06,-139.12,-7.82,-16.15,34.76,-10.01,49.2,3.6,24.0,2280,216,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,523253,R,51,Flyout,6,4,170403_220746,54e42bb3-dd1c-444d-92fa-0a334048d341,2,1,0,S,Foul,FF,6,2.0,3.88,1.5,96.5,86.7,39.03,-1.99,50.0,5.83,0.45,2.42,-8.37,12.51,9.66,-139.49,-7.91,-16.28,35.13,-7.83,55.2,3.6,24.0,2239,213,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,523253,R,51,Flyout,6,5,170403_220809,c5115f9d-c1d5-4d7d-a964-688859921960,2,1,0,S,Foul,CH,13,2.0,3.88,1.5,89.0,80.6,57.07,-2.17,50.0,5.84,-1.15,1.88,-8.69,9.36,5.44,-128.8,-6.78,-14.49,28.67,-16.57,36.0,6.0,24.0,1732,226,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,523253,R,51,Flyout,6,6,170403_220826,6cce7189-a0a5-42b5-8a6a-eff7c454c3f6,2,2,0,X,In play- out(s),CH,13,2.0,3.88,1.5,88.8,81.2,55.56,-2.13,50.0,5.81,-1.03,2.02,-7.74,9.56,5.37,-128.58,-6.47,-12.99,26.01,-16.12,34.8,4.8,24.0,1724,221,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,592626,L,52,Strikeout,5,1,170403_220906,c60ff259-2a52-4c2a-9016-ea3aa89fe9b4,0,0,1,B,Ball,SL,14,2.0,3.94,2.08,82.3,75.1,56.0,-2.06,50.0,5.65,1.53,1.41,5.29,3.97,6.83,-119.12,-4.28,7.53,24.65,-26.52,18.0,8.4,24.0,2537,111,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,592626,L,52,Strikeout,5,2,170403_220918,99c41237-8ecf-4aef-a6b8-c8f40bc168d0,1,0,1,S,Called Strike,FF,9,2.0,3.83,1.92,96.1,87.5,50.17,-2.02,50.0,5.71,0.59,2.18,-6.03,11.53,9.32,-139.01,-7.94,-11.81,30.98,-9.61,40.8,3.6,24.0,2092,206,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,592626,L,52,Strikeout,5,3,170403_220931,c2d180da-567a-4ff7-8a13-d0c6808c0e9a,1,1,1,B,Ball,SL,14,2.0,3.83,1.87,82.9,75.3,22.57,-2.13,50.0,5.89,1.53,2.31,6.05,3.92,6.78,-119.96,-2.8,8.71,25.58,-26.52,20.4,8.4,24.0,2513,110,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,592626,L,52,Strikeout,5,4,170403_220944,7b5d71cd-5ae2-4718-aa2e-3746249f9ef4,2,1,1,S,Swinging Strike,CH,8,2.0,3.94,1.53,87.4,79.1,26.31,-2.12,50.0,5.61,-0.02,2.01,-9.83,9.17,8.38,-126.32,-5.42,-15.77,27.49,-17.47,37.2,6.0,24.0,1933,228,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,592626,L,52,Strikeout,5,5,170403_221006,07a15227-bf1a-40ad-90ac-dce4d5e093d7,2,2,1,S,Called Strike,FT,9,2.0,3.94,1.9,97.0,87.5,50.82,-1.86,50.0,5.83,0.41,2.39,-9.65,7.16,9.71,-140.18,-6.2,-19.03,34.43,-18.07,40.8,4.8,24.0,2191,236,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,518735,L,53,Groundout,2,1,170403_221050,2e76a175-6591-40e2-8196-926b49c82e97,0,0,2,S,Foul,FF,6,2.0,3.77,1.51,98.1,88.6,50.43,-1.77,50.0,5.97,0.39,2.72,-3.59,13.58,7.35,-141.99,-8.23,-7.27,35.07,-4.68,39.6,1.2,24.0,2350,192,,,,,,,0,1,-11,bottom
2017-04-03,490109,6,622766,R,518735,L,53,Groundout,2,2,170403_221134,c6b64b54-e8f3-4d31-8dd6-91be401c4a0c,0,1,2,X,In play- out(s),CH,8,2.0,3.77,1.51,88.7,80.6,33.45,-2.14,50.0,5.6,0.0,1.56,-4.37,11.89,6.85,-128.36,-7.75,-7.26,27.61,-12.43,22.8,3.6,24.0,1821,198,,,,,,,0,1,-11,bottom
2017-04-06,490131,8,622766,R,523253,R,60,Strikeout,6,1,170406_043759,ae1d04a2-f64f-4a92-826a-26fa3623fe59,0,0,0,B,Ball,FF,12,2.0,3.28,1.57,96.8,87.8,54.41,-1.74,50.0,6.07,0.01,3.66,-6.57,11.02,7.2,-140.21,-4.8,-13.05,32.41,-10.29,45.6,3.6,24.0,2240,210,,,,,,,0,1,-2,bottom
2017-04-06,490131,8,622766,R,523253,R,60,Strikeout,6,2,170406_043814,90718f91-b4f0-4ad0-91c2-de6d056323c5,1,0,0,S,Called Strike,FF,12,2.0,3.18,1.57,96.1,87.4,49.42,-1.7,50.0,5.83,0.72,2.63,-3.67,11.41,7.96,-139.13,-6.98,-7.2,31.45,-9.83,25.2,2.4,24.0,2339,195,,,,,,,0,1,-2,bottom
2017-04-06,490131,8,622766,R,523253,R,60,Strikeout,6,3,170406_043830,d46c6bc9-3991-4ac3-a005-103d254b4106,1,1,0,S,Called Strike,CH,3,2.0,3.2,1.57,87.7,80.5,53.06,-1.79,50.0,5.6,0.63,3.13,-6.06,4.57,8.06,-127.13,-1.34,-9.99,24.22,-24.63,19.2,6.0,24.0,1750,234,,,,,,,0,1,-2,bottom
