Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-08,490153,1,571666,R,460086,L,0,Single,2,1,170408_001141,5c50054c-1197-4992-bd97-93cf36536924,0,0,0,S,Foul,FF,6,2.0,3.79,1.56,87.7,81.4,59.29,-0.59,50.0,6.1,0.63,2.83,-1.75,10.25,3.66,-127.63,-5.34,-2.94,22.43,-15.0,8.4,3.6,24.0,2430,188,,,,460086,,,0,0,0,top
2017-04-08,490153,1,571666,R,460086,L,0,Single,2,2,170408_001159,3317fa5b-0e36-49e6-a700-639e208b79bd,0,1,0,X,In play- no out,CH,13,2.0,3.79,1.56,82.2,77.7,50.41,-1.23,50.0,5.97,-0.78,2.22,-7.74,4.96,3.5,-119.72,-3.82,-11.61,15.9,-24.74,24.0,7.2,24.0,1779,241,,,,460086,,,0,0,0,top
2017-04-08,490153,1,571666,R,519058,L,1,Groundout,4,1,170408_001236,0b19e3d7-bdf1-4a2c-a59a-ffb118b04c2b,0,0,0,S,Called Strike,FT,6,2.0,3.82,2.01,89.7,82.9,48.85,-0.63,50.0,5.94,0.56,2.99,-6.55,8.89,5.29,-130.38,-4.41,-11.41,24.19,-16.69,31.2,4.8,24.0,2330,217,460086,,,,460086,,0,1,0,top
2017-04-08,490153,1,571666,R,519058,L,1,Groundout,4,2,170408_001254,0409598f-8eeb-4cb1-bf81-c488470a9f2e,0,1,0,B,Ball,CU,11,2.0,3.44,1.63,73.2,67.1,9.91,-1.01,50.0,6.41,-0.04,4.97,4.48,-11.22,0.82,-106.18,7.72,5.1,18.54,-44.96,7.2,15.6,24.0,2702,22,460086,,,,460086,,0,1,0,top
2017-04-08,490153,1,571666,R,519058,L,1,Groundout,4,3,170408_001316,6a51f05c-a1c0-4661-ab7e-8c1a1a72b61a,1,1,0,S,Called Strike,CU,1,2.0,3.79,1.85,71.9,66.2,35.02,-1.03,50.0,6.23,-0.43,3.47,4.27,-10.36,0.11,-104.43,4.9,4.7,17.96,-43.59,6.0,15.6,24.0,2624,21,460086,,,,460086,,0,1,0,top
2017-04-08,490153,1,571666,R,519058,L,1,Groundout,4,4,170408_001342,4649fd46-5df7-4c7a-b158-52074ac44bb0,1,2,0,X,In play- out(s),CU,8,2.0,3.79,1.56,75.2,69.7,27.79,-0.95,50.0,6.1,0.13,1.76,3.0,-11.61,1.49,-109.44,1.36,3.62,20.11,-46.19,4.8,15.6,24.0,2970,14,460086,,,,460086,,0,1,0,top
2017-04-08,490153,1,571666,R,456715,R,2,Strikeout,6,1,170408_001430,e2792fdd-3f2f-4398-920e-bad911aab258,0,0,1,B,Ball,SL,4,2.0,4.07,2.08,82.2,76.7,69.1,-0.91,50.0,6.02,-0.68,3.03,2.69,4.21,-0.29,-119.71,-1.68,3.97,19.03,-25.95,8.4,7.2,24.0,2348,141,,460086,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,456715,R,2,Strikeout,6,2,170408_001451,8de50d52-4e6f-45da-9f93-395c0d7d140f,1,0,1,B,Ball,FF,14,2.0,3.72,1.83,89.7,82.9,54.39,-0.48,50.0,5.91,1.07,2.32,-3.7,10.4,5.26,-130.37,-6.57,-6.44,24.31,-14.06,20.4,3.6,24.0,2336,199,,460086,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,456715,R,2,Strikeout,6,3,170408_001514,5c901027-59ee-4794-ada8-fdc5be551fb2,2,0,1,S,Foul,FC,1,2.0,3.75,1.53,86.3,80.9,46.26,-0.74,50.0,6.1,-0.51,3.1,-0.05,5.51,0.61,-125.81,-2.92,-0.08,19.56,-23.13,0.0,6.0,24.0,2395,179,,460086,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,456715,R,2,Strikeout,6,4,170408_001546,edf4ea25-b16f-4812-932c-224c54fc2966,2,1,1,S,Foul,FT,2,2.0,3.75,1.53,90.6,83.6,39.09,-0.64,50.0,5.93,-0.08,3.23,-6.14,10.85,3.57,-131.83,-4.6,-10.92,25.24,-12.88,37.2,3.6,24.0,2297,210,,460086,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,456715,R,2,Strikeout,6,5,170408_001614,3637dd66-c0f2-4288-9713-6a54221847a7,2,2,1,B,Ball,CU,3,2.0,3.82,1.82,74.9,68.7,36.05,-0.85,50.0,6.18,0.44,3.54,4.32,-10.44,1.55,-108.75,4.77,5.14,20.06,-44.6,7.2,15.6,24.0,2948,22,,460086,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,456715,R,2,Strikeout,6,6,170408_001642,6c862c5f-4b62-4a6b-afe7-6822b8ba010d,3,2,1,S,Swinging Strike,FF,12,2.0,3.75,1.53,91.0,84.1,55.26,-0.62,50.0,6.0,0.75,3.5,-3.71,11.71,4.87,-132.35,-4.46,-6.66,24.63,-11.12,26.4,2.4,24.0,2374,196,,460086,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,543333,L,3,Strikeout,6,1,170408_001723,742d0855-a5c0-4f2a-922b-6ac7427d0ae3,0,0,2,S,Called Strike,FC,6,2.0,3.97,1.8,87.5,81.7,61.42,-0.75,50.0,5.94,0.69,3.19,0.74,6.49,3.42,-127.55,-2.81,1.25,21.05,-21.25,4.8,4.8,24.0,2483,169,,,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,543333,L,3,Strikeout,6,2,170408_001748,b130cacc-786f-46be-a828-c88ca5e449a6,0,1,2,B,Ball,CH,13,2.0,3.43,1.59,84.4,79.3,55.21,-1.03,50.0,5.78,-1.12,1.88,-6.34,2.64,1.8,-122.87,-3.85,-9.95,18.45,-28.03,19.2,7.2,24.0,1770,254,,,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,543333,L,3,Strikeout,6,3,170408_001814,862845c4-b641-4f29-bbdf-4393cd8ee472,1,1,2,S,Called Strike,FC,7,2.0,3.86,1.77,87.7,82.7,39.0,-1.03,50.0,5.91,-0.31,2.33,3.54,1.84,0.67,-127.83,-3.48,6.04,19.0,-29.03,12.0,7.2,24.0,2510,105,,,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,543333,L,3,Strikeout,6,4,170408_001840,3a313fcd-6aa2-4bcc-97f9-2931781fb80a,1,1,2,S,Foul,CU,11,2.0,3.84,1.59,74.0,68.1,50.04,-0.99,50.0,6.18,-0.56,3.96,5.81,-11.92,-0.67,-107.5,6.15,6.79,18.83,-46.1,8.4,15.6,24.0,2824,25,,,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,543333,L,3,Strikeout,6,5,170408_001937,c057a742-890e-4bdf-ae63-8e04821e79a2,1,2,2,B,Ball,FC,14,2.0,3.67,1.73,88.1,81.1,62.82,-0.71,50.0,5.92,0.97,1.7,1.63,8.33,3.72,-128.0,-7.08,2.71,25.25,-18.28,9.6,4.8,24.0,2446,163,,,,,,,0,1,0,top
2017-04-08,490153,1,571666,R,543333,L,3,Strikeout,6,6,170408_002043,62cab71b-b9f8-4d7d-95cf-6148e79a3b1c,2,2,2,S,Swinging Strike,FC,12,2.0,3.84,1.59,87.3,80.8,38.83,-0.73,50.0,6.11,0.1,3.95,1.39,5.2,1.64,-127.17,-0.78,2.31,22.87,-23.55,6.0,6.0,24.0,2511,160,,,,,,,0,1,0,top
2017-04-08,490153,2,571666,R,521692,R,7,Home Run,2,1,170408_003312,534fb295-5c20-4aa8-a7ef-ebdd1230b8ac,0,0,0,S,Called Strike,SL,13,2.0,3.62,1.6,80.8,75.6,76.5,-1.03,50.0,6.1,-0.79,2.34,2.87,1.81,-0.32,-117.67,-2.5,4.1,18.39,-29.59,7.2,8.4,24.0,2265,106,,,,,,,1,0,0,top
2017-04-08,490153,2,571666,R,521692,R,7,Home Run,2,2,170408_003327,83b927e0-34a6-4f6e-a518-cd0ae0b0567d,0,1,0,X,In play- run(s),FT,2,2.0,3.87,1.6,88.8,82.1,42.52,-0.59,50.0,6.06,0.13,3.71,-4.62,8.59,3.4,-129.29,-2.62,-7.93,23.64,-17.45,22.8,4.8,24.0,2254,208,,,,,,,1,0,0,top
2017-04-08,490153,2,571666,R,461235,L,8,Walk,7,1,170408_003412,aa89e7e0-e9bd-4501-b8f0-3fb12c8c5c9b,0,0,0,B,Ball,FT,11,2.0,3.51,1.6,88.2,82.1,31.49,-0.81,50.0,5.91,-1.76,2.75,-4.87,7.8,-0.81,-128.37,-4.39,-8.27,21.8,-18.9,22.8,4.8,24.0,2234,216,,,,461235,,,0,0,-1,top
2017-04-08,490153,2,571666,R,461235,L,8,Walk,7,2,170408_003425,1eb11c23-4eb5-45a0-b484-a4729e9911f7,1,0,0,S,Swinging Strike,CH,13,2.0,3.87,1.6,82.9,78.1,43.09,-1.21,50.0,5.79,-0.21,1.35,-6.92,3.91,4.57,-120.71,-5.24,-10.48,17.73,-26.26,20.4,7.2,24.0,1870,246,,,,461235,,,0,0,-1,top
2017-04-08,490153,2,571666,R,461235,L,8,Walk,7,3,170408_003439,9714ab49-81bb-4ec8-bdc3-0489520f9bc3,1,1,0,B,Ball,CH,13,2.0,3.23,1.48,82.5,77.9,24.49,-0.94,50.0,5.74,-0.24,0.95,-6.92,3.28,3.84,-120.07,-5.8,-10.38,17.06,-27.26,19.2,8.4,24.0,1836,251,,,,461235,,,0,0,-1,top
