Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-10,567552,1,571945,R,456715,R,3,Strikeout,4,1,190328_181800,bf020751-3326-417a-bb85-5b916e74a611,0,0,0,S,Called Strike,FF,5,2.0,3.62,1.66,93.0,85.6,,-2.16,50.0,6.06,-0.17,2.34,-4.7,7.61,6.95,-135.29,-6.59,-8.75,28.06,-17.99,20.4,4.8,24.0,2335,209,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,456715,R,3,Strikeout,4,2,190328_181812,7af55a51-4d7d-4c8a-a288-d83c73b40618,0,1,0,B,Ball,FT,11,2.0,3.7,1.74,92.2,84.8,,-2.08,50.0,6.2,-1.38,2.71,-7.86,6.61,4.58,-134.22,-5.47,-14.39,28.11,-20.07,32.4,6.0,24.0,2250,230,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,456715,R,3,Strikeout,4,3,190328_181828,3986a5c3-76f2-4b39-bd2c-5a4244045b0f,1,1,0,S,Foul,SL,11,2.0,3.47,1.61,87.3,80.9,,-2.13,50.0,6.43,-0.68,3.51,2.08,3.0,2.99,-127.2,-1.97,3.44,23.52,-27.21,8.4,7.2,24.0,2396,140,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,456715,R,3,Strikeout,4,4,190328_181850,8297d700-e5a0-4953-ab45-ce0519f5bf34,1,2,0,S,Called Strike,FT,13,2.0,3.74,1.79,94.6,86.3,,-1.6,50.0,6.33,-0.96,2.35,-7.98,8.59,4.57,-137.56,-7.88,-15.23,31.67,-15.78,39.6,4.8,24.0,2328,223,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,592885,L,4,Groundout,4,1,190328_181922,1e044c07-a250-43d2-8550-ea9d2283d9b9,0,0,1,S,Called Strike,FF,13,2.0,3.44,1.64,93.1,85.1,,-1.8,50.0,6.17,-0.64,1.63,-3.47,9.91,4.29,-135.3,-9.52,-6.41,30.32,-13.85,19.2,3.6,24.0,2218,198,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,592885,L,4,Groundout,4,2,190328_181937,d071c593-7c1c-4842-9973-804449c23b33,0,1,1,S,Foul,FF,3,2.0,3.58,1.74,92.7,84.4,,-2.01,50.0,6.23,0.32,3.41,-4.7,8.01,7.8,-134.7,-4.18,-8.6,30.4,-17.52,20.4,4.8,24.0,2248,206,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,592885,L,4,Groundout,4,3,190328_181958,cf4e917a-b43f-49d7-8660-99162838c48b,0,2,1,B,Ball,CU,14,2.0,3.42,1.74,78.6,72.7,,-1.75,50.0,6.4,0.88,0.82,3.92,-10.3,4.78,-114.19,-2.34,5.13,23.11,-45.62,7.2,14.4,24.0,2749,24,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,592885,L,4,Groundout,4,4,190328_182020,2675470c-3310-48e3-a61a-1cd0e1c93eb3,1,2,1,X,In play- out(s),FF,2,2.0,3.58,1.72,94.0,85.9,,-1.82,50.0,6.23,-0.03,3.52,-4.06,9.01,6.27,-136.64,-4.53,-7.69,29.92,-15.14,21.6,3.6,24.0,2287,201,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,460075,R,5,Groundout,3,1,190328_182101,982ef9c0-2a23-40a9-9941-257b4abdf7b9,0,0,2,S,Called Strike,CU,5,2.0,3.41,1.61,77.1,70.7,,-2.03,50.0,6.51,0.11,2.65,5.4,-9.6,3.15,-111.93,1.56,6.77,22.31,-44.22,9.6,14.4,24.0,2608,32,,,,,,,0,1,0,bottom
2019-09-10,567552,1,571945,R,460075,R,5,Groundout,3,2,190328_182119,2974f8d2-23f5-49c5-b8b2-a5d6bce17530,0,1,2,S,Swinging Strike,SL,14,2.0,3.47,1.61,87.9,81.6,,-1.81,50.0,6.13,1.71,1.5,1.59,3.77,8.39,-127.82,-6.61,2.66,24.58,-25.89,8.4,7.2,24.0,2361,140,,,,,,,0,1,0,bottom
