Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-31,529432,8,518858,R,519058,L,63,Strikeout,4,1,180401_014439,6b94ba9c-c47e-4254-bb29-d7aa147b9d2b,0,0,0,S,Swinging Strike,FT,13,2.0,3.19,1.34,97.5,89.6,42.29,-2.34,50.0,5.48,-0.02,1.05,-7.6,7.28,9.26,-141.43,-9.29,-15.48,30.75,-17.35,34.8,4.8,24.0,2176,225,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,519058,L,63,Strikeout,4,2,180401_014455,4794c1f9-5b36-40c1-835c-40c202b36555,0,2,0,C,Called Strike,FT,9,2.0,3.37,1.66,98.1,89.0,40.27,-2.17,50.0,5.66,0.36,2.2,-10.38,6.68,10.83,-142.15,-6.37,-21.11,34.33,-18.58,43.2,6.0,24.0,2317,236,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,519058,L,63,Strikeout,4,3,180401_014519,d1d20eea-31d4-4473-82a3-3049ff33a2b6,0,2,0,F,Foul,FT,5,2.0,3.19,1.34,98.2,89.8,31.58,-2.16,50.0,5.53,0.23,2.16,-8.7,7.74,9.89,-142.56,-6.6,-17.92,32.54,-16.24,42.0,4.8,24.0,2267,226,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,519058,L,63,Strikeout,4,4,180401_014548,bb276dc5-42b2-498c-8eaa-9216032f7aa9,0,2,0,S,Swinging Strike,SL,3,2.0,3.19,1.34,88.9,81.3,29.82,-2.5,50.0,5.7,0.24,2.8,0.81,1.89,6.72,-129.17,-1.69,1.36,27.79,-29.0,4.8,7.2,24.0,2053,137,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,446263,L,64,Strikeout,5,1,180401_014620,d6c9c2a5-5652-4ff7-be8b-82ca99dbe211,0,1,1,F,Foul,FT,11,2.0,3.57,1.52,97.4,88.4,64.13,-2.3,50.0,5.61,-0.99,3.27,-9.14,8.03,6.96,-141.54,-3.65,-18.42,34.13,-15.99,44.4,4.8,24.0,2400,227,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,446263,L,64,Strikeout,5,2,180401_014644,1e3f18d0-f16d-4312-8767-15583417b960,0,1,1,B,Ball,FT,12,2.0,3.66,1.78,97.3,88.0,53.45,-2.1,50.0,5.63,0.81,2.94,-9.18,7.76,11.38,-141.09,-4.46,-18.32,34.92,-16.68,40.8,4.8,24.0,2437,226,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,446263,L,64,Strikeout,5,3,180401_014704,917a5205-2858-47ff-af49-855b18689269,1,1,1,B,Ball,CH,11,2.0,3.57,1.69,87.3,79.5,39.6,-2.53,50.0,5.71,-1.28,2.69,-10.15,5.82,6.41,-126.79,-2.99,-16.45,26.92,-22.74,32.4,7.2,24.0,1793,238,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,446263,L,64,Strikeout,5,4,180401_014723,8a4e17d4-3465-4e6e-8e50-3f2fd84472cb,2,1,1,S,Swinging Strike,FT,11,2.0,3.57,1.52,97.7,88.3,34.74,-2.49,50.0,5.57,-1.49,3.29,-9.31,8.78,6.16,-141.91,-3.76,-18.78,35.59,-14.46,48.0,4.8,24.0,2382,225,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,446263,L,64,Strikeout,5,5,180401_014759,009b1043-2901-4cba-a447-77ab44df6138,2,3,1,C,Called Strike,FT,13,2.0,3.7,1.8,97.4,89.1,41.77,-2.27,50.0,5.43,-0.08,1.8,-8.06,8.6,9.04,-141.32,-7.5,-16.34,31.39,-14.74,40.8,4.8,24.0,2426,221,,,,,,,0,1,1,bottom
2018-03-31,529432,8,518858,R,596144,R,65,Single,2,1,180401_014832,b83bdeb3-83f3-4534-a108-d87a878fe420,0,1,2,C,Called Strike,FT,6,2.0,3.49,1.67,98.0,89.4,35.26,-1.45,50.0,5.6,0.27,2.41,-8.04,8.92,7.77,-142.31,-6.5,-16.47,33.03,-13.9,43.2,4.8,24.0,2349,220,,,,596144,,,0,0,1,bottom
