Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-06,490132,6,519166,R,571875,L,56,Strikeout,4,1,170406_035013,1cb52a08-1e6e-404d-a581-7293570ef1e4,0,0,2,S,Foul,FT,13,2.0,3.87,1.6,94.3,86.4,60.08,-1.16,50.0,5.98,-0.35,1.47,-8.11,12.35,5.05,-136.89,-10.59,-15.42,29.72,-8.7,52.8,3.6,24.0,2420,213,502671,572008,,,,,0,1,-2,bottom
2017-04-06,490132,6,519166,R,571875,L,56,Strikeout,4,2,170406_035041,fc7155b8-49dd-4bb2-a795-b29c98037a35,0,1,2,B,Ball,CU,14,2.0,3.41,1.54,80.9,74.1,12.93,-0.7,50.0,6.4,1.6,2.32,0.81,-2.15,5.08,-117.69,-1.85,1.12,24.2,-35.16,3.6,10.8,24.0,2349,34,502671,572008,,,,,0,1,-2,bottom
2017-04-06,490132,6,519166,R,571875,L,56,Strikeout,4,3,170406_035107,42fe37a4-c4f8-4555-a697-25630bb69884,1,1,2,S,Foul,SL,13,2.0,3.87,1.6,84.9,78.8,25.04,-1.07,50.0,6.11,-0.4,1.09,-2.09,3.67,2.32,-123.58,-6.87,-3.25,22.88,-26.46,6.0,7.2,24.0,2111,211,502671,572008,,,,,0,1,-2,bottom
2017-04-06,490132,6,519166,R,571875,L,56,Strikeout,4,4,170406_035219,81ddf6bc-ad7a-4f93-a87b-5bcd263d20f2,1,2,2,S,Called Strike,FT,4,2.0,3.65,1.81,94.6,86.6,48.75,-1.21,50.0,6.06,-0.66,2.44,-6.85,11.0,3.91,-137.58,-7.81,-13.15,30.13,-11.05,44.4,3.6,24.0,2439,212,502671,572008,,,,,0,1,-2,bottom
2017-04-06,490132,7,519166,R,630111,R,60,Strikeout,5,1,170406_040133,4399e502-8e94-4019-b4e0-7ee5b4b422ae,0,0,0,B,Ball,FT,14,2.0,3.69,1.92,92.0,84.5,38.45,-0.65,50.0,6.13,1.31,2.09,-5.59,12.38,7.09,-133.66,-8.86,-10.18,27.33,-9.66,37.2,3.6,24.0,2374,202,,,,630111,,,0,0,-2,bottom
2017-04-06,490132,7,519166,R,630111,R,60,Strikeout,5,2,170406_040152,f98d80c7-3a30-4f49-89eb-89b833392a63,1,0,0,S,Foul,SL,1,2.0,3.84,1.59,85.8,79.9,45.31,-1.09,50.0,6.34,-0.5,3.28,-0.76,2.82,1.73,-125.06,-2.05,-1.22,21.3,-27.63,2.4,7.2,24.0,2221,191,,,,630111,,,0,0,-2,bottom
2017-04-06,490132,7,519166,R,630111,R,60,Strikeout,5,3,170406_040217,378fe9a8-ef42-4097-861a-02413c105e3d,1,1,0,S,Called Strike,FT,9,2.0,3.84,1.94,93.0,85.0,58.5,-0.99,50.0,6.07,0.59,1.83,-8.22,12.23,7.07,-135.09,-9.53,-15.18,29.64,-9.59,49.2,3.6,24.0,2347,213,,,,630111,,,0,0,-2,bottom
2017-04-06,490132,7,519166,R,630111,R,60,Strikeout,5,4,170406_040241,b09104cd-8890-4a14-9531-e3d02c830be8,1,1,0,S,Foul,FT,5,2.0,3.84,1.59,93.2,85.1,35.56,-0.95,50.0,6.18,-0.08,2.97,-7.56,10.31,4.97,-135.55,-6.16,-14.05,29.87,-13.01,42.0,4.8,24.0,2340,215,,,,630111,,,0,0,-2,bottom
2017-04-06,490132,7,519166,R,630111,R,60,Strikeout,5,5,170406_040308,2e20e002-8f72-449e-94f3-bfc08e13f22d,1,2,0,S,Swinging Strike,SL,14,2.0,3.84,1.59,86.7,81.1,46.4,-0.91,50.0,6.01,1.04,-0.09,0.04,4.42,4.88,-125.98,-10.27,0.06,22.15,-24.97,1.2,7.2,24.0,2239,170,,,,630111,,,0,0,-2,bottom
2017-04-06,490132,7,519166,R,592273,R,61,Single,3,1,170406_040410,7574f7a1-f9b2-4bcb-83f7-809f268f2379,0,0,0,B,Ball,FT,13,2.0,3.76,1.8,91.8,83.6,71.39,-1.41,50.0,5.97,-1.17,1.85,-7.9,10.91,3.31,-133.46,-8.42,-14.16,30.46,-12.62,43.2,4.8,24.0,2272,216,630111,,,592273,,,1,0,-2,bottom
