Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,1,170404_014557,2b61d2db-96cf-451f-92f3-9207041d0ba6,0,1,0,F,Foul,FF,5,2.0,3.75,1.53,88.5,81.3,36.8,-2.53,50.0,5.5,-0.02,2.67,-7.03,8.98,8.71,-128.37,-3.84,-11.83,24.41,-17.06,30.0,4.8,24.0,2471,217,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,2,170404_014621,a7b060e2-4d42-42af-8f30-d01f854ab218,0,1,0,B,Ball,FC,14,2.0,3.26,1.56,85.1,79.8,53.55,-2.51,50.0,5.45,1.15,2.22,-1.34,1.09,9.44,-123.68,-1.8,-2.12,19.17,-30.44,1.2,8.4,24.0,2533,233,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,3,170404_014637,a66769e5-6683-4cd4-9574-4811a1b93d5a,1,2,0,F,Foul,FT,5,2.0,3.75,1.53,88.9,82.3,32.7,-2.48,50.0,5.34,-0.03,2.35,-6.77,7.67,8.56,-129.07,-3.97,-11.59,23.01,-19.03,27.6,4.8,24.0,2441,221,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,4,170404_014702,70b210ca-a076-42f1-af46-a881a03858c3,1,2,0,F,Foul,FF,12,2.0,3.75,1.53,90.6,82.5,60.89,-2.49,50.0,5.31,0.98,3.28,-7.37,9.44,11.47,-131.23,-2.22,-12.87,27.55,-15.7,32.4,4.8,24.0,2430,215,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,5,170404_014725,653e3cac-b65b-45a8-a885-c8aa42f092d6,1,2,0,F,Foul,FC,12,2.0,3.75,1.53,87.1,81.2,51.3,-2.56,50.0,5.41,0.75,2.88,-0.81,5.38,8.61,-126.51,-1.75,-1.35,20.57,-23.26,0.0,6.0,24.0,2538,179,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,6,170404_014750,b0cebb68-0375-4401-b71e-35259a21245b,1,2,0,B,Ball,FT,11,2.0,3.13,1.34,89.1,82.1,40.62,-2.7,50.0,5.38,-0.39,4.14,-6.0,5.82,7.91,-129.38,1.13,-10.3,23.77,-22.19,21.6,6.0,24.0,2443,224,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,7,170404_014810,e9c28ce2-32cd-4720-ae13-6684931e8ce0,2,2,0,F,Foul,FT,8,2.0,3.75,1.53,89.9,82.7,44.05,-2.4,50.0,5.41,-0.2,2.03,-11.5,2.91,9.55,-130.42,-3.47,-19.93,25.77,-27.14,33.6,7.2,24.0,2306,260,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,8,170404_014837,8e2d1e07-af99-49e7-946d-cb83fd5662cb,2,2,0,B,Ball,FC,14,2.0,3.07,1.45,88.1,82.2,57.19,-2.04,50.0,5.5,1.02,1.67,0.16,7.57,7.73,-127.94,-5.96,0.27,21.46,-19.38,3.6,4.8,24.0,2576,171,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,9,170404_014858,889aa539-fb57-4929-a618-a8d4d3c1aa75,3,2,0,F,Foul,FT,7,2.0,3.75,1.53,90.2,84.1,45.89,-2.44,50.0,5.23,-0.32,2.14,-8.18,6.78,8.32,-131.02,-4.2,-14.54,21.79,-20.13,32.4,6.0,24.0,2497,231,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,10,170404_014928,0f9220b3-8953-4c23-a8fb-9db05b596e4f,3,2,0,F,Foul,FF,9,2.0,3.75,1.53,88.9,82.6,48.98,-2.36,50.0,5.47,0.42,1.8,-3.97,6.99,8.47,-129.05,-5.49,-6.81,22.37,-20.17,14.4,4.8,24.0,2538,208,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,608324,R,41,Walk,11,11,170404_014954,a784cb6a-1dce-46f9-9926-dc966de07cc3,3,2,0,B,Ball,FT,14,2.0,3.18,1.49,90.5,83.9,61.86,-2.16,50.0,5.42,0.49,1.31,-9.98,6.51,10.3,-131.18,-6.75,-17.65,23.71,-20.65,36.0,6.0,24.0,2270,240,,,,608324,,,0,0,-2,bottom
2017-04-03,490111,6,543883,R,514888,R,42,Single,1,1,170404_015034,57ab7cbe-6072-4b56-b6c6-413af4fc78a6,0,0,0,D,In play- no out,FT,5,2.0,3.48,1.45,89.9,82.6,28.77,-2.52,50.0,5.23,-0.0,2.5,-6.68,6.62,8.74,-130.48,-3.06,-11.59,25.7,-20.69,25.2,6.0,24.0,2503,225,608324,,,514888,,608324,0,0,-2,bottom
2017-04-03,490111,6,543883,R,621043,R,43,Sac Fly,4,1,170404_015135,2653cbfe-79f7-43e4-88a1-60ea33f1f777,0,0,0,B,Ball,FT,13,2.0,3.34,1.57,89.6,82.8,48.6,-2.44,50.0,5.46,-0.01,1.39,-10.05,6.07,9.62,-129.87,-6.29,-17.37,24.15,-21.68,34.8,6.0,24.0,2309,242,514888,,608324,514888,,,1,1,-2,bottom
2017-04-03,490111,6,543883,R,621043,R,43,Sac Fly,4,2,170404_015158,218b00e0-f04e-4fdf-b02f-c332985abf95,1,0,0,B,Ball,FC,14,2.0,3.44,1.56,87.4,80.9,35.68,-2.44,50.0,5.43,1.78,1.38,-0.56,5.4,10.78,-126.57,-5.52,-0.92,23.33,-23.32,2.4,6.0,24.0,2588,170,514888,,608324,514888,,,1,1,-2,bottom
2017-04-03,490111,6,543883,R,621043,R,43,Sac Fly,4,3,170404_015224,64a1cd6d-ab74-4965-8c75-8a7245735c60,2,0,0,B,Ball,FC,14,2.0,3.28,1.53,87.4,80.8,45.36,-2.35,50.0,5.43,0.85,0.93,-1.33,5.31,8.48,-126.72,-6.61,-2.18,23.88,-23.48,1.2,6.0,24.0,2614,185,514888,,608324,514888,,,1,1,-2,bottom
2017-04-03,490111,6,543883,R,621043,R,43,Sac Fly,4,4,170404_015248,4e1428c5-4564-416e-8b3e-f9d33be03199,3,0,0,E,In play- run(s),FC,14,2.0,3.92,1.63,87.4,80.6,53.0,-2.51,50.0,5.57,0.98,2.29,-2.08,6.51,9.46,-126.72,-3.94,-3.4,23.82,-21.5,4.8,6.0,24.0,2659,190,514888,,608324,514888,,,1,1,-2,bottom
2017-04-03,490111,6,543883,R,136860,L,44,Flyout,5,1,170404_015336,f05e88f7-11a9-4703-9368-b62fb1f7869b,0,1,1,F,Foul,FF,2,2.0,3.79,1.56,89.0,81.6,46.05,-2.19,50.0,5.52,-0.1,3.13,-3.65,9.8,6.54,-129.28,-3.08,-6.2,25.73,-15.51,16.8,3.6,24.0,2488,198,514888,,,514888,,,0,1,-3,bottom
2017-04-03,490111,6,543883,R,136860,L,44,Flyout,5,2,170404_015401,7a21a478-e4f0-46f1-a53c-15f1b36310e5,1,1,1,*B,Ball In Dirt,CH,14,2.0,3.35,1.61,84.3,79.1,45.63,-2.07,50.0,5.5,1.03,0.19,-9.53,3.12,10.57,-122.15,-7.3,-14.72,18.96,-27.36,25.2,8.4,24.0,1721,258,514888,,,514888,,,0,1,-3,bottom
2017-04-03,490111,6,543883,R,136860,L,44,Flyout,5,3,170404_015427,93d21e43-61c9-4284-954b-673a2e550fbc,1,2,1,F,Foul,FC,12,2.0,3.79,1.56,86.6,80.7,52.73,-2.22,50.0,5.48,0.96,2.85,-1.62,5.47,8.51,-125.83,-1.96,-2.65,20.61,-23.22,3.6,6.0,24.0,2459,189,514888,,,514888,,,0,1,-3,bottom
2017-04-03,490111,6,543883,R,136860,L,44,Flyout,5,4,170404_015516,2fc59dd4-a07f-4f77-b102-8de7c560789b,1,2,1,X,In play- out(s),FT,5,2.0,3.79,1.56,89.3,82.7,31.01,-2.18,50.0,5.39,0.01,2.89,-7.64,6.04,8.23,-129.76,-2.23,-13.24,23.02,-21.72,27.6,6.0,24.0,2415,232,514888,,,514888,,,0,1,-3,bottom
