Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-03,490098,1,592789,R,542255,L,0,Strikeout,3,1,170403_171349,d37c3683-3df1-4d09-b594-a4719e2ba299,0,1,0,F,Foul,SI,5,2.0,3.46,1.61,98.3,89.5,38.15,-0.37,50.0,6.39,0.15,2.31,-9.3,9.57,4.86,-142.68,-9.25,-19.09,33.99,-12.53,50.4,4.8,24.0,1962,225,,,,,,,0,1,0,top
2017-04-03,490098,1,592789,R,542255,L,0,Strikeout,3,2,170403_171407,a8afc0c0-5670-4fd0-bc4a-57ae26093121,0,2,0,F,Foul,SI,13,2.0,3.69,1.51,98.0,90.3,49.51,-0.37,50.0,6.39,-0.14,1.2,-9.14,8.25,4.0,-142.21,-11.89,-18.82,30.83,-15.18,45.6,4.8,24.0,2095,230,,,,,,,0,1,0,top
2017-04-03,490098,1,592789,R,542255,L,0,Strikeout,3,3,170403_171427,d71b1c52-3e14-46ba-9854-300df376bc64,0,2,0,S,Swinging Strike,SL,14,2.0,3.69,1.51,92.3,85.1,54.25,-0.52,50.0,6.31,1.2,1.56,-0.04,4.46,4.59,-134.24,-8.09,-0.07,28.25,-24.02,2.4,6.0,24.0,2022,172,,,,,,,0,1,0,top
2017-04-03,490098,1,592789,R,621020,R,1,Groundout,2,1,170403_171457,c53e5a39-3c9f-4130-a115-3b6b06d2f8bc,0,0,1,B,Ball,SI,8,2.0,3.75,1.9,99.2,90.6,48.3,-0.44,50.0,6.39,-0.0,1.72,-10.94,7.52,5.27,-144.03,-10.35,-22.9,34.41,-16.42,49.2,6.0,24.0,2216,237,,,,,,,0,1,0,top
2017-04-03,490098,1,592789,R,621020,R,1,Groundout,2,2,170403_171517,69e9db0b-1d70-45d9-9a82-9a814743273c,1,0,1,X,In play- out(s),SI,11,2.0,3.69,1.51,97.7,90.2,56.88,-0.5,50.0,6.49,-0.77,2.94,-8.24,7.86,2.28,-142.28,-7.17,-17.03,30.2,-15.94,43.2,4.8,24.0,2041,227,,,,,,,0,1,0,top
2017-04-03,490098,1,592789,R,518692,L,2,Flyout,2,1,170403_171551,d1d1c0dd-0513-490b-9240-31eec0821f10,0,0,2,B,Ball,CH,13,2.0,3.98,1.88,89.4,83.4,55.87,-0.64,50.0,6.26,-0.5,1.05,-8.09,5.4,3.1,-130.08,-9.06,-14.07,23.48,-22.78,28.8,6.0,24.0,1729,239,,,,,,,0,1,0,top
2017-04-03,490098,1,592789,R,518692,L,2,Flyout,2,2,170403_171607,b192492c-371a-4547-a289-d08ce88d3037,1,0,2,X,In play- out(s),SI,13,2.0,4.06,1.69,98.7,89.8,65.52,-0.38,50.0,6.35,-0.78,1.9,-10.27,9.24,2.63,-143.35,-10.24,-21.21,35.29,-13.08,52.8,4.8,24.0,2045,230,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,461314,R,7,Groundout,5,1,170403_173249,cc0dd2ae-f1be-40ce-9979-6cad3fe5501c,0,0,0,B,Ball,SI,13,2.0,3.88,1.85,97.1,88.8,50.67,-0.62,50.0,6.31,-1.45,1.69,-9.51,10.72,1.12,-141.0,-10.95,-19.1,32.71,-10.64,55.2,4.8,24.0,2009,224,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,461314,R,7,Groundout,5,2,170403_173308,82aeb905-99e6-44f2-822a-f395722177ff,1,0,0,S,Swinging Strike,SL,14,2.0,4.03,1.75,92.1,85.3,58.32,-0.43,50.0,6.42,1.29,1.69,0.86,3.92,4.27,-133.97,-7.83,1.58,27.02,-25.0,4.8,6.0,24.0,2079,157,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,461314,R,7,Groundout,5,3,170403_173325,9aa086bb-6dff-470a-8ffc-b9c04e08ee30,1,1,0,S,Swinging Strike,SI,13,2.0,4.02,1.75,97.7,89.3,58.04,-0.36,50.0,6.36,-0.46,1.39,-8.81,9.63,2.91,-141.84,-11.66,-17.88,33.42,-12.62,48.0,4.8,24.0,2152,225,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,461314,R,7,Groundout,5,4,170403_173342,8197e521-4142-4a56-a96e-395030c98ba5,1,2,0,B,Ball,FF,11,2.0,3.94,1.97,98.8,89.5,24.14,-0.42,50.0,6.47,-1.44,2.96,-8.23,10.84,0.12,-143.55,-8.15,-17.0,36.42,-9.79,55.2,3.6,24.0,2145,219,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,461314,R,7,Groundout,5,5,170403_173359,f53ed33f-df85-4ceb-882a-e006100078a8,2,2,0,X,In play- out(s),SL,14,2.0,3.97,1.91,92.4,85.0,55.28,-0.3,50.0,6.46,1.23,1.9,1.9,4.09,3.4,-134.4,-7.45,3.48,28.91,-24.69,8.4,6.0,24.0,2021,145,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,455976,L,8,Strikeout,7,1,170403_173442,b61d93e7-fa91-4ab6-8e09-8cdaee1ac4fc,0,0,1,B,Ball,SI,13,2.0,4.16,1.98,97.2,88.9,61.82,-0.5,50.0,6.34,-0.95,0.94,-8.98,9.57,1.99,-141.06,-12.71,-18.04,32.95,-12.94,48.0,4.8,24.0,2092,226,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,455976,L,8,Strikeout,7,2,170403_173501,8f526985-d256-4f37-91b7-44d8ac957540,1,1,1,C,Called Strike,CH,4,2.0,4.13,2.13,89.8,82.4,28.14,-0.57,50.0,6.38,-0.27,2.93,-8.24,6.58,3.55,-130.74,-4.89,-14.29,27.19,-20.76,32.4,6.0,24.0,1855,231,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,455976,L,8,Strikeout,7,3,170403_173519,54b1c263-dd7f-41e0-9a44-a04febcb7730,1,1,1,B,Ball,SI,11,2.0,4.19,2.03,97.2,88.5,64.49,-0.49,50.0,6.51,-1.19,3.3,-9.21,8.62,1.39,-141.46,-6.28,-18.54,34.05,-14.81,48.0,4.8,24.0,1993,228,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,455976,L,8,Strikeout,7,4,170403_173536,b45defaa-0e92-4ef7-92cb-27a71b83c70d,2,1,1,S,Swinging Strike,CH,13,2.0,4.04,1.95,89.2,82.0,28.04,-0.4,50.0,6.19,-0.39,1.31,-10.26,5.04,3.45,-129.8,-7.9,-17.47,27.68,-23.59,33.6,7.2,24.0,1713,246,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,455976,L,8,Strikeout,7,5,170403_173556,9b0c6b08-d573-4f1d-ae3a-894346195a6e,2,2,1,B,Ball,SL,14,2.0,4.08,2.04,91.8,83.9,34.13,-0.37,50.0,6.33,1.33,1.44,1.64,3.82,3.91,-133.37,-8.0,2.93,30.75,-25.35,8.4,6.0,24.0,1957,143,,,,,,,0,1,0,top
2017-04-03,490098,2,592789,R,455976,L,8,Strikeout,7,6,170403_173616,9c84c070-bbe4-4926-9f1d-809346751001,3,2,1,F,Foul,FF,3,2.0,4.04,1.73,98.5,89.8,46.64,-0.47,50.0,6.36,0.65,3.1,-3.45,10.24,4.42,-143.31,-7.27,-7.16,34.14,-10.95,26.4,2.4,24.0,2169,197,,,,,,,0,1,0,top
