Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-03-29,529419,1,592789,R,451594,L,0,Strikeout,3,1,180329_171659,7af0df22-a100-4ac3-abd4-d6b539d2e4fc,0,0,0,S,Foul,SI,4,2.0,3.91,1.88,98.7,90.3,50.62,-0.53,50.0,6.27,-0.61,2.71,-9.23,6.65,3.18,-143.61,-6.86,-19.24,33.88,-18.32,43.2,4.8,24.0,2133,235,,,,,,,0,1,0,top
2018-03-29,529419,1,592789,R,451594,L,0,Strikeout,3,2,180329_171721,7303478d-ecd7-4b6d-9269-6ac610f2a0bf,0,1,0,S,Foul,SI,8,2.0,3.34,1.44,99.1,91.4,34.7,-0.38,50.0,6.25,0.07,1.67,-8.34,7.07,4.38,-143.96,-10.05,-17.64,30.95,-17.21,40.8,4.8,24.0,2145,232,,,,,,,0,1,0,top
2018-03-29,529419,1,592789,R,451594,L,0,Strikeout,3,3,180329_171746,5d072def-7246-4c5d-9de3-1ae79b4ceb40,0,2,0,S,Swinging Strike,SI,11,2.0,3.34,1.44,99.4,90.5,66.03,-0.72,50.0,6.38,-0.97,3.36,-6.04,8.53,1.51,-144.59,-6.13,-12.74,35.08,-14.19,38.4,3.6,24.0,2196,216,,,,,,,0,1,0,top
2018-03-29,529419,1,592789,R,502054,R,1,Groundout,1,1,180329_171817,ac5d940b-035d-4b07-ba20-29df24b71e7d,0,0,1,X,In play- out(s),SI,5,2.0,3.05,1.23,99.0,90.4,30.28,-0.53,50.0,6.19,-0.08,2.09,-8.46,6.82,4.39,-143.85,-8.48,-17.68,34.33,-17.93,39.6,4.8,24.0,2154,233,,,,,,,0,1,0,top
2018-03-29,529419,1,592789,R,572761,L,2,Groundout,3,1,180329_171902,4bcbe6f1-839d-4982-aaf8-8b2a29e7a880,0,0,2,B,Ball,SI,13,2.0,3.53,1.85,98.8,90.2,67.33,-0.65,50.0,6.28,-1.13,2.08,-8.05,7.58,1.58,-143.51,-8.99,-16.72,34.39,-16.44,40.8,4.8,24.0,2070,229,,,,,,,0,1,0,top
2018-03-29,529419,1,592789,R,572761,L,2,Groundout,3,2,180329_171920,61ddfe88-8ab4-445e-9ced-849296875a50,1,0,2,S,Called Strike,SI,13,2.0,3.49,1.82,98.7,90.1,48.5,-0.55,50.0,6.3,-1.0,2.66,-8.96,8.53,2.0,-143.54,-7.74,-18.62,34.37,-14.45,48.0,4.8,24.0,2236,228,,,,,,,0,1,0,top
2018-03-29,529419,1,592789,R,572761,L,2,Groundout,3,3,180329_171940,e72c35e4-82e6-4911-af9d-ea0426aba231,1,1,2,X,In play- out(s),CH,13,2.0,3.35,1.49,91.5,84.0,41.13,-0.67,50.0,6.16,-0.83,2.22,-10.27,6.02,3.08,-133.12,-6.28,-18.42,28.62,-21.37,38.4,6.0,24.0,1753,241,,,,,,,0,1,0,top
2018-03-29,529419,2,592789,R,542303,R,8,Strikeout,4,1,180329_173615,d84599e4-7011-4298-99fe-5f64f0be31c6,0,0,0,S,Called Strike,FF,14,2.0,3.4,1.56,97.3,88.2,62.19,-0.56,50.0,6.34,0.72,2.07,-5.16,8.31,5.42,-141.21,-9.04,-10.31,35.43,-15.58,26.4,3.6,24.0,2103,211,,,,,,,0,1,1,top
2018-03-29,529419,2,592789,R,542303,R,8,Strikeout,4,2,180329_173632,c850e3f3-5ba4-4842-be36-a8601ba814a8,0,1,0,B,Ball,SI,12,2.0,3.48,1.58,97.8,89.1,46.03,-0.32,50.0,6.44,1.22,2.53,-8.59,7.96,7.42,-141.99,-8.08,-17.46,33.9,-16.0,40.8,4.8,24.0,2134,227,,,,,,,0,1,1,top
2018-03-29,529419,2,592789,R,542303,R,8,Strikeout,4,3,180329_173648,5f008c3d-0bde-4e3b-b9d8-34cf3e6be267,1,1,0,S,Swinging Strike,SL,14,2.0,3.39,1.36,92.6,85.5,53.45,-0.6,50.0,6.27,1.08,1.33,-0.71,6.14,4.7,-134.51,-9.21,-1.32,27.72,-20.87,1.2,4.8,24.0,2076,182,,,,,,,0,1,1,top
