Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-05-06,490551,1,628333,R,624424,L,3,Field Error,3,1,170506_231716,7ff2cb27-a67f-41ad-ad1f-f80a6c336f63,0,0,0,B,Ball,FF,11,2.0,3.31,1.66,89.4,82.5,81.18,-1.56,50.0,5.72,-1.29,3.28,-4.23,6.44,2.1,-129.96,-2.21,-7.31,24.37,-21.03,18.0,4.8,24.0,1883,215,,,,624424,,,0,0,0,bottom
2017-05-06,490551,1,628333,R,624424,L,3,Field Error,3,2,170506_231730,50afcc7f-30ce-4f62-8382-df62617758a9,1,1,0,C,Called Strike,FF,4,2.0,3.34,1.56,89.9,82.6,43.65,-1.3,50.0,5.8,-0.67,2.38,-5.95,6.37,3.62,-130.59,-4.76,-10.32,26.31,-21.12,24.0,6.0,24.0,1914,227,,,,624424,,,0,0,0,bottom
2017-05-06,490551,1,628333,R,624424,L,3,Field Error,3,3,170506_231752,6592ea8d-1c9f-4b2e-b7ff-64a87ad54262,1,1,0,D,In play- no out,FF,12,2.0,3.43,1.54,91.0,83.1,57.55,-1.01,50.0,5.82,0.61,3.22,-5.23,5.29,5.99,-132.07,-2.4,-9.23,28.1,-22.83,19.2,6.0,24.0,1999,226,,,,624424,,,0,0,0,bottom
2017-05-06,490551,1,628333,R,452678,L,4,Double,1,1,170506_231841,6dbd2919-313f-4e2d-86ca-0794b69a5cce,0,0,0,E,In play- run(s),FF,8,2.0,3.46,1.63,90.6,82.7,51.38,-0.93,50.0,5.62,0.12,1.88,-7.24,7.02,5.16,-131.42,-5.85,-12.63,28.33,-19.92,28.8,6.0,24.0,2132,229,624424,,,,452678,,1,0,0,bottom
2017-05-06,490551,1,628333,R,457803,L,5,Double,3,1,170506_231941,c24daf30-b2c8-4467-b46f-05f566166677,0,0,0,B,Ball,FC,13,2.0,3.55,1.79,85.9,78.6,36.42,-1.24,50.0,5.6,-0.11,0.97,-3.8,6.27,3.99,-124.59,-6.84,-5.96,25.68,-22.34,12.0,6.0,24.0,2265,215,,452678,,,457803,,1,0,-1,bottom
2017-05-06,490551,1,628333,R,457803,L,5,Double,3,2,170506_232003,83f1dbc9-39bd-4337-9e74-82141cfdac85,2,0,0,*B,Ball In Dirt,SI,13,2.0,3.57,1.74,91.6,83.9,7.78,-1.07,50.0,5.37,-0.0,0.06,-11.48,8.54,6.71,-132.52,-10.64,-20.44,28.1,-16.97,44.4,6.0,24.0,1932,238,,452678,,,457803,,1,0,-1,bottom
2017-05-06,490551,1,628333,R,457803,L,5,Double,3,3,170506_232032,695a994d-6528-46e4-9afb-c3d0aa48c3e8,2,0,0,E,In play- run(s),SI,13,2.0,3.67,1.72,91.8,83.9,52.92,-1.04,50.0,5.48,-0.25,1.51,-11.1,7.41,5.86,-133.23,-6.86,-19.94,28.73,-18.86,43.2,6.0,24.0,1987,240,,452678,,,457803,,1,0,-1,bottom
2017-05-06,490551,1,628333,R,435522,L,6,Groundout,3,1,170506_232143,314702cf-49c1-42f7-8d08-b4b6cc683029,0,0,0,B,Ball,FC,12,2.0,3.57,1.81,88.3,80.6,64.4,-1.0,50.0,5.71,1.19,2.82,-2.75,5.93,6.43,-128.07,-2.89,-4.57,26.71,-22.33,8.4,6.0,24.0,2380,202,,457803,,,,457803,0,1,-2,bottom
2017-05-06,490551,1,628333,R,435522,L,6,Groundout,3,2,170506_232203,07492ad5-5acf-47c1-a67b-bfd349e28e18,1,1,0,F,Foul,FC,9,2.0,3.65,1.7,88.8,80.4,48.67,-1.1,50.0,5.66,0.61,1.99,-2.67,8.48,5.2,-128.63,-5.71,-4.44,28.92,-18.1,9.6,4.8,24.0,2351,195,,457803,,,,457803,0,1,-2,bottom
2017-05-06,490551,1,628333,R,435522,L,6,Groundout,3,3,170506_232232,e9c63207-ea5b-421d-9d4f-d1dc55300018,1,1,0,X,In play- out(s),CH,13,2.0,3.75,1.53,79.0,72.3,52.88,-1.04,50.0,5.52,-0.87,2.19,-8.2,4.28,2.79,-114.75,-1.68,-10.9,21.77,-26.48,21.6,8.4,24.0,1364,248,,457803,,,,457803,0,1,-2,bottom
