Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-04-07,490157,5,543118,R,595885,L,36,Groundout,6,1,170408_004256,f0de4eae-58d9-403e-ab2f-e2473bf2b698,0,0,1,B,Ball,FF,14,2.0,3.6,2.02,91.8,83.0,36.89,0.38,50.0,6.11,0.04,0.84,-5.19,12.23,0.86,-133.1,-11.75,-9.17,32.3,-10.54,33.6,3.6,24.0,2170,205,,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,595885,L,36,Groundout,6,2,170408_004316,bc70b3c1-9e56-4ce5-92b5-08ffe9e0f78e,1,0,1,B,Ball,FS,14,2.0,3.63,2.01,83.9,75.8,54.31,1.05,50.0,6.38,0.67,1.36,-5.26,10.92,0.71,-121.73,-8.59,-7.76,27.94,-16.08,22.8,4.8,24.0,1048,207,,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,595885,L,36,Groundout,6,3,170408_004335,288ece99-a147-48e7-a363-f0d4424301d1,2,1,1,C,Called Strike,FS,1,2.0,3.57,1.98,83.1,75.3,35.63,1.04,50.0,6.57,-0.61,3.03,-3.29,11.6,-2.92,-120.77,-5.18,-4.79,26.17,-15.25,18.0,4.8,24.0,970,198,,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,595885,L,36,Groundout,6,4,170408_004354,bcc0adef-7f3d-4075-a015-1e14da98decf,2,2,1,F,Foul,FS,8,2.0,4.3,1.63,84.0,76.6,18.28,1.09,50.0,6.4,-0.03,1.94,-6.21,8.11,-0.76,-122.12,-6.54,-9.28,26.18,-20.04,24.0,6.0,24.0,896,220,,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,595885,L,36,Groundout,6,5,170408_004430,2c388965-847a-4087-8f57-10f1bc047486,2,2,1,B,Ball,FF,13,2.0,3.7,1.95,92.4,84.2,35.89,0.34,50.0,6.04,-0.52,1.12,-1.3,13.38,-1.83,-134.12,-11.48,-2.36,30.41,-7.94,14.4,2.4,24.0,2198,187,,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,595885,L,36,Groundout,6,6,170408_004453,23ce4bfb-fdae-457f-892c-3c79d9211ebe,3,2,1,X,In play- out(s),FS,4,2.0,4.3,1.63,82.9,75.7,31.01,0.9,50.0,6.41,-0.52,2.62,-1.96,10.36,-2.76,-120.63,-5.43,-2.88,24.53,-16.99,10.8,4.8,24.0,1064,193,,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,1,170408_004532,68e0540a-115a-4a78-beb4-006e738ba5df,0,1,2,C,Called Strike,FF,14,2.0,3.86,2.16,92.8,85.0,69.52,0.47,50.0,6.21,1.03,2.54,-3.75,11.42,2.79,-134.94,-7.69,-6.93,28.97,-11.09,26.4,3.6,24.0,2181,197,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,2,170408_004553,dc7ea411-d35a-4987-97af-ea3c6c089ea8,0,1,2,B,Ball,FF,13,2.0,3.92,2.17,91.0,82.6,57.16,0.28,50.0,6.15,-1.15,2.31,-1.63,12.87,-3.18,-132.22,-8.13,-2.86,30.68,-9.6,16.8,2.4,24.0,2097,189,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,3,170408_004613,0c112f1d-8fd4-42e4-8d59-8bc9bda40a0c,1,2,2,C,Called Strike,FF,14,2.0,4.02,2.13,91.7,83.3,60.66,0.5,50.0,6.18,0.91,2.21,-4.58,12.14,2.63,-133.24,-8.42,-8.16,30.67,-10.51,31.2,3.6,24.0,2090,200,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,4,170408_004746,1539909a-dc9f-4f26-b292-78ce9809ce30,1,2,2,F,Foul,FS,4,2.0,4.3,1.63,83.7,76.8,26.0,1.03,50.0,6.4,-0.35,2.91,-7.56,6.82,-0.95,-121.76,-3.81,-11.33,24.22,-21.95,26.4,7.2,24.0,996,229,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,5,170408_004822,f9b80c90-bbc2-4d58-aae8-d30d926c79ed,1,2,2,B,Ball,FS,13,2.0,4.0,2.18,84.8,77.5,17.44,0.97,50.0,6.26,-0.33,1.23,-4.13,13.19,-1.87,-123.06,-9.73,-6.3,25.35,-12.04,25.2,3.6,24.0,1112,199,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,6,170408_004843,e5e776d4-03e7-4ec3-a6e6-aafa551f6880,2,2,2,B,Ball,FF,14,2.0,3.99,2.14,93.1,84.5,40.13,0.49,50.0,6.0,0.65,0.28,-6.54,12.16,2.65,-134.81,-13.27,-11.92,31.82,-10.0,40.8,3.6,24.0,2214,210,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,407812,R,37,Walk,9,7,170408_004913,96b91af5-92a3-48a9-ae3f-723806419e1f,3,2,2,B,Ball,FF,14,2.0,3.9,2.14,91.5,82.6,40.8,0.41,50.0,5.96,0.62,1.06,-5.13,14.49,2.27,-132.64,-11.48,-9.01,32.07,-6.71,42.0,2.4,24.0,2255,200,,,,407812,,,0,0,-4,top
2017-04-07,490157,5,543118,R,453056,L,38,Groundout,2,1,170408_004956,84087466-294f-4fbb-841b-0edfd7e7485e,0,0,2,S,Swinging Strike,FS,3,2.0,4.16,1.56,83.0,75.0,92.54,0.95,50.0,6.43,0.41,3.49,-0.25,13.58,-1.2,-120.72,-4.36,-0.36,26.28,-12.38,2.4,3.6,24.0,1320,181,407812,,,,,,0,1,-4,top
2017-04-07,490157,5,543118,R,453056,L,38,Groundout,2,2,170408_005022,a3a9e1f3-1ddd-4ea4-8909-ccf2d9a0ae75,0,1,2,X,In play- out(s),FS,4,2.0,4.16,1.56,83.3,76.3,30.76,0.88,50.0,6.3,-0.57,2.28,-1.78,12.69,-2.92,-121.05,-6.82,-2.65,23.63,-13.34,12.0,3.6,24.0,1142,190,407812,,,,,,0,1,-4,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,1,170408_010710,012c2439-959a-4db8-a123-7e2549cdce81,0,1,0,C,Called Strike,FF,9,2.0,3.78,2.11,91.5,82.7,64.28,0.54,50.0,6.23,0.55,2.15,-6.8,12.52,2.33,-132.87,-8.7,-12.0,31.99,-10.08,43.2,3.6,24.0,2216,209,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,2,170408_010730,0b066f39-5263-48e1-87d1-b3be6d98f37f,0,1,0,B,Ball,FF,14,2.0,3.73,1.99,91.2,83.2,55.2,0.42,50.0,6.18,1.19,2.28,-5.01,11.44,3.72,-132.55,-7.91,-8.89,29.25,-11.9,31.2,3.6,24.0,2210,203,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,3,170408_010753,d6345feb-eef5-47e7-a462-d22727bee9b0,1,1,0,S,Swinging Strike,FS,13,2.0,4.16,1.56,82.8,74.9,35.87,0.99,50.0,6.31,-0.69,0.73,-7.1,12.11,-1.77,-119.94,-9.95,-10.17,26.81,-14.83,31.2,6.0,24.0,1356,214,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,4,170408_010819,c6dbbc59-f8cb-45d6-b140-be4545f10b8f,1,2,0,F,Foul,FS,9,2.0,4.16,1.56,82.6,74.9,30.12,1.15,50.0,6.41,0.42,2.13,-2.77,7.29,-0.87,-120.04,-5.49,-3.98,26.26,-21.69,10.8,6.0,24.0,999,203,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,5,170408_010849,4fc3fe0b-1cfd-42e6-a3a0-570adc62de18,1,2,0,B,Ball,FF,14,2.0,3.73,1.86,91.9,83.8,33.04,0.5,50.0,5.99,0.44,0.73,-7.93,13.08,2.54,-133.26,-12.14,-14.2,29.97,-8.77,50.4,3.6,24.0,2233,213,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,6,170408_010913,44d6671d-d520-4644-9f57-11508b5cad03,2,2,0,F,Foul,FS,5,2.0,4.54,1.56,83.2,76.2,21.81,1.15,50.0,6.53,-0.19,2.89,-6.44,10.21,-1.2,-121.03,-5.12,-9.54,23.97,-17.05,28.8,6.0,24.0,1076,214,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,516770,R,45,Single,7,7,170408_010949,41cb5682-77dd-4620-a610-d561d8876281,2,2,0,D,In play- no out,FF,4,2.0,4.16,1.56,90.4,81.7,44.37,0.28,50.0,6.07,-0.65,2.48,-3.27,11.04,-1.31,-131.41,-6.71,-5.64,31.65,-13.15,21.6,3.6,24.0,2200,198,,,,516770,,,0,0,-1,top
2017-04-07,490157,6,543118,R,452104,L,46,Forceout,1,1,170408_011029,0970c215-fa6e-4292-9a40-d2cd31b673c3,0,0,0,X,In play- out(s),FS,5,2.0,4.22,1.59,82.3,74.8,70.18,0.97,50.0,6.42,-0.22,2.3,-7.45,5.65,-0.52,-119.67,-4.54,-10.66,26.01,-24.1,22.8,7.2,24.0,1134,235,516770,,,452104,,,0,1,-1,top
2017-04-08,490172,5,543118,R,452104,L,42,Groundout,6,1,170408_215445,6f4b793d-1bc7-4553-b95e-97befada8c18,0,1,2,C,Called Strike,FS,6,2.0,3.38,1.68,81.9,75.6,74.54,0.85,50.0,6.47,0.29,2.19,-4.7,4.8,0.13,-119.21,-4.72,-6.79,22.28,-25.25,14.4,7.2,24.0,932,227,516770,,,,,,0,1,-3,top
2017-04-08,490172,5,543118,R,452104,L,42,Groundout,6,2,170408_215509,b543e19f-8360-4062-9289-3bd09e03bebb,1,1,2,*B,Ball In Dirt,FS,13,2.0,3.39,1.64,82.8,75.3,25.97,0.72,50.0,6.29,-0.6,0.77,-3.59,5.22,-2.02,-120.31,-7.8,-5.17,27.07,-24.65,12.0,7.2,24.0,905,222,516770,,,,,,0,1,-3,top
2017-04-08,490172,5,543118,R,452104,L,42,Groundout,6,3,170408_215538,fcf45c82-6d94-44c7-a985-94600be38ee6,1,1,2,B,Ball,FF,13,2.0,3.41,1.69,92.1,85.0,23.65,0.1,50.0,5.9,-0.17,0.11,-6.75,9.21,1.62,-133.76,-12.41,-12.28,27.53,-15.41,33.6,4.8,24.0,2168,219,516770,,,,,,0,1,-3,top
2017-04-08,490172,5,543118,R,452104,L,42,Groundout,6,4,170408_215623,0073ee6f-e47b-4081-8043-caaecf18094f,2,2,2,F,Foul,FS,3,2.0,3.84,1.59,84.7,77.7,30.36,0.65,50.0,6.33,0.24,2.88,-2.95,11.68,-0.06,-123.21,-5.47,-4.54,23.98,-14.18,16.8,3.6,24.0,1347,194,516770,,,,,,0,1,-3,top
2017-04-08,490172,5,543118,R,452104,L,42,Groundout,6,5,170408_215657,08a46fce-ac19-4664-90db-c1498564a4a3,3,2,2,*B,Ball In Dirt,FF,14,2.0,3.36,1.64,91.8,85.0,19.61,0.35,50.0,5.94,0.05,0.54,-7.01,13.23,1.6,-133.25,-12.75,-12.75,25.35,-8.1,50.4,3.6,24.0,2411,209,516770,,,,,,0,1,-3,top
2017-04-08,490172,5,543118,R,452104,L,42,Groundout,6,6,170408_215728,5de716ae-6eeb-44f0-b877-2e18873f556b,3,2,2,X,In play- out(s),FS,3,2.0,3.84,1.59,84.5,77.1,37.61,0.86,50.0,6.4,0.43,2.92,-2.46,13.34,-0.27,-122.93,-5.98,-3.75,25.27,-11.84,16.8,3.6,24.0,1117,191,516770,,,,,,0,1,-3,top
2017-04-08,490172,6,543118,R,543305,L,51,Walk,7,1,170408_222554,63eda0a3-8226-44fa-a119-0d848e5df599,0,1,0,C,Called Strike,FS,5,2.0,3.49,1.82,82.2,74.7,71.01,0.87,50.0,6.59,-0.13,3.0,-5.7,9.64,-0.61,-119.59,-4.52,-8.16,25.47,-18.38,22.8,6.0,24.0,1174,212,,,,543305,,,0,0,-1,top
