Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-08-27,492043,2,607162,L,467793,R,20,Home Run,2,1,170827_175615,9452aaef-d84d-4e3c-b044-7b30c86121bb,0,1,1,C,Called Strike,FF,6,2.0,3.51,1.63,89.6,82.6,53.46,2.23,50.0,6.03,0.52,2.58,7.54,8.43,-6.95,-129.94,-5.49,13.05,24.14,-17.58,32.4,4.8,24.0,1939,136,429665,457706,,,,,3,0,-5,bottom
2017-08-27,492043,2,607162,L,467793,R,20,Home Run,2,2,170827_175640,779e6375-43e1-49f0-bd0e-82d3e7451d9c,0,1,1,E,In play- run(s),SL,4,2.0,3.29,1.43,82.1,76.3,31.17,2.08,50.0,6.16,-0.44,2.56,1.0,0.76,-6.27,-119.26,-1.97,1.45,20.01,-31.07,1.2,8.4,24.0,2122,63,429665,457706,,,,,3,0,-5,bottom
2017-08-27,492043,2,607162,L,446386,R,21,Single,4,1,170827_175725,82f60ff5-3a86-4f74-a58f-0107d5ecc237,0,1,1,C,Called Strike,FF,6,2.0,3.59,1.57,93.4,85.6,59.74,2.02,50.0,6.06,0.63,2.44,7.07,10.28,-6.18,-135.42,-7.28,13.2,28.07,-12.99,39.6,3.6,24.0,2130,144,,,,,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,446386,R,21,Single,4,2,170827_175739,255fca66-b8de-4388-86bc-ce535ca34db1,0,1,1,B,Ball,FF,14,2.0,3.51,1.56,93.1,85.5,51.07,2.06,50.0,6.12,1.14,2.36,6.06,9.69,-4.58,-135.02,-7.4,11.26,27.57,-14.17,33.6,3.6,24.0,2196,145,,,,,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,446386,R,21,Single,4,3,170827_175753,12d0b2f4-8b79-4058-8243-49df1c90b40e,1,2,1,C,Called Strike,CH,4,2.0,3.48,1.57,83.0,75.9,41.91,1.84,50.0,6.04,-0.66,2.39,11.83,8.57,-9.59,-120.09,-4.53,17.32,22.67,-19.63,37.2,7.2,24.0,1797,123,,,,,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,446386,R,21,Single,4,4,170827_175812,87ae1ee4-c288-4c5c-9b7a-7e9f7ebb6d91,1,2,1,D,In play- no out,FF,14,2.0,3.36,1.46,94.1,86.6,29.45,1.88,50.0,6.0,0.23,0.98,7.28,10.92,-6.99,-136.2,-11.44,13.8,27.28,-11.47,42.0,3.6,24.0,2106,144,,,,,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,1,170827_175909,f4c0ddc3-50fb-43e7-839f-279f2c025ef4,0,1,1,C,Called Strike,CH,3,2.0,3.68,1.46,82.2,75.9,59.26,1.87,50.0,6.11,0.34,3.13,8.94,3.94,-6.37,-119.25,-1.46,13.04,20.32,-26.44,24.0,8.4,24.0,1844,109,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,2,170827_175929,b37ea4fa-d357-4090-ad12-9636461cdb52,0,1,1,B,Ball,FF,12,2.0,3.7,1.51,92.7,85.6,33.7,1.91,50.0,6.21,1.31,3.39,5.3,6.08,-3.45,-134.65,-3.64,9.86,25.55,-20.86,22.8,4.8,24.0,2042,135,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,3,170827_175956,56cefd4a-531d-4ee1-ad94-9cc4955f3f2c,1,2,1,F,Foul,SL,9,2.0,3.7,1.44,82.2,76.1,44.41,2.12,50.0,6.0,0.5,1.62,1.39,-0.81,-4.26,-119.33,-3.3,2.02,21.59,-33.36,2.4,9.6,24.0,2130,23,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,4,170827_180033,0231d12a-22ec-4676-8c73-330fe3bf27a0,1,2,1,B,Ball,FF,12,2.0,3.71,1.56,94.2,86.2,52.64,1.89,50.0,6.12,1.21,3.09,5.79,9.45,-3.87,-136.77,-5.56,11.01,29.11,-14.21,33.6,3.6,24.0,2192,146,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,5,170827_180053,d41db8ae-72d2-412a-9887-67826466cdd3,2,2,1,F,Foul,FF,9,2.0,3.7,1.44,92.6,85.0,52.35,1.99,50.0,5.96,0.66,1.92,7.01,8.82,-5.95,-134.18,-7.73,12.87,27.21,-15.98,33.6,4.8,24.0,2104,139,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,6,170827_180115,9d0f6d45-2719-404b-ba97-38084f31398b,2,2,1,B,Ball,SL,13,2.0,3.45,1.57,81.8,75.8,51.67,1.72,50.0,6.03,-0.79,1.83,0.19,-0.89,-5.96,-118.72,-2.74,0.28,21.26,-33.46,1.2,9.6,24.0,2224,344,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,650490,R,22,Walk,7,7,170827_180137,e4a700a9-5124-458c-a821-d5fa10d48f5d,3,2,1,B,Ball,SL,13,2.0,3.56,1.54,81.3,75.6,24.48,1.85,50.0,6.01,-1.5,1.84,0.61,-2.22,-8.03,-117.97,-2.2,0.87,20.27,-35.33,0.0,9.6,24.0,2112,353,,446386,,650490,446386,,0,0,-8,bottom
2017-08-27,492043,2,607162,L,605548,L,23,Single,1,1,170827_180216,e1555c00-3075-4e4f-ba17-9cc4edf4cc06,0,0,1,D,In play- no out,FF,8,2.0,3.7,1.44,92.0,84.6,46.65,1.89,50.0,5.93,-0.15,2.19,5.21,9.2,-7.2,-133.38,-6.98,9.47,26.29,-15.45,25.2,3.6,24.0,2110,150,650490,446386,,605548,650490,446386,0,0,-8,bottom
2017-08-27,492043,2,607162,L,543228,R,24,Home Run,2,1,170827_180305,acf96734-6fea-410a-b13c-190c1e2aeb9d,0,1,1,C,Called Strike,FF,3,2.0,3.44,1.48,92.3,84.5,66.76,1.97,50.0,6.03,0.66,2.95,6.7,10.02,-5.75,-133.88,-5.56,12.23,27.45,-13.89,36.0,3.6,24.0,2101,145,605548,650490,446386,,,,4,0,-8,bottom
2017-08-27,492043,2,607162,L,543228,R,24,Home Run,2,2,170827_180332,e25bb448-424e-4d77-81a5-d6737f0cab4f,0,1,1,E,In play- run(s),FF,2,2.0,3.14,1.32,93.2,85.7,27.97,1.94,50.0,5.95,-0.08,2.53,6.47,8.49,-7.66,-135.14,-6.11,12.08,27.09,-16.35,31.2,4.8,24.0,2147,141,605548,650490,446386,,,,4,0,-8,bottom
2017-08-27,492043,2,607162,L,596019,R,25,Single,5,1,170827_180429,4e8ffc1f-adf3-4e6b-9d1d-29375d2be742,0,0,1,B,Ball,CH,14,2.0,3.4,1.55,83.8,77.1,53.19,2.25,50.0,5.94,1.59,1.7,10.82,6.13,-4.98,-121.58,-5.41,16.27,22.82,-22.96,32.4,7.2,24.0,1783,114,,,,596019,,,0,0,-12,bottom
2017-08-27,492043,2,607162,L,596019,R,25,Single,5,2,170827_180442,849961f6-5d70-4c6a-acac-c9199e156c94,1,1,1,C,Called Strike,FF,2,2.0,3.46,1.54,92.9,84.9,39.0,1.9,50.0,6.08,0.23,3.05,6.4,7.98,-6.65,-134.61,-4.78,11.79,28.25,-17.49,30.0,4.8,24.0,2142,140,,,,596019,,,0,0,-12,bottom
2017-08-27,492043,2,607162,L,596019,R,25,Single,5,3,170827_180455,2d964bc1-3cc4-4d37-8a34-8a0464fa6e58,1,2,1,F,Foul,CH,6,2.0,3.12,1.39,83.1,76.2,37.24,2.13,50.0,6.0,0.53,2.38,9.87,6.81,-6.88,-120.47,-3.96,14.55,22.78,-22.14,30.0,7.2,24.0,1815,121,,,,596019,,,0,0,-12,bottom
