Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-06-30,530649,1,641154,R,607043,L,0,Strikeout,3,1,180630_201121,396b95fb-0b4e-465e-8f03-805d27417d8e,0,1,0,C,Called Strike,FT,7,2.0,3.21,1.57,92.4,84.5,52.72,-2.63,50.0,5.5,-0.69,2.07,-10.3,4.15,8.7,-134.22,-4.44,-18.78,29.24,-24.61,33.6,7.2,24.0,2146,247,,,,,,,0,1,0,top
2018-06-30,530649,1,641154,R,607043,L,0,Strikeout,3,2,180630_201137,fc55da9a-c5eb-4e21-b2e6-7846572d49cf,0,1,0,S,Swinging Strike,FF,1,2.0,3.3,1.64,93.9,86.0,51.27,-2.6,50.0,5.44,-0.63,3.16,-5.72,8.39,7.3,-136.6,-3.17,-10.84,29.27,-16.27,28.8,3.6,24.0,2303,210,,,,,,,0,1,0,top
2018-06-30,530649,1,641154,R,607043,L,0,Strikeout,3,3,180630_201153,6b860e6f-9fff-4aa5-b1e2-463c22b8a2c8,0,2,0,S,Swinging Strike,FF,3,2.0,3.32,1.66,94.2,86.3,41.92,-2.51,50.0,5.49,0.37,3.26,-5.19,9.16,9.61,-136.93,-3.3,-9.88,29.29,-14.73,26.4,3.6,24.0,2340,204,,,,,,,0,1,0,top
2018-06-30,530649,1,641154,R,430832,R,1,Home Run,1,1,180630_201232,2949ce3f-e2d4-4a67-a3b1-a6eba0aead12,0,0,1,E,In play- run(s),FF,12,2.0,3.32,1.64,91.9,83.9,54.6,-2.53,50.0,5.48,0.14,3.52,-5.18,6.78,8.82,-133.57,-1.38,-9.36,28.72,-19.92,20.4,4.8,24.0,1956,211,,,,,,,1,0,0,top
2018-06-30,530649,1,641154,R,452678,L,2,Groundout,1,1,180630_201320,9af85eb1-7847-4198-90d0-589d484b1baa,0,0,1,X,In play- out(s),FT,13,2.0,3.49,1.75,92.0,84.2,71.21,-2.69,50.0,5.34,-1.0,1.49,-9.57,1.96,7.72,-133.73,-4.72,-17.26,29.77,-28.63,27.6,7.2,24.0,1962,260,,,,,,,0,1,-1,top
2018-06-30,530649,1,641154,R,624424,L,3,Single,4,1,180630_201350,32a08192-dd66-4759-83da-9158a082937d,0,1,2,C,Called Strike,FT,1,2.0,3.21,1.5,92.9,85.0,41.2,-2.49,50.0,5.45,-0.33,2.72,-10.16,2.85,9.25,-135.06,-2.25,-18.77,29.3,-26.91,31.2,7.2,24.0,2113,253,,,,624424,,,0,0,-1,top
2018-06-30,530649,1,641154,R,624424,L,3,Single,4,2,180630_201402,d801182b-7ecb-46f8-bba5-6af6aefe719a,0,1,2,B,Ball,CH,13,2.0,3.26,1.54,87.0,79.8,17.77,-2.62,50.0,5.49,-1.99,2.04,-10.88,1.68,5.1,-126.64,-2.72,-17.63,26.45,-29.45,28.8,8.4,24.0,2158,261,,,,624424,,,0,0,-1,top
2018-06-30,530649,1,641154,R,624424,L,3,Single,4,3,180630_201414,663b4c33-005a-4ee0-bc0e-2781f0dce665,1,1,2,B,Ball,CH,13,2.0,3.22,1.5,86.9,80.0,19.99,-2.71,50.0,5.46,-2.08,1.89,-9.91,2.16,4.78,-126.51,-3.2,-16.08,25.38,-28.67,27.6,8.4,24.0,1900,258,,,,624424,,,0,0,-1,top
2018-06-30,530649,1,641154,R,624424,L,3,Single,4,4,180630_201435,cd69eb20-31f9-49fe-8d05-435b92b47581,2,1,2,D,In play- no out,FT,13,2.0,3.26,1.5,93.1,85.2,65.44,-2.62,50.0,5.34,-0.77,1.49,-10.74,3.71,8.68,-135.27,-5.54,-19.87,29.92,-25.32,34.8,7.2,24.0,2125,251,,,,624424,,,0,0,-1,top
2018-06-30,530649,1,641154,R,527038,R,4,Lineout,3,1,180630_201523,4060c5eb-3aeb-4fcb-92f7-e9c7127825b5,0,0,2,B,Ball,CU,11,2.0,3.26,1.52,78.5,72.4,82.06,-2.87,50.0,5.66,-1.23,2.58,7.34,-2.75,1.57,-114.31,0.98,9.71,21.13,-35.81,15.6,10.8,24.0,2392,72,624424,,,,,,0,1,-1,top
2018-06-30,530649,1,641154,R,527038,R,4,Lineout,3,2,180630_201547,56cb9fe6-e494-4f88-9cb7-0fb73b037a2e,1,0,2,X,In play- out(s),FT,5,2.0,3.36,1.51,92.2,84.6,20.32,-2.69,50.0,5.39,-0.01,2.16,-7.61,4.79,9.71,-133.93,-4.14,-13.85,28.27,-23.45,26.4,6.0,24.0,2032,235,624424,,,,,,0,1,-1,top
2018-06-30,530649,2,641154,R,453943,R,8,Groundout,4,1,180630_202421,b0e58784-9f9c-4cc2-893b-cb3d74a998d1,0,0,0,B,Ball,FT,13,2.0,3.34,1.55,92.9,85.3,30.82,-2.44,50.0,5.58,-1.67,2.01,-9.74,4.68,5.44,-135.1,-5.13,-18.04,28.91,-23.5,34.8,6.0,24.0,2084,245,,,,,,,0,1,-1,top
2018-06-30,530649,2,641154,R,453943,R,8,Groundout,4,2,180630_202435,eb04f299-710d-47a4-9250-a2a1756cbbdc,1,1,0,F,Foul,FT,11,2.0,3.28,1.56,92.8,85.3,54.02,-2.35,50.0,5.64,-0.83,2.62,-9.45,4.4,7.35,-134.99,-3.58,-17.52,28.26,-24.02,32.4,6.0,24.0,2072,244,,,,,,,0,1,-1,top
2018-06-30,530649,2,641154,R,453943,R,8,Groundout,4,3,180630_202452,20a0e5e6-7ab8-4cf5-bdf9-cbd2e8ab7760,1,1,0,B,Ball,CU,13,2.0,3.18,1.53,79.0,72.5,31.52,-2.45,50.0,5.95,-1.22,2.31,4.66,-5.96,1.41,-115.08,0.63,6.19,23.21,-40.09,9.6,12.0,24.0,2439,40,,,,,,,0,1,-1,top
