Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-11,567361,1,641154,R,453568,L,0,Groundout,6,1,190330_221022,27954cd2-45a8-4820-a9f0-59d52fddb249,0,0,0,S,Called Strike,FT,1,2.0,3.3,1.55,93.0,85.4,,-3.0,50.0,5.46,-0.47,3.07,-10.71,6.78,10.5,-135.16,-2.76,-19.94,27.6,-19.55,42.0,6.0,24.0,1941,235,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,453568,L,0,Groundout,6,2,190330_221042,cbbb6342-ca6f-47e3-b132-793af9bb5404,0,1,0,S,Foul,FF,5,2.0,3.49,1.6,94.1,86.6,,-2.84,50.0,5.37,0.19,2.43,-8.13,6.69,11.06,-136.77,-4.38,-15.51,28.06,-19.4,33.6,4.8,24.0,2037,227,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,453568,L,0,Groundout,6,3,190330_221058,c46ed031-8309-42fe-b4bd-fe5efcd712cf,0,2,0,B,Ball,FF,12,2.0,3.39,1.57,94.5,86.7,,-2.73,50.0,5.57,0.67,4.16,-7.15,6.93,11.78,-137.34,-0.36,-13.74,28.62,-18.85,31.2,4.8,24.0,2074,219,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,453568,L,0,Groundout,6,4,190330_221114,24a2e642-d9df-474a-b085-afdeac6007cf,1,1,0,S,Foul,CU,2,2.0,3.49,1.6,79.5,73.9,,-2.82,50.0,5.52,-0.16,2.93,6.28,-0.5,4.23,-115.84,1.22,8.61,19.67,-32.86,15.6,9.6,24.0,2320,88,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,453568,L,0,Groundout,6,5,190330_221132,4a001af4-ebbf-485e-a34e-e72e88958ea5,1,1,0,S,Foul,FF,5,2.0,3.49,1.6,94.3,86.8,,-2.82,50.0,5.22,0.17,2.59,-5.48,6.19,10.04,-137.13,-3.41,-10.52,28.28,-20.3,21.6,4.8,24.0,2063,216,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,453568,L,0,Groundout,6,6,190330_221152,dd8cbec0-ded3-4912-8f53-24f100da1d93,1,2,0,X,In play- out(s),CH,14,2.0,3.49,1.6,87.1,79.9,,-2.91,50.0,5.11,0.01,0.75,-11.52,2.5,11.02,-126.46,-5.25,-18.64,26.07,-28.14,30.0,8.4,24.0,1955,259,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,621311,L,1,Strikeout,5,1,190330_221228,3a022af0-37a5-43ca-90cc-542df4d8c129,0,0,1,S,Swinging Strike,FF,5,2.0,3.47,1.59,94.9,86.7,,-2.8,50.0,5.23,-0.08,2.46,-7.84,6.28,10.18,-137.88,-3.85,-15.1,30.59,-20.08,31.2,4.8,24.0,2005,228,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,621311,L,1,Strikeout,5,2,190330_221241,1665ce72-a54c-4ce7-b1a6-0187aaac4429,0,1,1,B,Ball,CU,11,2.0,3.05,1.37,79.7,73.1,,-3.15,50.0,5.59,-1.55,3.61,6.38,-0.05,1.77,-116.07,2.51,8.69,22.16,-32.24,15.6,9.6,24.0,2274,94,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,621311,L,1,Strikeout,5,3,190330_221254,9bf2b62f-15e2-4735-97f8-7ff1040bb5a0,1,1,1,S,Swinging Strike,CH,13,2.0,3.47,1.59,86.2,79.3,,-2.94,50.0,5.24,-0.21,1.2,-11.8,1.09,10.54,-125.16,-3.85,-18.77,24.68,-30.45,28.8,9.6,24.0,2038,265,,,,,,,0,1,0,top
2019-09-11,567361,1,641154,R,621311,L,1,Strikeout,5,4,190330_221310,5833339e-2c70-49d5-97cd-3d0dab483d30,1,2,1,B,Ball,FF,12,2.0,3.13,1.43,93.7,85.8,,-2.99,50.0,5.34,0.98,3.59,-7.52,5.84,13.31,-136.06,-0.77,-14.14,28.95,-21.19,27.6,4.8,24.0,2094,225,,,,,,,0,1,0,top
