Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-07,529514,1,592170,R,459964,L,0,Groundout,3,1,180407_020737,1da0939b-fa9c-456d-aef8-4256f3631cc2,0,0,0,B,Ball,CU,14,2.0,3.11,1.49,80.2,74.3,60.65,-1.23,50.0,6.52,1.8,1.02,3.69,-2.63,5.85,-116.48,-4.85,5.06,22.34,-35.78,9.6,10.8,24.0,3054,55,,,,,,,0,1,0,top
2018-04-07,529514,1,592170,R,459964,L,0,Groundout,3,2,180407_020754,a36f319f-8507-4ef8-b4d6-60fed1501b7b,1,0,0,B,Ball,CU,14,2.0,3.31,1.5,81.5,75.7,3.82,-1.35,50.0,6.45,1.33,0.2,3.08,-3.74,5.31,-118.42,-6.58,4.36,23.22,-37.47,7.2,10.8,24.0,2984,40,,,,,,,0,1,0,top
2018-04-07,529514,1,592170,R,459964,L,0,Groundout,3,3,180407_020811,06284fa0-c428-47f0-aaa4-f3897dfcdc96,2,0,0,X,In play- out(s),FF,12,2.0,3.22,1.41,92.5,84.6,31.19,-1.45,50.0,6.49,0.04,3.49,-3.41,10.46,5.15,-134.48,-5.53,-6.26,28.92,-13.0,20.4,3.6,24.0,2395,195,,,,,,,0,1,0,top
2018-04-07,529514,1,592170,R,543760,R,1,Groundout,1,1,180407_020841,1145344b-6ad8-4f49-b328-35987bbac188,0,0,1,X,In play- out(s),FF,14,2.0,3.27,1.41,93.0,85.0,65.33,-1.41,50.0,6.26,0.47,1.29,-5.31,11.4,6.86,-134.78,-11.13,-9.77,29.38,-11.22,31.2,3.6,24.0,2385,203,,,,,,,0,1,0,top
2018-04-07,529514,1,592170,R,476704,L,2,Home Run,3,1,180407_020922,a35c8dc3-e952-4688-9ae5-03a70eb04fa7,0,0,2,B,Ball,FF,14,2.0,3.45,1.65,93.3,85.1,68.63,-1.44,50.0,6.27,0.57,1.37,-3.54,10.98,6.57,-135.25,-10.85,-6.53,30.54,-11.9,19.2,3.6,24.0,2417,195,,,,,,,1,0,0,top
2018-04-07,529514,1,592170,R,476704,L,2,Home Run,3,2,180407_020937,1514da74-6e56-4aa2-980b-de6b777509fb,1,0,2,S,Called Strike,FF,7,2.0,3.51,1.65,93.7,85.2,47.29,-1.6,50.0,6.23,-0.52,1.73,-5.36,10.69,4.76,-135.87,-9.75,-9.96,31.39,-12.3,31.2,3.6,24.0,2382,206,,,,,,,1,0,0,top
2018-04-07,529514,1,592170,R,476704,L,2,Home Run,3,3,180407_020958,a3df1e09-dfb2-4038-bbda-fd3f098fe6cb,1,1,2,X,In play- run(s),CU,5,2.0,3.16,1.35,81.3,74.7,13.01,-1.7,50.0,6.57,-0.17,2.48,4.82,-3.85,2.11,-118.23,-1.47,6.78,23.73,-37.59,10.8,10.8,24.0,3072,53,,,,,,,1,0,0,top
2018-04-07,529514,1,592170,R,501981,R,3,Groundout,3,1,180407_021035,d93b383e-f3dd-475f-b7f9-aea4862b3220,0,0,2,B,Ball,CU,13,2.0,3.51,1.4,80.6,74.1,82.68,-1.62,50.0,6.67,-0.91,2.31,4.53,-4.81,0.26,-117.14,-1.66,6.26,23.19,-38.82,9.6,12.0,24.0,3060,43,,,,,,,0,1,-1,top
2018-04-07,529514,1,592170,R,501981,R,3,Groundout,3,2,180407_021048,3df35453-2266-41be-93e6-7ee11e0dc52a,1,0,2,B,Ball,FT,11,2.0,3.36,1.4,92.0,84.2,48.52,-1.49,50.0,6.37,-1.13,2.67,-8.41,8.42,3.82,-133.66,-6.54,-15.22,28.71,-16.94,38.4,4.8,24.0,2404,225,,,,,,,0,1,-1,top
2018-04-07,529514,1,592170,R,501981,R,3,Groundout,3,3,180407_021104,116b66bb-ee07-4626-9815-073a524cccc4,2,0,2,X,In play- out(s),FF,5,2.0,3.33,1.4,92.3,84.1,22.73,-1.53,50.0,6.3,0.09,2.16,-3.74,11.89,5.58,-133.96,-8.93,-6.77,29.95,-10.66,24.0,3.6,24.0,2469,195,,,,,,,0,1,-1,top
