Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-07-01,530667,7,450212,R,448602,R,49,Single,3,1,180701_194018,7b0b11b7-5ed6-4746-9945-5f50a4664790,0,0,1,S,Swinging Strike,SL,6,2.0,3.46,1.48,80.9,74.5,49.81,-2.48,50.0,4.46,0.25,2.37,0.17,1.48,6.32,-117.72,1.58,0.24,21.34,-30.09,2.4,8.4,24.0,2065,152,,,,,448602,,0,0,0,top
2018-07-01,530667,7,450212,R,448602,R,49,Single,3,2,180701_194035,0124cd9d-3d7e-416b-95f3-4c825563e050,0,1,1,S,Swinging Strike,SL,14,2.0,3.46,1.48,83.1,76.4,19.0,-2.44,50.0,4.52,1.37,1.78,0.24,1.52,9.0,-120.76,-0.27,0.36,23.3,-29.93,3.6,8.4,24.0,2202,139,,,,,448602,,0,0,0,top
2018-07-01,530667,7,450212,R,448602,R,49,Single,3,3,180701_194056,29c170ec-2406-4243-98c2-1f8f7f99c7de,0,2,1,D,In play- no out,SI,9,2.0,3.46,1.48,87.9,80.3,45.77,-2.08,50.0,4.88,0.54,1.92,-9.14,5.99,9.58,-127.51,-3.03,-15.05,26.17,-22.31,30.0,6.0,24.0,2035,233,,,,,448602,,0,0,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,1,180701_194136,18727c4d-911a-4a36-bfb6-697c8bb695f0,0,0,1,B,Ball,SL,14,2.0,3.49,1.62,80.5,74.8,64.99,-2.35,50.0,4.22,0.18,1.47,1.95,1.23,5.29,-117.16,0.17,2.74,19.68,-30.44,7.2,8.4,24.0,2132,118,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,2,180701_194153,227a7e58-0058-42bd-96b6-019fe3cda602,1,1,1,C,Called Strike,SI,4,2.0,3.39,1.57,89.2,81.7,41.09,-2.17,50.0,4.75,-0.6,2.62,-7.22,5.33,6.43,-129.66,-0.95,-12.34,26.28,-23.06,25.2,6.0,24.0,1935,230,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,3,180701_194214,613cfd7d-3c91-48fa-909c-7628ee05ddcf,1,2,1,F,Foul,SL,12,2.0,3.32,1.35,82.6,75.8,42.83,-2.02,50.0,4.57,0.84,2.73,0.09,1.01,6.76,-120.06,2.1,0.14,22.7,-30.7,2.4,8.4,24.0,2171,146,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,4,180701_194242,24ff1772-9d5d-4425-8ff8-f0819ab0e862,1,2,1,B,Ball,SL,7,2.0,3.47,1.51,82.6,76.7,39.1,-2.34,50.0,4.5,-0.68,2.0,3.09,1.39,3.0,-120.31,0.34,4.59,20.45,-30.12,9.6,8.4,24.0,2143,114,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,5,180701_194303,d1242ffd-1586-455b-8e3f-3f4ed92c77f9,2,2,1,B,Ball,SL,14,2.0,3.48,1.5,79.4,73.3,16.88,-2.06,50.0,4.51,2.1,1.92,2.54,-1.81,8.71,-115.24,1.69,3.43,20.7,-34.61,8.4,10.8,24.0,2267,69,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,6,180701_194323,2caffd74-25ee-4896-8ef6-a3ad56ec38d6,3,2,1,F,Foul,SL,9,2.0,3.32,1.35,81.6,75.4,39.74,-2.21,50.0,4.32,0.55,1.53,2.73,0.79,5.64,-118.79,0.05,3.93,21.59,-31.04,8.4,8.4,24.0,2171,105,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,7,180701_194410,8f8aaac5-6bd0-427c-8382-0c63474ef050,3,2,1,F,Foul,SL,14,2.0,3.32,1.35,80.9,74.9,36.59,-2.09,50.0,4.42,0.99,2.32,1.06,1.2,6.86,-117.72,1.63,1.5,20.43,-30.47,4.8,8.4,24.0,2113,129,,448602,,,448602,,0,1,0,top
2018-07-01,530667,7,450212,R,600474,R,50,Groundout,8,8,180701_194432,be03c48f-7b12-4871-b850-50880ed82a10,3,2,1,X,In play- out(s),SL,2,2.0,3.32,1.35,78.9,72.3,22.09,-2.38,50.0,4.47,-0.17,2.86,1.55,0.38,4.54,-114.81,3.33,2.07,21.36,-31.66,4.8,9.6,24.0,2142,115,,448602,,,448602,,0,1,0,top
2018-07-06,530726,7,450212,R,607732,R,76,Strikeout,6,1,180707_024128,5b5b9103-b92e-4021-a1a8-5878b67d3e31,0,1,0,C,Called Strike,SL,4,2.0,3.19,1.43,79.3,72.8,62.1,-2.45,50.0,4.32,-0.52,2.57,-0.21,1.83,4.47,-115.27,2.53,-0.29,20.83,-29.71,1.2,8.4,24.0,2141,170,,,,,,,0,1,10,bottom
2018-07-06,530726,7,450212,R,607732,R,76,Strikeout,6,2,180707_024145,dc9db420-33f6-49a7-b89f-70744f5df7af,0,2,0,C,Called Strike,SI,9,2.0,3.36,1.58,89.3,81.4,33.32,-2.22,50.0,4.79,0.27,2.13,-10.54,5.42,9.86,-129.49,-2.3,-17.87,27.4,-22.99,33.6,7.2,24.0,2206,240,,,,,,,0,1,10,bottom
2018-07-06,530726,7,450212,R,607732,R,76,Strikeout,6,3,180707_024202,9b93e4a8-c803-4f8f-bb50-92c22c6495b3,0,2,0,B,Ball,SL,14,2.0,3.14,1.4,81.6,75.8,7.28,-2.12,50.0,4.43,1.51,2.26,-0.0,1.75,8.55,-118.54,1.18,-0.0,19.68,-29.65,2.4,8.4,24.0,2321,154,,,,,,,0,1,10,bottom
2018-07-06,530726,7,450212,R,607732,R,76,Strikeout,6,4,180707_024220,d8c89e37-c204-4bdf-9763-a8dace10ee0d,1,2,0,B,Ball,SL,12,2.0,3.12,1.46,82.3,75.8,13.04,-2.12,50.0,4.52,1.68,2.58,-0.35,1.33,9.09,-119.39,1.84,-0.51,21.69,-30.25,2.4,8.4,24.0,2319,155,,,,,,,0,1,10,bottom
2018-07-06,530726,7,450212,R,607732,R,76,Strikeout,6,5,180707_024242,0001a2e7-11ed-418c-8e8a-c3ee78e7e4f6,2,2,0,B,Ball,SI,13,2.0,3.09,1.42,88.4,80.0,19.02,-2.3,50.0,4.62,-1.6,2.2,-9.68,4.86,4.94,-128.43,-1.31,-15.98,29.41,-24.14,31.2,7.2,24.0,2183,241,,,,,,,0,1,10,bottom
2018-07-06,530726,7,450212,R,607732,R,76,Strikeout,6,6,180707_024302,289e9548-5e3f-4936-af30-cab8e09601af,3,2,0,S,Swinging Strike,SL,9,2.0,3.09,1.42,77.6,71.3,36.64,-2.26,50.0,4.26,0.53,1.68,0.18,1.43,6.15,-112.75,1.07,0.23,20.37,-30.33,2.4,9.6,24.0,2146,149,,,,,,,0,1,10,bottom
2018-07-06,530726,7,450212,R,572816,L,77,Strikeout,5,1,180707_024338,49653abf-7ca4-4164-8dbd-633381373c99,0,0,1,B,Ball,SL,3,2.0,3.14,1.44,82.9,76.2,69.01,-2.2,50.0,4.4,0.64,2.69,0.91,1.17,6.48,-120.54,2.3,1.34,22.71,-30.45,4.8,8.4,24.0,2361,133,,,,,,,0,1,10,bottom
