Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,1,170701_200809,83eb8a8d-531c-4ef7-8c32-caf77c0e157f,0,1,0,C,Called Strike,FT,11,2.0,3.06,1.32,89.1,83.0,69.15,-2.62,50.0,6.0,-1.09,2.84,-5.07,4.67,5.64,-129.56,-3.49,-8.79,22.08,-24.08,18.0,6.0,24.0,2072,230,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,2,170701_200827,f0b8d424-05ba-45bd-be3f-dc097e9295d8,0,1,0,B,Ball,SL,11,2.0,3.21,1.52,85.4,79.4,52.49,-2.58,50.0,6.17,-1.13,2.7,3.65,3.51,2.43,-124.21,-3.19,5.79,21.38,-26.61,13.2,7.2,24.0,2399,122,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,3,170701_200845,f3ae3d0b-7a53-488c-a91c-88c8499ecdaa,1,2,0,F,Foul,FT,11,2.0,2.97,1.18,91.0,84.8,67.67,-2.52,50.0,5.93,-0.99,2.89,-5.68,4.92,5.98,-132.3,-3.6,-10.28,22.51,-23.26,21.6,6.0,24.0,2126,231,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,4,170701_200905,3ec05da6-3cf0-49c4-85b0-9038399d76a2,1,2,0,F,Foul,SL,11,2.0,2.97,1.18,86.2,78.3,22.09,-2.31,50.0,6.3,-0.13,3.94,4.02,3.3,4.06,-124.99,-0.33,6.32,26.73,-26.99,14.4,7.2,24.0,2599,118,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,5,170701_200926,08579ec6-a35d-42cf-9f33-094abe1e1c12,1,2,0,B,Ball,FT,11,2.0,3.12,1.44,89.8,83.6,50.79,-2.53,50.0,5.84,-1.22,3.55,-4.34,4.2,4.87,-130.65,-1.19,-7.66,22.06,-24.77,15.6,6.0,24.0,2353,227,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,6,170701_200941,b9c609e0-f55e-4fd9-886f-2a1b98dbc4ed,2,2,0,B,Ball,SL,14,2.0,3.12,1.5,86.6,81.2,66.7,-2.27,50.0,5.94,0.89,1.37,3.92,4.19,6.62,-125.71,-6.38,6.41,20.34,-25.32,15.6,7.2,24.0,2559,123,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,7,170701_200956,668fe3ad-7144-4c23-b95c-cb2d6bf86118,3,2,0,F,Foul,FT,11,2.0,2.97,1.18,90.1,83.1,35.5,-2.55,50.0,5.94,-1.51,2.73,-6.91,9.59,5.04,-130.91,-5.39,-12.13,24.68,-15.34,34.8,4.8,24.0,2159,217,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,542255,L,0,Groundout,8,8,170701_201024,f6677990-3ba4-47cc-8ea7-a8549df8316d,3,2,0,X,In play- out(s),FT,4,2.0,2.97,1.18,90.7,84.5,47.66,-2.23,50.0,5.79,-0.53,2.18,-4.89,5.8,6.13,-131.82,-5.33,-8.78,22.74,-21.77,19.2,4.8,24.0,2129,222,,,,,,,0,1,0,top
2017-07-01,491308,1,621112,R,408252,R,1,Hit By Pitch,2,1,170701_201100,5918c18e-9ab2-4687-b1ae-3795fcbef0c9,0,1,1,C,Called Strike,FF,9,2.0,3.34,1.59,90.6,84.3,63.17,-2.2,50.0,5.89,0.5,1.9,-4.23,8.22,8.49,-131.5,-7.08,-7.54,23.04,-17.51,18.0,4.8,24.0,2100,206,,,,408252,,,0,0,0,top
2017-07-01,491308,1,621112,R,408252,R,1,Hit By Pitch,2,2,170701_201115,106e8dbb-292e-425a-b2ef-7c8d0680219f,1,1,1,H,Hit By Pitch,FT,11,2.0,3.14,1.36,90.1,83.2,44.66,-2.33,50.0,6.02,-1.74,3.37,-4.35,7.81,3.0,-131.08,-3.34,-7.66,24.7,-18.43,20.4,4.8,24.0,2031,210,,,,408252,,,0,0,0,top
2017-07-01,491308,1,621112,R,455976,L,2,Strikeout,4,1,170701_201159,a93b3692-33a8-43db-af09-c7cf26118c65,0,0,1,B,Ball,SL,13,2.0,3.7,1.82,81.5,75.7,74.65,-2.49,50.0,5.92,-0.93,0.87,4.51,-2.24,2.29,-118.44,-4.28,6.44,21.63,-35.37,10.8,10.8,24.0,2354,53,408252,,,408252,,,0,1,0,top
2017-07-01,491308,1,621112,R,455976,L,2,Strikeout,4,2,170701_201219,cdd6dcd0-c2c0-417d-8131-44727c4d63a7,1,1,1,C,Called Strike,FT,13,2.0,3.52,1.64,90.1,83.6,69.73,-2.28,50.0,5.81,-1.02,1.6,-4.3,6.6,4.74,-130.91,-6.98,-7.57,23.91,-20.55,16.8,4.8,24.0,2139,216,408252,,,408252,,,0,1,0,top
2017-07-01,491308,1,621112,R,455976,L,2,Strikeout,4,3,170701_201242,54cd7a17-f018-4a20-90c1-faf997716bd9,1,2,1,F,Foul,SL,8,2.0,3.51,1.57,83.7,78.1,28.78,-2.25,50.0,5.95,-0.15,2.2,4.85,1.35,3.54,-121.68,-2.86,7.39,20.14,-30.11,14.4,8.4,24.0,2497,94,408252,,,408252,,,0,1,0,top
