Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-08,567166,6,623149,R,660670,R,56,Strikeout,4,1,190415_020327,cdd5d631-adea-4d33-972b-271a4c740234,0,0,2,S,Called Strike,SL,4,2.0,3.43,1.62,76.7,72.0,,-3.3,50.0,5.08,-0.58,2.59,4.77,-0.26,4.69,-111.69,1.75,6.17,15.79,-32.51,12.0,10.8,24.0,2043,91,518692,518626,,,,,0,1,-4,bottom
2019-09-08,567166,6,623149,R,660670,R,56,Strikeout,4,2,190415_020343,87f070c5-7c64-471c-8ae5-165d4e2df056,0,1,2,S,Called Strike,FF,3,2.0,3.56,1.68,88.3,82.1,,-3.21,50.0,4.71,0.62,2.76,-6.31,7.2,11.87,-128.3,-1.07,-10.72,21.74,-19.94,24.0,4.8,24.0,2244,215,518692,518626,,,,,0,1,-4,bottom
2019-09-08,567166,6,623149,R,660670,R,56,Strikeout,4,3,190415_020404,06a2faa7-c613-40be-b51e-86711172d6a7,0,2,2,B,Ball,SL,11,2.0,3.57,1.66,79.9,74.2,,-3.53,50.0,4.94,-1.21,2.6,2.9,-1.55,4.47,-116.18,2.04,4.01,19.27,-34.32,8.4,9.6,24.0,2096,72,518692,518626,,,,,0,1,-4,bottom
2019-09-08,567166,6,623149,R,660670,R,56,Strikeout,4,4,190415_020424,e853b5e0-7e49-4f62-b10e-5d741c095a78,1,2,2,S,Called Strike,FF,9,2.0,3.58,1.66,89.6,82.2,,-3.21,50.0,4.65,0.44,2.01,-7.6,9.36,11.94,-129.88,-3.67,-13.08,25.42,-16.08,32.4,4.8,24.0,2288,214,518692,518626,,,,,0,1,-4,bottom
2019-09-08,567166,7,623149,R,455976,L,61,Walk,11,1,190415_022307,0427cdd5-fa68-467e-83cc-285d9b457dd4,0,0,0,S,Called Strike,FF,11,2.0,3.51,1.72,87.1,80.3,,-2.59,50.0,4.84,-0.73,2.59,-6.5,7.94,6.8,-126.76,-1.83,-10.67,23.73,-19.14,26.4,4.8,24.0,2203,215,,,,455976,,,0,0,-4,bottom
2019-09-08,567166,7,623149,R,455976,L,61,Walk,11,2,190415_022324,898e3755-41f5-49b3-80cc-df28fe7ec71f,0,1,0,B,Ball,CH,13,2.0,3.5,1.71,81.2,75.3,,-2.68,50.0,4.72,-1.12,2.02,-6.64,2.31,5.67,-118.26,-0.18,-9.51,20.14,-28.86,16.8,8.4,24.0,1643,247,,,,455976,,,0,0,-4,bottom
2019-09-08,567166,7,623149,R,455976,L,61,Walk,11,3,190415_022341,3274daa9-72cd-4cfe-ad7c-f064faa557c7,1,1,0,B,Ball,FF,11,2.0,3.46,1.73,88.4,81.3,,-2.71,50.0,4.75,-1.49,3.15,-6.95,7.53,5.42,-128.68,-0.25,-11.73,24.89,-19.45,28.8,4.8,24.0,2181,219,,,,455976,,,0,0,-4,bottom
2019-09-08,567166,7,623149,R,455976,L,61,Walk,11,4,190415_022402,df90c814-6707-4b5f-a311-dc234ce00941,2,1,0,S,Called Strike,FF,13,2.0,3.51,1.75,89.1,82.0,,-2.54,50.0,4.63,-0.95,1.91,-6.05,7.55,6.1,-129.58,-3.22,-10.36,25.1,-19.23,25.2,4.8,24.0,2136,216,,,,455976,,,0,0,-4,bottom
2019-09-08,567166,7,623149,R,455976,L,61,Walk,11,5,190415_022422,b67f3b50-4fe7-4d8c-abd0-c1b49b663e68,2,1,0,S,Foul,FF,13,2.0,3.41,1.56,87.9,80.5,,-2.67,50.0,4.6,-0.85,2.2,-6.44,8.01,6.73,-127.77,-2.31,-10.68,25.76,-18.91,25.2,4.8,24.0,2158,215,,,,455976,,,0,0,-4,bottom
2019-09-08,567166,7,623149,R,455976,L,61,Walk,11,6,190415_022503,66238aa2-932b-4ec9-8877-718ff930162f,2,1,0,S,Foul,FF,5,2.0,3.41,1.56,88.3,81.3,,-2.44,50.0,4.66,-0.03,2.45,-6.95,8.43,8.45,-128.35,-2.1,-11.7,24.3,-17.98,28.8,4.8,24.0,2248,215,,,,455976,,,0,0,-4,bottom
