Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-27,565800,7,520980,R,571875,L,50,Strikeout,5,1,190330_042939,64e1750f-8557-4cdf-a295-645d201e890d,0,0,0,B,Ball,CH,14,2.0,3.47,1.77,84.0,77.3,,-0.77,50.0,5.99,0.65,-0.64,-5.76,11.92,5.2,-121.68,-12.95,-8.64,23.96,-14.3,25.2,4.8,24.0,1989,206,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,571875,L,50,Strikeout,5,2,190330_043001,4e2b10b6-6032-4508-8df7-d71abe8d70c7,1,0,0,S,Called Strike,FF,8,2.0,3.32,1.65,94.2,86.0,,-0.78,50.0,6.13,0.21,1.67,-3.08,11.38,3.76,-136.74,-10.04,-5.82,30.7,-10.67,21.6,2.4,24.0,2306,194,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,571875,L,50,Strikeout,5,3,190330_043019,c87aa942-4495-400b-87c6-bc49c804814c,1,1,0,S,Foul,CH,7,2.0,3.49,1.66,84.0,77.4,,-0.95,50.0,6.21,-0.32,1.96,-7.41,8.14,3.86,-122.26,-6.16,-11.26,23.43,-19.82,26.4,6.0,24.0,1897,222,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,571875,L,50,Strikeout,5,4,190330_043040,cd605611-f882-44dd-8385-6672f89fd893,1,2,0,B,Ball,FF,12,2.0,3.39,1.67,94.2,86.4,,-0.6,50.0,6.41,0.18,4.55,-5.42,10.78,4.03,-137.19,-2.93,-10.37,29.13,-11.54,38.4,3.6,24.0,2284,205,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,571875,L,50,Strikeout,5,5,190330_043100,fabfff53-9a10-46e5-9ab6-fb065e5a31c7,2,2,0,S,Swinging Strike,FF,11,2.0,3.44,1.66,94.1,86.1,,-0.72,50.0,6.37,-0.34,4.2,-4.98,11.46,2.78,-137.01,-3.95,-9.49,29.73,-10.35,38.4,3.6,24.0,2322,202,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,606466,L,51,Groundout,5,1,190330_043133,842500a4-a81b-4f53-92d7-8ae863883b95,0,0,1,B,Ball,FF,11,2.0,3.46,1.85,94.6,86.5,,-0.71,50.0,6.37,-0.35,4.22,-5.53,11.43,2.96,-137.72,-4.0,-10.63,30.36,-10.2,42.0,3.6,24.0,2387,205,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,606466,L,51,Groundout,5,2,190330_043149,d75011e6-e3eb-498f-983b-465668dbae38,1,0,1,B,Ball,CH,14,2.0,3.47,1.71,84.0,77.6,,-0.73,50.0,6.12,0.27,1.26,-6.15,10.69,4.36,-122.15,-8.48,-9.35,22.47,-15.91,26.4,4.8,24.0,1899,209,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,606466,L,51,Groundout,5,3,190330_043210,011c52f9-98eb-46cd-8002-0b7df33823ab,2,0,1,B,Ball,FF,11,2.0,3.52,1.76,93.8,85.9,,-0.91,50.0,6.26,-0.93,3.2,-4.56,11.35,1.54,-136.48,-6.24,-8.61,29.58,-10.72,34.8,3.6,24.0,2319,202,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,606466,L,51,Groundout,5,4,190330_043229,cff0b296-3a06-4cbd-b50f-bf21f05c3012,3,0,1,S,Called Strike,CH,9,2.0,3.54,1.75,83.6,77.3,,-0.67,50.0,6.25,0.31,2.15,-7.28,8.06,4.64,-121.7,-5.74,-11.01,22.15,-20.0,26.4,6.0,24.0,1751,221,,,,,,,0,1,3,top
2019-08-27,565800,7,520980,R,606466,L,51,Groundout,5,5,190330_043251,da1c7de4-5e2c-41e3-a1fd-7815abd40605,3,1,1,X,In play- out(s),CH,4,2.0,3.6,1.72,84.5,77.9,,-0.76,50.0,6.3,-0.4,2.76,-6.22,9.28,2.85,-122.97,-4.95,-9.6,22.85,-17.86,26.4,6.0,24.0,1961,213,,,,,,,0,1,3,top
