Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,1,180422_172209,29dada49-ae2f-419f-9edd-dce6f99b6937,0,0,0,B,Ball,FF,13,2.0,3.32,1.73,89.5,82.1,67.67,-1.69,50.0,5.67,-1.0,2.12,-5.71,8.37,3.7,-130.07,-5.67,-9.82,26.6,-17.8,25.2,4.8,24.0,1974,213,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,2,180422_172224,c9860ed1-da07-45bf-995f-88d2fd10f0d0,1,0,0,S,Foul Bunt,FF,11,2.0,3.2,1.5,89.6,82.1,48.28,-1.69,50.0,5.67,-0.75,2.8,-5.07,9.21,4.14,-130.31,-4.23,-8.73,26.71,-16.3,25.2,4.8,24.0,2042,207,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,3,180422_172309,5094583c-784f-4f58-accf-ddecf36a9bfc,1,1,0,B,Ball,KC,11,2.0,3.35,1.59,80.3,71.4,48.96,-1.78,50.0,5.99,-1.13,3.82,-0.26,2.36,1.57,-116.57,1.48,-0.35,28.18,-29.03,0.0,8.4,24.0,,179,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,4,180422_172325,96084614-e0fb-4b41-8527-a4cb6d859f55,2,1,0,B,Ball,FF,13,2.0,3.31,1.58,90.3,82.9,29.97,-1.77,50.0,5.51,-1.53,1.56,-6.56,8.44,2.85,-131.3,-6.89,-11.48,27.27,-17.41,30.0,4.8,24.0,2060,218,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,5,180422_172341,808eb1d0-a3be-41eb-9db4-31e54dbc5b55,3,1,0,S,Foul,FT,14,2.0,3.2,1.5,89.8,82.4,42.77,-1.53,50.0,5.57,0.1,1.28,-11.43,4.65,8.02,-130.31,-6.33,-19.67,27.08,-24.17,36.0,7.2,24.0,2060,248,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,6,180422_172414,540b8dab-8787-4809-b39c-fc995fd991dc,3,1,0,S,Foul,FT,8,2.0,3.2,1.5,90.0,82.5,35.75,-1.36,50.0,5.57,0.15,1.9,-10.75,5.49,7.51,-130.78,-5.08,-18.64,27.29,-22.66,36.0,7.2,24.0,2057,243,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,452655,L,4,Walk,7,7,180422_172437,5850dc00-ad58-4735-9ffa-86b75de4b5a2,3,2,0,B,Ball,FF,11,2.0,3.27,1.63,90.8,83.0,59.91,-1.61,50.0,5.6,-1.09,3.21,-4.62,8.99,2.92,-132.12,-3.1,-8.17,27.96,-16.27,24.0,4.8,24.0,2113,205,,,,452655,,,0,0,0,bottom
2018-04-22,529728,1,461833,R,543068,R,5,Home Run,3,1,180422_172516,ca036e7f-27c4-4d7d-a448-76d013449ea1,0,0,0,B,Ball,FF,13,2.0,3.59,1.65,90.5,82.6,33.82,-1.78,50.0,5.66,-1.67,2.4,-6.61,9.41,2.54,-131.67,-5.47,-11.58,28.69,-15.69,33.6,4.8,24.0,2116,215,452655,,,,,,2,0,0,bottom
2018-04-22,529728,1,461833,R,543068,R,5,Home Run,3,2,180422_172542,b8af0bc5-b36a-419d-82bc-d8f9c9491218,1,0,0,S,Called Strike,FC,3,2.0,3.6,1.61,88.2,80.7,43.26,-1.66,50.0,5.62,0.57,3.05,-1.7,8.13,6.21,-128.28,-2.82,-2.84,26.44,-18.62,4.8,4.8,24.0,2061,186,452655,,,,,,2,0,0,bottom
2018-04-22,529728,1,461833,R,543068,R,5,Home Run,3,3,180422_172615,8c17832e-0e49-4436-b7b0-d5283a4040bc,1,1,0,X,In play- run(s),FF,13,2.0,3.46,1.48,90.5,82.8,47.02,-1.64,50.0,5.59,-0.73,1.84,-6.27,9.11,4.46,-131.56,-6.61,-10.99,28.05,-16.22,30.0,4.8,24.0,2057,214,452655,,,,,,2,0,0,bottom
