Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-08-17,566763,7,600968,L,608577,L,61,Groundout,2,1,190328_223224,42c57d4e-047a-4680-941e-24cfbb31ee0f,0,0,0,B,Ball,FT,13,2.0,3.5,1.72,91.6,83.4,,1.76,50.0,5.9,-0.1,0.86,13.38,6.23,-9.38,-132.49,-9.12,23.67,29.54,-21.15,43.2,7.2,24.0,2177,113,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,608577,L,61,Groundout,2,2,190328_223243,b4c76b1a-47be-465b-9e9c-a5a43e0be755,1,0,0,X,In play- out(s),FF,13,2.0,3.37,1.53,92.5,83.5,,1.79,50.0,5.85,-0.46,1.37,10.61,8.15,-9.55,-133.88,-8.44,19.01,32.44,-17.58,40.8,6.0,24.0,2165,127,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,452678,R,62,Strikeout,4,1,190328_223322,409e2994-b887-4f76-a5d9-be96168f7c56,0,0,1,B,Ball,FT,12,2.0,3.27,1.55,92.8,84.0,,2.11,50.0,6.03,1.92,3.67,9.54,4.44,-3.77,-134.66,-1.68,17.35,31.71,-24.1,33.6,6.0,24.0,2126,115,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,452678,R,62,Strikeout,4,2,190328_223337,3c11a97f-ab74-49cc-9ab6-9d0d501bda06,1,0,1,S,Called Strike,FT,8,2.0,3.27,1.5,93.0,84.9,,1.9,50.0,5.81,0.21,1.64,9.84,5.34,-7.89,-134.72,-6.89,18.06,29.53,-22.36,34.8,6.0,24.0,2125,117,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,452678,R,62,Strikeout,4,3,190328_223353,d262f52d-a919-4cdc-9130-fb5544d8d7d5,1,1,1,S,Foul,FT,14,2.0,3.37,1.53,94.1,85.0,,2.0,50.0,5.85,0.75,2.42,13.07,6.07,-7.89,-136.48,-5.28,24.32,33.72,-20.88,45.6,7.2,24.0,2048,114,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,452678,R,62,Strikeout,4,4,190328_223417,ea1decff-761d-44b3-b7cb-d3a901fa7b99,1,2,1,S,Called Strike,FT,2,2.0,3.31,1.54,93.3,84.6,,1.8,50.0,6.08,0.02,3.07,12.27,5.07,-8.99,-135.19,-3.72,22.55,31.27,-22.85,40.8,7.2,24.0,2045,113,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,608597,L,63,Strikeout,3,1,190328_223445,396b43e4-c0b2-4523-89e6-8b5526ef9eea,0,0,2,S,Called Strike,SL,1,2.0,3.67,1.76,86.3,77.5,,2.01,50.0,6.08,-0.36,3.45,0.37,2.81,-5.94,-125.18,-0.76,0.57,30.01,-27.81,1.2,7.2,24.0,2465,190,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,608597,L,63,Strikeout,3,2,190328_223500,3b5ddb48-060f-4cbc-b448-ee53eb3306d2,0,1,2,S,Foul,FT,14,2.0,3.58,1.68,93.7,84.9,,1.86,50.0,5.95,1.09,2.31,11.03,6.25,-5.87,-135.85,-5.87,20.42,32.3,-20.6,40.8,6.0,24.0,2140,118,,,,,,,0,1,8,bottom
2019-08-17,566763,7,600968,L,608597,L,63,Strikeout,3,3,190328_223555,8101a70a-0f46-4543-be65-372d075c13b8,0,2,2,S,Swinging Strike,SL,13,2.0,3.58,1.68,89.5,81.4,,1.96,50.0,5.92,-1.57,1.88,2.46,3.81,-9.8,-129.68,-5.26,4.15,29.44,-25.74,4.8,6.0,24.0,2608,160,,,,,,,0,1,8,bottom
2019-08-17,567157,6,600968,L,518626,R,56,Groundout,2,1,190402_012652,6d3a5574-605a-48d0-9f19-ad02bd79caa2,0,0,0,S,Called Strike,FT,6,2.0,3.44,1.6,92.1,84.0,,2.0,50.0,5.9,0.3,2.77,10.0,3.77,-7.9,-133.59,-3.43,18.05,29.05,-25.37,32.4,7.2,24.0,1787,111,,,,,,,0,1,-7,bottom
2019-08-17,567157,6,600968,L,518626,R,56,Groundout,2,2,190402_012710,2fb9f758-f056-4bcb-8782-220e155738a0,0,1,0,X,In play- out(s),FT,9,2.0,3.41,1.56,92.9,85.1,,1.88,50.0,5.83,0.24,1.68,9.21,4.1,-7.55,-134.65,-6.39,16.93,28.92,-24.63,31.2,7.2,24.0,1780,112,,,,,,,0,1,-7,bottom
2019-08-17,567157,6,600968,L,518692,L,57,Double,2,1,190402_012744,d5b163b0-8b36-4821-baab-f86e73b41e8b,0,0,1,B,Ball,FT,12,2.0,3.57,1.82,91.7,84.4,,2.09,50.0,5.88,1.19,3.29,9.74,4.12,-5.71,-133.3,-2.17,17.66,26.42,-24.7,33.6,7.2,24.0,1931,113,,,,,518692,,0,0,-7,bottom
2019-08-17,567157,6,600968,L,518692,L,57,Double,2,2,190402_012808,ca8f7a8f-4b9c-42ed-83fc-6bcec2d42872,1,0,1,X,In play- no out,FT,8,2.0,3.58,1.68,92.4,84.8,,1.8,50.0,5.81,0.01,1.9,10.78,4.99,-8.46,-133.95,-6.0,19.67,27.82,-23.07,36.0,7.2,24.0,2002,114,,,,,518692,,0,0,-7,bottom
2019-08-17,567157,6,600968,L,660670,R,58,Strikeout,4,1,190402_012859,e374a6a7-8292-43ae-b821-e3832af0f57a,0,0,1,S,Foul,FT,13,2.0,3.37,1.53,93.1,85.8,,1.8,50.0,5.75,-0.72,1.18,10.78,3.48,-10.48,-134.81,-7.4,20.0,27.07,-25.71,33.6,7.2,24.0,1997,106,,518692,,,,,0,1,-7,bottom
2019-08-17,567157,6,600968,L,660670,R,58,Strikeout,4,2,190402_012928,0315b649-a852-4cc0-9e9c-a39c47977dc3,0,1,1,B,Ball,FT,12,2.0,3.5,1.61,93.1,85.5,,2.03,50.0,5.96,1.24,3.34,9.47,3.45,-5.42,-135.4,-2.22,17.67,28.21,-25.75,32.4,7.2,24.0,1900,110,,518692,,,,,0,1,-7,bottom
2019-08-17,567157,6,600968,L,660670,R,58,Strikeout,4,3,190402_012951,534ff781-53b9-4318-9cc3-2a90aaab0811,1,1,1,S,Foul,FT,4,2.0,3.37,1.53,92.9,85.6,,1.79,50.0,5.93,-0.43,2.69,10.33,3.85,-9.53,-134.92,-3.97,19.21,26.94,-25.02,33.6,7.2,24.0,1974,110,,518692,,,,,0,1,-7,bottom
2019-08-17,567157,6,600968,L,660670,R,58,Strikeout,4,4,190402_013023,323e0859-3dd4-4ab9-8e6e-f4df531d07b9,1,2,1,S,Swinging Strike,SL,7,2.0,3.37,1.53,86.7,79.9,,1.99,50.0,5.91,-0.46,1.8,-0.87,0.6,-5.83,-125.85,-3.95,-1.39,24.82,-31.2,4.8,8.4,24.0,2278,258,,518692,,,,,0,1,-7,bottom
2019-08-17,567157,6,600968,L,455976,L,59,Field Error,1,1,190402_013104,8d6286ff-0410-403b-93b7-d328c0a07910,0,0,2,X,In play- no out,FT,7,2.0,3.41,1.56,93.5,85.6,,1.8,50.0,5.88,-0.27,1.94,9.24,5.41,-8.76,-135.64,-6.44,17.24,29.26,-22.08,33.6,6.0,24.0,2039,120,,,,455976,,518692,0,0,-7,bottom
2019-08-17,567157,6,600968,L,645277,R,60,Single,3,1,190402_013210,37d5fc08-11e9-492b-9e3f-e227ae929030,0,0,2,B,Ball,FT,12,2.0,3.36,1.46,92.6,84.2,,1.92,50.0,5.97,1.28,2.68,9.84,6.13,-5.06,-134.37,-4.72,17.89,30.57,-21.02,37.2,6.0,24.0,2066,121,455976,,518692,645277,455976,,1,0,-7,bottom
2019-08-17,567157,6,600968,L,645277,R,60,Single,3,2,190402_013235,1b7166c3-6274-42da-8805-c0d894608b1b,1,0,2,X,In play- run(s),SL,7,2.0,3.26,1.48,85.5,78.8,,1.96,50.0,5.93,-0.24,1.65,-0.63,0.73,-5.2,-124.24,-4.17,-0.98,24.71,-31.03,3.6,8.4,24.0,2423,252,455976,,518692,645277,455976,,1,0,-7,bottom
2019-08-17,567157,6,600968,L,435263,L,61,Strikeout,4,1,190402_013319,52e8cc70-7c4a-4188-94fb-be3a8891cd92,0,0,2,B,Ball,SL,11,2.0,3.45,1.69,85.0,78.3,,1.88,50.0,5.97,-1.19,2.7,-0.93,0.06,-7.18,-123.42,-1.4,-1.43,23.9,-32.08,4.8,8.4,24.0,2392,267,645277,455976,,,,,0,1,-8,bottom
2019-08-17,567157,6,600968,L,435263,L,61,Strikeout,4,2,190402_013336,60c93eb9-11a0-4404-bf09-48f31362b367,1,0,2,S,Called Strike,SL,13,2.0,3.48,1.65,84.7,78.2,,1.99,50.0,5.81,-0.82,1.54,-1.41,-0.04,-6.37,-122.96,-3.74,-2.17,23.83,-32.24,6.0,8.4,24.0,2350,278,645277,455976,,,,,0,1,-8,bottom
2019-08-17,567157,6,600968,L,435263,L,61,Strikeout,4,3,190402_013356,db19ce60-b058-4ac1-993a-de260ad7e990,1,1,2,S,Called Strike,SL,6,2.0,3.37,1.57,84.3,78.1,,2.07,50.0,5.96,0.5,2.56,-1.08,1.31,-3.47,-122.61,-2.07,-1.65,22.14,-30.16,3.6,8.4,24.0,2540,229,645277,455976,,,,,0,1,-8,bottom
2019-08-17,567157,6,600968,L,435263,L,61,Strikeout,4,4,190402_013420,2919e7fd-2547-4f3f-8ab1-a7454a5d297b,1,2,2,S,Foul Tip,SL,11,2.0,3.49,1.6,83.9,77.7,,2.0,50.0,6.07,-0.77,2.99,-2.24,-0.37,-6.0,-121.95,-0.68,-3.39,22.18,-32.73,7.2,8.4,24.0,,274,645277,455976,,,,,0,1,-8,bottom
2019-08-17,567158,8,600968,L,622666,R,69,Double,2,1,190404_022830,e5e5b899-e08c-4d3c-9129-af54867b05ae,0,0,0,B,Ball In Dirt,SL,13,2.0,3.55,1.7,87.2,81.0,,1.88,50.0,5.76,-0.62,0.8,0.04,2.96,-6.3,-126.58,-7.0,0.07,23.2,-27.31,2.4,7.2,24.0,2519,195,455976,660670,518692,,622666,,3,0,2,bottom
