Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2019-09-07,567093,4,624133,L,545121,R,31,Pop Out,3,1,190611_010822,469474d0-e3a0-4f7e-bbc5-ca08c126e6b7,0,0,0,B,Ball,FF,12,2.0,3.36,1.5,92.0,84.4,,2.54,50.0,5.72,1.49,3.63,4.44,8.53,-4.29,-133.8,-2.39,8.09,27.46,-16.63,22.8,3.6,24.0,2108,154,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,545121,R,31,Pop Out,3,2,190611_010834,5cf2a373-ecc8-4643-a6f0-4a8b6a48b7e3,1,0,0,S,Called Strike,FF,4,2.0,3.4,1.58,91.9,84.4,,2.24,50.0,5.59,-0.27,2.26,5.14,9.61,-8.4,-133.44,-6.01,9.33,27.0,-14.74,25.2,3.6,24.0,2137,155,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,545121,R,31,Pop Out,3,3,190611_010853,2e8cbb47-6d55-4cd0-83d3-a4337ba232b8,1,1,0,X,In play- out(s),CH,14,2.0,3.25,1.49,83.6,77.1,,2.31,50.0,5.57,0.55,1.23,9.5,5.58,-7.2,-121.44,-5.46,14.27,22.56,-23.79,27.6,7.2,24.0,1626,120,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,664199,R,32,Strikeout,4,1,190611_010917,c8bd1311-ba03-4424-8002-15fecc038f82,0,0,1,B,Ball,FF,12,2.0,3.85,1.77,91.7,84.5,,2.58,50.0,5.65,1.57,2.93,4.36,7.29,-4.18,-133.47,-3.63,7.93,26.37,-18.91,20.4,4.8,24.0,2099,150,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,664199,R,32,Strikeout,4,2,190611_010928,45c39b9b-fe33-4553-bd45-84c2eba6decd,1,0,1,S,Called Strike,FF,12,2.0,3.74,1.73,91.6,84.4,,2.54,50.0,5.7,0.96,2.86,4.33,8.15,-5.67,-133.27,-4.21,7.85,26.44,-17.4,20.4,4.8,24.0,2110,154,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,664199,R,32,Strikeout,4,3,190611_010948,bbcbc500-4184-4ce3-b500-5a538735091f,1,1,1,S,Called Strike,SL,8,2.0,3.57,1.75,82.2,75.2,,2.4,50.0,5.85,-0.0,2.24,-0.5,4.43,-5.5,-119.41,-3.01,-0.72,23.87,-25.8,3.6,7.2,24.0,2174,196,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,664199,R,32,Strikeout,4,4,190611_011002,22178f62-873a-45dc-a467-42df2f4a6e3f,1,2,1,S,Foul Tip,FF,6,2.0,3.57,1.67,91.7,84.3,,2.39,50.0,5.7,0.39,2.53,4.13,8.93,-6.68,-133.32,-5.33,7.47,27.04,-16.0,20.4,3.6,24.0,2163,158,,,,,,,0,1,-4,top
2019-09-07,567093,4,624133,L,502481,L,33,Single,2,1,190611_011031,122f5e3f-ce52-47c4-b151-1ea909e14719,0,0,2,S,Called Strike,SL,8,2.0,3.5,1.71,80.8,74.9,,2.37,50.0,5.88,0.22,1.8,-2.76,1.4,-4.16,-117.5,-2.99,-3.88,20.99,-30.21,8.4,8.4,24.0,,249,,,,502481,,,0,0,-4,top
2019-09-07,567093,4,624133,L,502481,L,33,Single,2,2,190611_011046,71a98e97-397f-4bfb-9625-08176590eaa0,0,1,2,X,In play- no out,SL,1,2.0,3.41,1.63,82.5,75.5,,2.22,50.0,5.92,-0.42,2.82,-1.43,3.46,-5.8,-119.92,-1.59,-2.07,24.04,-27.16,6.0,7.2,24.0,,212,,,,502481,,,0,0,-4,top
2019-09-07,567093,4,624133,L,606466,R,34,Single,6,1,190611_011222,e8a52d56-3934-40a2-aec5-e33e994e4d89,0,0,2,B,Ball,CH,13,2.0,3.48,1.69,83.4,77.1,,2.24,50.0,5.54,-1.13,1.95,9.5,5.28,-11.04,-120.94,-3.54,14.23,21.23,-24.27,26.4,7.2,24.0,1551,121,502481,,,606466,502481,,0,0,-4,top
2019-09-07,567093,4,624133,L,606466,R,34,Single,6,2,190611_011306,1d583a94-3ef9-4a27-a91b-0247c4b83614,1,0,2,X,In play- no out,FF,3,2.0,3.5,1.69,92.5,85.2,,2.52,50.0,5.62,0.57,3.04,4.45,9.07,-6.75,-134.52,-3.99,8.23,26.64,-15.4,22.8,3.6,24.0,2001,156,502481,,,606466,502481,,0,0,-4,top
2019-09-07,567093,4,624133,L,444482,L,35,Forceout,1,1,190611_011351,6f7d23ae-4285-4517-a932-71fcdd5235ab,0,0,2,X,In play- out(s),FT,6,2.0,3.46,1.64,90.6,82.3,,2.29,50.0,5.73,0.44,2.75,9.87,5.61,-8.11,-131.47,-3.39,17.16,29.62,-22.43,33.6,6.0,24.0,1907,121,606466,502481,,,,,0,1,-4,top
