Date, Game, Inning, Pitcher, Hand, Batter, Stand, AB_ID, Result, AB_Total, AB_Count, Pfx_ID, Play_ID, Balls, Strikes, Outs, Code, Pdes, Type, Zone, Con, SZ_Top, SZ_Bot, Start_Speed, End_Speed, Nasty_Factor, X0, Y0, Z0, PX, PZ, PfxX, PfxZ, VX0, VY0, VZ0, AX, AY, AZ, Break_Angle, Break_Length, Break_Y, Spin_Rate, Spin_Direction, Runner 1B, Runner 2B, Runner 3B, End 1B, End 2B, End 3B, Runs, Outs On Play, Run Diff, Half
2017-04-08,490158,1,593417,R,460576,R,3,Double,5,1,170408_001426,54e04fde-8822-48cc-8353-09a708abd8be,0,0,0,S,Called Strike,FF,14,2.0,3.22,1.59,93.6,85.3,66.6,-2.15,50.0,5.44,0.85,2.4,-7.91,9.03,10.78,-135.63,-5.27,-14.73,29.6,-15.35,37.2,4.8,24.0,2189,220,,,,,460576,,0,0,0,bottom
2017-04-08,490158,1,593417,R,460576,R,3,Double,5,2,170408_001438,44878592-aae1-4a39-9972-6cd1e772bc0d,0,1,0,B,Ball,FF,14,2.0,3.67,1.72,94.6,86.4,55.13,-2.04,50.0,5.34,1.08,2.14,-8.99,6.98,11.61,-137.01,-5.18,-17.13,29.6,-18.88,36.0,4.8,24.0,2213,233,,,,,460576,,0,0,0,bottom
2017-04-08,490158,1,593417,R,460576,R,3,Double,5,3,170408_001451,8118c4c4-d7b5-407b-9bfa-9dcfc2426f70,1,1,0,S,Foul,FT,13,2.0,3.87,1.6,94.8,85.9,63.36,-2.47,50.0,5.33,-1.17,1.97,-10.97,8.27,7.35,-137.45,-6.04,-20.83,32.49,-16.47,46.8,6.0,24.0,2133,235,,,,,460576,,0,0,0,bottom
2017-04-08,490158,1,593417,R,460576,R,3,Double,5,4,170408_001514,02404615-6016-4867-9d1d-af2d2ea00ef2,1,1,0,S,Foul,SL,14,2.0,3.87,1.6,88.9,81.5,21.58,-1.95,50.0,5.69,1.75,2.3,-2.24,5.74,10.16,-128.83,-4.21,-3.78,26.2,-22.51,4.8,6.0,24.0,2214,192,,,,,460576,,0,0,0,bottom
2017-04-08,490158,1,593417,R,460576,R,3,Double,5,5,170408_001533,23eaa24f-5867-4153-bcb1-9ef241110c1c,1,2,0,X,In play- no out,SL,14,2.0,3.87,1.6,88.7,81.4,13.7,-2.07,50.0,5.73,1.34,2.46,-0.97,4.08,9.0,-128.62,-3.34,-1.62,25.97,-25.32,0.0,6.0,24.0,2077,177,,,,,460576,,0,0,0,bottom
2017-04-08,490158,1,593417,R,425783,L,4,Groundout,1,1,170408_001637,23bdc741-2a29-4141-939c-2904d841e58d,0,0,0,X,In play- out(s),CH,11,2.0,3.69,1.51,86.4,78.7,70.79,-2.47,50.0,5.44,-1.17,2.5,-11.22,3.35,6.81,-125.54,-1.83,-17.81,26.8,-26.86,31.2,8.4,24.0,1477,257,,460576,,,,460576,0,1,0,bottom
2017-04-08,490158,1,593417,R,608577,L,5,Fielders Choice,4,1,170408_001724,36b6be34-7046-45ad-a305-49e8da517d1d,0,0,1,S,Called Strike,CH,8,2.0,3.33,1.63,87.7,80.8,60.0,-2.29,50.0,5.55,-0.18,1.76,-11.01,4.77,8.92,-127.31,-4.76,-18.2,24.4,-24.29,33.6,7.2,24.0,1597,250,,,460576,608577,,,1,0,0,bottom
2017-04-08,490158,1,593417,R,608577,L,5,Fielders Choice,4,2,170408_001747,f781b80b-129c-4d44-9e73-de54f2ed8275,0,1,1,B,Ball,FF,14,2.0,3.4,1.59,95.7,87.4,56.25,-1.95,50.0,5.34,0.98,2.24,-8.89,7.87,11.18,-138.65,-5.42,-17.35,30.34,-16.81,39.6,4.8,24.0,2310,229,,,460576,608577,,,1,0,0,bottom
2017-04-08,490158,1,593417,R,608577,L,5,Fielders Choice,4,3,170408_001810,7c838bb1-e7b5-4823-a7bc-c4c8b6aa48fc,1,1,1,B,Ball,FF,14,2.0,3.36,1.63,94.9,87.0,56.13,-2.06,50.0,5.3,1.19,2.08,-6.99,7.9,11.31,-137.59,-5.64,-13.46,29.13,-16.96,31.2,4.8,24.0,2310,220,,,460576,608577,,,1,0,0,bottom
2017-04-08,490158,1,593417,R,608577,L,5,Fielders Choice,4,4,170408_001836,efc85210-19e7-44a7-92f8-ce65cbcd1544,2,1,1,X,In play- run(s),CH,13,2.0,3.92,1.63,86.8,79.7,35.4,-2.17,50.0,5.49,-0.03,1.6,-10.78,5.78,8.82,-125.99,-5.11,-17.37,24.94,-22.86,33.6,7.2,24.0,1610,245,,,460576,608577,,,1,0,0,bottom
2017-04-08,490158,1,593417,R,435063,R,6,Strikeout,6,1,170408_002249,cc06aa33-5fd1-4dda-bdb7-ee2ef2ed1a7b,0,0,1,B,Ball,FT,13,2.0,3.3,1.6,92.5,83.0,60.12,-2.38,50.0,5.47,-1.11,2.18,-10.01,7.61,6.74,-134.0,-5.08,-17.87,33.96,-18.59,39.6,6.0,24.0,2193,236,608577,,,,,,0,1,-1,bottom
