Date,Game,Inning,Pitcher,Hand,Batter,Stand,AB_ID,Result,AB_Total,AB_Count,Pfx_ID,Play_ID,Balls,Strikes,Outs,Code,Pdes,Type,Zone,Con,SZ_Top,SZ_Bot,Start_Speed,End_Speed,Nasty_Factor,X0,Y0,Z0,PX,PZ,PfxX,PfxZ,VX0,VY0,VZ0,AX,AY,AZ,Break_Angle,Break_Length,Break_Y,Spin_Rate,Spin_Direction,Runner 1B,Runner 2B,Runner 3B,End 1B,End 2B,End 3B,Runs,Outs On Play,Run Diff,Half
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,1,180329_214958,56bd6f09-c888-40f2-be86-bfe10cde33df,0,1,2,C,Called Strike,FF,8,0.92,3.41,1.47,96.4,87.4,42.92,2.08,50.0,5.81,0.07,1.83,2.29,10.29,-6.34,-139.76,-8.77,4.49,33.87,-11.99,12.0,2.4,24.0,2300,170,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,2,180329_215019,c5748650-5711-4583-854c-2ec49ace6e92,0,1,2,B,Ball,FF,13,0.92,3.37,1.42,96.3,87.7,55.86,1.96,50.0,5.67,-0.67,1.09,2.61,10.53,-8.18,-139.46,-10.49,5.12,32.48,-11.51,13.2,2.4,24.0,2397,170,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,3,180329_215041,d873583f-523e-45fc-831f-c952758a6f7c,1,2,2,F,Foul,FF,7,0.92,3.69,1.42,96.2,87.4,52.16,1.95,50.0,5.74,-0.69,1.6,4.72,10.35,-8.93,-139.41,-9.19,9.24,33.16,-11.94,26.4,3.6,24.0,2410,158,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,4,180329_215117,85c1bc8b-f970-40f0-85ac-fc1ebed1c990,1,2,2,F,Foul,FF,6,0.92,3.69,1.42,96.1,88.4,27.96,1.98,50.0,5.85,0.33,2.74,4.19,9.26,-6.07,-139.7,-6.13,8.33,29.26,-13.75,25.2,3.6,24.0,2371,157,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,5,180329_215144,22e48bad-a229-450f-8248-2f246b771b55,1,2,2,B,Ball,SL,13,0.89,3.41,1.42,89.0,82.3,26.09,1.8,50.0,5.82,-1.64,1.08,1.39,1.37,-9.25,-129.01,-6.26,2.35,25.47,-29.84,1.2,7.2,24.0,2181,159,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,6,180329_215207,502fe770-0833-4807-aed4-868c208863b9,2,2,2,B,Ball,FF,13,0.92,3.32,1.42,96.0,87.8,40.11,1.86,50.0,5.7,-0.83,0.75,1.93,12.0,-8.07,-139.02,-12.01,3.77,31.01,-8.69,9.6,2.4,24.0,2365,174,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,641487,L,41,Walk,7,7,180329_215231,2f8b7c52-37bc-458b-8a59-bae1911692b4,3,2,2,B,Ball,FF,12,0.92,3.28,1.42,96.2,87.7,16.08,2.2,50.0,5.75,1.63,2.47,1.95,11.26,-2.28,-139.91,-7.25,3.86,32.42,-9.91,15.6,2.4,24.0,2282,170,571437,656555,,641487,571437,656555,0,0,-2,top
2018-03-29,529416,6,571521,L,596748,R,42,Walk,5,1,180329_215307,af6f0d6a-1218-488f-9d13-eedc1ca01945,0,0,2,B,Ball,FF,13,0.92,3.29,1.51,97.2,88.5,48.55,2.02,50.0,5.58,-0.54,0.72,5.4,11.5,-9.05,-140.68,-11.82,10.79,32.78,-9.19,36.0,3.6,24.0,2418,157,641487,571437,656555,596748,641487,571437,1,0,-2,top
2018-03-29,529416,6,571521,L,596748,R,42,Walk,5,2,180329_215327,f53fea67-887c-4af3-9572-dbfc798924f1,1,0,2,B,Ball,FF,14,0.92,3.29,1.47,96.6,88.5,55.71,2.07,50.0,5.76,1.12,1.66,2.82,9.61,-3.66,-140.33,-9.03,5.65,31.1,-12.96,18.0,3.6,24.0,2419,164,641487,571437,656555,596748,641487,571437,1,0,-2,top
2018-03-29,529416,6,571521,L,596748,R,42,Walk,5,3,180329_215356,36ae690b-1669-44bf-89b8-09dde742b838,2,1,2,F,Foul,FF,5,0.92,3.19,1.33,96.1,88.2,20.79,2.08,50.0,5.75,-0.05,2.55,2.93,8.37,-6.95,-139.65,-6.01,5.82,30.17,-15.57,14.4,3.6,24.0,2463,164,641487,571437,656555,596748,641487,571437,1,0,-2,top
2018-03-29,529416,6,571521,L,596748,R,42,Walk,5,4,180329_215418,9eef12e6-9157-4a1b-8c7e-7831598de1aa,2,1,2,B,Ball,FF,13,0.92,3.2,1.33,97.9,90.1,43.76,1.93,50.0,5.65,-0.31,1.03,5.9,10.53,-8.45,-141.88,-11.1,12.13,29.85,-10.53,39.6,3.6,24.0,2451,152,641487,571437,656555,596748,641487,571437,1,0,-2,top
2018-03-29,529416,6,571521,L,596748,R,42,Walk,5,5,180329_215440,6dbf2f09-b26c-49dc-a030-794133daf069,4,1,2,*B,Ball In Dirt,FF,13,0.92,3.2,1.33,97.4,89.0,27.87,2.01,50.0,5.25,-0.41,-0.36,4.61,11.33,-8.4,-140.91,-13.9,9.26,32.19,-9.4,31.2,2.4,24.0,2342,159,641487,571437,656555,596748,641487,571437,1,0,-2,top
